Date, Open, High, Low, Close, Volume
17-May-13,3.19,3.20,3.10,3.20,196728
16-May-13,3.25,3.28,3.15,3.15,127584
15-May-13,3.23,3.30,3.20,3.22,93043
14-May-13,3.30,3.32,3.18,3.22,228313
13-May-13,3.38,3.41,3.29,3.31,219729
10-May-13,3.26,3.34,3.26,3.32,86711
9-May-13,3.31,3.34,3.27,3.32,123171
8-May-13,3.32,3.36,3.26,3.33,287452
7-May-13,3.29,3.35,3.25,3.29,255109
6-May-13,3.37,3.37,3.29,3.29,102949
3-May-13,3.35,3.40,3.31,3.34,124260
2-May-13,3.32,3.35,3.30,3.30,79451
1-May-13,3.36,3.39,3.30,3.34,112541
30-Apr-13,3.37,3.37,3.30,3.36,140072
29-Apr-13,3.43,3.43,3.35,3.35,94214
26-Apr-13,3.39,3.44,3.37,3.38,125454
25-Apr-13,3.43,3.45,3.32,3.37,156310
24-Apr-13,3.47,3.49,3.40,3.42,149610
23-Apr-13,3.45,3.49,3.36,3.47,215551
22-Apr-13,3.50,3.50,3.36,3.39,144693
19-Apr-13,3.51,3.53,3.45,3.46,255971
18-Apr-13,3.60,3.60,3.51,3.51,151985
17-Apr-13,3.59,3.67,3.56,3.59,162264
16-Apr-13,3.63,3.84,3.53,3.63,299208
15-Apr-13,3.62,3.62,3.53,3.59,143942
12-Apr-13,3.60,3.68,3.56,3.62,89433
11-Apr-13,3.67,3.75,3.58,3.61,141506
10-Apr-13,3.61,3.72,3.56,3.65,169365
9-Apr-13,3.64,3.66,3.56,3.64,183533
8-Apr-13,3.58,3.68,3.55,3.66,145790
5-Apr-13,3.55,3.63,3.53,3.60,101824
4-Apr-13,3.52,3.67,3.52,3.60,150772
3-Apr-13,3.62,3.62,3.46,3.50,100815
2-Apr-13,3.55,3.65,3.53,3.62,128837
1-Apr-13,3.44,3.64,3.44,3.55,123743
28-Mar-13,3.43,3.60,3.42,3.45,108868
27-Mar-13,3.45,3.49,3.33,3.42,82737
26-Mar-13,3.50,3.55,3.30,3.42,367115
25-Mar-13,3.73,3.76,3.60,3.66,213663
22-Mar-13,3.55,3.67,3.51,3.57,210407
21-Mar-13,3.57,3.70,3.52,3.56,205501
20-Mar-13,3.45,3.63,3.45,3.61,233323
19-Mar-13,3.48,3.52,3.45,3.45,96787
18-Mar-13,3.45,3.53,3.45,3.51,120489
15-Mar-13,3.45,3.59,3.45,3.46,128408
14-Mar-13,3.48,3.50,3.41,3.46,71883
13-Mar-13,3.40,3.50,3.40,3.45,83002
12-Mar-13,3.50,3.55,3.40,3.40,126368
11-Mar-13,3.48,3.60,3.41,3.43,126301
8-Mar-13,3.37,3.50,3.33,3.44,145341
7-Mar-13,3.12,3.38,3.12,3.31,147376
6-Mar-13,3.15,3.15,3.10,3.11,85559
5-Mar-13,3.21,3.22,3.11,3.13,328262
4-Mar-13,3.22,3.27,3.16,3.18,72323
1-Mar-13,3.26,3.27,3.14,3.25,197051
28-Feb-13,3.33,3.37,3.25,3.27,167753
27-Feb-13,3.39,3.40,3.35,3.35,129876
26-Feb-13,3.47,3.58,3.33,3.40,214372
25-Feb-13,3.60,3.63,3.45,3.45,264595
22-Feb-13,3.61,3.63,3.51,3.58,181248
21-Feb-13,3.72,3.72,3.55,3.58,217007
20-Feb-13,3.70,3.75,3.62,3.73,249517
19-Feb-13,3.69,3.73,3.62,3.67,144759
15-Feb-13,3.68,3.72,3.60,3.72,187743
14-Feb-13,3.59,3.97,3.50,3.68,335701
13-Feb-13,3.59,3.76,3.57,3.60,294218
12-Feb-13,3.54,3.68,3.53,3.60,172625
11-Feb-13,3.66,3.69,3.51,3.58,198135
8-Feb-13,3.71,3.74,3.60,3.63,182982
7-Feb-13,3.71,3.80,3.60,3.69,675126
6-Feb-13,3.45,3.75,3.45,3.68,500094
5-Feb-13,3.54,3.56,3.42,3.45,592169
4-Feb-13,3.53,3.62,3.42,3.52,313130
1-Feb-13,3.56,3.69,3.50,3.57,401794
31-Jan-13,3.60,3.72,3.25,3.58,806527
30-Jan-13,3.76,3.77,3.61,3.63,679526
29-Jan-13,3.80,3.83,3.69,3.80,790751
28-Jan-13,3.84,3.85,3.60,3.79,774123
25-Jan-13,3.70,3.85,3.68,3.81,863593
24-Jan-13,3.87,3.87,3.52,3.70,1478039
23-Jan-13,3.72,4.00,3.65,3.80,3443069
22-Jan-13,3.48,3.58,3.34,3.58,3014827
18-Jan-13,3.80,3.93,3.30,3.30,10585287
17-Jan-13,3.04,3.35,2.91,3.31,2697681
16-Jan-13,2.90,2.96,2.76,2.88,1334821
15-Jan-13,2.97,2.99,2.73,2.85,1119406
14-Jan-13,3.00,3.02,2.86,2.90,663448
11-Jan-13,3.06,3.06,2.89,2.93,645072
10-Jan-13,3.06,3.09,2.95,3.06,555083
9-Jan-13,3.23,3.26,3.00,3.04,846644
