Date, Open, High, Low, Close, Volume
17-May-13,6.40,6.52,6.40,6.49,358683
16-May-13,6.38,6.45,6.34,6.34,147437
15-May-13,6.31,6.55,6.31,6.43,371248
14-May-13,6.28,6.41,6.24,6.36,275091
13-May-13,6.25,6.31,6.22,6.25,362628
10-May-13,6.31,6.35,6.23,6.29,561548
9-May-13,6.18,6.37,6.11,6.25,357428
8-May-13,6.25,6.29,6.16,6.20,144103
7-May-13,6.25,6.25,6.19,6.25,477999
6-May-13,6.17,6.25,6.10,6.25,463592
3-May-13,6.32,6.34,6.11,6.13,428595
2-May-13,6.23,6.30,6.16,6.30,357194
1-May-13,6.18,6.27,6.12,6.15,449153
30-Apr-13,6.26,6.30,6.22,6.24,325178
29-Apr-13,6.34,6.38,6.25,6.26,748868
26-Apr-13,6.30,6.39,6.25,6.30,544287
25-Apr-13,6.26,6.35,6.20,6.29,1265118
24-Apr-13,6.32,6.41,6.08,6.32,3026205
23-Apr-13,5.81,5.99,5.76,5.83,648255
22-Apr-13,5.70,5.79,5.54,5.62,177406
19-Apr-13,5.44,5.68,5.40,5.56,77705
18-Apr-13,5.52,5.62,5.35,5.48,108404
17-Apr-13,5.58,5.60,5.34,5.52,185413
16-Apr-13,5.37,5.67,5.30,5.55,201248
15-Apr-13,5.44,5.44,5.34,5.41,131991
12-Apr-13,5.57,5.63,5.33,5.42,145776
11-Apr-13,5.17,6.38,5.15,5.47,2512875
10-Apr-13,5.10,5.10,4.98,5.02,74251
9-Apr-13,5.02,5.14,5.01,5.07,139503
8-Apr-13,4.96,5.06,4.92,5.01,74756
5-Apr-13,4.82,4.95,4.81,4.86,62430
4-Apr-13,4.90,4.95,4.82,4.83,36230
3-Apr-13,4.98,4.98,4.92,4.92,63242
2-Apr-13,5.04,5.09,4.97,4.99,52407
1-Apr-13,4.90,5.05,4.82,4.97,40551
28-Mar-13,4.95,5.08,4.80,5.06,36299
27-Mar-13,5.08,5.12,5.01,5.08,35701
26-Mar-13,5.05,5.14,5.05,5.11,48350
25-Mar-13,5.08,5.12,5.08,5.11,25713
22-Mar-13,5.12,5.12,5.06,5.10,19395
21-Mar-13,5.05,5.12,5.04,5.12,57611
20-Mar-13,5.19,5.23,5.08,5.09,37079
19-Mar-13,5.10,5.32,5.08,5.21,99441
18-Mar-13,5.00,5.10,4.98,5.09,45009
15-Mar-13,5.05,5.07,4.97,5.00,44821
14-Mar-13,5.10,5.11,4.98,5.02,40239
13-Mar-13,5.10,5.16,4.98,5.11,59835
12-Mar-13,5.08,5.13,5.01,5.09,27034
11-Mar-13,5.19,5.19,5.04,5.11,63985
8-Mar-13,5.15,5.22,5.13,5.19,123436
7-Mar-13,4.86,5.20,4.86,5.18,225709
6-Mar-13,5.17,5.18,5.07,5.07,63238
5-Mar-13,5.13,5.19,4.99,5.16,144193
4-Mar-13,5.04,5.08,4.95,5.00,89872
1-Mar-13,5.01,5.15,4.97,5.11,71372
28-Feb-13,4.90,5.05,4.88,5.05,67569
27-Feb-13,4.90,4.90,4.84,4.88,20660
26-Feb-13,4.98,4.98,4.69,4.88,146560
25-Feb-13,5.01,5.03,4.93,4.95,80143
22-Feb-13,4.98,5.01,4.95,4.99,32735
21-Feb-13,5.06,5.06,4.98,4.99,55375
20-Feb-13,5.05,5.08,5.00,5.05,65059
19-Feb-13,5.06,5.06,5.00,5.05,61983
15-Feb-13,5.03,5.06,4.98,5.00,47166
14-Feb-13,5.10,5.11,5.01,5.04,75683
13-Feb-13,5.21,5.21,5.06,5.15,252893
12-Feb-13,5.00,5.04,4.92,4.99,213144
11-Feb-13,4.96,5.00,4.93,4.95,90172
8-Feb-13,4.92,4.96,4.88,4.91,175905
7-Feb-13,4.98,4.98,4.91,4.94,65919
6-Feb-13,4.88,5.06,4.88,4.96,79145
5-Feb-13,4.91,4.91,4.86,4.88,50942
4-Feb-13,4.75,4.85,4.75,4.83,126734
1-Feb-13,4.75,4.75,4.68,4.74,32311
31-Jan-13,4.67,4.74,4.67,4.70,36771
30-Jan-13,4.66,4.71,4.60,4.65,79185
29-Jan-13,4.70,4.70,4.63,4.63,34369
28-Jan-13,4.66,4.77,4.66,4.71,50986
25-Jan-13,4.65,4.70,4.63,4.66,71533
24-Jan-13,4.77,4.77,4.68,4.68,78480
23-Jan-13,4.75,4.77,4.71,4.73,37787
22-Jan-13,4.74,4.80,4.70,4.70,70606
18-Jan-13,4.82,4.83,4.77,4.78,58613
17-Jan-13,4.69,4.84,4.69,4.79,105765
16-Jan-13,4.61,4.70,4.61,4.67,119823
15-Jan-13,4.56,4.64,4.54,4.61,81503
14-Jan-13,4.59,4.70,4.55,4.60,291067
11-Jan-13,4.65,4.69,4.61,4.66,76510
10-Jan-13,4.70,4.70,4.62,4.63,118482
9-Jan-13,4.75,4.76,4.68,4.72,65706
8-Jan-13,4.73,4.77,4.68,4.77,94507
7-Jan-13,4.65,4.84,4.64,4.70,256733
4-Jan-13,5.02,5.02,4.82,4.86,115088
3-Jan-13,5.00,5.10,4.95,5.00,110730
2-Jan-13,5.05,5.17,5.02,5.13,231914
31-Dec-12,5.00,5.00,4.91,4.95,48690
28-Dec-12,4.96,5.04,4.94,5.01,62259
27-Dec-12,4.90,4.96,4.90,4.93,79548
26-Dec-12,4.90,4.99,4.89,4.92,16820
24-Dec-12,4.90,4.92,4.88,4.89,11755
21-Dec-12,4.96,4.99,4.90,4.90,60531
20-Dec-12,5.00,5.03,4.95,4.98,32152
19-Dec-12,4.91,5.02,4.91,5.00,34968
18-Dec-12,4.88,4.94,4.85,4.93,63056
17-Dec-12,4.93,4.94,4.87,4.90,16337
14-Dec-12,4.90,4.96,4.89,4.95,16956
13-Dec-12,5.02,5.02,4.89,4.92,90170
12-Dec-12,5.01,5.04,4.86,5.04,69370
11-Dec-12,4.96,5.07,4.90,4.92,58984
10-Dec-12,4.91,4.99,4.89,4.95,48126
7-Dec-12,4.88,4.92,4.85,4.89,37798
6-Dec-12,4.89,4.90,4.84,4.86,26187
5-Dec-12,4.81,4.92,4.77,4.85,29467
4-Dec-12,4.82,4.87,4.80,4.81,51319
3-Dec-12,4.78,4.85,4.75,4.83,88436
30-Nov-12,4.66,4.95,4.66,4.72,179050
29-Nov-12,4.53,4.65,4.43,4.62,118574
28-Nov-12,4.46,4.49,4.44,4.47,81836
27-Nov-12,4.43,4.48,4.25,4.43,222042
26-Nov-12,4.62,4.66,4.38,4.41,390602
23-Nov-12,4.55,4.55,4.43,4.52,49065
21-Nov-12,4.40,4.48,4.38,4.48,38258
20-Nov-12,4.41,4.43,4.31,4.42,59762
19-Nov-12,4.50,4.54,4.38,4.40,151323
16-Nov-12,4.46,4.48,4.44,4.44,30284
15-Nov-12,4.56,4.57,4.43,4.48,28284
14-Nov-12,4.51,4.53,4.33,4.45,107438
13-Nov-12,4.59,4.65,4.50,4.52,115409
12-Nov-12,4.75,4.77,4.50,4.64,211344
9-Nov-12,4.76,4.89,4.75,4.75,120137
8-Nov-12,4.93,4.93,4.85,4.89,13055
7-Nov-12,5.00,5.00,4.85,4.95,63042
6-Nov-12,5.03,5.03,4.98,5.03,39544
5-Nov-12,4.99,5.01,4.96,4.98,37550
2-Nov-12,4.97,5.01,4.97,4.98,22667
1-Nov-12,5.02,5.04,4.98,4.98,28927
31-Oct-12,4.94,5.08,4.94,5.01,18405
26-Oct-12,5.00,5.01,4.96,5.00,21187
25-Oct-12,5.00,5.02,4.98,5.00,32362
24-Oct-12,4.89,4.95,4.87,4.89,32920
23-Oct-12,4.97,4.97,4.85,4.85,64812
22-Oct-12,5.02,5.04,4.90,4.96,37204
19-Oct-12,5.11,5.11,4.93,4.97,49663
18-Oct-12,5.20,5.24,5.06,5.13,45805
17-Oct-12,5.22,5.27,5.15,5.19,52214
16-Oct-12,5.20,5.27,5.10,5.25,134034
15-Oct-12,5.17,5.19,5.08,5.10,175091
12-Oct-12,5.08,5.10,5.02,5.08,25534
11-Oct-12,5.15,5.18,5.07,5.07,41937
10-Oct-12,5.03,5.12,5.01,5.07,43902
9-Oct-12,5.16,5.19,5.00,5.00,57766
8-Oct-12,5.12,5.14,5.08,5.12,18895
5-Oct-12,5.18,5.18,5.08,5.15,26029
