Date, Open, High, Low, Close, Volume
17-May-13,3.95,4.02,3.86,4.00,6817
16-May-13,4.03,4.03,4.00,4.00,3485
15-May-13,4.02,4.05,4.00,4.00,2830
14-May-13,4.05,4.05,4.05,4.05,500
13-May-13,4.09,4.24,4.09,4.24,615
10-May-13,4.14,4.14,4.10,4.10,375
9-May-13,4.07,4.24,4.06,4.20,3862
8-May-13,4.01,4.06,4.01,4.05,600
7-May-13,4.02,4.05,4.01,4.05,1000
6-May-13,4.15,4.20,4.05,4.06,27963
3-May-13,4.08,4.11,4.08,4.11,1500
2-May-13,4.08,4.16,4.08,4.11,13747
1-May-13,4.01,4.13,4.01,4.12,5799
30-Apr-13,4.07,4.09,4.07,4.09,200
29-Apr-13,4.08,4.10,4.02,4.02,1250
26-Apr-13,4.02,4.14,4.02,4.03,1650
25-Apr-13,4.06,4.14,4.02,4.14,2100
24-Apr-13,4.02,4.06,4.02,4.05,2300
23-Apr-13,4.04,4.13,3.99,3.99,8345
22-Apr-13,4.13,4.13,3.98,4.07,3755
19-Apr-13,4.15,4.15,4.15,4.15,100
18-Apr-13,3.87,4.12,3.86,3.90,10550
17-Apr-13,3.96,4.05,3.96,4.02,2000
16-Apr-13,3.96,4.05,3.96,4.00,3152
15-Apr-13,4.09,4.09,3.88,3.90,6330
12-Apr-13,4.13,4.35,4.13,4.14,6818
11-Apr-13,4.19,4.19,4.19,4.19,250
10-Apr-13,4.19,4.20,4.08,4.18,2096
9-Apr-13,4.04,4.11,4.03,4.08,3400
8-Apr-13,4.06,4.09,4.02,4.09,600
5-Apr-13,4.02,4.15,4.01,4.05,5900
4-Apr-13,3.98,4.19,3.98,4.19,2430
3-Apr-13,4.04,4.08,4.00,4.01,4711
2-Apr-13,4.10,4.24,4.05,4.07,4622
1-Apr-13,4.09,4.13,3.85,4.02,7793
28-Mar-13,4.16,4.30,4.16,4.19,806
27-Mar-13,4.28,4.32,4.19,4.19,1578
26-Mar-13,4.25,4.30,4.25,4.28,3200
25-Mar-13,4.20,4.23,4.17,4.18,2959
22-Mar-13,4.27,4.27,4.27,4.27,100
21-Mar-13,4.07,4.20,4.06,4.20,5612
20-Mar-13,4.19,4.23,4.19,4.19,3225
19-Mar-13,4.38,4.38,4.16,4.19,8187
18-Mar-13,4.21,4.38,4.21,4.34,9850
15-Mar-13,4.18,4.35,4.18,4.30,5505
14-Mar-13,4.24,4.25,4.20,4.25,3575
13-Mar-13,4.16,4.24,4.16,4.20,4463
12-Mar-13,4.18,4.20,4.13,4.16,12300
11-Mar-13,4.24,4.25,4.24,4.25,200
8-Mar-13,4.16,4.20,4.02,4.16,5500
7-Mar-13,4.20,4.36,4.16,4.16,17063
6-Mar-13,4.20,4.21,4.20,4.20,6000
5-Mar-13,4.29,4.29,4.16,4.21,5185
4-Mar-13,4.20,4.27,4.15,4.20,9089
1-Mar-13,4.28,4.28,4.20,4.23,2501
28-Feb-13,4.27,4.28,4.21,4.28,1445
27-Feb-13,4.16,4.28,4.16,4.27,2450
26-Feb-13,4.17,4.29,4.16,4.20,6409
25-Feb-13,4.25,4.39,4.20,4.20,12384
22-Feb-13,4.36,4.40,4.26,4.26,7400
21-Feb-13,4.33,4.40,4.30,4.36,4260
20-Feb-13,4.35,4.41,4.32,4.34,33351
