Date, Open, High, Low, Close, Volume
17-May-13,25.50,25.55,25.00,25.46,559407
16-May-13,25.74,26.48,25.25,25.32,927531
15-May-13,24.55,25.49,24.41,25.24,1536117
14-May-13,23.78,24.14,23.71,24.04,635903
13-May-13,24.00,24.21,23.75,23.83,411877
10-May-13,24.35,24.55,24.16,24.22,307254
9-May-13,24.66,24.70,24.20,24.25,455743
8-May-13,24.50,24.50,24.22,24.42,534657
7-May-13,24.00,24.66,23.70,24.49,979297
6-May-13,23.81,23.98,23.57,23.93,375584
3-May-13,23.68,23.85,23.62,23.74,2052067
2-May-13,23.73,23.98,23.52,23.91,633685
1-May-13,24.02,24.02,23.46,23.70,436373
30-Apr-13,23.90,23.94,23.72,23.87,389873
29-Apr-13,23.80,23.86,23.57,23.81,836341
26-Apr-13,23.60,23.67,23.44,23.60,635540
25-Apr-13,23.96,23.96,23.60,23.63,583816
24-Apr-13,23.95,24.02,23.85,23.85,476397
23-Apr-13,24.19,24.25,23.71,23.93,586357
22-Apr-13,24.25,24.25,23.80,24.17,403247
19-Apr-13,24.00,24.12,23.86,24.12,1012026
18-Apr-13,24.10,24.20,23.88,23.99,490077
17-Apr-13,24.30,24.30,23.82,23.98,851250
16-Apr-13,24.00,24.13,23.60,23.90,1084166
15-Apr-13,23.48,23.84,23.38,23.80,1293729
12-Apr-13,23.15,23.47,23.13,23.45,555181
11-Apr-13,23.85,23.89,23.11,23.34,1228788
10-Apr-13,24.17,24.17,23.10,23.57,2275761
9-Apr-13,24.30,24.38,23.76,24.10,1392273
8-Apr-13,24.50,24.80,24.07,24.28,1063453
5-Apr-13,23.87,24.50,23.85,24.48,918071
4-Apr-13,24.06,24.30,23.85,24.19,1232637
3-Apr-13,23.83,24.28,23.40,24.22,1631524
2-Apr-13,24.13,24.61,23.28,23.39,5011319
1-Apr-13,22.39,23.65,22.36,23.20,3245629
28-Mar-13,22.26,22.82,22.15,22.21,24582005
