Date, Open, High, Low, Close, Volume
17-May-13,28.56,28.71,28.46,28.64,533991
16-May-13,28.89,29.14,28.85,28.93,1302108
15-May-13,28.65,28.95,28.63,28.94,975339
14-May-13,28.38,28.72,28.38,28.67,1110914
13-May-13,28.02,28.11,27.92,28.02,684701
10-May-13,27.92,28.00,27.71,27.98,980574
9-May-13,27.20,27.36,26.93,27.03,274850
8-May-13,27.16,27.18,27.02,27.14,434195
7-May-13,26.93,26.96,26.65,26.75,603243
6-May-13,28.06,28.26,27.90,28.26,759918
3-May-13,28.13,28.44,28.10,28.26,579622
2-May-13,27.56,27.86,27.50,27.76,525643
1-May-13,27.59,27.63,27.34,27.36,472034
30-Apr-13,27.42,27.65,27.37,27.60,416864
29-Apr-13,27.80,27.97,27.73,27.79,405620
26-Apr-13,27.57,27.79,27.48,27.69,568319
25-Apr-13,27.75,28.02,27.69,27.72,728665
24-Apr-13,27.40,27.66,27.36,27.57,651492
23-Apr-13,26.92,27.29,26.65,27.14,2233724
22-Apr-13,27.13,27.25,26.59,26.88,1661294
19-Apr-13,28.39,28.62,28.13,28.30,1541510
18-Apr-13,28.82,28.82,28.27,28.44,895863
17-Apr-13,29.01,29.02,28.41,28.49,1110588
16-Apr-13,29.82,29.85,29.63,29.79,1015953
15-Apr-13,29.77,29.80,29.30,29.33,738468
12-Apr-13,29.87,30.04,29.77,29.92,594225
11-Apr-13,30.57,30.93,30.52,30.65,559214
10-Apr-13,29.76,30.30,29.76,30.23,469922
9-Apr-13,29.50,29.71,29.29,29.60,333531
8-Apr-13,29.15,29.32,29.05,29.28,511217
5-Apr-13,29.00,29.44,28.91,29.37,441945
4-Apr-13,29.73,29.99,29.50,29.73,400900
3-Apr-13,29.93,30.03,29.58,29.67,638825
2-Apr-13,29.92,30.11,29.80,29.84,550919
1-Apr-13,29.53,29.60,29.30,29.40,444557
28-Mar-13,29.67,29.77,29.44,29.55,480398
27-Mar-13,29.21,29.52,29.08,29.45,1791042
26-Mar-13,30.15,30.35,29.87,29.96,1013111
25-Mar-13,30.56,30.66,29.98,30.21,572262
22-Mar-13,30.38,30.69,30.31,30.46,544800
21-Mar-13,30.25,30.41,30.11,30.17,506004
20-Mar-13,30.85,30.92,30.59,30.72,2161070
19-Mar-13,30.69,31.00,29.89,30.23,893680
18-Mar-13,29.43,29.91,29.41,29.67,871514
15-Mar-13,30.27,30.28,29.93,30.01,539689
14-Mar-13,29.96,30.11,29.91,30.05,444953
13-Mar-13,29.83,29.85,29.45,29.69,380252
