Date, Open, High, Low, Close, Volume
17-May-13,26.70,26.93,26.60,26.90,3892
16-May-13,26.70,26.70,26.43,26.60,3257
15-May-13,26.66,26.68,26.66,26.68,1050
14-May-13,26.60,26.73,26.52,26.63,2084
13-May-13,26.69,26.73,26.69,26.71,980
10-May-13,26.36,26.69,26.36,26.68,3165
9-May-13,26.39,26.64,26.39,26.49,3051
8-May-13,26.40,26.66,26.37,26.66,4963
7-May-13,26.28,26.44,26.25,26.44,4933
6-May-13,26.51,26.78,26.27,26.27,6529
3-May-13,26.35,26.39,26.30,26.39,700
2-May-13,26.25,26.30,26.25,26.30,1551
1-May-13,26.40,26.40,26.24,26.24,1145
30-Apr-13,26.30,26.57,26.30,26.57,1961
29-Apr-13,26.30,26.38,26.30,26.30,1513
26-Apr-13,26.29,26.29,26.25,26.26,2250
25-Apr-13,-,-,-,26.27,0
24-Apr-13,26.27,26.53,26.27,26.27,1371
23-Apr-13,26.64,26.65,26.25,26.29,3544
22-Apr-13,26.47,26.60,26.21,26.60,3523
19-Apr-13,-,-,-,26.49,0
18-Apr-13,26.11,26.49,26.01,26.49,4172
17-Apr-13,26.32,26.43,26.13,26.20,3290
16-Apr-13,26.25,26.25,26.25,26.25,200
15-Apr-13,26.34,26.35,26.21,26.23,3823
12-Apr-13,26.27,26.27,26.14,26.20,2563
11-Apr-13,26.25,26.27,26.22,26.27,1044
10-Apr-13,26.25,26.42,26.25,26.42,743
9-Apr-13,26.46,26.47,26.20,26.20,3970
8-Apr-13,26.21,26.25,26.21,26.25,2761
5-Apr-13,26.25,26.25,26.25,26.25,1607
4-Apr-13,26.23,26.39,26.23,26.39,5998
3-Apr-13,26.00,26.15,26.00,26.15,503
2-Apr-13,26.20,26.25,26.14,26.14,1300
1-Apr-13,26.25,26.25,26.01,26.21,549
28-Mar-13,-,-,-,26.23,0
27-Mar-13,26.22,26.23,26.00,26.23,1888
26-Mar-13,26.17,26.37,25.91,26.22,5510
25-Mar-13,26.07,26.33,26.05,26.18,1031
22-Mar-13,26.20,26.20,26.20,26.20,100
21-Mar-13,25.95,26.16,25.86,26.00,14800
20-Mar-13,25.91,26.35,25.91,26.01,2417
19-Mar-13,25.91,26.12,25.91,26.09,4518
18-Mar-13,25.92,26.11,25.92,25.96,4919
15-Mar-13,25.95,26.02,25.95,26.02,451
14-Mar-13,26.00,26.00,25.90,25.90,2540
13-Mar-13,26.15,26.15,25.88,25.88,4026
12-Mar-13,25.86,25.94,25.86,25.90,6146
11-Mar-13,25.82,26.10,25.78,25.95,6864
8-Mar-13,25.84,26.00,25.77,25.94,7847
7-Mar-13,25.96,25.97,25.82,25.88,5194
6-Mar-13,25.76,25.94,25.76,25.94,1427
5-Mar-13,25.80,25.89,25.76,25.81,1978
4-Mar-13,25.82,25.92,25.72,25.72,1935
1-Mar-13,25.79,25.95,25.79,25.95,1100
28-Feb-13,25.78,25.99,25.70,25.95,3925
27-Feb-13,25.76,25.94,25.76,25.94,1426
26-Feb-13,25.74,26.00,25.74,25.85,9284
25-Feb-13,25.69,25.72,25.69,25.70,1350
22-Feb-13,25.67,25.89,25.65,25.65,2287
21-Feb-13,25.79,25.97,25.60,25.63,5105
20-Feb-13,25.75,25.88,25.54,25.83,2248
19-Feb-13,25.86,25.94,25.75,25.75,7915
15-Feb-13,25.98,26.14,25.92,26.00,6390
14-Feb-13,26.53,26.53,25.87,25.92,19371
13-Feb-13,26.48,26.50,26.34,26.44,2136
12-Feb-13,26.72,26.75,26.34,26.34,13589
11-Feb-13,26.53,26.75,26.53,26.65,7248
8-Feb-13,26.73,26.73,26.42,26.62,7092
7-Feb-13,26.59,26.76,26.59,26.76,1739
6-Feb-13,26.58,26.65,26.52,26.65,1780
5-Feb-13,26.59,26.73,26.37,26.48,7801
4-Feb-13,26.79,26.79,26.64,26.64,2867
1-Feb-13,26.63,26.81,26.47,26.62,2610
31-Jan-13,26.93,26.94,26.40,26.40,1100
30-Jan-13,26.38,26.70,26.31,26.42,6077
29-Jan-13,26.58,26.70,26.38,26.57,6085
28-Jan-13,26.52,26.69,26.33,26.69,5560
25-Jan-13,26.67,26.72,26.67,26.72,1800
24-Jan-13,27.04,27.05,26.63,26.63,3260
23-Jan-13,26.72,27.06,26.57,26.62,1900
22-Jan-13,26.49,26.72,26.49,26.72,2000
18-Jan-13,26.49,26.52,26.44,26.47,1627
17-Jan-13,26.43,26.74,26.29,26.70,3396
16-Jan-13,26.43,26.43,26.27,26.43,793
15-Jan-13,26.40,26.44,26.23,26.42,2284
14-Jan-13,26.20,26.44,26.17,26.24,6204
11-Jan-13,26.14,26.35,26.10,26.10,10350
10-Jan-13,26.18,26.34,26.18,26.24,13942
9-Jan-13,26.17,26.47,26.17,26.26,13119
8-Jan-13,26.53,26.66,26.20,26.20,6435
7-Jan-13,26.62,26.73,26.15,26.15,4115
4-Jan-13,26.71,26.74,26.71,26.74,1000
3-Jan-13,26.50,26.50,26.43,26.50,2060
2-Jan-13,26.44,26.77,26.35,26.42,10117
31-Dec-12,26.47,26.49,26.12,26.48,2258
28-Dec-12,25.90,26.46,25.86,26.42,7410
27-Dec-12,25.95,26.37,25.84,25.86,4420
26-Dec-12,26.37,26.37,26.12,26.20,3881
24-Dec-12,26.35,26.48,26.35,26.48,3071
21-Dec-12,26.49,26.89,26.35,26.35,1740
20-Dec-12,26.36,26.48,26.35,26.42,4130
19-Dec-12,26.39,26.47,26.36,26.36,2420
18-Dec-12,26.42,26.85,26.36,26.40,2510
17-Dec-12,26.44,26.53,26.31,26.53,3100
14-Dec-12,26.40,26.40,26.35,26.35,1300
13-Dec-12,26.41,26.57,26.35,26.35,3029
12-Dec-12,26.42,26.54,26.42,26.50,1377
11-Dec-12,26.43,26.43,26.35,26.35,900
10-Dec-12,26.00,26.25,26.00,26.25,1400
7-Dec-12,26.89,26.96,25.86,25.91,5893
6-Dec-12,26.87,27.00,26.85,27.00,2385
5-Dec-12,27.19,27.19,26.91,26.94,3355
4-Dec-12,27.12,27.12,26.82,26.85,647
3-Dec-12,26.80,27.30,26.80,26.90,4026
30-Nov-12,26.77,26.98,26.75,26.98,1000
29-Nov-12,26.69,27.02,26.51,26.99,2000
28-Nov-12,27.39,27.43,27.19,27.43,2020
