Date, Open, High, Low, Close, Volume
17-May-13,32.02,32.14,31.63,31.64,70872
16-May-13,31.93,32.13,31.86,31.87,60482
15-May-13,32.59,32.70,32.10,32.22,76913
14-May-13,32.68,32.68,32.42,32.47,51311
13-May-13,32.80,32.84,32.52,32.68,48053
10-May-13,32.70,32.71,32.44,32.71,39330
9-May-13,32.67,32.67,32.58,32.65,30132
8-May-13,32.84,32.87,32.75,32.81,51198
7-May-13,32.40,32.90,32.37,32.83,82290
6-May-13,32.13,32.40,32.13,32.32,44532
3-May-13,32.39,32.45,32.20,32.21,72456
2-May-13,32.30,32.49,32.26,32.36,42950
1-May-13,32.65,32.72,32.18,32.37,67103
30-Apr-13,32.26,32.62,32.05,32.48,96963
29-Apr-13,31.63,32.11,31.62,32.11,81708
26-Apr-13,31.46,31.71,31.45,31.71,36938
25-Apr-13,31.15,31.45,31.10,31.44,46537
24-Apr-13,31.15,31.15,30.98,31.10,53372
23-Apr-13,31.10,31.14,30.98,31.05,43882
22-Apr-13,30.98,31.09,30.86,30.97,29566
19-Apr-13,30.93,31.00,30.73,30.84,20525
18-Apr-13,30.82,30.85,30.65,30.76,23500
17-Apr-13,30.82,30.93,30.70,30.89,30977
16-Apr-13,30.87,31.01,30.65,30.95,30823
15-Apr-13,30.92,30.94,30.63,30.72,50415
12-Apr-13,30.81,30.93,30.64,30.92,27261
11-Apr-13,31.07,31.08,30.63,30.64,52830
10-Apr-13,31.10,31.10,30.91,31.00,34168
9-Apr-13,31.04,31.05,30.87,30.97,31570
8-Apr-13,31.09,31.09,30.88,31.05,43091
5-Apr-13,31.00,31.01,30.76,31.01,61024
4-Apr-13,30.69,31.02,30.52,30.72,70415
3-Apr-13,30.86,30.99,30.51,30.60,41450
2-Apr-13,30.94,31.15,30.67,30.98,35961
1-Apr-13,31.09,31.13,30.62,30.90,41650
28-Mar-13,30.51,31.05,30.51,30.91,72013
27-Mar-13,30.84,30.84,30.56,30.62,36075
26-Mar-13,30.48,30.80,30.48,30.71,64728
25-Mar-13,30.54,30.64,30.30,30.51,40939
22-Mar-13,30.59,30.59,30.15,30.38,49117
21-Mar-13,30.39,30.57,30.36,30.49,42340
20-Mar-13,30.36,30.59,30.23,30.54,43054
19-Mar-13,30.07,30.30,30.07,30.19,42084
18-Mar-13,29.93,30.19,29.72,30.06,68538
15-Mar-13,30.36,30.50,29.47,29.93,300301
14-Mar-13,31.05,31.09,30.33,30.36,93417
13-Mar-13,31.39,31.39,30.59,30.81,80417
12-Mar-13,31.54,31.54,31.07,31.14,67002
11-Mar-13,31.55,31.55,31.34,31.52,35276
8-Mar-13,31.58,31.58,31.27,31.40,50042
7-Mar-13,31.41,31.61,31.35,31.50,45566
6-Mar-13,31.42,31.67,31.36,31.52,62726
5-Mar-13,31.60,31.76,31.40,31.50,65620
4-Mar-13,31.60,31.70,31.54,31.54,67315
1-Mar-13,31.57,31.57,31.32,31.57,50952
28-Feb-13,31.35,31.54,31.27,31.45,27162
27-Feb-13,31.26,31.63,31.20,31.27,72823
26-Feb-13,31.47,31.56,31.09,31.31,56248
25-Feb-13,31.22,31.28,31.07,31.27,39610
22-Feb-13,31.16,31.16,30.88,31.07,58230
21-Feb-13,30.99,31.00,30.72,30.91,38776
20-Feb-13,31.03,31.03,30.57,30.84,50645
19-Feb-13,31.04,31.04,30.65,30.84,54085
15-Feb-13,30.69,30.95,30.65,30.83,60482
14-Feb-13,30.75,31.09,30.55,30.96,78478
13-Feb-13,30.32,30.69,30.32,30.69,31007
12-Feb-13,30.45,30.45,30.24,30.40,22396
11-Feb-13,30.33,30.50,30.31,30.50,51279
8-Feb-13,30.35,30.50,30.33,30.48,34551
7-Feb-13,30.35,30.40,30.14,30.37,57352
6-Feb-13,30.40,30.44,30.22,30.43,76408
5-Feb-13,30.15,30.39,30.03,30.39,69856
4-Feb-13,29.97,30.23,29.96,30.14,95078
1-Feb-13,29.98,30.00,29.92,29.98,34419
31-Jan-13,29.86,30.00,29.86,30.00,26180
30-Jan-13,29.88,29.99,29.76,29.96,59429
29-Jan-13,29.92,29.99,29.85,29.89,37140
28-Jan-13,29.86,29.98,29.77,29.88,73758
25-Jan-13,30.02,30.09,29.93,30.00,47011
24-Jan-13,30.11,30.20,30.08,30.14,62002
23-Jan-13,30.31,30.31,30.15,30.20,46099
22-Jan-13,30.33,30.40,30.16,30.29,75732
18-Jan-13,30.48,30.63,30.34,30.48,78294
17-Jan-13,30.38,30.48,30.14,30.39,51342
16-Jan-13,29.97,30.29,29.97,30.29,58405
15-Jan-13,30.05,30.19,29.96,30.11,53407
14-Jan-13,29.86,30.22,29.86,30.10,47550
11-Jan-13,29.98,30.17,29.83,29.90,33915
10-Jan-13,30.00,30.24,29.84,30.08,55970
9-Jan-13,29.92,30.24,29.75,30.18,49313
8-Jan-13,29.54,30.07,29.52,30.07,38126
7-Jan-13,29.64,29.81,29.54,29.66,46636
4-Jan-13,29.46,29.68,29.42,29.51,62546
3-Jan-13,30.01,30.18,29.48,29.59,127468
2-Jan-13,29.63,30.24,29.50,30.24,88977
31-Dec-12,29.15,29.56,29.10,29.12,46422
28-Dec-12,29.36,29.38,29.11,29.26,43849
27-Dec-12,29.04,29.47,28.79,29.40,50209
26-Dec-12,28.90,29.14,28.77,29.04,69360
24-Dec-12,29.13,29.36,29.13,29.25,38808
21-Dec-12,28.76,29.16,28.76,29.13,50914
20-Dec-12,29.27,29.38,29.16,29.24,56139
19-Dec-12,29.23,29.38,29.16,29.31,59436
18-Dec-12,29.00,29.19,28.93,28.95,77637
17-Dec-12,29.04,29.14,28.95,29.00,57016
14-Dec-12,29.05,29.13,28.92,29.08,34411
13-Dec-12,28.82,29.14,28.76,29.14,43258
