Date, Open, High, Low, Close, Volume
17-May-13,72.35,72.60,72.13,72.42,269773
16-May-13,71.90,72.94,71.90,72.16,211628
15-May-13,72.36,72.36,71.54,72.02,286260
14-May-13,72.45,73.07,72.45,72.83,173916
13-May-13,72.71,72.71,72.12,72.46,238008
10-May-13,72.33,72.83,71.87,72.80,187068
9-May-13,74.61,74.73,73.74,73.89,184741
8-May-13,73.90,75.03,73.90,74.82,352503
7-May-13,72.89,73.90,72.74,73.77,165488
6-May-13,72.60,72.77,72.26,72.64,131562
3-May-13,71.64,72.87,71.50,72.54,168629
2-May-13,71.11,71.22,70.78,71.19,176633
1-May-13,71.79,72.67,70.95,71.11,179676
30-Apr-13,71.18,72.04,70.60,71.99,186602
29-Apr-13,70.58,71.33,70.43,71.26,145057
26-Apr-13,71.26,71.28,70.14,70.75,235754
25-Apr-13,71.84,73.70,71.54,72.25,344271
24-Apr-13,71.12,71.76,71.12,71.70,265935
23-Apr-13,71.30,71.61,70.61,71.00,240289
22-Apr-13,71.04,71.44,70.80,71.25,273965
19-Apr-13,70.86,70.98,70.17,70.62,251405
18-Apr-13,70.29,70.51,69.78,69.90,213321
17-Apr-13,70.94,70.94,69.76,69.98,238748
16-Apr-13,71.74,72.18,71.27,71.86,324091
15-Apr-13,71.57,71.90,69.61,69.62,583379
12-Apr-13,70.58,70.58,69.64,69.94,199375
11-Apr-13,71.44,71.44,70.71,70.88,239697
10-Apr-13,70.66,71.37,70.64,71.15,272862
9-Apr-13,69.00,70.05,68.82,69.51,327227
8-Apr-13,68.94,68.94,68.26,68.86,261510
5-Apr-13,68.58,68.88,68.00,68.82,464879
4-Apr-13,71.21,71.41,70.55,71.22,270589
3-Apr-13,72.31,72.48,71.29,71.53,249583
2-Apr-13,71.98,72.39,71.36,71.53,584273
1-Apr-13,73.02,73.26,72.93,73.00,249857
28-Mar-13,73.80,73.80,73.34,73.71,197540
27-Mar-13,73.09,73.84,73.01,73.80,285626
26-Mar-13,73.29,73.61,73.20,73.52,315893
25-Mar-13,72.50,73.06,72.50,72.98,364154
22-Mar-13,72.62,72.62,72.07,72.41,251410
21-Mar-13,72.48,72.97,72.42,72.62,554202
20-Mar-13,73.42,73.44,72.73,72.97,295177
19-Mar-13,73.43,73.43,72.46,72.89,444380
18-Mar-13,73.96,73.96,72.50,73.43,378792
15-Mar-13,74.07,74.59,73.78,74.14,616751
14-Mar-13,75.43,75.91,75.19,75.91,197005
13-Mar-13,76.21,76.86,75.58,75.67,259117
12-Mar-13,77.26,77.86,76.88,76.98,276942
11-Mar-13,78.05,78.09,77.57,77.86,135120
8-Mar-13,78.59,78.80,78.21,78.49,246920
7-Mar-13,78.35,79.04,78.26,78.80,280936
6-Mar-13,78.91,79.25,78.75,79.05,399241
5-Mar-13,78.44,79.36,78.24,79.04,463570
4-Mar-13,78.71,78.75,77.15,78.23,350845
1-Mar-13,80.68,81.18,80.13,80.36,235883
28-Feb-13,81.21,81.51,80.65,80.69,102555
27-Feb-13,80.85,81.70,80.80,81.62,264538
26-Feb-13,81.14,81.38,80.61,81.06,234584
25-Feb-13,82.60,82.69,80.51,80.54,207898
22-Feb-13,82.95,83.39,82.14,82.83,282169
21-Feb-13,83.41,83.46,82.04,82.49,346245
20-Feb-13,85.74,85.77,83.66,83.79,628812
19-Feb-13,84.52,84.52,83.34,83.44,380635
15-Feb-13,84.11,84.17,83.25,83.61,129794
14-Feb-13,83.22,83.53,82.67,83.31,172972
13-Feb-13,82.67,82.82,82.20,82.45,177671
12-Feb-13,81.59,82.15,81.12,81.96,87903
11-Feb-13,81.50,81.91,81.13,81.72,151976
8-Feb-13,81.69,81.88,81.49,81.64,155335
7-Feb-13,81.29,81.48,80.70,80.98,138259
6-Feb-13,80.88,81.45,80.79,81.30,149073
5-Feb-13,81.48,81.89,81.22,81.61,145651
4-Feb-13,82.31,82.43,81.34,81.37,122698
1-Feb-13,82.57,82.85,82.24,82.71,179011
31-Jan-13,81.55,81.94,81.32,81.46,227817
30-Jan-13,82.00,82.22,80.82,81.19,310235
29-Jan-13,82.07,83.22,82.07,82.49,168832
28-Jan-13,83.70,84.06,82.04,82.08,250781
25-Jan-13,84.88,85.00,84.09,84.76,124117
24-Jan-13,85.40,85.88,84.50,84.84,274936
23-Jan-13,84.60,84.69,84.24,84.47,255237
22-Jan-13,85.21,85.28,84.57,85.26,330576
18-Jan-13,84.50,84.72,84.11,84.50,185761
17-Jan-13,84.76,85.15,84.45,84.98,189206
16-Jan-13,84.29,84.61,83.68,84.56,206320
15-Jan-13,84.72,84.94,84.33,84.94,197856
14-Jan-13,85.29,85.48,84.98,85.11,117271
11-Jan-13,85.20,85.20,84.77,85.10,145732
10-Jan-13,85.45,85.61,85.12,85.53,281062
9-Jan-13,85.23,85.53,85.11,85.39,353138
8-Jan-13,85.66,85.73,85.18,85.57,284620
7-Jan-13,86.49,86.80,86.34,86.55,121016
4-Jan-13,86.00,86.78,85.66,86.69,174653
3-Jan-13,86.58,87.04,86.31,86.43,365748
2-Jan-13,85.02,85.58,84.79,85.26,319959
31-Dec-12,81.00,82.20,80.90,82.15,108479
28-Dec-12,81.31,81.56,80.79,81.11,131069
27-Dec-12,81.48,81.77,80.57,80.91,234224
26-Dec-12,81.23,81.42,80.88,80.91,188549
24-Dec-12,81.35,81.41,81.00,81.23,88044
21-Dec-12,81.25,81.60,80.90,81.34,234209
20-Dec-12,82.49,82.57,81.94,82.13,377514
19-Dec-12,82.82,83.35,82.81,82.97,282290
18-Dec-12,82.57,82.82,82.07,82.79,158841
17-Dec-12,81.75,82.47,81.75,82.44,271872
14-Dec-12,81.43,81.49,80.67,81.37,216813
13-Dec-12,80.00,80.50,80.00,80.11,210490
12-Dec-12,80.05,80.58,79.94,80.00,154087
11-Dec-12,79.41,79.82,79.35,79.75,287765
10-Dec-12,77.74,78.47,77.63,78.35,262130
7-Dec-12,78.22,78.27,77.18,77.60,224537
6-Dec-12,76.31,76.57,76.06,76.32,264695
5-Dec-12,74.24,74.72,74.16,74.35,172275
4-Dec-12,73.43,74.09,73.39,73.81,191747
3-Dec-12,74.83,74.90,73.82,73.85,177539
30-Nov-12,74.67,74.97,74.28,74.39,280570
29-Nov-12,73.76,74.34,73.45,74.23,185922
28-Nov-12,71.94,72.87,71.54,72.87,169462
27-Nov-12,73.10,73.60,72.86,72.90,193401
26-Nov-12,73.16,73.42,72.74,73.42,151213
23-Nov-12,71.77,72.59,71.68,72.53,135932
21-Nov-12,71.45,72.04,71.32,71.85,296866
20-Nov-12,73.16,73.36,72.77,73.27,90903
19-Nov-12,73.31,73.94,72.97,73.87,160896
16-Nov-12,72.67,72.69,71.84,72.39,327660
15-Nov-12,73.02,73.32,72.50,72.85,192761
14-Nov-12,74.89,74.93,73.63,73.76,235868
13-Nov-12,74.69,74.87,74.31,74.43,129204
12-Nov-12,74.69,74.73,74.43,74.65,143432
9-Nov-12,75.00,75.64,74.75,75.09,146225
8-Nov-12,75.69,76.27,75.00,75.21,127273
7-Nov-12,77.31,77.31,75.94,76.30,171691
6-Nov-12,77.30,78.05,77.28,77.51,145052
5-Nov-12,76.76,77.04,76.54,76.87,164005
