Date, Open, High, Low, Close, Volume
17-May-13,38.95,38.95,38.49,38.85,494821
16-May-13,39.22,39.30,38.49,38.66,316075
15-May-13,39.11,39.32,38.92,39.23,521332
14-May-13,38.74,39.11,38.71,39.10,559547
13-May-13,38.42,38.70,38.25,38.65,431323
10-May-13,38.66,38.70,38.26,38.45,452205
9-May-13,39.15,39.18,38.48,38.76,417477
8-May-13,38.30,39.08,38.30,39.03,516064
7-May-13,38.50,38.80,38.00,38.50,842906
6-May-13,38.99,38.99,38.42,38.88,541802
3-May-13,38.58,38.84,38.47,38.60,419428
2-May-13,37.46,38.03,37.30,38.01,441821
1-May-13,38.03,38.21,37.20,37.21,327408
30-Apr-13,37.98,38.25,37.80,38.06,611419
29-Apr-13,37.63,38.00,37.44,37.98,356147
26-Apr-13,37.43,37.88,37.23,37.44,251563
25-Apr-13,38.12,38.19,37.54,37.63,518729
24-Apr-13,37.36,38.27,37.36,38.01,262001
23-Apr-13,36.90,37.68,36.90,37.68,433449
22-Apr-13,37.01,37.75,36.48,36.77,498833
19-Apr-13,35.90,37.33,35.90,37.14,404381
18-Apr-13,36.89,37.12,36.31,36.58,692216
17-Apr-13,37.01,37.12,36.39,36.81,635020
16-Apr-13,36.67,37.58,36.00,37.51,631848
15-Apr-13,37.34,37.56,36.28,36.28,1106951
12-Apr-13,37.44,37.65,37.01,37.34,1021175
11-Apr-13,36.33,37.29,36.02,36.86,1145421
10-Apr-13,34.99,35.72,34.85,35.59,409484
9-Apr-13,33.30,35.10,33.30,34.79,786930
8-Apr-13,34.79,35.05,34.41,35.00,248983
5-Apr-13,34.85,34.94,34.29,34.67,444119
4-Apr-13,35.41,35.62,34.52,35.29,554693
3-Apr-13,35.82,35.85,35.13,35.23,395380
2-Apr-13,35.75,36.03,35.58,35.71,235967
1-Apr-13,35.80,35.98,35.37,35.52,215747
28-Mar-13,36.50,36.50,35.50,35.80,322123
27-Mar-13,35.71,35.98,35.51,35.78,466612
26-Mar-13,35.01,36.04,35.01,35.86,583901
25-Mar-13,35.07,35.13,34.57,34.76,246734
22-Mar-13,34.88,34.92,34.57,34.85,175532
21-Mar-13,34.74,35.08,34.50,34.71,351763
20-Mar-13,35.07,35.20,34.76,35.00,357961
19-Mar-13,34.98,35.35,34.39,34.73,461363
18-Mar-13,34.31,35.36,34.31,35.03,361528
15-Mar-13,35.10,35.26,34.83,35.14,734362
14-Mar-13,34.92,35.27,34.88,35.04,400671
13-Mar-13,34.78,35.15,34.60,34.76,565901
