Date, Open, High, Low, Close, Volume
17-May-13,14.17,14.25,13.85,14.15,50190
16-May-13,14.10,14.20,13.94,14.08,29167
15-May-13,13.82,14.07,13.70,14.05,28822
14-May-13,13.80,13.92,13.71,13.81,33041
13-May-13,13.90,13.90,13.55,13.75,23752
10-May-13,13.75,14.02,13.72,13.99,28913
9-May-13,13.98,14.13,13.66,13.80,39410
8-May-13,13.65,14.00,13.56,14.00,47736
7-May-13,14.20,14.36,13.92,14.34,77048
6-May-13,14.15,14.15,13.59,13.93,44604
3-May-13,13.82,14.24,13.70,14.13,44712
2-May-13,13.33,13.71,13.25,13.61,41594
1-May-13,13.89,14.00,13.19,13.22,111170
30-Apr-13,13.84,14.00,13.83,13.99,45213
29-Apr-13,13.78,13.86,13.67,13.84,33624
26-Apr-13,13.73,13.85,13.64,13.76,51543
25-Apr-13,13.89,14.00,13.69,13.74,26362
24-Apr-13,13.67,13.96,13.66,13.89,29721
23-Apr-13,13.53,13.70,13.32,13.67,38578
22-Apr-13,13.66,13.68,13.38,13.48,47997
19-Apr-13,13.34,13.72,13.34,13.69,55198
18-Apr-13,13.31,13.46,13.25,13.35,43007
17-Apr-13,13.05,13.32,13.05,13.26,70735
16-Apr-13,12.99,13.26,12.98,13.12,93648
15-Apr-13,13.60,13.72,13.00,13.01,129304
12-Apr-13,13.95,13.99,13.60,13.73,36251
11-Apr-13,13.89,13.99,13.85,13.96,39039
10-Apr-13,13.26,13.96,13.26,13.91,55840
9-Apr-13,13.47,13.59,13.25,13.25,25352
8-Apr-13,13.25,13.50,13.24,13.48,54455
5-Apr-13,13.10,13.44,13.10,13.32,67502
4-Apr-13,13.22,13.40,13.20,13.34,47205
3-Apr-13,13.48,13.61,13.24,13.25,53462
2-Apr-13,13.57,13.70,13.40,13.49,85117
1-Apr-13,13.83,13.92,13.48,13.55,66306
28-Mar-13,14.25,14.25,13.79,13.82,111838
27-Mar-13,14.02,14.20,13.97,14.20,27517
26-Mar-13,14.11,14.17,13.98,14.16,24128
25-Mar-13,14.05,14.15,13.96,14.10,63922
22-Mar-13,13.77,14.00,13.75,13.95,32478
21-Mar-13,13.51,13.80,13.47,13.74,101165
20-Mar-13,13.99,13.99,13.52,13.65,98754
19-Mar-13,13.98,14.09,13.76,13.88,52376
18-Mar-13,14.27,14.38,13.84,13.95,141616
15-Mar-13,14.24,14.46,14.24,14.44,95341
14-Mar-13,14.47,14.57,14.30,14.46,75699
13-Mar-13,14.25,14.46,14.20,14.40,46158
12-Mar-13,14.34,14.52,14.23,14.27,57406
11-Mar-13,14.41,14.45,14.22,14.40,76355
8-Mar-13,14.50,14.50,14.30,14.46,63305
7-Mar-13,14.46,14.50,14.40,14.50,49379
6-Mar-13,14.50,14.57,14.31,14.40,30943
5-Mar-13,14.45,14.59,14.36,14.50,55770
4-Mar-13,14.21,14.33,14.07,14.33,33218
1-Mar-13,14.10,14.28,13.88,14.24,53593
28-Feb-13,14.24,14.30,14.12,14.22,39777
27-Feb-13,14.16,14.39,14.12,14.25,55718
26-Feb-13,14.02,14.25,13.88,14.17,30548
25-Feb-13,14.25,14.25,13.86,13.94,94124
22-Feb-13,14.12,14.25,13.99,14.19,36229
21-Feb-13,14.01,14.23,13.99,14.02,32297
20-Feb-13,14.08,14.20,14.02,14.02,77118
19-Feb-13,14.04,14.31,14.04,14.14,122307
15-Feb-13,13.98,14.08,13.85,14.04,65255
14-Feb-13,13.98,14.06,13.79,13.93,147191
13-Feb-13,14.24,14.43,13.79,14.01,71277
12-Feb-13,14.09,14.29,14.00,14.24,100803
11-Feb-13,13.90,14.09,13.79,14.06,100114
8-Feb-13,13.97,14.08,13.84,13.87,189622
7-Feb-13,13.50,13.98,13.36,13.91,175948
6-Feb-13,12.93,13.47,12.93,13.47,95866
5-Feb-13,13.15,13.30,12.95,12.95,94230
4-Feb-13,13.36,13.48,13.05,13.06,50520
1-Feb-13,13.25,13.57,13.22,13.50,91485
31-Jan-13,13.09,13.37,13.06,13.18,67949
30-Jan-13,13.11,13.28,13.04,13.07,81886
29-Jan-13,13.07,13.08,12.98,13.08,88268
28-Jan-13,13.04,13.15,13.00,13.07,73828
25-Jan-13,12.82,13.04,12.81,13.00,152451
24-Jan-13,12.80,12.93,12.65,12.82,1047424
23-Jan-13,13.06,13.12,12.99,13.04,147172
22-Jan-13,13.09,13.13,13.04,13.07,143828
18-Jan-13,13.03,13.11,12.99,13.06,66941
17-Jan-13,13.16,13.27,13.03,13.08,71699
16-Jan-13,13.21,13.28,13.05,13.16,115254
15-Jan-13,12.90,13.35,12.90,13.28,107915
14-Jan-13,13.13,13.26,12.80,12.88,138564
11-Jan-13,13.35,13.35,13.09,13.12,221682
10-Jan-13,13.00,13.38,12.93,13.32,174786
9-Jan-13,13.21,13.55,12.79,12.95,397262
8-Jan-13,14.07,14.20,14.02,14.14,79654
7-Jan-13,14.32,14.38,14.08,14.12,44969
4-Jan-13,14.55,14.55,14.38,14.41,57892
3-Jan-13,14.78,14.78,14.40,14.46,103937
2-Jan-13,14.69,14.86,14.63,14.78,177840
31-Dec-12,13.92,14.40,13.90,14.39,92131
28-Dec-12,13.83,13.94,13.78,13.87,28308
27-Dec-12,13.85,13.94,13.65,13.86,33308
26-Dec-12,13.96,14.03,13.79,13.81,27384
24-Dec-12,13.96,14.01,13.94,13.96,14152
21-Dec-12,13.80,14.04,13.80,14.02,222204
20-Dec-12,13.75,13.93,13.66,13.89,46444
19-Dec-12,13.53,13.91,13.51,13.77,77703
18-Dec-12,13.61,13.79,13.50,13.75,112472
17-Dec-12,13.62,13.64,13.52,13.62,115734
14-Dec-12,13.77,13.93,13.51,13.56,75301
13-Dec-12,13.93,14.06,13.82,13.84,44831
12-Dec-12,13.87,14.00,13.67,13.95,68263
11-Dec-12,13.72,14.03,13.66,13.87,62404
10-Dec-12,13.76,13.76,13.52,13.66,57146
7-Dec-12,13.76,13.76,13.50,13.69,48601
6-Dec-12,13.83,13.83,13.30,13.67,85031
5-Dec-12,14.07,14.12,13.75,13.85,102639
4-Dec-12,14.07,14.07,13.87,13.96,39528
3-Dec-12,14.50,14.50,13.97,14.06,33477
30-Nov-12,14.35,14.82,14.27,14.38,165262
29-Nov-12,14.32,14.33,14.19,14.33,117836
28-Nov-12,13.93,14.26,13.79,14.26,71849
27-Nov-12,13.97,14.12,13.76,13.98,61223
26-Nov-12,13.46,13.97,13.45,13.94,130711
23-Nov-12,13.10,13.48,13.10,13.47,35601
21-Nov-12,13.10,13.26,12.87,13.07,238645
20-Nov-12,13.25,13.25,12.97,13.02,70116
19-Nov-12,13.10,13.46,13.10,13.24,68790
16-Nov-12,13.00,13.05,12.94,13.00,70428
15-Nov-12,13.15,13.37,12.94,13.05,58204
14-Nov-12,12.99,13.09,12.93,12.97,92652
13-Nov-12,13.25,13.41,12.90,12.93,380287
12-Nov-12,13.48,13.49,13.01,13.21,51292
9-Nov-12,13.38,13.68,13.27,13.40,83517
8-Nov-12,14.14,14.23,13.25,13.43,124924
7-Nov-12,14.50,14.63,14.00,14.12,77338
6-Nov-12,15.05,15.05,14.50,14.59,94268
5-Nov-12,14.75,15.19,14.75,15.07,41832
2-Nov-12,14.93,14.96,14.75,14.80,62557
1-Nov-12,15.20,15.31,14.78,14.92,66508
31-Oct-12,14.97,15.25,14.93,15.19,41278
26-Oct-12,14.73,14.97,14.66,14.93,25005
25-Oct-12,14.81,14.81,14.54,14.69,25570
24-Oct-12,14.89,14.89,14.60,14.67,24739
23-Oct-12,14.79,14.86,14.61,14.80,18261
22-Oct-12,14.86,14.95,14.72,14.85,18939
19-Oct-12,15.17,15.25,14.75,14.88,46592
18-Oct-12,15.66,15.66,15.24,15.29,42545
17-Oct-12,15.33,15.67,15.25,15.65,36647
16-Oct-12,14.97,15.36,14.93,15.33,45841
15-Oct-12,14.90,14.94,14.76,14.91,26901
12-Oct-12,14.87,14.94,14.82,14.83,20078
11-Oct-12,14.81,14.94,14.75,14.91,26081
10-Oct-12,14.65,14.77,14.60,14.69,38987
9-Oct-12,14.82,14.93,14.62,14.62,24941
8-Oct-12,14.90,14.94,14.78,14.83,17386
5-Oct-12,14.90,15.18,14.90,15.00,32033
4-Oct-12,14.87,14.90,14.68,14.90,36424
3-Oct-12,14.95,14.98,14.81,14.85,46432
2-Oct-12,14.87,14.96,14.69,14.96,42417
1-Oct-12,14.83,15.05,14.73,14.80,50610
28-Sep-12,14.85,14.97,14.66,14.79,54277
27-Sep-12,15.16,15.16,14.85,14.89,65364
26-Sep-12,14.95,15.20,14.95,15.13,35634
25-Sep-12,15.56,15.70,14.96,14.99,108595
24-Sep-12,15.45,15.55,15.29,15.51,61670
21-Sep-12,15.44,15.49,15.24,15.43,88456
20-Sep-12,14.95,15.25,14.95,15.23,55387
19-Sep-12,15.04,15.17,14.91,15.06,102515
18-Sep-12,14.92,15.05,14.90,15.05,28330
17-Sep-12,15.08,15.08,14.69,14.91,65051
14-Sep-12,14.96,15.23,14.88,15.09,186068
13-Sep-12,14.97,15.15,14.85,15.03,193967
12-Sep-12,14.78,14.97,14.71,14.97,76089
11-Sep-12,14.65,14.83,14.62,14.76,47903
10-Sep-12,14.54,14.66,14.47,14.64,68963
7-Sep-12,14.55,14.70,14.35,14.60,77927
6-Sep-12,14.03,14.53,14.03,14.52,85408
5-Sep-12,14.10,14.13,13.86,13.93,132675
4-Sep-12,14.01,14.15,13.77,14.03,53902
31-Aug-12,14.06,14.07,13.87,14.02,24838
30-Aug-12,14.16,14.16,13.99,13.99,18554
29-Aug-12,14.21,14.27,14.11,14.18,39330
28-Aug-12,14.11,14.18,14.02,14.17,74544
27-Aug-12,14.17,14.18,14.02,14.04,28650
24-Aug-12,14.05,14.19,14.01,14.12,45982
23-Aug-12,14.19,14.20,14.04,14.10,53305
22-Aug-12,14.20,14.23,14.03,14.15,45666
21-Aug-12,14.20,14.40,14.09,14.16,61961
20-Aug-12,13.95,14.17,13.89,14.13,49072
17-Aug-12,13.83,14.08,13.77,13.99,84951
16-Aug-12,13.28,13.92,13.24,13.86,189320
15-Aug-12,13.36,13.37,12.90,13.27,845787
14-Aug-12,13.65,13.73,13.34,13.37,102551
13-Aug-12,13.87,13.92,13.56,13.60,156125
10-Aug-12,13.98,14.03,13.87,13.88,160391
9-Aug-12,14.00,14.16,13.98,14.00,36440
8-Aug-12,14.22,14.26,13.96,14.00,103167
7-Aug-12,14.10,14.50,14.00,14.23,189785
6-Aug-12,13.81,14.03,13.79,13.91,78945
3-Aug-12,13.13,13.86,13.13,13.85,109738
2-Aug-12,12.77,13.08,12.69,12.99,87389
1-Aug-12,13.42,13.59,12.83,12.83,129048
31-Jul-12,13.58,13.76,13.36,13.37,83563
30-Jul-12,13.74,13.83,13.55,13.57,53750
27-Jul-12,13.70,13.94,13.60,13.77,110487
26-Jul-12,13.79,13.92,13.55,13.61,48040
25-Jul-12,13.43,13.77,13.43,13.64,72986
24-Jul-12,13.59,13.59,13.29,13.34,41587
23-Jul-12,13.51,13.66,13.39,13.55,50411
20-Jul-12,13.84,13.94,13.68,13.68,65941
19-Jul-12,14.02,14.07,13.86,13.92,42151
18-Jul-12,13.98,14.12,13.96,13.96,94408
17-Jul-12,14.04,14.08,13.79,13.95,165074
16-Jul-12,14.03,14.08,13.95,13.95,69071
13-Jul-12,14.00,14.20,13.98,14.01,165846
12-Jul-12,14.02,14.11,13.91,13.97,125565
11-Jul-12,14.21,14.26,14.09,14.14,72003
10-Jul-12,14.29,14.31,14.05,14.23,50713
9-Jul-12,14.16,14.32,14.01,14.20,66014
6-Jul-12,14.08,14.22,13.99,14.13,87396
5-Jul-12,14.55,14.55,14.14,14.23,93273
3-Jul-12,14.17,14.49,14.17,14.48,76557
2-Jul-12,14.25,14.29,13.84,14.17,78606
29-Jun-12,13.97,14.27,13.82,14.25,174623
28-Jun-12,13.34,13.90,13.34,13.72,102396
27-Jun-12,13.04,13.47,13.02,13.45,67868
26-Jun-12,13.09,13.22,12.97,13.03,66793
25-Jun-12,13.06,13.20,13.03,13.08,57834
22-Jun-12,13.13,13.36,13.08,13.17,770544
21-Jun-12,13.20,13.25,12.88,13.11,114949
20-Jun-12,13.15,13.43,13.10,13.20,77780
19-Jun-12,12.84,13.24,12.84,13.09,127387
18-Jun-12,12.79,12.89,12.75,12.80,73184
15-Jun-12,12.67,12.90,12.65,12.87,137702
14-Jun-12,12.80,13.02,12.78,12.82,111238
13-Jun-12,12.93,12.96,12.72,12.84,161524
12-Jun-12,13.25,13.29,12.83,12.92,185974
11-Jun-12,13.36,13.36,13.09,13.17,175490
8-Jun-12,12.80,13.21,12.74,13.21,136064
7-Jun-12,12.88,12.92,12.76,12.82,113139
6-Jun-12,12.84,12.92,12.71,12.76,69479
5-Jun-12,12.66,12.77,12.61,12.75,161876
4-Jun-12,12.76,12.85,12.60,12.69,180341
1-Jun-12,12.62,12.82,12.53,12.70,77691
31-May-12,12.89,12.89,12.66,12.78,180125
30-May-12,12.97,13.01,12.80,12.90,64280
29-May-12,12.99,13.10,12.90,13.07,70482
25-May-12,12.97,12.98,12.80,12.90,48729
24-May-12,12.90,12.99,12.70,12.96,92380
23-May-12,12.74,12.93,12.70,12.85,81528
22-May-12,12.93,13.08,12.80,12.86,108790
21-May-12,12.80,12.95,12.70,12.86,119102
18-May-12,12.60,12.80,12.57,12.71,182867
17-May-12,12.56,12.66,12.52,12.60,129665
16-May-12,12.63,12.81,12.55,12.56,126024
15-May-12,12.72,12.79,12.61,12.62,140200
14-May-12,12.83,12.89,12.73,12.73,249438
11-May-12,13.00,13.08,12.88,12.94,249066
10-May-12,13.22,13.23,13.00,13.04,309820
9-May-12,13.14,13.25,13.05,13.19,364751
8-May-12,13.77,13.77,13.20,13.25,262610
7-May-12,13.76,13.94,13.66,13.90,88044
4-May-12,13.86,14.00,13.68,13.77,140195
3-May-12,13.82,13.97,13.72,13.90,54284
2-May-12,13.77,13.90,13.68,13.85,65506
1-May-12,14.11,14.14,13.77,13.81,98236
30-Apr-12,14.23,14.23,14.06,14.13,94259
27-Apr-12,14.12,14.20,14.00,14.19,82763
26-Apr-12,13.96,14.11,13.87,14.04,77562
25-Apr-12,13.75,14.00,13.70,13.95,161977
24-Apr-12,13.26,13.74,13.21,13.58,124610
23-Apr-12,13.09,13.31,13.09,13.20,157494
20-Apr-12,13.23,13.25,13.00,13.14,129094
19-Apr-12,13.17,13.22,12.81,12.86,125439
18-Apr-12,13.03,13.16,12.94,13.14,137354
17-Apr-12,12.92,13.25,12.92,13.10,119591
16-Apr-12,12.86,12.86,12.70,12.80,272264
13-Apr-12,12.87,12.87,12.68,12.71,116241
12-Apr-12,12.74,13.04,12.74,12.94,94409
11-Apr-12,12.83,12.83,12.70,12.78,122474
10-Apr-12,12.95,12.95,12.70,12.73,132896
9-Apr-12,12.90,13.04,12.84,12.95,74936
5-Apr-12,13.13,13.25,13.07,13.08,87807
4-Apr-12,13.47,13.52,13.20,13.21,94463
3-Apr-12,13.82,13.89,13.50,13.62,164876
2-Apr-12,13.68,13.85,13.67,13.85,83717
30-Mar-12,13.70,13.86,13.44,13.75,94582
29-Mar-12,13.56,13.77,13.48,13.59,38065
28-Mar-12,13.75,13.75,13.44,13.61,107365
27-Mar-12,13.72,13.85,13.62,13.70,60071
26-Mar-12,13.60,13.87,13.60,13.75,71270
23-Mar-12,13.17,13.47,13.10,13.47,95967
22-Mar-12,13.16,13.21,13.08,13.16,129684
21-Mar-12,13.13,13.30,13.06,13.28,162390
20-Mar-12,13.15,13.22,13.00,13.11,167350
19-Mar-12,13.18,13.39,13.17,13.22,186716
16-Mar-12,13.38,13.38,13.12,13.14,169994
15-Mar-12,13.44,13.65,13.35,13.44,255262
14-Mar-12,13.48,13.50,13.32,13.42,314026
13-Mar-12,13.24,13.60,12.98,13.50,192611
12-Mar-12,12.93,13.27,12.37,13.15,401445
9-Mar-12,12.80,13.11,12.70,12.94,99810
8-Mar-12,12.99,13.02,12.70,12.82,60537
7-Mar-12,12.80,12.94,12.70,12.94,109395
6-Mar-12,12.86,12.88,12.70,12.73,110781
5-Mar-12,12.97,13.19,12.83,13.00,138855
2-Mar-12,13.07,13.13,12.78,13.03,344277
1-Mar-12,13.01,13.27,13.01,13.05,132131
29-Feb-12,13.32,13.42,13.00,13.00,110264
28-Feb-12,13.50,13.57,13.32,13.37,94860
27-Feb-12,13.60,13.60,13.23,13.49,78471
24-Feb-12,13.66,13.68,13.49,13.64,54310
23-Feb-12,13.58,13.71,13.51,13.71,81909
22-Feb-12,13.73,13.77,13.58,13.58,91551
21-Feb-12,13.66,13.79,13.66,13.75,77136
17-Feb-12,13.60,13.68,13.51,13.66,88405
16-Feb-12,13.33,13.62,13.33,13.55,57224
15-Feb-12,13.41,13.45,13.25,13.37,95579
14-Feb-12,13.40,13.50,13.28,13.38,66323
13-Feb-12,13.41,13.48,13.34,13.45,50808
10-Feb-12,13.49,13.52,13.24,13.30,82077
9-Feb-12,13.72,13.80,13.46,13.62,73937
8-Feb-12,13.69,13.82,13.53,13.69,45010
7-Feb-12,13.87,13.91,13.71,13.71,51107
6-Feb-12,13.97,14.08,13.87,13.93,89534
3-Feb-12,13.70,14.10,13.65,14.05,110938
2-Feb-12,13.66,13.71,13.51,13.58,99753
1-Feb-12,13.72,13.81,13.52,13.64,101829
31-Jan-12,13.53,13.67,13.43,13.61,176087
30-Jan-12,13.49,13.61,13.32,13.50,94783
27-Jan-12,13.52,13.79,13.51,13.61,72346
26-Jan-12,13.58,13.67,13.37,13.56,194933
25-Jan-12,13.52,13.60,13.47,13.55,111184
24-Jan-12,13.26,13.64,13.19,13.55,110531
23-Jan-12,13.28,13.45,13.24,13.36,140783
20-Jan-12,13.43,13.50,12.97,13.31,179059
19-Jan-12,13.52,13.84,13.37,13.48,576301
18-Jan-12,14.28,14.30,13.85,14.02,133817
17-Jan-12,14.25,14.49,14.16,14.30,110359
13-Jan-12,13.99,14.14,13.90,14.11,69449
12-Jan-12,14.20,14.20,13.94,14.12,640553
11-Jan-12,14.06,14.21,13.91,14.19,134355
10-Jan-12,14.10,14.17,13.95,14.09,307619
9-Jan-12,14.50,14.50,13.76,13.96,195010
6-Jan-12,14.63,14.70,14.40,14.45,86736
5-Jan-12,14.20,14.63,13.90,14.62,305932
4-Jan-12,14.48,14.61,14.25,14.27,93932
3-Jan-12,14.87,14.93,14.47,14.57,156111
30-Dec-11,14.54,14.74,14.45,14.62,71992
29-Dec-11,14.48,14.66,14.38,14.55,65144
28-Dec-11,14.76,14.77,14.37,14.40,51729
27-Dec-11,14.74,14.91,14.71,14.79,45260
23-Dec-11,14.93,14.95,14.76,14.81,39454
22-Dec-11,14.95,14.95,14.84,14.91,55304
21-Dec-11,14.64,14.97,14.44,14.95,35315
20-Dec-11,14.57,14.75,14.46,14.68,73899
19-Dec-11,14.60,14.71,14.31,14.31,41425
16-Dec-11,14.70,14.76,14.41,14.53,119312
15-Dec-11,15.00,15.00,14.57,14.77,105029
14-Dec-11,14.90,15.06,14.59,14.80,177988
13-Dec-11,15.03,15.19,14.85,15.00,140031
12-Dec-11,15.10,15.10,14.75,14.88,92636
9-Dec-11,14.87,15.20,14.61,15.02,177105
8-Dec-11,15.00,15.06,14.75,14.78,127859
7-Dec-11,15.13,15.25,14.94,15.14,149680
6-Dec-11,14.95,15.23,14.79,15.17,133129
5-Dec-11,14.98,14.98,14.80,14.95,106579
2-Dec-11,14.80,14.84,14.64,14.82,210742
1-Dec-11,14.69,14.80,14.56,14.67,644706
30-Nov-11,15.00,15.57,14.86,15.50,193494
29-Nov-11,14.53,14.96,14.53,14.59,72113
28-Nov-11,14.45,14.65,14.36,14.57,139417
25-Nov-11,14.07,14.26,14.07,14.15,47999
23-Nov-11,13.97,14.16,13.83,14.15,189747
22-Nov-11,14.19,14.35,13.94,14.07,173339
21-Nov-11,14.12,14.37,13.91,14.20,86971
18-Nov-11,14.28,14.40,14.07,14.38,84684
17-Nov-11,14.37,14.51,14.14,14.23,71480
16-Nov-11,14.57,14.79,14.31,14.34,76512
15-Nov-11,14.46,14.80,14.27,14.73,65573
14-Nov-11,14.91,14.92,14.40,14.49,89106
11-Nov-11,14.68,15.00,14.57,14.97,51602
10-Nov-11,14.60,14.63,14.28,14.56,117751
9-Nov-11,14.53,14.66,14.37,14.47,138841
8-Nov-11,14.25,15.05,13.96,14.90,124934
7-Nov-11,15.22,15.35,14.82,15.23,43603
4-Nov-11,15.15,15.39,14.89,15.30,45297
3-Nov-11,15.42,15.54,14.95,15.28,59496
2-Nov-11,14.88,15.48,14.86,15.25,154481
1-Nov-11,14.55,14.86,14.49,14.63,325071
31-Oct-11,15.00,15.20,14.67,15.02,265492
28-Oct-11,14.44,14.88,14.23,14.73,58582
27-Oct-11,14.30,14.89,14.26,14.30,240946
26-Oct-11,13.79,14.00,13.38,13.95,123256
25-Oct-11,13.71,13.77,13.51,13.59,111366
24-Oct-11,13.36,14.00,13.36,13.85,154186
21-Oct-11,13.13,13.39,13.06,13.32,181731
20-Oct-11,13.09,13.20,12.84,12.93,144165
19-Oct-11,13.25,13.37,12.98,13.03,114974
18-Oct-11,12.95,13.40,12.81,13.27,164631
17-Oct-11,13.03,13.28,12.84,12.94,353665
14-Oct-11,13.60,13.60,12.96,13.20,112482
13-Oct-11,13.47,13.65,13.21,13.51,40043
12-Oct-11,13.53,13.69,13.20,13.55,117051
11-Oct-11,13.15,13.68,13.12,13.42,100725
10-Oct-11,13.23,13.27,12.86,13.25,92357
7-Oct-11,13.64,13.64,12.85,12.99,105527
6-Oct-11,13.37,13.78,13.35,13.58,64908
5-Oct-11,13.21,13.47,12.97,13.35,48019
4-Oct-11,12.76,13.33,12.60,13.12,201038
3-Oct-11,12.64,13.28,12.50,12.85,142896
30-Sep-11,13.21,13.40,12.75,12.78,64449
29-Sep-11,13.20,13.41,12.89,13.39,77493
28-Sep-11,13.48,13.48,12.87,12.89,53981
27-Sep-11,13.37,13.76,13.15,13.39,73409
26-Sep-11,13.08,13.22,12.81,13.10,119216
