Date, Open, High, Low, Close, Volume
17-May-13,4.58,4.58,4.49,4.57,170487
16-May-13,4.43,4.56,4.42,4.55,185890
15-May-13,4.39,4.46,4.37,4.46,285304
14-May-13,4.45,4.47,4.40,4.42,211527
13-May-13,4.48,4.49,4.40,4.45,90668
10-May-13,4.49,4.50,4.44,4.48,192346
9-May-13,4.44,4.50,4.44,4.47,93099
8-May-13,4.45,4.49,4.41,4.46,150500
7-May-13,4.45,4.49,4.38,4.46,248000
6-May-13,4.55,4.61,4.36,4.43,227748
3-May-13,4.54,4.69,4.52,4.54,301479
2-May-13,4.48,4.54,4.39,4.47,171072
1-May-13,4.64,4.68,4.41,4.46,504816
30-Apr-13,4.74,4.75,4.66,4.67,255862
29-Apr-13,4.75,4.78,4.65,4.72,241104
26-Apr-13,4.68,4.76,4.61,4.74,663622
25-Apr-13,4.75,4.80,4.68,4.71,297081
24-Apr-13,4.72,4.80,4.70,4.75,371248
23-Apr-13,4.67,4.82,4.61,4.75,351815
22-Apr-13,4.41,4.49,4.36,4.40,563008
19-Apr-13,4.38,4.52,4.35,4.46,549709
18-Apr-13,4.42,4.56,4.31,4.36,461331
17-Apr-13,4.53,4.56,4.37,4.41,668269
16-Apr-13,4.60,4.63,4.50,4.56,247983
15-Apr-13,4.62,4.72,4.47,4.55,573647
12-Apr-13,4.74,4.75,4.59,4.69,220770
11-Apr-13,4.67,4.81,4.66,4.76,536103
10-Apr-13,4.63,4.70,4.54,4.69,159578
9-Apr-13,4.50,4.65,4.48,4.62,229901
8-Apr-13,4.51,4.51,4.42,4.48,258123
5-Apr-13,4.43,4.50,4.39,4.48,304770
4-Apr-13,4.37,4.52,4.35,4.51,442192
3-Apr-13,4.47,4.47,4.31,4.37,815287
2-Apr-13,4.58,4.58,4.42,4.46,372047
1-Apr-13,4.56,4.60,4.47,4.55,442086
28-Mar-13,4.52,4.57,4.48,4.56,334978
27-Mar-13,4.40,4.58,4.38,4.51,349704
26-Mar-13,4.49,4.54,4.40,4.41,384223
25-Mar-13,4.53,4.58,4.40,4.44,316333
22-Mar-13,4.49,4.54,4.48,4.51,155247
21-Mar-13,4.45,4.54,4.43,4.48,320469
20-Mar-13,4.50,4.58,4.45,4.45,271098
19-Mar-13,4.45,4.55,4.40,4.45,554762
18-Mar-13,4.62,4.64,4.39,4.46,301033
15-Mar-13,4.70,4.73,4.65,4.70,549349
14-Mar-13,4.77,4.81,4.64,4.71,248666
13-Mar-13,4.79,4.84,4.71,4.78,126610
12-Mar-13,4.77,4.84,4.74,4.82,192784
11-Mar-13,4.78,4.80,4.69,4.80,386499
8-Mar-13,4.79,4.81,4.72,4.78,460448
7-Mar-13,4.81,4.83,4.72,4.74,312065
6-Mar-13,4.81,4.85,4.74,4.82,318011
5-Mar-13,4.70,4.81,4.69,4.80,223660
4-Mar-13,4.74,4.74,4.59,4.68,307065
1-Mar-13,4.68,4.81,4.57,4.77,266251
28-Feb-13,4.79,4.79,4.71,4.75,257822
27-Feb-13,4.59,4.84,4.58,4.81,260751
26-Feb-13,4.57,4.66,4.55,4.60,163410
25-Feb-13,4.66,4.66,4.46,4.55,369528
22-Feb-13,4.71,4.75,4.60,4.67,289505
21-Feb-13,4.85,4.85,4.69,4.70,289607
20-Feb-13,4.95,5.02,4.81,4.86,267896
19-Feb-13,5.07,5.15,4.92,4.99,578603
15-Feb-13,5.12,5.12,5.06,5.07,363935
14-Feb-13,4.96,5.11,4.95,5.11,440014
13-Feb-13,4.95,5.00,4.87,5.00,591845
12-Feb-13,4.90,5.00,4.89,4.94,331840
11-Feb-13,4.94,4.97,4.92,4.94,203671
8-Feb-13,4.93,4.97,4.89,4.96,267657
7-Feb-13,4.87,4.93,4.81,4.93,337448
6-Feb-13,4.84,4.94,4.79,4.89,340554
5-Feb-13,4.80,4.89,4.73,4.85,382400
4-Feb-13,4.78,4.94,4.78,4.79,535365
1-Feb-13,4.70,4.88,4.64,4.84,540860
31-Jan-13,4.61,4.71,4.50,4.66,452270
30-Jan-13,4.60,4.75,4.22,4.63,620111
29-Jan-13,5.10,5.13,4.68,4.68,1371938
28-Jan-13,4.80,4.89,4.64,4.68,849127
25-Jan-13,4.53,4.80,4.52,4.79,911770
24-Jan-13,4.52,4.57,4.47,4.53,677048
23-Jan-13,4.44,4.55,4.44,4.53,622082
22-Jan-13,4.46,4.48,4.39,4.39,351502
18-Jan-13,4.49,4.59,4.36,4.46,817792
17-Jan-13,4.50,4.52,4.24,4.46,675005
16-Jan-13,4.50,4.53,4.38,4.51,1304185
15-Jan-13,4.24,4.32,4.23,4.26,578457
14-Jan-13,4.27,4.29,4.22,4.28,441833
11-Jan-13,4.10,4.36,4.08,4.28,707103
10-Jan-13,4.06,4.10,4.01,4.09,663641
9-Jan-13,3.99,4.06,3.98,4.05,533127
8-Jan-13,4.00,4.05,3.95,3.99,587567
7-Jan-13,3.93,4.01,3.87,3.99,468525
4-Jan-13,3.98,4.00,3.95,3.97,320383
3-Jan-13,3.83,4.02,3.81,3.98,563683
2-Jan-13,3.75,3.85,3.71,3.81,1106639
31-Dec-12,3.63,3.64,3.58,3.63,577715
28-Dec-12,3.63,3.65,3.55,3.60,636054
27-Dec-12,3.64,3.66,3.57,3.63,785732
26-Dec-12,3.57,3.61,3.52,3.61,415465
24-Dec-12,3.54,3.54,3.41,3.51,333543
21-Dec-12,3.63,3.63,3.50,3.54,925895
20-Dec-12,3.71,3.74,3.63,3.65,2182455
19-Dec-12,3.59,3.85,3.56,3.70,6732456
18-Dec-12,4.59,4.60,4.50,4.50,242780
17-Dec-12,4.56,4.60,4.50,4.57,155105
14-Dec-12,4.58,4.65,4.51,4.55,224509
13-Dec-12,4.45,4.65,4.45,4.61,368131
12-Dec-12,4.52,4.61,4.44,4.45,119939
11-Dec-12,4.40,4.56,4.23,4.50,233815
10-Dec-12,4.45,4.57,4.36,4.36,80809
7-Dec-12,4.61,4.61,4.45,4.48,117963
6-Dec-12,4.53,4.69,4.53,4.57,73318
5-Dec-12,4.55,4.64,4.52,4.52,175549
4-Dec-12,4.60,4.67,4.41,4.52,173921
3-Dec-12,4.59,4.65,4.48,4.61,286287
30-Nov-12,4.70,4.74,4.46,4.59,114268
29-Nov-12,4.48,4.68,4.47,4.68,362116
28-Nov-12,4.30,4.44,4.17,4.43,268999
27-Nov-12,4.26,4.36,4.19,4.31,387702
26-Nov-12,4.13,4.28,4.13,4.25,276444
23-Nov-12,4.09,4.14,4.07,4.13,32987
21-Nov-12,4.07,4.20,4.00,4.09,348673
20-Nov-12,4.05,4.46,4.02,4.03,337435
19-Nov-12,4.04,4.11,3.97,4.06,487112
16-Nov-12,4.08,4.11,3.93,3.99,316329
15-Nov-12,4.11,4.25,4.05,4.11,277039
14-Nov-12,4.11,4.15,4.04,4.08,459868
13-Nov-12,4.03,4.18,4.01,4.11,360909
12-Nov-12,4.23,4.23,4.01,4.07,174162
9-Nov-12,4.21,4.31,4.15,4.16,286085
8-Nov-12,4.34,4.40,4.22,4.25,551734
7-Nov-12,4.47,4.55,4.22,4.32,354185
6-Nov-12,4.71,4.71,4.53,4.54,187726
5-Nov-12,4.57,4.77,4.50,4.68,326574
2-Nov-12,4.85,4.91,4.53,4.55,339468
1-Nov-12,4.32,4.86,4.32,4.85,504575
31-Oct-12,4.25,4.50,4.22,4.33,484291
26-Oct-12,4.10,4.13,3.85,3.99,144785
25-Oct-12,4.24,4.36,4.08,4.11,286708
24-Oct-12,4.26,4.28,4.14,4.18,242854
23-Oct-12,4.32,4.37,4.13,4.25,324607
22-Oct-12,4.36,4.44,4.31,4.35,204300
19-Oct-12,4.49,4.65,4.27,4.34,1238520
18-Oct-12,5.21,5.24,4.30,4.52,2522108
17-Oct-12,5.11,5.25,5.03,5.24,327173
16-Oct-12,4.91,5.08,4.84,5.06,691158
15-Oct-12,5.34,5.34,4.55,4.83,761792
12-Oct-12,5.67,5.67,5.17,5.36,469710
11-Oct-12,5.62,5.70,5.58,5.68,298225
10-Oct-12,5.58,5.63,5.50,5.61,267969
9-Oct-12,5.60,5.64,5.50,5.55,134445
8-Oct-12,5.65,5.72,5.59,5.63,148199
5-Oct-12,5.60,5.69,5.57,5.66,147189
4-Oct-12,5.66,5.66,5.47,5.59,217611
3-Oct-12,5.64,5.65,5.59,5.62,302615
2-Oct-12,5.71,5.79,5.59,5.65,240595
1-Oct-12,5.79,5.79,5.60,5.67,341239
28-Sep-12,5.82,5.87,5.74,5.75,204651
27-Sep-12,5.80,5.95,5.76,5.86,131199
26-Sep-12,5.90,5.93,5.78,5.79,194894
25-Sep-12,5.99,6.08,5.86,5.90,269582
24-Sep-12,6.02,6.09,5.88,5.97,222774
21-Sep-12,6.24,6.24,6.04,6.06,364923
20-Sep-12,6.15,6.25,6.04,6.12,144988
19-Sep-12,6.29,6.29,6.15,6.20,146897
18-Sep-12,6.26,6.29,6.15,6.25,155901
17-Sep-12,6.22,6.36,6.16,6.23,254138
14-Sep-12,6.15,6.33,6.15,6.27,330859
13-Sep-12,6.02,6.19,6.00,6.09,355831
12-Sep-12,6.01,6.08,5.75,6.03,270295
11-Sep-12,5.96,6.09,5.91,5.97,457890
10-Sep-12,5.92,5.99,5.90,5.94,166702
7-Sep-12,6.00,6.00,5.86,5.89,119124
6-Sep-12,5.60,5.99,5.60,5.95,284794
5-Sep-12,5.69,5.76,5.63,5.68,592054
4-Sep-12,5.73,5.74,5.61,5.73,407479
31-Aug-12,5.74,5.78,5.67,5.70,211827
30-Aug-12,5.64,5.74,5.47,5.70,777392
29-Aug-12,5.68,5.75,5.61,5.70,306016
28-Aug-12,5.57,5.70,5.51,5.68,189808
27-Aug-12,5.75,5.76,5.58,5.58,598106
24-Aug-12,5.65,5.73,5.60,5.72,149018
23-Aug-12,5.72,5.72,5.63,5.68,170060
22-Aug-12,5.73,5.75,5.61,5.74,151801
21-Aug-12,5.82,5.87,5.71,5.76,310916
20-Aug-12,5.81,5.82,5.71,5.77,91130
17-Aug-12,5.85,5.85,5.71,5.81,212900
16-Aug-12,5.80,5.87,5.77,5.84,342315
15-Aug-12,5.65,5.85,5.64,5.79,125193
14-Aug-12,5.79,5.82,5.34,5.69,225934
13-Aug-12,5.82,5.84,5.62,5.84,186866
10-Aug-12,5.87,5.91,5.74,5.85,114847
