Date, Open, High, Low, Close, Volume
17-May-13,11.37,11.39,11.37,11.39,614
16-May-13,11.51,11.51,11.28,11.29,3166
15-May-13,11.30,11.43,11.30,11.40,3000
14-May-13,11.40,11.57,11.35,11.44,16311
13-May-13,11.25,11.35,11.25,11.34,2100
10-May-13,11.22,11.25,11.22,11.25,896
9-May-13,11.28,11.28,11.28,11.28,350
8-May-13,11.21,11.38,11.21,11.28,1590
7-May-13,11.22,11.39,11.22,11.22,2085
6-May-13,11.25,11.33,11.22,11.27,10406
3-May-13,11.26,11.33,11.20,11.20,20185
2-May-13,11.09,11.27,11.09,11.22,20209
1-May-13,11.02,11.06,11.02,11.06,900
30-Apr-13,11.19,11.19,11.02,11.02,7525
26-Apr-13,11.19,11.19,10.96,11.04,8557
25-Apr-13,11.05,11.15,11.01,11.02,1000
24-Apr-13,11.17,11.17,10.88,10.88,726
23-Apr-13,10.89,11.17,10.89,11.17,4508
22-Apr-13,10.83,11.02,10.81,10.95,14378
19-Apr-13,11.02,11.02,10.96,10.98,1100
18-Apr-13,11.01,11.01,11.01,11.01,100
17-Apr-13,10.68,10.88,10.68,10.83,40946
16-Apr-13,11.00,11.00,11.00,11.00,100
15-Apr-13,10.99,10.99,10.69,10.75,7153
12-Apr-13,10.88,10.88,10.88,10.88,500
11-Apr-13,10.70,10.90,10.70,10.90,18000
10-Apr-13,10.71,10.99,10.71,10.99,131050
9-Apr-13,10.62,10.82,10.62,10.77,8083
8-Apr-13,10.60,10.65,10.57,10.65,40593
5-Apr-13,10.61,10.65,10.61,10.61,686
4-Apr-13,10.65,10.65,10.63,10.63,2688
3-Apr-13,10.62,10.65,10.53,10.53,8594
2-Apr-13,10.55,10.64,10.54,10.64,12572
1-Apr-13,10.53,10.57,10.50,10.50,3550
28-Mar-13,10.59,10.64,10.53,10.64,2400
27-Mar-13,10.63,10.71,10.60,10.68,18884
26-Mar-13,10.74,10.74,10.73,10.74,9840
25-Mar-13,10.64,10.72,10.62,10.62,1414
22-Mar-13,10.70,10.70,10.66,10.70,47328
21-Mar-13,10.74,10.75,10.69,10.69,6145
20-Mar-13,10.64,10.66,10.60,10.66,5835
19-Mar-13,10.78,10.82,10.66,10.71,13808
18-Mar-13,10.57,10.69,10.57,10.65,1294
15-Mar-13,10.72,10.77,10.70,10.72,2445
14-Mar-13,10.80,10.80,10.72,10.72,3578
13-Mar-13,10.79,10.84,10.79,10.84,300
12-Mar-13,10.91,10.96,10.87,10.89,21263
11-Mar-13,10.94,11.09,10.93,10.96,10900
8-Mar-13,10.86,11.01,10.82,10.87,25959
7-Mar-13,10.68,10.90,10.68,10.89,22244
6-Mar-13,10.74,10.75,10.60,10.68,10110
5-Mar-13,10.72,10.72,10.72,10.72,200
4-Mar-13,10.87,10.87,10.73,10.73,1515
1-Mar-13,10.93,10.93,10.76,10.92,10033
28-Feb-13,10.95,10.99,10.91,10.93,1500
27-Feb-13,10.83,10.96,10.78,10.96,23780
26-Feb-13,10.89,10.90,10.70,10.74,211271
25-Feb-13,11.00,11.00,10.87,10.88,5514
22-Feb-13,11.00,11.00,11.00,11.00,9500
21-Feb-13,10.97,10.97,10.97,10.97,1000
20-Feb-13,10.97,10.97,10.90,10.90,2863
19-Feb-13,11.02,11.02,10.95,10.97,4323
15-Feb-13,10.97,11.00,10.96,11.00,2972
14-Feb-13,11.05,11.05,10.94,11.01,10038
13-Feb-13,10.87,11.18,10.87,11.18,15050
