Date, Open, High, Low, Close, Volume
17-May-13,13.97,13.97,13.45,13.53,193868
16-May-13,14.18,14.35,13.86,13.96,80651
15-May-13,14.15,14.35,13.95,14.28,188102
14-May-13,14.05,14.46,13.86,14.35,199563
13-May-13,14.12,14.28,13.83,14.12,141326
10-May-13,14.42,14.57,14.07,14.11,106854
9-May-13,14.14,14.92,13.44,14.31,817687
8-May-13,13.80,14.19,13.38,14.19,250541
7-May-13,13.79,13.96,13.54,13.72,79295
6-May-13,13.60,13.88,13.25,13.73,99642
3-May-13,13.63,13.83,13.55,13.57,101651
2-May-13,13.39,13.67,13.38,13.57,132706
1-May-13,13.70,13.75,13.28,13.31,174740
30-Apr-13,13.97,13.98,13.28,13.70,264769
29-Apr-13,13.75,14.01,13.44,13.97,149629
26-Apr-13,13.92,14.04,13.80,13.83,121762
25-Apr-13,14.00,14.20,13.82,13.96,341442
24-Apr-13,14.00,14.04,13.68,13.93,300796
23-Apr-13,12.84,14.52,12.65,13.95,892753
22-Apr-13,12.19,12.53,11.69,12.44,148200
19-Apr-13,12.17,12.45,12.03,12.13,84472
18-Apr-13,12.06,12.15,11.86,12.11,70205
17-Apr-13,12.47,12.51,11.85,12.11,131110
16-Apr-13,11.82,12.58,11.75,12.50,147444
15-Apr-13,12.84,12.85,11.66,11.72,287912
12-Apr-13,12.40,12.53,12.12,12.52,105528
11-Apr-13,12.38,12.45,12.28,12.43,123669
10-Apr-13,12.06,12.46,12.06,12.37,93065
9-Apr-13,12.10,12.34,11.90,11.99,110453
8-Apr-13,12.19,12.39,11.85,12.12,152109
5-Apr-13,11.82,12.24,11.39,12.22,237990
4-Apr-13,12.25,12.29,11.95,11.95,229369
3-Apr-13,12.42,12.54,11.90,11.99,198004
2-Apr-13,12.24,12.70,12.24,12.44,194800
1-Apr-13,12.75,12.80,12.19,12.23,185725
28-Mar-13,12.40,12.74,12.13,12.71,270080
27-Mar-13,12.24,12.42,11.98,12.39,409344
26-Mar-13,12.00,12.25,11.88,12.25,250965
25-Mar-13,11.74,11.92,11.27,11.90,156393
22-Mar-13,11.37,11.74,11.29,11.66,207844
21-Mar-13,11.54,11.66,10.80,11.29,263353
20-Mar-13,11.05,11.68,10.96,11.58,267407
19-Mar-13,10.50,11.19,10.48,11.05,136399
18-Mar-13,10.89,11.05,10.17,10.60,179228
15-Mar-13,10.92,11.10,10.89,11.09,124763
14-Mar-13,10.94,11.12,10.85,10.98,57106
13-Mar-13,10.69,11.07,10.61,10.97,146626
12-Mar-13,10.75,10.91,10.01,10.60,179747
11-Mar-13,10.73,11.35,10.59,10.84,328290
8-Mar-13,9.33,11.00,9.25,10.65,831619
7-Mar-13,9.09,9.56,8.95,9.54,387024
6-Mar-13,8.90,9.15,8.90,9.06,164799
5-Mar-13,9.04,9.20,8.72,8.83,97624
4-Mar-13,9.12,9.20,8.97,9.05,57567
1-Mar-13,8.48,9.11,8.48,9.11,156719
28-Feb-13,8.57,8.61,8.42,8.45,30128
27-Feb-13,8.45,8.74,8.45,8.58,25455
26-Feb-13,8.62,8.68,8.34,8.42,55097
25-Feb-13,8.89,8.89,8.60,8.61,55384
22-Feb-13,8.88,8.98,8.83,8.91,22858
21-Feb-13,8.92,9.07,8.60,8.87,66650
20-Feb-13,8.94,9.16,8.88,8.96,132442
19-Feb-13,8.76,8.99,8.69,8.90,43835
15-Feb-13,8.50,8.90,8.23,8.77,53953
14-Feb-13,8.76,8.88,8.68,8.69,28205
13-Feb-13,8.93,9.05,8.69,8.83,39067
12-Feb-13,9.07,9.07,8.91,8.93,53851
11-Feb-13,9.04,9.05,8.83,9.04,81055
8-Feb-13,8.97,9.15,8.87,9.00,218724
7-Feb-13,8.66,9.00,8.66,8.96,126331
6-Feb-13,8.60,8.75,8.45,8.70,52147
5-Feb-13,8.60,8.78,8.49,8.67,31734
4-Feb-13,8.66,8.79,8.50,8.56,51391
1-Feb-13,8.70,9.00,8.69,8.75,160688
31-Jan-13,8.54,8.69,8.29,8.69,74399
30-Jan-13,8.42,8.55,8.28,8.53,56169
29-Jan-13,8.59,8.59,8.34,8.46,42930
28-Jan-13,8.39,8.60,8.24,8.57,84623
25-Jan-13,8.32,8.60,8.18,8.38,50729
24-Jan-13,8.40,8.45,8.20,8.31,84431
23-Jan-13,8.47,8.49,8.36,8.41,42254
22-Jan-13,8.50,8.53,8.30,8.53,61473
18-Jan-13,8.41,8.62,8.41,8.60,69088
17-Jan-13,8.59,8.66,8.31,8.46,103851
16-Jan-13,8.65,8.74,8.51,8.70,162700
15-Jan-13,8.22,8.64,8.18,8.64,125370
14-Jan-13,8.17,8.28,8.01,8.25,62506
11-Jan-13,8.21,8.25,8.07,8.23,41348
10-Jan-13,8.42,8.42,8.19,8.26,62189
9-Jan-13,8.30,8.55,8.17,8.38,113030
8-Jan-13,8.12,8.35,8.00,8.35,72548
7-Jan-13,8.50,8.50,8.00,8.11,95151
4-Jan-13,7.88,8.60,7.88,8.49,177119
3-Jan-13,7.96,8.12,7.83,7.88,31486
2-Jan-13,7.92,8.15,7.92,8.01,54533
31-Dec-12,7.62,7.87,7.53,7.81,96605
28-Dec-12,7.52,7.80,7.30,7.57,95100
27-Dec-12,7.30,7.68,7.30,7.61,50747
26-Dec-12,7.79,7.95,7.40,7.57,69049
24-Dec-12,7.82,7.95,7.57,7.72,45812
21-Dec-12,7.80,7.95,7.31,7.78,114015
20-Dec-12,7.86,8.15,7.78,7.98,280232
19-Dec-12,7.60,7.95,7.60,7.86,270681
18-Dec-12,7.07,7.54,7.04,7.52,287330
17-Dec-12,6.81,7.20,6.79,7.02,68638
14-Dec-12,6.69,6.87,6.69,6.82,45312
13-Dec-12,6.72,6.83,6.58,6.70,36419
12-Dec-12,6.51,6.81,6.44,6.79,98608
11-Dec-12,6.30,6.46,6.23,6.46,142073
10-Dec-12,6.28,6.32,6.22,6.29,36496
7-Dec-12,6.20,6.31,6.13,6.31,304642
6-Dec-12,6.22,6.28,6.12,6.16,44007
5-Dec-12,6.31,6.32,6.22,6.26,18993
4-Dec-12,6.32,6.35,6.21,6.29,66933
3-Dec-12,6.47,6.47,6.17,6.32,22822
30-Nov-12,6.25,6.48,6.25,6.45,29999
29-Nov-12,6.36,6.46,6.35,6.40,37248
28-Nov-12,6.37,6.40,6.29,6.34,31243
27-Nov-12,6.34,6.43,6.34,6.37,37072
26-Nov-12,6.48,6.48,6.35,6.38,36653
23-Nov-12,6.40,6.49,6.34,6.38,35827
21-Nov-12,6.31,6.45,6.31,6.35,27061
20-Nov-12,6.28,6.36,6.28,6.33,14347
19-Nov-12,6.43,6.45,6.33,6.36,30316
16-Nov-12,6.29,6.36,6.08,6.33,52973
15-Nov-12,6.27,6.37,6.09,6.29,53565
14-Nov-12,6.29,6.45,6.17,6.24,58770
13-Nov-12,6.36,6.45,6.27,6.37,10768
12-Nov-12,6.25,6.42,5.95,6.36,60878
9-Nov-12,6.61,6.64,6.36,6.44,30852
8-Nov-12,6.50,6.82,6.50,6.67,273081
7-Nov-12,6.30,6.50,6.18,6.31,37406
6-Nov-12,6.44,6.53,6.41,6.48,17135
5-Nov-12,6.46,6.50,6.35,6.42,60214
2-Nov-12,6.45,6.53,6.40,6.46,45421
1-Nov-12,6.46,6.50,6.38,6.47,30243
31-Oct-12,6.16,6.50,6.16,6.46,121404
26-Oct-12,6.23,6.30,6.08,6.18,82978
25-Oct-12,6.26,6.26,6.17,6.21,23660
24-Oct-12,6.05,6.26,6.05,6.24,31658
23-Oct-12,6.03,6.08,6.00,6.06,33927
22-Oct-12,6.07,6.24,6.02,6.11,33281
19-Oct-12,6.14,6.18,5.90,6.04,52120
18-Oct-12,6.18,6.24,6.08,6.14,43173
17-Oct-12,6.25,6.30,6.19,6.23,85854
16-Oct-12,6.22,6.30,6.22,6.24,27875
15-Oct-12,6.20,6.32,6.20,6.22,35187
12-Oct-12,6.22,6.30,6.17,6.20,31646
11-Oct-12,6.00,6.25,6.00,6.22,152103
10-Oct-12,6.04,6.10,6.00,6.01,43152
9-Oct-12,6.11,6.13,6.01,6.04,34712
8-Oct-12,6.00,6.13,6.00,6.06,62164
5-Oct-12,6.03,6.13,5.87,6.09,58503
4-Oct-12,5.92,6.02,5.83,6.00,24926
3-Oct-12,5.98,6.00,5.83,5.92,42605
2-Oct-12,5.86,6.02,5.81,6.02,88071
1-Oct-12,6.03,6.03,5.81,5.83,38426
28-Sep-12,5.71,6.12,5.71,5.99,58824
27-Sep-12,5.64,5.77,5.60,5.76,65544
26-Sep-12,5.69,5.75,5.58,5.64,65610
25-Sep-12,5.76,5.85,5.66,5.70,44395
24-Sep-12,5.63,5.79,5.59,5.74,31224
21-Sep-12,5.85,5.92,5.61,5.63,71101
20-Sep-12,5.76,5.98,5.66,5.84,47809
19-Sep-12,5.79,6.00,5.71,5.84,33881
18-Sep-12,5.80,5.86,5.56,5.75,53428
17-Sep-12,6.05,6.08,5.80,5.81,23083
14-Sep-12,6.01,6.14,6.01,6.05,28375
13-Sep-12,6.05,6.17,5.88,6.04,58261
12-Sep-12,5.89,6.06,5.89,6.00,30023
11-Sep-12,6.05,6.13,5.86,5.86,113974
10-Sep-12,5.86,6.22,5.86,6.05,196214
7-Sep-12,5.61,5.87,5.53,5.80,55883
6-Sep-12,5.56,5.63,5.55,5.55,90617
5-Sep-12,5.58,5.58,5.43,5.53,114375
4-Sep-12,5.27,5.61,5.26,5.59,102853
31-Aug-12,5.18,5.41,5.10,5.30,155301
30-Aug-12,4.65,5.24,4.64,5.10,188851
29-Aug-12,4.50,4.74,4.50,4.72,66601
28-Aug-12,4.50,4.58,4.45,4.51,44048
27-Aug-12,4.43,4.51,4.40,4.50,25233
24-Aug-12,4.38,4.57,4.36,4.43,22626
23-Aug-12,4.60,4.63,4.35,4.43,50887
22-Aug-12,4.56,4.67,4.51,4.57,43520
21-Aug-12,4.61,4.67,4.55,4.56,37958
20-Aug-12,4.73,4.75,4.58,4.58,22426
17-Aug-12,4.58,4.78,4.49,4.78,40226
16-Aug-12,4.59,4.67,4.51,4.58,23018
