Date, Open, High, Low, Close, Volume
17-May-13,1.56,1.59,1.51,1.54,1342125
16-May-13,1.59,1.61,1.50,1.51,2152823
15-May-13,1.53,1.61,1.51,1.56,2955772
14-May-13,1.51,1.54,1.48,1.52,2095038
13-May-13,1.41,1.57,1.40,1.49,6095169
10-May-13,1.40,1.42,1.38,1.41,971860
9-May-13,1.41,1.42,1.38,1.38,839312
8-May-13,1.39,1.41,1.37,1.39,844395
7-May-13,1.40,1.42,1.37,1.39,986878
6-May-13,1.39,1.42,1.38,1.40,754530
3-May-13,1.39,1.40,1.38,1.39,820304
2-May-13,1.37,1.41,1.36,1.39,1043574
1-May-13,1.37,1.39,1.35,1.38,915847
30-Apr-13,1.42,1.42,1.34,1.39,2540391
29-Apr-13,1.45,1.48,1.40,1.41,1772657
26-Apr-13,1.40,1.42,1.38,1.39,978448
25-Apr-13,1.42,1.43,1.38,1.38,1289336
24-Apr-13,1.45,1.48,1.39,1.40,1426754
23-Apr-13,1.47,1.49,1.43,1.46,1605188
22-Apr-13,1.52,1.57,1.46,1.47,1569595
19-Apr-13,1.50,1.58,1.46,1.53,2774438
18-Apr-13,1.51,1.52,1.45,1.47,1934080
17-Apr-13,1.48,1.53,1.41,1.50,3753959
16-Apr-13,1.40,1.46,1.39,1.46,1712253
15-Apr-13,1.39,1.40,1.35,1.39,1136214
12-Apr-13,1.35,1.40,1.35,1.39,1203684
11-Apr-13,1.40,1.42,1.37,1.37,1170862
10-Apr-13,1.38,1.44,1.33,1.38,2264122
9-Apr-13,1.35,1.39,1.30,1.34,2005493
8-Apr-13,1.48,1.50,1.38,1.39,1497345
5-Apr-13,1.45,1.48,1.42,1.46,2748006
4-Apr-13,1.43,1.46,1.38,1.44,1788059
3-Apr-13,1.39,1.45,1.36,1.43,2804128
2-Apr-13,1.30,1.43,1.30,1.39,1958572
1-Apr-13,1.33,1.34,1.30,1.33,1004288
28-Mar-13,1.29,1.36,1.28,1.33,1386489
27-Mar-13,1.32,1.32,1.27,1.29,1323041
26-Mar-13,1.35,1.36,1.31,1.33,818226
25-Mar-13,1.40,1.41,1.31,1.32,1197046
22-Mar-13,1.36,1.42,1.36,1.37,1645101
21-Mar-13,1.40,1.43,1.35,1.36,1293595
20-Mar-13,1.34,1.45,1.34,1.41,2795681
19-Mar-13,1.36,1.37,1.33,1.33,1047239
18-Mar-13,1.35,1.36,1.29,1.34,2036412
15-Mar-13,1.44,1.48,1.35,1.38,2463003
14-Mar-13,1.50,1.50,1.40,1.41,2732387
13-Mar-13,1.67,1.70,1.43,1.48,4999658
12-Mar-13,1.64,1.64,1.54,1.58,3243944
11-Mar-13,1.63,1.66,1.50,1.62,4328546
8-Mar-13,1.41,1.68,1.41,1.58,6350725
7-Mar-13,1.39,1.43,1.38,1.40,1422284
6-Mar-13,1.43,1.44,1.37,1.38,4083889
5-Mar-13,1.25,1.45,1.25,1.31,4253897
4-Mar-13,1.29,1.29,1.23,1.26,1147743
1-Mar-13,1.28,1.33,1.25,1.28,1371202
28-Feb-13,1.28,1.36,1.23,1.30,1564320
27-Feb-13,1.26,1.35,1.21,1.29,3558070
26-Feb-13,1.37,1.38,1.20,1.21,6721698
25-Feb-13,1.58,1.60,1.32,1.39,4667586
22-Feb-13,1.61,1.63,1.54,1.58,1837746
21-Feb-13,1.66,1.66,1.52,1.59,3973010
20-Feb-13,1.74,1.77,1.65,1.66,3271041
19-Feb-13,1.89,1.91,1.65,1.77,7281368
15-Feb-13,1.89,1.91,1.78,1.84,3167818
14-Feb-13,1.73,1.92,1.60,1.83,8810452
13-Feb-13,2.42,2.43,1.56,1.69,31019738
12-Feb-13,2.10,2.12,2.06,2.11,1008738
11-Feb-13,2.06,2.18,2.02,2.11,3186725
8-Feb-13,2.06,2.09,2.00,2.04,1833209
7-Feb-13,2.08,2.09,1.99,2.02,1723175
6-Feb-13,2.13,2.13,2.03,2.06,1686578
5-Feb-13,2.15,2.17,2.07,2.11,1595177
4-Feb-13,2.20,2.25,2.06,2.12,4514744
1-Feb-13,1.88,2.12,1.85,2.12,4241790
31-Jan-13,1.80,1.88,1.72,1.88,3816581
30-Jan-13,2.00,2.01,1.85,1.86,3332676
29-Jan-13,2.06,2.06,2.00,2.00,1742613
28-Jan-13,2.10,2.10,2.00,2.06,1879723
25-Jan-13,2.09,2.09,1.98,2.07,3095745
24-Jan-13,2.14,2.14,2.02,2.07,4068690
23-Jan-13,2.20,2.20,2.12,2.12,2483346
22-Jan-13,2.17,2.22,2.11,2.16,4301137
18-Jan-13,2.13,2.22,2.10,2.13,3686679
17-Jan-13,2.15,2.16,2.09,2.15,2474734
16-Jan-13,2.22,2.22,2.10,2.15,2617323
15-Jan-13,2.08,2.22,2.06,2.17,3909507
14-Jan-13,2.25,2.27,2.07,2.10,4149868
11-Jan-13,2.18,2.18,2.07,2.10,3671213
10-Jan-13,2.16,2.29,2.11,2.14,6358518
9-Jan-13,2.23,2.27,2.00,2.06,11528061
8-Jan-13,2.57,2.78,2.25,2.33,32097867
7-Jan-13,1.70,2.55,1.70,2.43,62615818
4-Jan-13,1.28,1.39,1.25,1.35,3624164
3-Jan-13,1.34,1.36,1.24,1.27,2988818
2-Jan-13,1.40,1.44,1.30,1.34,3801145
31-Dec-12,1.19,1.38,1.16,1.32,3374113
28-Dec-12,1.15,1.23,1.12,1.23,1877192
27-Dec-12,1.17,1.19,1.16,1.18,1412658
26-Dec-12,1.21,1.23,1.16,1.16,1978315
24-Dec-12,1.23,1.26,1.20,1.20,1082477
21-Dec-12,1.25,1.27,1.22,1.25,1982323
20-Dec-12,1.22,1.27,1.21,1.27,1760814
19-Dec-12,1.27,1.27,1.17,1.23,1840173
18-Dec-12,1.29,1.31,1.23,1.25,2119964
17-Dec-12,1.31,1.33,1.25,1.28,2095542
14-Dec-12,1.34,1.34,1.25,1.31,2645364
13-Dec-12,1.39,1.39,1.28,1.28,3294206
12-Dec-12,1.25,1.45,1.22,1.36,9552578
11-Dec-12,1.23,1.25,1.18,1.21,2632456
10-Dec-12,1.24,1.25,1.17,1.23,3479758
7-Dec-12,1.13,1.29,1.13,1.22,6148439
6-Dec-12,1.28,1.30,1.08,1.17,6487511
5-Dec-12,1.54,1.54,1.25,1.28,9101095
4-Dec-12,1.45,1.45,1.19,1.29,8982685
3-Dec-12,1.62,1.64,1.35,1.47,12114968
30-Nov-12,1.30,1.51,1.20,1.50,15478656
29-Nov-12,1.20,1.24,1.12,1.16,3975695
28-Nov-12,1.16,1.18,1.04,1.15,5194113
27-Nov-12,0.93,1.19,0.91,1.14,10877851
26-Nov-12,0.85,0.93,0.84,0.90,3911011
23-Nov-12,0.84,0.85,0.83,0.85,1044292
21-Nov-12,0.83,0.84,0.81,0.83,3337135
20-Nov-12,0.75,0.82,0.74,0.79,3584190
19-Nov-12,0.75,0.76,0.73,0.75,1224514
16-Nov-12,0.74,0.74,0.70,0.72,863474
15-Nov-12,0.70,0.74,0.69,0.73,975762
14-Nov-12,0.71,0.73,0.69,0.71,1611034
13-Nov-12,0.70,0.71,0.69,0.70,1892508
12-Nov-12,0.71,0.72,0.69,0.69,768720
9-Nov-12,0.73,0.74,0.70,0.70,1399830
8-Nov-12,0.71,0.75,0.71,0.73,1141820
7-Nov-12,0.75,0.75,0.71,0.71,1536788
6-Nov-12,0.77,0.79,0.75,0.75,1060333
5-Nov-12,0.77,0.79,0.76,0.77,880191
2-Nov-12,0.84,0.86,0.78,0.80,2148821
1-Nov-12,0.82,0.87,0.80,0.83,2501849
31-Oct-12,0.75,0.89,0.75,0.87,7182636
26-Oct-12,0.71,0.71,0.68,0.70,1306929
25-Oct-12,0.70,0.72,0.68,0.70,2449870
24-Oct-12,0.70,0.72,0.68,0.68,1549566
23-Oct-12,0.74,0.74,0.68,0.68,2447322
22-Oct-12,0.78,0.78,0.71,0.72,1787054
19-Oct-12,0.78,0.80,0.73,0.75,2296613
18-Oct-12,0.89,0.89,0.74,0.78,6515954
17-Oct-12,0.92,0.94,0.83,0.87,12155455
16-Oct-12,0.72,0.72,0.68,0.70,1648099
15-Oct-12,0.73,0.73,0.68,0.69,2768600
12-Oct-12,0.77,0.77,0.72,0.73,2021463
11-Oct-12,0.82,0.84,0.75,0.77,6204227
10-Oct-12,0.70,0.81,0.70,0.78,10209189
9-Oct-12,0.74,0.74,0.67,0.69,4723567
8-Oct-12,0.79,0.80,0.73,0.73,3834915
5-Oct-12,0.81,0.84,0.79,0.79,4094002
4-Oct-12,0.83,0.84,0.81,0.83,4663348
3-Oct-12,0.88,0.91,0.78,0.81,8695875
2-Oct-12,0.83,0.91,0.82,0.86,6208073
1-Oct-12,0.98,1.04,0.84,0.86,13889473
28-Sep-12,1.05,1.09,0.98,1.03,13449809
27-Sep-12,1.31,1.39,0.97,1.11,43580666
26-Sep-12,1.78,1.94,1.58,1.66,30392661
25-Sep-12,1.29,1.87,1.23,1.70,55607552
24-Sep-12,0.83,1.57,0.80,1.16,68566658
21-Sep-12,5.15,5.50,5.05,5.39,8421122
20-Sep-12,4.83,5.11,4.63,5.03,8644634
19-Sep-12,4.55,4.99,4.45,4.89,7614427
18-Sep-12,4.16,4.53,4.08,4.41,7188748
17-Sep-12,3.97,4.21,3.87,4.19,3182830
14-Sep-12,4.02,4.04,3.80,3.96,3449567
13-Sep-12,4.18,4.23,3.93,3.97,4558823
12-Sep-12,4.00,4.49,4.00,4.17,5585859
