Date, Open, High, Low, Close, Volume
17-May-13,40.07,40.50,39.97,40.28,607125
16-May-13,40.14,40.20,39.79,39.85,720461
15-May-13,39.98,40.49,39.82,40.25,507137
14-May-13,38.75,40.38,38.72,40.00,680262
13-May-13,39.77,39.83,38.44,38.55,923141
10-May-13,40.12,41.70,39.61,39.73,1303211
9-May-13,37.95,41.16,37.90,40.18,1543974
8-May-13,41.74,41.97,41.01,41.21,358276
7-May-13,41.43,42.48,41.42,41.63,399008
6-May-13,40.58,41.25,40.50,41.21,746996
3-May-13,41.05,41.35,40.39,40.44,227335
2-May-13,40.08,40.67,40.01,40.51,229584
1-May-13,41.18,41.26,39.92,40.01,318031
30-Apr-13,40.74,42.68,40.74,41.93,596878
29-Apr-13,40.80,41.49,40.66,40.83,495245
26-Apr-13,40.51,41.18,40.38,40.91,153906
25-Apr-13,40.26,40.79,40.10,40.66,177038
24-Apr-13,38.92,40.28,38.92,39.84,399177
23-Apr-13,37.37,38.72,36.82,38.64,228747
22-Apr-13,37.34,38.02,36.80,37.25,286264
19-Apr-13,37.68,38.47,37.01,37.20,278244
18-Apr-13,37.95,38.00,37.02,37.53,398869
17-Apr-13,39.02,39.27,37.57,37.82,578966
16-Apr-13,39.21,39.66,38.96,39.40,271424
15-Apr-13,39.15,39.47,38.63,38.82,391184
12-Apr-13,39.26,39.68,38.93,39.21,368211
11-Apr-13,39.12,39.80,38.73,39.49,189161
10-Apr-13,38.42,39.31,38.17,39.11,264944
9-Apr-13,37.98,38.77,37.75,38.25,369077
8-Apr-13,37.76,39.28,37.22,37.74,345779
5-Apr-13,37.16,38.68,37.16,37.95,616137
4-Apr-13,40.25,40.37,37.00,37.91,1324864
3-Apr-13,38.99,39.43,38.81,39.13,256647
2-Apr-13,40.07,40.33,38.68,39.04,336844
1-Apr-13,40.01,40.72,39.60,39.90,367060
28-Mar-13,40.18,40.67,39.85,40.18,243008
27-Mar-13,40.38,40.91,39.90,40.29,444270
26-Mar-13,40.54,40.80,39.80,40.38,164279
25-Mar-13,40.16,41.15,39.62,40.10,335307
22-Mar-13,40.61,40.61,39.80,40.05,272100
21-Mar-13,40.70,41.06,39.23,40.54,238208
20-Mar-13,40.66,41.23,40.18,40.81,623581
19-Mar-13,41.00,41.17,39.49,40.20,261168
18-Mar-13,41.15,42.84,40.72,40.95,232608
15-Mar-13,42.67,42.79,41.00,41.37,292877
14-Mar-13,42.28,43.13,41.84,42.13,464919
13-Mar-13,42.71,42.74,41.53,42.28,212602
12-Mar-13,41.65,42.99,41.57,42.76,484793
11-Mar-13,41.00,41.98,40.96,41.80,538544
8-Mar-13,39.89,40.65,39.37,40.65,332711
7-Mar-13,39.14,39.52,38.70,39.51,229812
6-Mar-13,39.22,40.00,38.66,38.88,305874
5-Mar-13,39.54,40.34,38.52,38.85,488486
4-Mar-13,38.36,39.98,37.43,39.00,726451
1-Mar-13,37.95,38.17,36.90,37.32,698954
28-Feb-13,37.50,38.95,37.50,38.28,788644
27-Feb-13,36.99,38.60,36.71,37.38,770336
26-Feb-13,36.57,36.73,35.25,36.72,610775
25-Feb-13,37.56,37.77,36.35,36.42,561696
22-Feb-13,37.25,37.94,36.69,37.59,599530
21-Feb-13,37.31,38.38,35.10,37.13,3041654
20-Feb-13,42.20,42.24,39.68,39.95,1267164
19-Feb-13,42.97,43.38,42.00,42.27,402147
15-Feb-13,43.83,44.27,42.29,42.98,771613
14-Feb-13,41.36,44.03,41.14,44.03,1053694
13-Feb-13,41.45,41.67,41.14,41.38,288390
12-Feb-13,40.72,41.42,40.62,41.30,385871
11-Feb-13,40.66,40.95,40.13,40.60,256107
8-Feb-13,40.02,40.87,39.57,40.60,421518
7-Feb-13,40.14,40.40,39.55,39.94,190886
6-Feb-13,39.62,40.12,39.54,39.89,327760
5-Feb-13,39.84,39.93,39.03,39.75,436893
4-Feb-13,39.62,40.21,39.47,39.57,392189
1-Feb-13,38.90,40.12,38.01,39.95,841561
31-Jan-13,38.58,39.22,37.97,38.59,360929
30-Jan-13,38.74,39.34,38.37,38.59,381484
29-Jan-13,39.27,39.39,37.44,38.79,1074399
28-Jan-13,40.54,40.93,38.85,39.39,730021
25-Jan-13,40.57,40.79,40.25,40.61,227486
24-Jan-13,40.37,40.73,39.78,40.28,462085
23-Jan-13,41.84,42.00,40.08,40.12,612472
22-Jan-13,41.95,42.27,41.46,42.02,187025
18-Jan-13,41.94,42.07,41.21,42.05,400382
17-Jan-13,41.93,42.14,41.25,41.60,354144
16-Jan-13,42.06,42.46,41.68,41.77,407570
15-Jan-13,40.66,42.26,40.66,42.20,833950
14-Jan-13,40.74,41.13,40.61,41.04,254838
11-Jan-13,40.68,41.01,40.08,40.74,309283
10-Jan-13,41.23,41.90,40.02,40.63,794143
9-Jan-13,41.29,41.89,40.60,41.18,735532
8-Jan-13,42.75,43.03,41.00,41.15,941682
7-Jan-13,44.05,44.15,42.11,42.75,869696
4-Jan-13,44.88,45.17,43.47,44.44,595350
3-Jan-13,47.41,47.81,44.27,45.09,1325441
2-Jan-13,47.99,48.42,46.93,47.50,521999
31-Dec-12,45.81,46.76,45.51,46.50,460743
28-Dec-12,46.45,46.53,45.84,46.13,236945
27-Dec-12,46.41,46.76,46.06,46.52,200657
26-Dec-12,45.47,46.65,45.29,46.44,261918
24-Dec-12,45.18,45.55,44.83,45.17,116171
21-Dec-12,44.49,45.54,44.43,44.94,428141
20-Dec-12,44.81,45.30,44.26,45.17,270244
19-Dec-12,45.04,45.12,44.40,44.78,320082
18-Dec-12,44.33,46.06,43.63,45.04,1104886
17-Dec-12,41.00,44.73,40.65,44.21,1146126
14-Dec-12,40.06,41.15,39.74,40.96,583918
