Date, Open, High, Low, Close, Volume
17-May-13,4.71,4.77,4.60,4.66,571666
16-May-13,4.65,4.74,4.57,4.67,226178
15-May-13,4.77,4.80,4.66,4.69,254904
14-May-13,4.76,4.83,4.73,4.80,331916
13-May-13,4.68,4.77,4.66,4.76,300908
10-May-13,4.84,4.84,4.66,4.69,364619
9-May-13,4.84,4.86,4.68,4.83,425155
8-May-13,4.61,4.88,4.61,4.82,699534
7-May-13,4.30,4.65,4.30,4.59,1061202
6-May-13,4.16,4.24,4.14,4.21,410645
3-May-13,4.07,4.22,4.07,4.17,398808
2-May-13,4.07,4.08,3.99,4.01,293076
1-May-13,4.28,4.28,4.02,4.02,454590
30-Apr-13,4.28,4.29,4.18,4.28,230751
29-Apr-13,4.29,4.36,4.27,4.29,192742
26-Apr-13,4.35,4.37,4.20,4.25,275010
25-Apr-13,4.43,4.49,4.30,4.36,390391
24-Apr-13,4.36,4.44,4.31,4.42,797981
23-Apr-13,4.28,4.37,4.28,4.33,163328
22-Apr-13,4.25,4.30,4.09,4.29,193836
19-Apr-13,4.29,4.30,4.16,4.22,292860
18-Apr-13,4.09,4.33,4.02,4.29,547672
17-Apr-13,4.08,4.12,4.01,4.06,339488
16-Apr-13,4.09,4.19,4.01,4.17,326906
15-Apr-13,4.28,4.30,4.05,4.05,376483
12-Apr-13,4.37,4.39,4.26,4.36,291726
11-Apr-13,4.35,4.54,4.31,4.42,389812
10-Apr-13,4.22,4.39,4.21,4.37,297505
9-Apr-13,4.30,4.33,4.19,4.21,224122
8-Apr-13,4.18,4.31,4.12,4.29,250007
5-Apr-13,3.93,4.20,3.93,4.15,396331
4-Apr-13,4.07,4.09,3.99,4.01,266513
3-Apr-13,4.20,4.21,4.02,4.09,385827
2-Apr-13,4.21,4.29,4.18,4.20,467744
1-Apr-13,4.42,4.46,4.20,4.23,249091
28-Mar-13,4.42,4.50,4.37,4.44,338904
27-Mar-13,4.25,4.43,4.21,4.40,274348
26-Mar-13,4.33,4.39,4.27,4.31,239442
25-Mar-13,4.38,4.44,4.29,4.31,182382
22-Mar-13,4.39,4.49,4.35,4.37,237660
21-Mar-13,4.36,4.47,4.36,4.38,293919
20-Mar-13,4.57,4.57,4.35,4.39,372705
19-Mar-13,4.66,4.66,4.41,4.50,321472
18-Mar-13,4.65,4.77,4.61,4.65,261787
15-Mar-13,4.60,4.79,4.60,4.75,794171
14-Mar-13,4.44,4.66,4.44,4.60,381155
13-Mar-13,4.43,4.52,4.39,4.45,389570
12-Mar-13,4.54,4.60,4.39,4.44,354316
11-Mar-13,4.24,4.54,4.24,4.53,485066
8-Mar-13,4.25,4.30,4.16,4.27,424089
7-Mar-13,4.00,4.24,3.98,4.21,2045348
6-Mar-13,3.88,4.02,3.86,3.99,1579961
5-Mar-13,3.90,4.01,3.86,3.87,439235
4-Mar-13,4.08,4.08,3.85,3.90,580741
1-Mar-13,3.75,4.06,3.74,4.04,694445
28-Feb-13,3.84,3.86,3.55,3.84,1093259
27-Feb-13,3.72,3.91,3.72,3.84,453907
26-Feb-13,3.87,3.91,3.72,3.73,394459
25-Feb-13,4.05,4.09,3.86,3.86,305711
22-Feb-13,4.00,4.05,3.95,4.00,304255
21-Feb-13,4.08,4.08,3.89,3.99,393588
20-Feb-13,4.35,4.37,4.10,4.10,562174
19-Feb-13,4.34,4.46,4.31,4.38,389153
15-Feb-13,4.41,4.47,4.25,4.30,520863
14-Feb-13,4.34,4.46,4.26,4.45,324221
13-Feb-13,4.40,4.40,4.31,4.34,387947
12-Feb-13,4.41,4.45,4.32,4.37,230364
11-Feb-13,4.51,4.56,4.33,4.42,349107
8-Feb-13,4.60,4.68,4.50,4.53,453915
7-Feb-13,4.67,4.72,4.56,4.57,707675
6-Feb-13,4.90,4.90,4.68,4.68,857306
5-Feb-13,5.01,5.03,4.90,4.95,436477
4-Feb-13,5.04,5.09,4.93,4.94,340825
1-Feb-13,5.15,5.21,5.04,5.11,288991
31-Jan-13,5.13,5.20,5.06,5.14,233654
30-Jan-13,5.23,5.29,5.10,5.14,248367
29-Jan-13,5.14,5.24,5.06,5.23,272337
28-Jan-13,5.22,5.26,5.10,5.13,212166
25-Jan-13,5.23,5.31,5.09,5.19,569891
24-Jan-13,5.22,5.39,5.21,5.21,292010
23-Jan-13,5.37,5.39,5.18,5.22,280097
22-Jan-13,5.21,5.38,5.14,5.38,359906
18-Jan-13,5.10,5.22,5.10,5.22,325442
17-Jan-13,5.11,5.16,5.08,5.11,296842
16-Jan-13,5.12,5.13,5.03,5.05,261850
15-Jan-13,5.08,5.15,5.03,5.15,197875
14-Jan-13,4.96,5.12,4.95,5.09,234762
11-Jan-13,5.10,5.11,4.98,5.01,270063
10-Jan-13,5.05,5.15,4.98,5.10,323285
9-Jan-13,5.09,5.14,4.98,5.03,419917
8-Jan-13,5.07,5.16,5.02,5.06,282926
7-Jan-13,5.16,5.20,5.06,5.10,424011
4-Jan-13,5.04,5.23,5.02,5.20,336559
3-Jan-13,4.95,5.16,4.85,5.07,462326
2-Jan-13,5.07,5.15,4.90,4.97,644613
31-Dec-12,4.79,4.96,4.77,4.95,411012
28-Dec-12,4.80,4.94,4.80,4.82,317063
27-Dec-12,4.90,4.91,4.80,4.86,310897
26-Dec-12,4.85,5.00,4.82,4.91,491513
24-Dec-12,4.82,4.84,4.75,4.81,179280
21-Dec-12,4.88,5.02,4.78,4.80,5465050
20-Dec-12,4.82,4.99,4.81,4.91,504135
19-Dec-12,4.97,5.01,4.81,4.81,611585
18-Dec-12,4.97,4.99,4.80,4.94,835351
17-Dec-12,5.24,5.24,4.94,4.97,550403
14-Dec-12,4.89,5.22,4.89,5.22,571493
13-Dec-12,5.08,5.08,4.91,4.98,385048
12-Dec-12,5.16,5.19,5.03,5.06,281359
11-Dec-12,5.09,5.20,5.05,5.15,386249
10-Dec-12,5.17,5.22,4.99,5.05,367933
7-Dec-12,5.31,5.35,5.18,5.20,451295
6-Dec-12,5.23,5.37,5.19,5.28,264573
5-Dec-12,5.22,5.35,5.20,5.27,305490
4-Dec-12,5.31,5.37,5.12,5.19,286156
3-Dec-12,5.39,5.45,5.18,5.29,379558
30-Nov-12,5.32,5.34,5.15,5.33,554032
29-Nov-12,5.24,5.36,5.17,5.29,362099
28-Nov-12,5.17,5.17,5.00,5.16,555210
27-Nov-12,5.13,5.28,5.10,5.15,315986
26-Nov-12,5.37,5.37,5.08,5.14,653603
23-Nov-12,5.30,5.50,5.16,5.33,323935
21-Nov-12,4.91,5.07,4.83,5.06,244395
20-Nov-12,4.96,5.05,4.81,4.89,247196
19-Nov-12,4.91,5.00,4.86,4.99,345157
16-Nov-12,4.85,4.93,4.69,4.81,546494
15-Nov-12,4.85,4.94,4.75,4.81,412427
14-Nov-12,5.00,5.03,4.82,4.84,697822
13-Nov-12,5.11,5.16,5.00,5.01,634093
12-Nov-12,5.23,5.28,5.16,5.21,231263
9-Nov-12,5.03,5.30,4.95,5.20,672425
8-Nov-12,5.26,5.60,5.09,5.12,1000391
7-Nov-12,5.50,5.65,4.90,5.03,1539940
6-Nov-12,6.05,6.13,5.98,6.12,268754
5-Nov-12,5.83,6.01,5.79,5.96,201024
2-Nov-12,6.06,6.10,5.83,5.85,239749
1-Nov-12,6.04,6.09,5.94,6.02,382755
31-Oct-12,6.06,6.11,5.90,6.10,351898
26-Oct-12,6.10,6.27,5.92,6.07,241048
25-Oct-12,6.03,6.17,5.98,6.14,382678
24-Oct-12,6.20,6.20,5.94,5.95,417479
23-Oct-12,6.19,6.23,6.07,6.17,322290
22-Oct-12,6.47,6.52,6.26,6.31,428750
19-Oct-12,6.57,6.65,6.41,6.48,415313
18-Oct-12,6.74,6.74,6.60,6.60,301885
17-Oct-12,6.75,6.78,6.67,6.75,316088
16-Oct-12,6.61,6.76,6.56,6.74,464342
15-Oct-12,6.57,6.64,6.42,6.55,266580
12-Oct-12,6.65,6.81,6.51,6.52,369204
11-Oct-12,6.74,6.84,6.64,6.70,395623
10-Oct-12,6.83,6.90,6.65,6.67,521189
9-Oct-12,6.72,6.90,6.65,6.86,493902
8-Oct-12,6.66,6.81,6.62,6.71,255802
5-Oct-12,6.88,6.92,6.70,6.72,623429
4-Oct-12,6.79,6.90,6.69,6.86,315273
3-Oct-12,6.97,6.97,6.70,6.74,427813
2-Oct-12,6.87,7.00,6.80,6.98,795192
1-Oct-12,6.72,6.89,6.64,6.78,802665
28-Sep-12,6.69,6.79,6.64,6.71,426777
27-Sep-12,6.41,6.76,6.38,6.74,470651
26-Sep-12,6.35,6.47,6.28,6.35,361737
25-Sep-12,6.63,6.72,6.34,6.35,385492
24-Sep-12,6.42,6.70,6.39,6.60,350226
21-Sep-12,6.51,6.65,6.47,6.50,770951
20-Sep-12,6.40,6.46,6.30,6.42,456363
19-Sep-12,6.62,6.63,6.39,6.44,435619
18-Sep-12,6.81,6.87,6.44,6.58,644806
17-Sep-12,6.92,7.02,6.79,6.81,376719
14-Sep-12,6.89,7.05,6.88,6.99,607007
13-Sep-12,6.72,6.93,6.66,6.83,665046
12-Sep-12,6.72,6.82,6.62,6.71,417431
11-Sep-12,6.60,6.71,6.45,6.70,321875
10-Sep-12,6.60,6.73,6.54,6.58,372570
7-Sep-12,6.37,6.64,6.32,6.61,494421
6-Sep-12,6.27,6.41,6.23,6.34,1071731
5-Sep-12,6.27,6.27,6.15,6.17,997513
4-Sep-12,6.28,6.41,6.15,6.22,788010
31-Aug-12,6.51,6.54,6.32,6.37,538357
30-Aug-12,6.44,6.52,6.44,6.44,201884
29-Aug-12,6.47,6.60,6.41,6.49,450721
28-Aug-12,6.29,6.48,6.23,6.45,600761
27-Aug-12,6.37,6.47,6.29,6.31,441529
24-Aug-12,6.31,6.40,6.17,6.34,629502
23-Aug-12,6.50,6.58,6.34,6.35,389857
22-Aug-12,6.45,6.53,6.32,6.49,679687
21-Aug-12,6.54,6.70,6.39,6.47,657730
20-Aug-12,6.45,6.56,6.39,6.51,411290
17-Aug-12,6.42,6.50,6.36,6.50,429320
16-Aug-12,6.32,6.47,6.30,6.43,556092
15-Aug-12,6.35,6.48,6.30,6.33,464921
14-Aug-12,6.33,6.44,6.28,6.37,469563
13-Aug-12,6.26,6.36,6.19,6.26,441296
10-Aug-12,6.22,6.33,6.15,6.29,347360
9-Aug-12,6.24,6.41,6.16,6.29,489058
