Date, Open, High, Low, Close, Volume
17-May-13,0.38,0.39,0.37,0.38,161715
16-May-13,0.37,0.38,0.36,0.37,58787
15-May-13,0.38,0.38,0.37,0.37,76615
14-May-13,0.39,0.39,0.37,0.37,67423
13-May-13,0.38,0.39,0.37,0.38,64227
10-May-13,0.39,0.39,0.38,0.38,195879
9-May-13,0.38,0.40,0.38,0.39,143081
8-May-13,0.36,0.38,0.35,0.38,141555
7-May-13,0.37,0.38,0.36,0.37,82717
6-May-13,0.37,0.37,0.34,0.36,165879
3-May-13,0.31,0.33,0.30,0.32,143706
2-May-13,0.33,0.34,0.31,0.31,67501
1-May-13,0.33,0.34,0.32,0.32,130213
30-Apr-13,0.34,0.34,0.32,0.33,143654
29-Apr-13,0.35,0.35,0.34,0.34,18140
26-Apr-13,0.33,0.35,0.33,0.34,51356
25-Apr-13,0.34,0.34,0.34,0.34,52020
24-Apr-13,0.35,0.36,0.34,0.34,42358
23-Apr-13,0.34,0.36,0.32,0.35,83510
22-Apr-13,0.33,0.34,0.32,0.33,24965
19-Apr-13,0.34,0.34,0.33,0.33,49586
18-Apr-13,0.34,0.36,0.33,0.33,70092
17-Apr-13,0.36,0.36,0.33,0.34,67946
16-Apr-13,0.38,0.38,0.36,0.36,16086
15-Apr-13,0.38,0.38,0.33,0.36,107360
12-Apr-13,0.40,0.40,0.38,0.38,44869
11-Apr-13,0.34,0.39,0.34,0.38,86143
10-Apr-13,0.35,0.35,0.32,0.34,75488
9-Apr-13,0.35,0.36,0.34,0.35,38438
8-Apr-13,0.34,0.35,0.33,0.34,44972
5-Apr-13,0.35,0.35,0.32,0.33,164896
4-Apr-13,0.36,0.38,0.35,0.35,122222
3-Apr-13,0.39,0.40,0.36,0.36,52939
2-Apr-13,0.40,0.40,0.38,0.40,33437
1-Apr-13,0.42,0.42,0.38,0.39,139223
28-Mar-13,0.38,0.40,0.38,0.40,90286
27-Mar-13,0.38,0.39,0.37,0.38,125659
26-Mar-13,0.33,0.38,0.33,0.38,193082
25-Mar-13,0.36,0.36,0.34,0.34,49606
22-Mar-13,0.37,0.37,0.35,0.36,49327
21-Mar-13,0.39,0.40,0.36,0.37,133147
20-Mar-13,0.40,0.40,0.39,0.39,85823
19-Mar-13,0.40,0.40,0.38,0.40,71773
18-Mar-13,0.35,0.44,0.33,0.39,314596
15-Mar-13,0.41,0.41,0.30,0.30,404587
14-Mar-13,0.43,0.48,0.41,0.42,111207
13-Mar-13,0.42,0.47,0.42,0.44,178643
12-Mar-13,0.44,0.48,0.42,0.42,264410
11-Mar-13,0.44,0.49,0.42,0.47,236591
8-Mar-13,0.49,0.53,0.41,0.43,819215
7-Mar-13,0.40,0.48,0.40,0.48,302118
6-Mar-13,0.38,0.41,0.38,0.40,55894
5-Mar-13,0.38,0.41,0.37,0.38,217366
4-Mar-13,0.41,0.41,0.39,0.39,116054
1-Mar-13,0.39,0.41,0.37,0.40,110110
28-Feb-13,0.40,0.41,0.38,0.39,170338
27-Feb-13,0.40,0.42,0.38,0.40,248847
26-Feb-13,0.46,0.49,0.38,0.40,781464
25-Feb-13,0.35,0.46,0.34,0.45,1159536
22-Feb-13,0.30,0.35,0.30,0.34,510894
21-Feb-13,0.28,0.30,0.28,0.30,67094
20-Feb-13,0.29,0.31,0.28,0.29,111914
19-Feb-13,0.28,0.28,0.27,0.28,104401
15-Feb-13,0.28,0.28,0.27,0.28,111413
14-Feb-13,0.29,0.29,0.28,0.28,56582
13-Feb-13,0.28,0.30,0.28,0.28,105735
12-Feb-13,0.30,0.30,0.28,0.29,179017
11-Feb-13,0.30,0.30,0.29,0.30,34500
8-Feb-13,0.30,0.30,0.29,0.29,58192
7-Feb-13,0.31,0.31,0.29,0.29,109687
6-Feb-13,0.30,0.31,0.29,0.30,178840
5-Feb-13,0.29,0.32,0.29,0.29,168663
4-Feb-13,0.30,0.32,0.29,0.29,96178
1-Feb-13,0.32,0.35,0.29,0.30,145367
31-Jan-13,0.29,0.32,0.29,0.29,48511
30-Jan-13,0.30,0.32,0.29,0.30,261625
29-Jan-13,0.30,0.31,0.28,0.30,102193
28-Jan-13,0.33,0.33,0.30,0.30,221659
25-Jan-13,0.32,0.33,0.31,0.32,125918
24-Jan-13,0.33,0.33,0.31,0.32,135326
23-Jan-13,0.35,0.35,0.33,0.33,175919
22-Jan-13,0.37,0.37,0.32,0.34,178292
18-Jan-13,0.35,0.35,0.32,0.34,125289
17-Jan-13,0.36,0.36,0.33,0.34,207540
16-Jan-13,0.34,0.34,0.33,0.34,91061
15-Jan-13,0.33,0.34,0.32,0.33,88414
14-Jan-13,0.32,0.34,0.32,0.33,332764
11-Jan-13,0.37,0.37,0.34,0.36,233309
10-Jan-13,0.38,0.38,0.34,0.36,247733
9-Jan-13,0.38,0.38,0.36,0.38,150805
8-Jan-13,0.36,0.39,0.35,0.38,246928
7-Jan-13,0.36,0.37,0.34,0.36,100660
4-Jan-13,0.37,0.38,0.36,0.37,445888
3-Jan-13,0.33,0.36,0.32,0.35,343570
2-Jan-13,0.33,0.33,0.30,0.33,212698
31-Dec-12,0.30,0.31,0.28,0.31,217781
28-Dec-12,0.28,0.31,0.28,0.28,253465
