Date, Open, High, Low, Close, Volume
17-May-13,102.00,103.20,102.00,103.07,3429
16-May-13,103.25,103.83,101.45,101.65,18384
15-May-13,103.42,103.87,103.21,103.62,16299
14-May-13,103.26,103.84,103.01,103.60,30568
13-May-13,103.75,104.25,103.15,103.80,20607
10-May-13,104.06,104.25,103.60,104.25,10071
9-May-13,104.22,104.67,104.00,104.14,23925
8-May-13,103.35,104.25,103.35,104.00,23158
7-May-13,104.00,104.20,103.47,103.52,11989
6-May-13,103.83,104.42,103.24,104.07,2289
3-May-13,103.86,104.46,103.72,104.01,5004
2-May-13,104.00,104.00,103.42,103.72,1524
1-May-13,103.76,104.00,103.71,103.76,3815
30-Apr-13,103.11,104.16,103.11,104.00,4808
29-Apr-13,103.01,104.00,103.01,103.31,5480
26-Apr-13,103.05,103.68,103.05,103.10,2346
25-Apr-13,103.36,103.68,103.17,103.27,990
24-Apr-13,103.11,103.50,103.11,103.50,561
23-Apr-13,103.40,103.75,103.21,103.60,4167
22-Apr-13,102.58,103.78,102.58,103.40,2678
19-Apr-13,102.04,102.99,102.04,102.87,2594
18-Apr-13,102.99,102.99,102.00,102.36,3528
17-Apr-13,103.95,104.00,102.41,102.50,7802
16-Apr-13,102.70,104.85,101.95,104.75,7780
15-Apr-13,103.61,103.61,103.11,103.32,4480
12-Apr-13,102.12,104.10,102.12,104.04,17751
11-Apr-13,104.06,104.06,103.31,103.50,4645
10-Apr-13,104.03,104.32,103.55,103.77,3916
9-Apr-13,103.98,104.45,103.49,103.83,4231
8-Apr-13,103.60,104.19,103.20,103.83,7875
5-Apr-13,104.25,104.37,103.87,103.88,3608
4-Apr-13,103.87,104.37,103.59,104.15,7311
3-Apr-13,104.10,104.63,103.95,104.14,5983
2-Apr-13,104.65,105.00,104.10,104.10,4092
1-Apr-13,106.66,106.66,104.22,104.47,7727
28-Mar-13,104.90,106.50,104.41,106.50,9503
27-Mar-13,104.01,104.89,104.01,104.88,5830
26-Mar-13,104.90,104.90,104.08,104.27,5288
25-Mar-13,104.15,104.64,104.01,104.62,8981
22-Mar-13,104.44,104.55,104.06,104.09,6924
21-Mar-13,104.38,104.85,104.06,104.44,9553
20-Mar-13,104.70,105.19,104.06,104.06,13411
19-Mar-13,105.00,105.49,104.01,104.04,12830
18-Mar-13,104.28,105.08,104.01,104.79,5771
15-Mar-13,104.45,105.42,104.01,105.40,4266
14-Mar-13,104.54,104.99,104.00,104.99,6693
13-Mar-13,104.07,104.57,104.01,104.57,1821
12-Mar-13,104.73,104.73,103.92,104.04,9942
11-Mar-13,104.55,104.64,104.02,104.30,9422
8-Mar-13,103.00,104.66,103.00,104.66,8597
7-Mar-13,103.11,103.50,103.00,103.01,12368
6-Mar-13,102.70,103.48,102.70,103.00,16703
5-Mar-13,104.33,104.33,102.76,102.76,11414
4-Mar-13,103.18,103.86,102.99,103.68,4703
1-Mar-13,103.67,104.11,102.67,102.77,6292
28-Feb-13,103.40,104.11,103.40,103.60,8879
27-Feb-13,102.90,104.10,102.75,103.82,14952
26-Feb-13,102.12,103.62,100.12,103.50,17762
25-Feb-13,103.93,103.93,102.51,102.99,4805
22-Feb-13,102.50,103.50,102.28,103.45,8453
21-Feb-13,103.93,103.93,101.43,102.12,10235
20-Feb-13,103.96,103.96,102.87,103.61,11048
19-Feb-13,102.00,103.95,101.91,103.95,17586
15-Feb-13,102.01,102.37,101.57,102.22,5449
14-Feb-13,102.10,102.50,102.00,102.01,8461
13-Feb-13,101.58,102.68,101.51,102.20,11225
12-Feb-13,100.84,102.41,100.81,102.41,17154
11-Feb-13,100.33,101.55,100.33,101.07,32543
8-Feb-13,101.83,102.10,101.00,101.85,12774
7-Feb-13,100.16,101.66,100.16,101.65,33063
6-Feb-13,98.80,101.70,97.80,101.30,72697
5-Feb-13,102.79,103.49,101.40,101.45,19573
4-Feb-13,104.10,104.10,101.08,102.25,18217
1-Feb-13,106.00,107.32,103.00,104.48,19783
31-Jan-13,109.53,110.76,109.53,109.90,8292
30-Jan-13,111.90,111.90,110.11,110.98,7813
29-Jan-13,111.08,112.22,110.46,111.53,7548
28-Jan-13,111.40,111.56,110.00,110.56,10050
25-Jan-13,111.31,111.32,110.52,110.89,30655
24-Jan-13,112.00,112.00,111.02,111.30,5402
23-Jan-13,112.60,112.60,111.00,111.72,9853
22-Jan-13,111.87,112.61,111.35,111.69,12510
18-Jan-13,111.40,112.13,110.58,111.19,5862
17-Jan-13,110.87,111.91,110.29,111.31,5178
16-Jan-13,110.21,110.75,110.17,110.29,6085
15-Jan-13,111.00,111.50,109.43,111.38,8415
14-Jan-13,111.55,111.55,110.23,111.20,9604
11-Jan-13,111.58,112.01,110.82,111.02,17294
10-Jan-13,111.79,111.82,110.67,111.50,10905
9-Jan-13,111.73,112.02,110.85,111.39,13685
8-Jan-13,111.92,111.92,109.52,110.60,15380
7-Jan-13,108.50,111.70,108.02,110.86,4944
4-Jan-13,109.00,109.00,107.99,108.26,5844
3-Jan-13,104.98,108.49,104.98,107.90,15830
2-Jan-13,104.05,104.30,103.05,104.30,14185
31-Dec-12,100.01,104.26,100.01,104.00,43118
28-Dec-12,100.01,101.52,99.75,99.93,12160
27-Dec-12,99.01,100.79,99.00,100.13,11311
26-Dec-12,98.30,100.04,98.04,98.86,10854
24-Dec-12,99.50,99.50,97.25,98.60,10123
21-Dec-12,100.41,101.94,99.62,100.00,12320
20-Dec-12,102.13,102.80,101.00,101.85,8017
19-Dec-12,101.61,103.00,101.30,102.48,11251
18-Dec-12,103.40,103.44,101.30,101.60,13639
17-Dec-12,103.14,103.93,102.98,103.10,21813
14-Dec-12,103.80,104.24,103.03,103.95,6035
13-Dec-12,103.13,103.70,103.00,103.69,6487
12-Dec-12,99.73,103.70,99.73,103.70,15961
11-Dec-12,99.15,99.99,94.63,99.99,21128
10-Dec-12,101.53,101.66,98.87,99.20,10116
7-Dec-12,101.54,101.97,100.00,101.07,4018
6-Dec-12,102.39,102.39,97.70,101.44,4841
5-Dec-12,100.70,102.50,100.70,102.03,12089
4-Dec-12,101.90,102.30,100.40,101.44,3992
3-Dec-12,102.01,102.39,99.49,101.61,11202
