Date, Open, High, Low, Close, Volume
17-May-13,45.35,45.55,45.12,45.55,2717822
16-May-13,44.79,45.43,44.77,45.12,4465707
15-May-13,44.18,45.02,44.15,44.79,4533706
14-May-13,44.34,44.64,44.09,44.34,2077962
13-May-13,44.69,44.97,44.58,44.61,1868063
10-May-13,45.16,45.47,44.90,45.04,4886931
9-May-13,46.07,46.26,45.21,45.49,11488127
8-May-13,47.24,47.30,46.75,47.10,3316639
7-May-13,46.36,47.24,46.30,46.79,6880203
6-May-13,45.58,46.14,45.40,46.07,3506009
3-May-13,45.99,46.00,45.48,45.53,2387899
2-May-13,45.53,45.79,44.88,45.13,2560053
1-May-13,44.81,45.25,44.63,45.15,1921870
30-Apr-13,44.49,45.20,44.32,45.20,1608033
29-Apr-13,44.72,45.02,44.52,44.75,1829788
26-Apr-13,44.54,44.95,44.18,44.49,4488729
25-Apr-13,46.36,46.49,44.79,44.79,19330633
24-Apr-13,45.26,46.05,45.26,45.99,1660547
23-Apr-13,45.16,45.29,44.56,45.26,2552869
22-Apr-13,44.88,44.99,44.20,44.96,1538372
19-Apr-13,44.75,44.79,44.06,44.60,2433746
18-Apr-13,43.86,45.02,43.64,44.72,3564698
17-Apr-13,44.35,44.55,43.57,43.87,4121964
16-Apr-13,45.20,45.45,44.75,44.80,1761218
15-Apr-13,46.49,46.49,44.70,44.70,2880530
12-Apr-13,47.21,47.41,46.83,47.07,2553539
11-Apr-13,47.77,47.77,47.22,47.51,1796613
10-Apr-13,48.12,48.12,47.67,47.82,1178810
9-Apr-13,47.24,48.06,47.24,48.01,1497728
8-Apr-13,46.62,47.17,46.48,47.12,1697981
5-Apr-13,46.10,46.76,45.96,46.65,2083485
4-Apr-13,46.14,46.86,45.83,46.44,2252643
3-Apr-13,46.68,46.74,46.01,46.22,1669210
2-Apr-13,47.05,47.09,46.50,46.67,1057921
1-Apr-13,47.33,47.33,46.65,46.95,997046
28-Mar-13,47.47,47.56,47.10,47.47,3286104
27-Mar-13,46.55,47.48,46.21,47.47,3503140
26-Mar-13,46.77,46.91,46.53,46.91,3331653
25-Mar-13,46.79,46.94,46.38,46.67,1756740
22-Mar-13,46.99,47.04,46.61,46.74,1538799
21-Mar-13,46.62,47.04,46.62,46.75,5008237
20-Mar-13,47.00,47.34,46.85,46.99,2717381
19-Mar-13,47.17,47.25,46.50,46.74,3737399
18-Mar-13,46.54,47.06,46.53,46.99,1367179
15-Mar-13,46.77,47.23,46.72,47.11,1797970
14-Mar-13,46.37,46.64,46.09,46.64,1702366
13-Mar-13,46.53,46.67,46.22,46.31,1538500
12-Mar-13,46.59,47.00,46.54,46.63,1845544
11-Mar-13,46.47,46.58,46.16,46.51,1345753
8-Mar-13,46.47,46.54,46.23,46.48,2068960
7-Mar-13,46.13,46.34,45.98,46.24,661479
6-Mar-13,45.53,46.25,45.48,46.05,1445415
5-Mar-13,45.29,45.59,45.18,45.21,819178
4-Mar-13,45.03,45.15,44.58,45.06,1363671
1-Mar-13,45.13,45.30,44.99,45.10,1713985
28-Feb-13,45.67,45.67,45.32,45.37,1125751
27-Feb-13,45.42,45.76,45.37,45.67,1291537
26-Feb-13,45.26,45.56,45.03,45.34,3378938
25-Feb-13,46.05,46.15,45.10,45.15,1885680
22-Feb-13,46.00,46.00,45.22,45.91,1625461
21-Feb-13,45.55,45.81,45.18,45.63,3502063
20-Feb-13,47.15,47.16,45.50,45.55,2140810
19-Feb-13,47.70,47.73,47.18,47.27,938666
15-Feb-13,48.07,48.08,47.55,47.64,964523
14-Feb-13,48.00,48.21,47.88,48.06,1117314
13-Feb-13,48.14,48.23,47.94,48.23,891428
12-Feb-13,47.70,48.14,47.59,48.04,651881
11-Feb-13,47.90,47.90,47.63,47.78,614875
8-Feb-13,48.05,48.20,47.90,48.10,440206
7-Feb-13,48.29,48.35,47.84,48.00,535472
6-Feb-13,47.96,48.47,47.91,48.33,557537
5-Feb-13,47.99,48.27,47.86,48.07,896557
4-Feb-13,47.87,48.19,47.81,47.86,1350665
1-Feb-13,48.05,48.18,47.80,48.12,1098643
31-Jan-13,47.65,47.85,47.52,47.75,1074186
30-Jan-13,47.70,48.04,47.60,47.67,1183835
29-Jan-13,47.24,47.63,47.18,47.54,993848
28-Jan-13,47.42,47.46,47.06,47.21,647200
25-Jan-13,47.35,47.47,47.01,47.38,1492420
24-Jan-13,47.41,47.62,47.14,47.21,1203956
23-Jan-13,47.61,47.64,47.36,47.45,881458
22-Jan-13,46.73,47.95,46.73,47.68,1602531
18-Jan-13,46.98,47.09,46.50,46.59,1851200
17-Jan-13,47.35,47.35,46.77,46.84,1645347
16-Jan-13,47.15,47.21,46.95,47.02,1012719
15-Jan-13,47.14,47.44,47.07,47.28,969212
14-Jan-13,47.43,47.66,47.15,47.32,1365603
11-Jan-13,47.52,47.73,47.28,47.54,1892612
10-Jan-13,47.70,47.83,47.43,47.72,2172352
9-Jan-13,47.48,47.55,47.19,47.38,2431070
8-Jan-13,47.45,47.63,47.14,47.30,1502814
7-Jan-13,47.33,47.74,47.30,47.50,2501131
4-Jan-13,47.18,47.73,47.02,47.71,3624988
3-Jan-13,47.43,47.75,46.98,47.18,3122214
2-Jan-13,47.98,48.00,47.15,47.50,3945178
31-Dec-12,45.91,47.08,45.80,46.94,4023064
28-Dec-12,46.20,46.29,45.91,46.07,2139250
27-Dec-12,46.48,46.52,46.07,46.37,2700903
26-Dec-12,46.39,46.61,46.33,46.44,2672429
24-Dec-12,46.00,46.25,45.88,46.24,2245994
21-Dec-12,45.96,46.22,45.00,46.15,8144505
20-Dec-12,46.55,46.65,46.07,46.37,5914058
19-Dec-12,46.39,46.59,46.13,46.45,6652139
18-Dec-12,45.96,46.52,45.94,46.31,4976195
17-Dec-12,46.21,46.22,45.76,45.95,2725712
14-Dec-12,45.21,46.15,45.21,46.08,4291622
13-Dec-12,44.99,45.27,44.81,45.16,5169213
12-Dec-12,44.90,45.24,44.66,45.21,6017318
11-Dec-12,45.18,45.18,44.59,44.73,4812487
10-Dec-12,44.60,44.96,44.28,44.92,10862998
7-Dec-12,43.47,44.80,43.45,44.62,17872549
6-Dec-12,43.85,44.00,42.92,43.18,21358787
5-Dec-12,44.73,45.71,44.11,44.50,56756547
4-Dec-12,35.45,36.40,35.30,36.05,1991089
3-Dec-12,35.35,36.19,35.11,35.61,1977106
30-Nov-12,35.87,36.34,35.47,35.70,3091248
29-Nov-12,34.94,35.89,34.87,35.72,3691139
28-Nov-12,33.53,34.84,33.44,34.80,1902861
27-Nov-12,33.18,34.44,32.31,33.99,3906762
26-Nov-12,35.64,35.72,33.92,34.03,3812241
23-Nov-12,35.40,35.93,35.15,35.91,538099
21-Nov-12,35.13,35.38,34.66,35.18,1011669
20-Nov-12,35.06,35.25,34.47,34.94,1333686
19-Nov-12,34.70,35.38,34.70,35.24,2082527
16-Nov-12,34.14,34.39,33.54,34.11,2499377
15-Nov-12,34.14,34.88,33.88,34.07,1986796
14-Nov-12,34.74,34.83,33.68,34.13,2155792
13-Nov-12,34.58,35.58,34.50,34.57,1288944
12-Nov-12,35.06,35.24,34.50,34.98,1239377
9-Nov-12,34.24,35.81,34.04,34.94,1858125
8-Nov-12,35.42,35.83,34.28,34.30,2590418
7-Nov-12,36.62,36.62,35.11,35.33,2192062
6-Nov-12,36.54,37.33,36.33,37.24,2646302
5-Nov-12,36.10,36.70,35.82,36.27,2295576
2-Nov-12,36.78,37.13,35.80,36.10,2282149
1-Nov-12,35.66,37.58,35.50,36.52,3407567
31-Oct-12,35.62,35.75,34.93,35.66,3023797
26-Oct-12,35.32,36.02,35.07,35.87,1435618
25-Oct-12,35.18,35.65,34.15,35.43,2915956
24-Oct-12,35.69,36.03,34.70,34.76,2121048
23-Oct-12,36.07,36.25,35.12,35.59,3036741
22-Oct-12,37.72,38.05,36.72,37.14,1876959
19-Oct-12,38.53,38.78,37.52,38.00,1705146
18-Oct-12,37.98,38.75,37.65,38.67,2718271
17-Oct-12,37.49,38.44,37.07,38.29,1839517
16-Oct-12,36.52,37.49,36.30,37.41,2461605
15-Oct-12,36.29,36.55,35.67,36.41,2120627
12-Oct-12,37.10,37.51,36.36,36.41,3031532
11-Oct-12,36.77,37.44,36.32,37.08,4683099
10-Oct-12,36.75,37.16,36.02,36.26,1971240
9-Oct-12,35.97,37.36,35.80,37.00,2738766
8-Oct-12,35.87,36.13,35.55,36.07,1467907
5-Oct-12,37.17,37.22,35.60,36.17,2964587
4-Oct-12,36.79,37.07,36.22,36.99,3146309
3-Oct-12,37.10,37.14,36.26,36.50,3355642
2-Oct-12,37.77,37.77,36.88,37.04,2783873
1-Oct-12,37.82,38.34,37.08,37.08,2192361
28-Sep-12,36.95,37.93,36.60,37.47,3391411
27-Sep-12,37.66,37.87,37.00,37.36,2648176
26-Sep-12,38.60,38.60,36.96,37.37,3039738
25-Sep-12,39.51,39.62,38.63,38.63,2246567
24-Sep-12,39.06,39.78,38.90,39.24,2422556
21-Sep-12,38.92,39.85,38.92,39.55,4275675
20-Sep-12,37.52,38.60,37.20,38.56,2270007
19-Sep-12,38.11,38.22,37.34,37.85,3751579
18-Sep-12,38.63,38.87,37.60,38.01,2261423
17-Sep-12,39.75,40.61,38.51,38.80,4152764
14-Sep-12,39.86,40.90,39.85,40.06,4944908
13-Sep-12,38.10,39.83,37.88,39.40,7078362
12-Sep-12,37.01,37.88,36.98,37.82,5606285
11-Sep-12,36.32,37.03,36.06,36.65,6562942
10-Sep-12,37.75,37.75,36.07,36.09,16878351
7-Sep-12,40.03,40.70,39.98,40.33,2162405
6-Sep-12,39.95,40.69,39.56,39.76,2624228
5-Sep-12,39.55,39.76,38.68,39.44,1751487
4-Sep-12,39.09,39.75,38.62,39.64,1300999
31-Aug-12,39.66,39.72,38.76,39.32,1548868
30-Aug-12,39.83,39.96,38.86,38.87,1780453
29-Aug-12,40.88,40.88,39.80,40.00,1261425
28-Aug-12,40.76,41.34,40.64,40.89,1005511
27-Aug-12,41.25,41.61,40.78,40.92,802168
24-Aug-12,39.43,41.33,39.28,41.09,1810872
23-Aug-12,40.63,41.03,39.41,39.49,1262463
22-Aug-12,40.56,40.96,39.82,40.75,1166435
21-Aug-12,41.73,42.20,40.83,40.97,765863
20-Aug-12,41.82,42.21,41.35,41.68,795804
17-Aug-12,42.02,42.27,41.77,41.90,953210
16-Aug-12,41.41,42.34,41.21,41.99,1235189
15-Aug-12,40.60,41.54,40.60,41.41,1316170
14-Aug-12,40.82,41.31,40.61,40.92,1354471
13-Aug-12,40.87,41.40,40.12,40.36,2716871
10-Aug-12,41.02,41.04,40.55,40.92,1316015
9-Aug-12,41.34,42.26,41.20,41.44,1076422
8-Aug-12,41.04,42.27,40.98,41.48,1311208
7-Aug-12,41.65,42.22,41.29,41.33,1563241
6-Aug-12,41.35,41.86,41.07,41.15,1255132
3-Aug-12,40.30,41.86,40.21,41.24,2397760
2-Aug-12,38.33,40.93,38.33,39.16,3391007
1-Aug-12,40.29,40.60,39.44,39.94,2462821
31-Jul-12,41.00,41.25,39.83,39.96,1806829
30-Jul-12,41.54,41.68,40.53,41.10,1556813
27-Jul-12,39.92,42.09,39.71,41.63,2754352
26-Jul-12,39.23,39.80,38.71,39.71,1437350
25-Jul-12,38.44,38.71,37.54,38.30,1088767
24-Jul-12,39.58,39.83,37.43,38.06,2639877
23-Jul-12,39.01,39.78,38.48,39.57,1400322
20-Jul-12,40.03,40.44,39.66,40.34,1545545
19-Jul-12,40.29,41.05,40.04,40.37,2659271
18-Jul-12,39.15,40.43,39.15,40.00,2482788
17-Jul-12,39.32,39.50,38.34,39.40,2293995
16-Jul-12,38.48,39.45,38.19,38.99,1853827
13-Jul-12,39.05,39.51,38.64,38.68,2464180
12-Jul-12,37.48,38.97,37.20,38.64,2664374
11-Jul-12,37.81,38.87,37.40,38.38,2141751
10-Jul-12,38.36,38.62,37.46,37.65,2652730
9-Jul-12,37.11,38.60,37.07,38.21,3243513
6-Jul-12,36.93,37.19,36.40,36.86,1728786
5-Jul-12,38.02,38.47,37.33,37.59,2115333
3-Jul-12,36.54,38.44,36.18,38.17,2211682
2-Jul-12,35.33,36.34,34.95,36.13,3639267
29-Jun-12,34.02,35.25,33.89,35.18,2988924
28-Jun-12,32.08,33.21,31.78,32.80,2535298
27-Jun-12,32.01,32.67,31.86,32.43,3018508
26-Jun-12,31.37,31.88,30.72,31.68,2446634
25-Jun-12,31.37,31.53,30.62,31.36,2215159
22-Jun-12,31.59,32.25,30.12,32.01,3985200
21-Jun-12,34.70,34.81,31.21,31.49,3997433
20-Jun-12,35.86,36.18,34.61,34.80,1693860
19-Jun-12,35.69,36.31,35.54,35.82,2078179
18-Jun-12,36.35,36.45,35.39,35.59,1917386
15-Jun-12,35.62,36.94,35.48,36.89,1954430
14-Jun-12,34.85,35.86,34.59,35.64,1424430
13-Jun-12,34.94,35.80,34.63,34.81,1859392
12-Jun-12,34.71,35.46,34.33,35.35,1498673
11-Jun-12,36.24,36.29,34.30,34.33,1745372
8-Jun-12,34.90,35.65,34.16,35.53,2036850
7-Jun-12,36.22,36.90,35.21,35.29,2707951
6-Jun-12,34.37,36.09,34.20,35.44,3227107
5-Jun-12,32.56,33.97,32.54,33.83,2439630
4-Jun-12,32.61,32.81,31.27,32.58,4349662
1-Jun-12,34.78,34.80,32.61,32.66,3523254
31-May-12,36.15,36.40,35.00,35.79,2437912
30-May-12,36.83,36.83,36.07,36.20,2654014
29-May-12,36.73,38.06,36.73,37.42,1958886
25-May-12,36.04,36.61,35.85,36.46,1209799
24-May-12,37.07,37.33,35.70,36.02,2909078
23-May-12,36.45,36.83,35.34,36.78,2357568
22-May-12,37.70,38.15,36.58,36.90,1323234
21-May-12,35.73,37.42,35.46,37.39,2527681
18-May-12,35.80,36.50,35.43,35.60,1853619
17-May-12,36.30,36.77,35.66,35.66,1661435
16-May-12,37.11,37.89,36.01,36.25,2416818
15-May-12,38.09,38.17,36.85,37.00,2192169
14-May-12,38.43,38.59,37.82,38.03,1566368
11-May-12,39.06,40.07,38.72,39.07,1554666
10-May-12,39.57,40.31,39.10,39.52,1481112
9-May-12,38.57,39.34,38.25,39.00,2332305
8-May-12,39.74,39.75,38.26,39.24,3094843
7-May-12,39.94,40.16,39.10,40.06,1962045
4-May-12,40.71,41.04,39.32,40.15,3225243
3-May-12,39.98,42.75,39.86,40.60,5690416
2-May-12,40.83,40.83,40.09,40.22,2025298
1-May-12,40.98,41.90,40.64,41.26,1533000
30-Apr-12,40.12,41.01,39.71,40.85,2577939
27-Apr-12,40.96,40.98,39.63,40.09,2213856
26-Apr-12,40.37,41.29,40.37,40.89,1365093
25-Apr-12,40.35,40.73,39.50,40.60,1937471
24-Apr-12,39.55,40.44,39.16,39.96,1275284
23-Apr-12,39.13,39.91,38.24,39.60,2228500
20-Apr-12,41.62,41.83,39.97,40.01,1617465
19-Apr-12,41.07,41.86,40.79,41.32,1781443
18-Apr-12,41.00,41.39,40.70,41.17,1916740
17-Apr-12,40.22,41.50,40.06,41.16,2310963
16-Apr-12,41.29,41.68,39.40,39.71,2849882
13-Apr-12,42.12,42.23,40.82,40.88,1834751
12-Apr-12,40.81,42.39,40.63,42.19,1732454
11-Apr-12,41.23,41.50,40.61,40.67,1806172
10-Apr-12,41.72,41.99,40.18,40.50,2108322
9-Apr-12,41.59,42.48,41.45,41.89,1555010
5-Apr-12,41.39,42.41,41.18,42.35,1961156
4-Apr-12,42.37,42.49,41.37,41.40,2002025
3-Apr-12,42.58,43.08,42.35,43.03,1228919
2-Apr-12,42.45,43.81,42.33,43.20,1722296
30-Mar-12,42.60,42.93,41.73,42.65,2540146
