Date, Open, High, Low, Close, Volume
17-May-13,4.54,4.60,4.42,4.50,132806
16-May-13,4.47,4.48,4.36,4.48,122010
15-May-13,4.50,4.50,4.39,4.46,164627
14-May-13,4.52,4.70,4.49,4.51,206113
13-May-13,4.58,4.58,4.50,4.56,92432
10-May-13,4.71,4.74,4.57,4.61,43184
9-May-13,4.64,4.72,4.64,4.67,19818
8-May-13,4.67,4.74,4.66,4.69,76579
7-May-13,4.70,4.75,4.62,4.75,65557
6-May-13,4.75,4.75,4.67,4.71,82571
3-May-13,4.80,4.80,4.69,4.75,56109
2-May-13,4.80,4.80,4.62,4.72,64809
1-May-13,4.91,4.92,4.74,4.83,65284
30-Apr-13,4.88,4.92,4.80,4.92,78877
29-Apr-13,4.80,4.98,4.37,4.94,175740
26-Apr-13,4.80,4.83,4.65,4.82,47524
25-Apr-13,4.73,4.89,4.69,4.83,31461
24-Apr-13,4.56,4.75,4.56,4.74,67161
23-Apr-13,4.52,4.61,4.46,4.51,77496
22-Apr-13,4.34,4.55,4.34,4.54,51946
19-Apr-13,4.40,4.42,4.35,4.40,33459
18-Apr-13,4.49,4.52,4.37,4.40,45636
17-Apr-13,4.40,4.45,4.36,4.41,81364
16-Apr-13,4.55,4.57,4.40,4.47,82697
15-Apr-13,4.58,4.63,4.45,4.45,63810
12-Apr-13,4.45,4.70,4.40,4.61,91111
11-Apr-13,4.84,4.85,4.65,4.69,42294
10-Apr-13,4.99,5.03,4.77,4.81,119263
9-Apr-13,4.63,5.00,4.59,4.91,170512
8-Apr-13,4.58,4.65,4.48,4.60,127832
5-Apr-13,4.56,4.65,4.56,4.59,43820
4-Apr-13,4.64,4.67,4.58,4.66,44695
3-Apr-13,4.43,4.64,4.30,4.62,268407
2-Apr-13,4.65,4.68,4.45,4.50,198035
1-Apr-13,4.72,4.85,4.65,4.65,71848
28-Mar-13,4.87,4.88,4.72,4.73,68134
27-Mar-13,4.93,4.97,4.83,4.89,70902
26-Mar-13,5.11,5.13,4.90,4.97,63045
25-Mar-13,5.00,5.12,5.00,5.12,64187
22-Mar-13,5.06,5.09,4.96,5.00,71036
21-Mar-13,5.05,5.13,5.03,5.12,51867
20-Mar-13,5.12,5.15,5.02,5.12,171482
19-Mar-13,5.15,5.15,5.02,5.13,67141
18-Mar-13,5.10,5.21,5.08,5.19,89226
15-Mar-13,5.07,5.20,5.00,5.20,225538
14-Mar-13,4.99,5.10,4.96,5.08,95613
13-Mar-13,5.00,5.03,4.89,4.93,118147
12-Mar-13,4.87,5.01,4.81,5.01,88036
11-Mar-13,4.92,5.04,4.88,4.93,101132
