Date, Open, High, Low, Close, Volume
17-May-13,1.90,1.90,1.75,1.78,9046
16-May-13,1.96,1.96,1.74,1.94,12412
15-May-13,1.98,1.98,1.67,1.96,14565
14-May-13,1.98,2.03,1.89,2.03,10899
13-May-13,1.91,1.98,1.91,1.98,4100
10-May-13,1.86,1.86,1.86,1.86,100
9-May-13,1.84,1.98,1.83,1.98,24800
8-May-13,1.92,1.92,1.92,1.92,1300
7-May-13,1.91,1.92,1.91,1.92,1200
3-May-13,1.84,1.84,1.81,1.81,18175
2-May-13,1.85,1.92,1.84,1.91,9700
1-May-13,1.87,1.92,1.82,1.82,4943
30-Apr-13,1.78,1.88,1.77,1.88,3496
29-Apr-13,1.85,1.85,1.81,1.81,200
25-Apr-13,1.84,1.85,1.84,1.85,2606
24-Apr-13,1.79,1.81,1.79,1.81,12797
23-Apr-13,1.75,1.79,1.75,1.79,6100
19-Apr-13,1.67,1.70,1.66,1.70,11800
18-Apr-13,1.68,1.77,1.67,1.77,4000
17-Apr-13,1.70,1.75,1.67,1.67,5400
16-Apr-13,1.69,1.75,1.69,1.75,5300
15-Apr-13,1.75,1.78,1.69,1.78,143300
12-Apr-13,1.73,1.79,1.68,1.68,903
10-Apr-13,1.73,1.75,1.71,1.71,1850
9-Apr-13,1.83,1.83,1.67,1.70,50577
8-Apr-13,1.75,1.78,1.74,1.78,23600
5-Apr-13,1.70,1.70,1.68,1.70,2952
4-Apr-13,1.70,1.74,1.70,1.74,40500
3-Apr-13,1.65,1.65,1.65,1.65,2852
2-Apr-13,1.70,1.70,1.67,1.67,1500
1-Apr-13,1.68,1.70,1.68,1.70,1300
28-Mar-13,1.69,1.70,1.66,1.70,15466
27-Mar-13,1.65,1.65,1.65,1.65,2300
26-Mar-13,1.63,1.70,1.63,1.70,2450
25-Mar-13,1.68,1.68,1.65,1.65,1000
22-Mar-13,1.65,1.66,1.60,1.62,193019
21-Mar-13,1.66,1.70,1.66,1.70,1200
20-Mar-13,1.65,1.70,1.65,1.70,116999
18-Mar-13,1.65,1.65,1.65,1.65,2000
15-Mar-13,1.65,1.65,1.61,1.64,34219
14-Mar-13,1.58,1.65,1.58,1.65,32784
13-Mar-13,1.56,1.65,1.56,1.65,24682
12-Mar-13,1.63,1.65,1.63,1.65,5913
11-Mar-13,1.63,1.63,1.62,1.63,42208
8-Mar-13,1.61,1.61,1.61,1.61,100
7-Mar-13,1.63,1.63,1.57,1.57,6656
6-Mar-13,1.57,1.60,1.55,1.60,15984
5-Mar-13,1.56,1.60,1.56,1.60,41680
28-Feb-13,1.61,1.63,1.55,1.63,8687
25-Feb-13,1.51,1.62,1.50,1.57,850
22-Feb-13,1.60,1.65,1.60,1.65,1700
21-Feb-13,1.65,1.65,1.65,1.65,2000
19-Feb-13,1.64,1.65,1.64,1.65,5459
15-Feb-13,1.60,1.60,1.60,1.60,236
13-Feb-13,1.60,1.60,1.60,1.60,1000
12-Feb-13,1.60,1.60,1.60,1.60,19270
11-Feb-13,1.64,1.64,1.41,1.60,62807
8-Feb-13,1.64,1.64,1.64,1.64,400
7-Feb-13,1.63,1.64,1.62,1.64,20172
6-Feb-13,1.61,1.62,1.61,1.61,10590
5-Feb-13,1.63,1.63,1.61,1.62,14325
4-Feb-13,1.61,1.62,1.59,1.62,15600
1-Feb-13,1.55,1.61,1.55,1.61,22025
31-Jan-13,1.50,1.61,1.50,1.59,15319
30-Jan-13,1.46,1.52,1.46,1.46,7664
29-Jan-13,1.45,1.56,1.40,1.44,88548
28-Jan-13,1.48,1.48,1.48,1.48,500
25-Jan-13,1.48,1.48,1.48,1.48,900
24-Jan-13,1.46,1.46,1.46,1.46,300
22-Jan-13,1.53,1.53,1.50,1.50,28263
17-Jan-13,1.50,1.50,1.50,1.50,430
16-Jan-13,1.54,1.54,1.54,1.54,100
15-Jan-13,1.51,1.51,1.50,1.50,2300
14-Jan-13,1.57,1.57,1.49,1.49,3000
11-Jan-13,1.56,1.56,1.56,1.56,500
10-Jan-13,1.49,1.49,1.49,1.49,100
9-Jan-13,1.50,1.50,1.46,1.46,4996
8-Jan-13,1.50,1.50,1.50,1.50,700
7-Jan-13,1.50,1.50,1.50,1.50,1200
4-Jan-13,1.49,1.55,1.48,1.54,18258
3-Jan-13,1.40,1.48,1.40,1.47,9100
2-Jan-13,1.40,1.44,1.40,1.44,860
31-Dec-12,1.40,1.43,1.40,1.43,2690
28-Dec-12,1.40,1.41,1.40,1.41,759
27-Dec-12,1.43,1.43,1.40,1.40,11531
24-Dec-12,1.42,1.43,1.40,1.43,12500
21-Dec-12,1.42,1.42,1.42,1.42,2200
20-Dec-12,1.41,1.41,1.40,1.41,8999
19-Dec-12,1.42,1.43,1.42,1.42,6700
18-Dec-12,1.45,1.45,1.42,1.42,5300
17-Dec-12,1.42,1.42,1.41,1.41,1200
14-Dec-12,1.41,1.41,1.41,1.41,8026
13-Dec-12,1.40,1.45,1.40,1.45,6800
12-Dec-12,1.40,1.40,1.40,1.40,8755
11-Dec-12,1.43,1.43,1.42,1.42,17500
4-Dec-12,1.43,1.44,1.43,1.43,2400
30-Nov-12,1.44,1.44,1.43,1.43,2604
29-Nov-12,1.41,1.43,1.41,1.43,11100
28-Nov-12,1.40,1.41,1.40,1.41,10450
27-Nov-12,1.40,1.41,1.40,1.41,5005
26-Nov-12,1.40,1.44,1.40,1.43,800
21-Nov-12,1.40,1.44,1.40,1.42,11425
20-Nov-12,1.40,1.44,1.40,1.44,4975
19-Nov-12,1.40,1.44,1.40,1.40,4272
16-Nov-12,1.36,1.38,1.35,1.35,8265
15-Nov-12,1.39,1.40,1.36,1.36,12978
14-Nov-12,-,-,-,1.36,0
13-Nov-12,1.40,1.40,1.36,1.36,4950
12-Nov-12,1.40,1.40,1.35,1.35,17369
9-Nov-12,1.37,1.40,1.37,1.40,7388
8-Nov-12,1.35,1.35,1.35,1.35,111
7-Nov-12,1.35,1.35,1.34,1.34,2499
6-Nov-12,1.34,1.34,1.34,1.34,92500
5-Nov-12,1.35,1.35,1.35,1.35,559
2-Nov-12,1.37,1.37,1.37,1.37,5100
1-Nov-12,1.38,1.38,1.37,1.37,1494
31-Oct-12,1.38,1.38,1.38,1.38,200
26-Oct-12,1.38,1.40,1.38,1.40,400
25-Oct-12,1.39,1.39,1.37,1.38,3800
24-Oct-12,1.40,1.40,1.40,1.40,100
23-Oct-12,-,-,-,1.43,0
22-Oct-12,1.43,1.46,1.42,1.42,7300
19-Oct-12,-,-,-,1.42,0
18-Oct-12,1.42,1.42,1.42,1.42,300
17-Oct-12,1.43,1.45,1.42,1.43,5575
16-Oct-12,1.47,1.49,1.47,1.49,2850
15-Oct-12,1.43,1.47,1.43,1.47,1500
12-Oct-12,1.43,1.43,1.43,1.43,10475
11-Oct-12,1.45,1.45,1.44,1.44,3133
10-Oct-12,1.45,1.45,1.44,1.44,1300
9-Oct-12,1.46,1.52,1.45,1.45,4711
8-Oct-12,1.45,1.54,1.45,1.46,1275
5-Oct-12,1.46,1.47,1.44,1.44,10675
4-Oct-12,1.45,1.54,1.45,1.54,400
3-Oct-12,1.47,1.50,1.41,1.48,1100
2-Oct-12,-,-,-,1.46,0
1-Oct-12,1.47,1.51,1.46,1.51,7674
28-Sep-12,1.51,1.51,1.44,1.46,17924
27-Sep-12,1.58,1.58,1.41,1.41,2063
26-Sep-12,1.41,1.42,1.41,1.41,701
25-Sep-12,1.49,1.49,1.40,1.43,34529
24-Sep-12,1.48,1.50,1.40,1.40,15000
21-Sep-12,1.59,1.59,1.35,1.35,238048
20-Sep-12,1.58,1.61,1.58,1.58,1600
19-Sep-12,1.66,1.66,1.58,1.58,15109
18-Sep-12,-,-,-,1.67,0
17-Sep-12,1.67,1.67,1.66,1.67,1300
14-Sep-12,1.67,1.67,1.67,1.67,200
13-Sep-12,1.69,1.69,1.67,1.67,644
12-Sep-12,-,-,-,1.70,0
11-Sep-12,1.66,1.66,1.66,1.66,519
10-Sep-12,1.79,1.79,1.79,1.79,284
7-Sep-12,1.72,1.72,1.70,1.70,5732
6-Sep-12,1.70,1.72,1.70,1.72,3700
5-Sep-12,1.66,1.66,1.66,1.66,449
4-Sep-12,1.70,1.70,1.66,1.66,1948
31-Aug-12,1.70,1.70,1.65,1.65,1459
30-Aug-12,-,-,-,1.70,0
29-Aug-12,-,-,-,1.70,0
28-Aug-12,-,-,-,1.70,0
27-Aug-12,1.78,1.78,1.70,1.70,2049
24-Aug-12,1.74,1.74,1.70,1.70,2000
23-Aug-12,1.78,1.78,1.78,1.78,100
22-Aug-12,-,-,-,1.59,0
21-Aug-12,1.70,1.72,1.59,1.59,14964
20-Aug-12,-,-,-,1.66,0
17-Aug-12,1.80,1.80,1.65,1.70,27182
16-Aug-12,1.81,1.83,1.81,1.82,2000
15-Aug-12,1.82,1.82,1.82,1.82,2200
14-Aug-12,1.82,1.82,1.82,1.82,140
13-Aug-12,1.82,1.82,1.82,1.82,1322
10-Aug-12,-,-,-,1.82,0
9-Aug-12,-,-,-,1.82,0
8-Aug-12,1.81,1.81,1.81,1.81,6300
7-Aug-12,1.82,1.82,1.81,1.81,4200
6-Aug-12,1.83,1.83,1.82,1.82,625
3-Aug-12,1.81,1.82,1.81,1.81,10542
2-Aug-12,1.81,1.81,1.81,1.81,130
1-Aug-12,1.82,1.82,1.81,1.81,2696
