Date, Open, High, Low, Close, Volume
17-May-13,4.06,4.06,3.23,3.85,14140
16-May-13,3.63,4.10,3.40,3.95,8800
15-May-13,3.50,4.20,3.48,3.61,29258
14-May-13,3.40,3.51,3.37,3.51,4605
13-May-13,3.30,3.46,3.30,3.43,3293
10-May-13,3.00,3.34,2.99,3.33,10068
9-May-13,3.04,3.18,2.79,3.00,20655
8-May-13,3.22,3.65,3.20,3.20,2240
6-May-13,3.36,3.36,3.36,3.36,100
3-May-13,3.22,3.30,2.97,3.30,3050
2-May-13,3.50,3.58,3.25,3.25,11605
1-May-13,3.70,3.70,3.50,3.54,3893
30-Apr-13,3.78,3.89,3.65,3.85,2532
29-Apr-13,3.66,4.08,3.60,3.68,14315
26-Apr-13,4.00,4.00,3.52,3.65,17493
25-Apr-13,4.80,4.80,3.92,4.06,23140
24-Apr-13,5.32,5.32,5.32,5.32,100
23-Apr-13,4.57,5.30,4.57,5.30,4500
22-Apr-13,4.90,5.00,4.70,4.70,2934
19-Apr-13,5.23,5.60,4.65,5.00,1458
18-Apr-13,5.25,5.25,5.24,5.25,2200
16-Apr-13,5.90,5.90,5.90,5.90,1000
15-Apr-13,5.32,5.35,5.32,5.35,200
12-Apr-13,6.00,6.00,5.96,5.98,1145
10-Apr-13,6.14,6.14,5.58,5.58,4839
9-Apr-13,6.20,6.25,6.14,6.14,1200
8-Apr-13,6.20,6.25,6.20,6.22,600
5-Apr-13,6.35,6.51,6.29,6.35,612
4-Apr-13,6.31,6.31,6.30,6.30,500
3-Apr-13,7.00,7.00,6.60,6.60,1478
2-Apr-13,6.73,6.95,6.73,6.95,600
1-Apr-13,6.78,6.78,6.45,6.45,1100
28-Mar-13,6.71,6.71,6.71,6.71,190
26-Mar-13,6.34,6.59,6.31,6.59,400
21-Mar-13,6.50,6.52,6.40,6.40,2425
20-Mar-13,6.50,6.50,6.50,6.50,1500
18-Mar-13,6.90,6.90,6.56,6.77,1301
15-Mar-13,7.10,7.10,7.10,7.10,700
14-Mar-13,7.13,7.13,7.01,7.12,7160
13-Mar-13,6.55,6.84,6.41,6.84,800
11-Mar-13,6.45,6.75,6.45,6.75,1000
7-Mar-13,7.02,7.02,6.70,6.70,741
6-Mar-13,7.05,7.12,7.05,7.12,300
5-Mar-13,6.91,7.18,6.91,7.00,9169
1-Mar-13,7.16,7.19,6.86,6.87,3037
28-Feb-13,6.94,7.19,6.50,7.00,5882
27-Feb-13,6.65,7.00,6.65,6.95,7088
26-Feb-13,6.60,6.79,6.39,6.79,4116
25-Feb-13,6.60,6.60,6.41,6.50,2758
22-Feb-13,6.38,6.65,6.29,6.65,4518
21-Feb-13,5.93,6.05,5.93,6.05,787
20-Feb-13,6.16,6.24,5.99,6.24,29090
19-Feb-13,6.01,6.45,6.00,6.00,14880
15-Feb-13,6.02,6.25,6.02,6.23,1600
14-Feb-13,6.25,6.25,6.00,6.00,924
13-Feb-13,6.07,6.25,6.00,6.25,3143
12-Feb-13,6.60,6.60,6.17,6.25,5541
11-Feb-13,6.00,6.70,6.00,6.65,3979
8-Feb-13,7.20,7.20,6.01,6.02,15161
7-Feb-13,6.60,8.10,6.00,7.20,87360
6-Feb-13,6.30,6.40,6.00,6.40,11721
4-Feb-13,6.00,6.00,5.20,5.20,724
1-Feb-13,5.64,5.64,5.60,5.60,67
31-Jan-13,6.00,6.00,5.92,6.00,812
30-Jan-13,5.90,6.00,5.90,5.92,1046
29-Jan-13,6.00,6.00,5.84,5.84,119
28-Jan-13,6.00,6.40,5.92,6.00,596
25-Jan-13,5.36,6.02,5.36,5.36,2440
24-Jan-13,5.04,6.30,4.80,4.88,64813
23-Jan-13,6.16,6.40,5.36,5.36,10517
22-Jan-13,6.40,6.40,6.40,6.40,442
18-Jan-13,6.74,6.77,6.08,6.16,612
16-Jan-13,6.37,6.78,6.37,6.78,103
15-Jan-13,6.78,6.78,6.78,6.78,58
14-Jan-13,6.00,7.18,5.92,7.12,291
11-Jan-13,6.24,6.70,5.76,6.70,1558
10-Jan-13,6.56,7.10,6.48,7.10,575
9-Jan-13,6.44,6.52,6.44,6.44,533
8-Jan-13,6.32,7.12,6.24,6.24,458
7-Jan-13,7.60,7.60,6.00,6.00,7186
4-Jan-13,6.24,7.52,6.24,6.48,1258
3-Jan-13,6.24,6.74,6.24,6.24,1141
2-Jan-13,5.04,6.80,5.04,6.00,372
31-Dec-12,5.25,5.60,4.80,5.24,23001
28-Dec-12,5.20,5.20,5.03,5.20,125
27-Dec-12,5.20,5.60,5.20,5.52,30725
26-Dec-12,5.29,5.83,5.04,5.20,1610
24-Dec-12,5.84,5.84,4.80,5.44,85472
20-Dec-12,5.99,6.00,5.60,5.60,15683
19-Dec-12,6.32,6.32,4.80,6.00,65433
18-Dec-12,6.40,6.40,5.60,5.60,229
17-Dec-12,6.00,6.40,5.60,6.40,900
14-Dec-12,6.40,6.40,5.92,6.32,338
13-Dec-12,6.80,6.80,6.40,6.40,1814
12-Dec-12,6.40,6.96,6.16,6.40,3386
11-Dec-12,6.08,6.96,5.92,6.80,2694
10-Dec-12,6.80,6.80,6.32,6.40,88
7-Dec-12,6.80,6.80,5.92,6.80,4156
6-Dec-12,6.80,6.80,6.80,6.80,62
5-Dec-12,6.80,6.80,6.40,6.61,1089
4-Dec-12,6.80,7.20,6.72,6.80,1300
3-Dec-12,6.80,6.80,6.40,6.56,4517
30-Nov-12,6.80,7.12,6.64,6.80,3646
29-Nov-12,6.96,7.76,6.40,7.28,1425
28-Nov-12,7.04,7.20,6.32,6.80,2754
27-Nov-12,7.29,11.87,7.04,7.04,10326
26-Nov-12,7.52,9.82,6.64,7.84,5730
23-Nov-12,7.20,7.84,7.20,7.84,595
21-Nov-12,6.80,7.28,6.00,7.28,871
20-Nov-12,6.62,6.96,6.32,6.78,2799
19-Nov-12,6.40,6.80,6.40,6.80,712
16-Nov-12,6.00,7.12,6.00,6.72,12489
15-Nov-12,6.00,6.00,5.04,6.00,56419
14-Nov-12,5.20,5.84,5.20,5.60,6728
13-Nov-12,5.36,5.60,5.12,5.12,629
12-Nov-12,5.36,5.68,5.12,5.36,2065
9-Nov-12,5.36,5.36,5.12,5.12,817
8-Nov-12,-,-,-,5.52,0
7-Nov-12,-,-,-,5.52,0
6-Nov-12,6.00,6.00,5.60,5.60,4675
5-Nov-12,5.44,6.00,5.44,5.60,1800
2-Nov-12,-,-,-,5.12,0
1-Nov-12,5.20,5.20,5.12,5.12,2566
31-Oct-12,5.20,5.60,5.12,5.17,11058
26-Oct-12,5.44,5.44,5.44,5.44,12
25-Oct-12,5.20,5.44,5.20,5.44,525
24-Oct-12,5.52,5.60,5.44,5.44,290
23-Oct-12,5.52,5.52,5.52,5.52,62
22-Oct-12,5.52,5.52,5.52,5.52,314
19-Oct-12,5.52,5.60,5.52,5.60,75
18-Oct-12,-,-,-,5.52,0
17-Oct-12,5.60,5.60,5.60,5.60,201
16-Oct-12,5.44,5.60,5.44,5.60,1250
15-Oct-12,5.60,5.92,5.60,5.60,2625
12-Oct-12,5.60,5.60,5.44,5.52,1180
11-Oct-12,5.44,5.84,5.44,5.76,67
10-Oct-12,5.84,5.84,5.60,5.60,100
9-Oct-12,5.60,5.76,5.44,5.76,2169
8-Oct-12,5.61,5.84,5.60,5.60,3346
5-Oct-12,5.68,5.92,5.61,5.76,14986
4-Oct-12,5.84,5.92,5.84,5.92,538
3-Oct-12,-,-,-,5.60,0
2-Oct-12,5.92,5.92,5.60,5.92,162
1-Oct-12,5.61,5.92,5.60,5.92,5047
28-Sep-12,5.92,6.00,5.92,6.00,3738
27-Sep-12,6.00,6.00,5.61,5.68,638
26-Sep-12,-,-,-,5.92,0
25-Sep-12,5.92,6.00,5.91,5.92,1412
24-Sep-12,5.68,5.92,5.68,5.92,54
21-Sep-12,5.68,5.68,5.68,5.68,29
20-Sep-12,6.00,6.00,5.68,5.68,400
19-Sep-12,6.08,5.92,5.92,5.92,12
18-Sep-12,6.00,6.00,6.00,6.00,75
17-Sep-12,5.76,5.92,5.76,5.92,50
14-Sep-12,6.00,6.24,5.68,6.00,5573
13-Sep-12,6.00,6.24,6.00,6.00,3533
12-Sep-12,6.16,6.32,6.00,6.08,6090
11-Sep-12,6.72,6.80,6.40,6.40,75
10-Sep-12,6.73,6.25,6.24,6.24,1350
7-Sep-12,6.56,6.76,6.09,6.24,200
6-Sep-12,6.56,7.04,6.56,6.58,4808
5-Sep-12,6.80,6.81,6.56,6.56,725
4-Sep-12,6.80,7.04,6.40,6.88,166
31-Aug-12,6.80,7.04,6.32,6.32,123
30-Aug-12,6.64,6.93,6.64,6.80,1818
29-Aug-12,6.79,6.80,6.79,6.80,125
28-Aug-12,6.32,6.72,5.68,5.68,2556
27-Aug-12,-,-,-,7.04,0
24-Aug-12,6.40,7.04,6.32,6.64,3383
23-Aug-12,6.80,6.80,5.76,6.72,7253
22-Aug-12,6.24,7.04,6.00,7.04,1061
21-Aug-12,6.00,6.16,5.28,5.98,1435
20-Aug-12,6.35,6.35,6.00,6.20,400
17-Aug-12,6.24,6.44,6.00,6.19,942
16-Aug-12,6.80,6.80,6.80,6.80,38
15-Aug-12,7.44,7.44,6.72,6.80,329
14-Aug-12,7.92,7.92,7.92,7.92,12
13-Aug-12,8.08,8.08,8.08,8.08,250
10-Aug-12,7.60,8.08,7.60,8.08,882
9-Aug-12,6.40,8.00,6.40,8.00,831
8-Aug-12,5.77,6.40,5.68,6.40,1247
7-Aug-12,7.60,7.60,5.44,5.52,4311
6-Aug-12,7.19,7.60,7.19,7.60,62
3-Aug-12,7.12,7.60,6.00,7.44,412
2-Aug-12,-,-,-,6.24,0
1-Aug-12,7.20,7.23,5.04,6.32,1427
31-Jul-12,7.28,7.28,7.28,7.28,12
30-Jul-12,7.36,7.60,7.36,7.60,58
27-Jul-12,8.00,8.00,7.28,7.28,550
26-Jul-12,7.68,8.00,7.20,7.20,1480
25-Jul-12,7.76,8.16,7.68,8.12,306
24-Jul-12,8.78,8.78,7.70,8.40,175
23-Jul-12,8.00,9.52,7.78,8.88,1217
20-Jul-12,9.23,9.23,8.80,8.96,183
19-Jul-12,9.60,9.60,8.72,8.72,481
18-Jul-12,11.04,11.04,9.60,9.60,1975
17-Jul-12,10.72,11.20,10.08,10.56,1051
16-Jul-12,11.28,11.28,10.56,10.56,362
13-Jul-12,11.04,12.00,11.04,11.12,452
12-Jul-12,11.60,11.60,10.64,10.96,911
11-Jul-12,11.60,11.76,11.52,11.52,189
10-Jul-12,11.52,12.00,11.20,11.67,2169
9-Jul-12,12.64,12.80,11.28,12.00,1996
6-Jul-12,13.12,13.12,11.28,12.56,912
5-Jul-12,-,-,-,13.12,0
3-Jul-12,12.88,13.60,12.88,12.96,225
2-Jul-12,12.72,12.72,12.64,12.72,50
29-Jun-12,13.60,13.60,12.64,12.64,188
28-Jun-12,12.48,12.48,12.48,12.48,67
27-Jun-12,14.30,14.30,11.36,12.72,518
26-Jun-12,14.24,14.24,12.48,13.36,425
25-Jun-12,12.24,14.32,12.24,14.32,88
22-Jun-12,12.56,14.96,11.20,12.32,782
21-Jun-12,12.80,13.52,10.64,10.88,303
20-Jun-12,10.72,13.20,10.64,12.40,1654
19-Jun-12,15.04,15.04,10.00,10.88,1247
18-Jun-12,12.16,12.16,10.51,11.92,598
15-Jun-12,12.72,12.80,9.92,9.92,1593
14-Jun-12,11.68,14.16,9.60,12.40,1856
13-Jun-12,12.00,12.56,10.00,11.20,607
12-Jun-12,9.68,15.84,9.68,10.00,657
11-Jun-12,0.00,4.16,3.44,3.52,2898
8-Jun-12,4.00,4.72,4.00,4.00,358
7-Jun-12,4.08,4.16,3.68,4.16,3310
6-Jun-12,4.16,4.24,4.08,4.08,962
5-Jun-12,4.56,4.64,4.24,4.24,111
4-Jun-12,4.00,4.40,4.00,4.16,1066
1-Jun-12,4.24,4.72,4.16,4.24,812
31-May-12,-,-,-,4.48,0
30-May-12,4.16,4.16,4.16,4.16,125
29-May-12,4.43,4.72,4.16,4.48,1396
25-May-12,4.56,4.57,4.42,4.42,934
24-May-12,4.48,4.72,4.48,4.72,312
23-May-12,4.48,4.96,4.48,4.48,438
22-May-12,4.40,4.96,4.32,4.32,338
21-May-12,4.16,4.40,4.16,4.40,200
18-May-12,4.88,5.68,4.16,4.16,2643
17-May-12,4.80,4.96,4.64,4.64,1449
16-May-12,4.80,4.80,4.80,4.80,62
15-May-12,4.72,5.60,4.72,4.80,3745
14-May-12,4.88,4.96,4.72,4.80,325
11-May-12,5.20,5.20,4.88,4.96,3118
10-May-12,-,-,-,5.44,0
9-May-12,5.44,5.44,5.28,5.28,400
8-May-12,5.60,5.60,5.52,5.52,250
7-May-12,5.68,5.68,5.60,5.60,262
4-May-12,5.84,5.84,5.61,5.61,550
3-May-12,5.60,5.92,5.60,5.92,575
