Date, Open, High, Low, Close, Volume
17-May-13,15.97,15.97,15.97,15.97,150
16-May-13,15.78,15.88,15.78,15.81,1228
14-May-13,15.53,15.53,15.38,15.38,300
13-May-13,15.70,15.70,15.70,15.70,600
10-May-13,15.49,15.50,15.49,15.50,340
8-May-13,15.18,15.20,15.18,15.20,400
6-May-13,14.97,14.97,14.97,14.97,104
3-May-13,15.00,15.00,15.00,15.00,101
2-May-13,14.82,14.87,14.82,14.85,1700
30-Apr-13,14.57,14.60,14.57,14.60,1700
29-Apr-13,14.54,14.60,14.51,14.56,1100
26-Apr-13,14.31,14.31,14.16,14.16,900
25-Apr-13,14.42,14.50,14.42,14.50,550
23-Apr-13,13.82,13.82,13.82,13.82,100
22-Apr-13,13.80,13.80,13.74,13.78,4122
19-Apr-13,13.73,13.73,13.73,13.73,100
17-Apr-13,13.44,13.44,13.44,13.44,250
15-Apr-13,13.65,13.65,13.65,13.65,300
11-Apr-13,13.79,13.79,13.75,13.75,500
9-Apr-13,13.74,13.84,13.74,13.84,650
8-Apr-13,13.32,13.32,13.32,13.32,100
5-Apr-13,13.50,13.50,13.36,13.36,1560
4-Apr-13,13.62,13.62,13.62,13.62,300
3-Apr-13,13.77,13.77,13.61,13.61,2064
2-Apr-13,13.83,14.01,13.83,13.87,1550
28-Mar-13,14.06,14.06,14.06,14.06,500
27-Mar-13,14.00,14.16,13.98,14.13,1954
26-Mar-13,14.13,14.13,14.13,14.13,100
25-Mar-13,13.85,13.85,13.85,13.85,300
22-Mar-13,14.07,14.07,14.07,14.07,100
21-Mar-13,14.06,14.06,14.06,14.06,100
