Date, Open, High, Low, Close, Volume
17-May-13,1.07,1.18,1.07,1.18,351
16-May-13,1.16,1.18,1.15,1.18,2542
15-May-13,1.21,1.21,1.08,1.17,5448
14-May-13,1.22,1.23,1.10,1.10,1700
13-May-13,1.05,1.18,1.05,1.16,2000
10-May-13,1.19,1.20,1.06,1.06,2800
9-May-13,1.10,1.19,1.10,1.19,3522
8-May-13,1.05,1.11,1.05,1.11,3033
7-May-13,1.10,1.10,1.10,1.10,100
6-May-13,1.20,1.20,1.03,1.12,15508
2-May-13,1.18,1.18,1.18,1.18,100
30-Apr-13,1.12,1.12,1.12,1.12,6100
29-Apr-13,1.05,1.12,1.05,1.12,400
25-Apr-13,1.12,1.12,1.12,1.12,500
24-Apr-13,1.11,1.12,1.10,1.10,1190
23-Apr-13,1.15,1.15,1.15,1.15,200
22-Apr-13,1.14,1.14,1.14,1.14,692
18-Apr-13,1.05,1.17,1.05,1.17,1112
16-Apr-13,1.16,1.17,1.16,1.17,1100
15-Apr-13,1.13,1.13,1.13,1.13,111
12-Apr-13,1.09,1.12,1.09,1.12,2298
11-Apr-13,1.10,1.10,1.07,1.10,400
8-Apr-13,1.11,1.11,0.96,1.05,16649
5-Apr-13,1.12,1.13,1.12,1.13,8200
4-Apr-13,1.10,1.14,1.09,1.11,14526
3-Apr-13,1.09,1.10,1.09,1.10,978
2-Apr-13,1.10,1.10,1.10,1.10,6532
1-Apr-13,1.19,1.19,1.10,1.10,729
28-Mar-13,1.13,1.14,1.13,1.14,4000
27-Mar-13,1.12,1.17,1.12,1.13,2600
25-Mar-13,1.15,1.16,1.15,1.15,7760
22-Mar-13,1.16,1.18,1.16,1.18,300
21-Mar-13,1.20,1.20,1.20,1.20,200
20-Mar-13,1.18,1.20,1.15,1.18,13426
19-Mar-13,1.30,1.30,1.26,1.26,8500
18-Mar-13,1.37,1.37,1.36,1.36,7800
13-Mar-13,1.40,1.40,1.37,1.37,700
11-Mar-13,1.44,1.45,1.44,1.45,434
7-Mar-13,1.39,1.46,1.39,1.40,1525
6-Mar-13,1.39,1.39,1.39,1.39,600
5-Mar-13,1.42,1.42,1.38,1.38,600
4-Mar-13,1.58,1.58,1.36,1.37,4364
1-Mar-13,1.58,1.59,1.58,1.59,628
28-Feb-13,1.58,1.59,1.56,1.59,2900
27-Feb-13,1.60,1.60,1.59,1.59,775
26-Feb-13,1.90,1.90,1.37,1.46,27023
25-Feb-13,1.80,1.92,1.80,1.85,22343
22-Feb-13,1.30,1.91,1.30,1.85,23707
21-Feb-13,1.32,1.32,1.32,1.32,100
20-Feb-13,1.35,1.35,1.30,1.35,7746
19-Feb-13,1.20,1.40,1.20,1.40,44062
12-Feb-13,1.23,1.27,1.17,1.27,2200
8-Feb-13,1.16,1.16,1.16,1.16,1000
7-Feb-13,1.24,1.25,1.13,1.16,10267
6-Feb-13,1.25,1.29,1.14,1.16,500
5-Feb-13,1.23,1.29,1.23,1.29,400
4-Feb-13,1.21,1.29,1.21,1.27,6554
1-Feb-13,1.20,1.20,1.19,1.20,30100
31-Jan-13,1.11,1.11,1.11,1.11,929
30-Jan-13,1.11,1.11,1.11,1.11,100
29-Jan-13,1.15,1.18,1.15,1.18,200
28-Jan-13,1.14,1.20,1.14,1.20,600
25-Jan-13,1.12,1.12,1.12,1.12,1000
24-Jan-13,1.11,1.11,1.11,1.11,100
23-Jan-13,1.11,1.12,1.11,1.12,8686
22-Jan-13,1.12,1.12,1.12,1.12,3450
18-Jan-13,1.19,1.20,1.11,1.20,21275
14-Jan-13,1.20,1.20,1.15,1.19,5700
10-Jan-13,1.19,1.19,1.18,1.18,300
9-Jan-13,1.15,1.18,1.15,1.18,18040
8-Jan-13,1.14,1.14,1.11,1.11,200
7-Jan-13,1.11,1.15,1.11,1.15,5654
4-Jan-13,1.10,1.10,1.10,1.10,1000
3-Jan-13,1.09,1.11,1.09,1.11,3561
2-Jan-13,1.05,1.14,1.05,1.05,2350
31-Dec-12,1.06,1.14,1.05,1.05,5810
28-Dec-12,1.05,1.06,1.05,1.06,2256
27-Dec-12,1.05,1.10,1.04,1.10,2777
26-Dec-12,1.05,1.05,1.05,1.05,1733
24-Dec-12,1.05,1.05,1.05,1.05,4340
20-Dec-12,1.10,1.10,1.06,1.06,6394
19-Dec-12,1.11,1.11,1.10,1.10,2200
18-Dec-12,1.12,1.12,1.10,1.10,5134
17-Dec-12,1.12,1.12,1.12,1.12,8661
13-Dec-12,1.12,1.12,1.12,1.12,1722
11-Dec-12,1.13,1.13,1.12,1.12,233
10-Dec-12,1.11,1.16,1.11,1.15,10400
6-Dec-12,1.10,1.17,1.10,1.17,3168
3-Dec-12,1.12,1.15,1.12,1.15,3547
29-Nov-12,1.07,1.19,1.07,1.08,1890
28-Nov-12,1.09,1.24,1.09,1.24,766
27-Nov-12,1.10,1.10,1.07,1.07,2000
21-Nov-12,1.10,1.14,1.10,1.11,1200
20-Nov-12,1.14,1.14,1.14,1.14,1400
19-Nov-12,1.09,1.09,1.08,1.08,14965
16-Nov-12,1.09,1.09,1.09,1.09,335
15-Nov-12,1.13,1.13,1.09,1.09,8100
14-Nov-12,1.10,1.10,1.10,1.10,3330
13-Nov-12,-,-,-,1.11,0
12-Nov-12,1.11,1.14,1.11,1.14,7838
9-Nov-12,-,-,-,1.24,0
8-Nov-12,1.24,1.28,1.24,1.28,3423
7-Nov-12,1.23,1.23,1.23,1.23,4300
6-Nov-12,1.11,1.25,1.11,1.25,16925
5-Nov-12,1.09,1.12,1.09,1.12,1600
2-Nov-12,1.12,1.12,1.10,1.10,490
1-Nov-12,1.23,1.23,1.16,1.16,1285
31-Oct-12,1.30,1.30,1.30,1.30,246
26-Oct-12,1.41,1.41,1.30,1.30,1300
25-Oct-12,1.50,1.51,1.30,1.35,4457
24-Oct-12,1.31,1.47,1.31,1.42,2701
23-Oct-12,1.27,1.39,1.27,1.38,3215
22-Oct-12,1.28,1.33,1.22,1.29,11642
19-Oct-12,1.18,1.18,1.18,1.18,500
18-Oct-12,1.06,1.09,1.06,1.09,1700
17-Oct-12,1.03,1.06,0.95,1.06,10250
16-Oct-12,1.05,1.05,1.05,1.05,10587
15-Oct-12,1.05,1.05,1.05,1.05,9000
12-Oct-12,1.05,1.05,1.05,1.05,10300
11-Oct-12,1.02,1.02,1.02,1.02,1581
10-Oct-12,1.03,1.05,1.03,1.05,19800
9-Oct-12,-,-,-,1.05,0
8-Oct-12,-,-,-,1.05,0
5-Oct-12,1.04,1.06,1.02,1.06,1466
4-Oct-12,-,-,-,1.05,0
3-Oct-12,-,-,-,1.05,0
2-Oct-12,-,-,-,1.05,0
1-Oct-12,-,-,-,1.05,0
28-Sep-12,-,-,-,1.05,0
27-Sep-12,1.18,1.18,1.15,1.15,15200
26-Sep-12,-,-,-,1.05,0
25-Sep-12,-,-,-,1.05,0
24-Sep-12,-,-,-,1.05,0
21-Sep-12,1.06,1.06,1.06,1.06,200
20-Sep-12,1.05,1.18,1.04,1.04,466
19-Sep-12,-,-,-,1.08,0
18-Sep-12,-,-,-,1.08,0
17-Sep-12,-,-,-,1.08,0
14-Sep-12,1.08,1.19,1.08,1.19,767
13-Sep-12,1.11,1.11,1.11,1.11,500
12-Sep-12,1.08,1.08,1.08,1.08,200
11-Sep-12,1.08,1.08,1.08,1.08,1599
10-Sep-12,-,-,-,1.08,0
7-Sep-12,-,-,-,1.08,0
6-Sep-12,1.00,1.08,1.00,1.08,1933
5-Sep-12,1.00,1.00,1.00,1.00,400
4-Sep-12,1.11,1.11,0.97,1.00,18889
31-Aug-12,1.10,1.10,1.10,1.10,100
30-Aug-12,-,-,-,1.16,0
29-Aug-12,1.10,1.11,1.10,1.11,906
28-Aug-12,-,-,-,1.16,0
27-Aug-12,-,-,-,1.16,0
24-Aug-12,-,-,-,1.16,0
23-Aug-12,-,-,-,1.16,0
22-Aug-12,1.16,1.16,1.10,1.10,200
21-Aug-12,1.17,1.18,1.10,1.18,2025
20-Aug-12,1.18,1.18,1.17,1.17,2217
17-Aug-12,1.20,1.20,1.20,1.20,200
16-Aug-12,1.21,1.35,1.18,1.18,6900
15-Aug-12,1.25,1.25,1.25,1.25,933
14-Aug-12,1.15,1.21,1.15,1.18,3071
13-Aug-12,1.13,1.13,1.13,1.13,1600
10-Aug-12,1.28,1.47,1.12,1.14,12702
9-Aug-12,1.28,1.30,1.28,1.29,2656
8-Aug-12,1.23,1.23,1.22,1.22,3202
7-Aug-12,1.13,1.17,1.13,1.17,6563
6-Aug-12,1.12,1.15,1.04,1.11,33031
3-Aug-12,1.15,1.19,1.06,1.19,1450
2-Aug-12,1.15,1.23,1.15,1.23,300
1-Aug-12,-,-,-,1.16,0
31-Jul-12,1.16,1.16,1.16,1.16,5115
30-Jul-12,1.19,1.19,1.19,1.19,1400
27-Jul-12,1.16,1.16,1.16,1.16,200
26-Jul-12,-,-,-,1.17,0
25-Jul-12,1.16,1.18,1.16,1.17,1927
24-Jul-12,1.16,1.16,1.16,1.16,200
23-Jul-12,1.24,1.24,1.24,1.24,1333
20-Jul-12,-,-,-,1.25,0
19-Jul-12,1.25,1.25,1.25,1.25,100
18-Jul-12,1.17,1.17,1.17,1.17,333
17-Jul-12,1.26,1.28,1.18,1.18,1400
16-Jul-12,1.30,1.31,1.18,1.26,4306
