Date, Open, High, Low, Close, Volume
17-May-13,46.19,47.70,45.91,47.50,403424
16-May-13,47.33,47.36,46.49,46.70,366619
15-May-13,48.97,48.97,46.78,47.38,708498
14-May-13,49.29,49.31,48.93,49.06,249808
13-May-13,49.27,49.56,48.98,49.34,178136
10-May-13,49.08,49.29,48.80,48.98,211916
9-May-13,49.87,50.10,48.88,49.16,261821
8-May-13,49.12,49.88,49.05,49.70,163393
7-May-13,49.44,49.68,49.09,49.19,193505
6-May-13,49.35,49.47,49.00,49.28,135121
3-May-13,49.45,49.55,49.02,49.19,247909
2-May-13,49.29,49.44,49.06,49.13,209227
1-May-13,49.43,49.47,48.81,49.37,271119
30-Apr-13,49.41,49.47,48.88,49.33,494550
29-Apr-13,49.59,49.75,49.38,49.51,161669
26-Apr-13,48.97,49.40,48.75,49.32,336352
25-Apr-13,48.92,49.03,48.47,48.89,235431
24-Apr-13,48.97,49.18,48.44,48.68,400669
23-Apr-13,49.55,49.99,48.43,49.02,765009
22-Apr-13,50.67,51.37,50.05,50.73,504063
19-Apr-13,49.93,50.49,49.68,50.45,299490
18-Apr-13,50.44,50.61,49.17,50.01,546413
17-Apr-13,50.75,50.77,49.54,50.06,628158
16-Apr-13,50.22,50.99,50.16,50.93,272731
15-Apr-13,50.84,51.19,49.96,50.02,433191
12-Apr-13,51.15,51.30,50.60,51.05,364477
11-Apr-13,51.73,51.93,51.13,51.48,229890
10-Apr-13,51.07,51.98,51.07,51.60,352398
9-Apr-13,50.83,51.05,50.68,50.86,293560
8-Apr-13,49.91,50.94,49.63,50.83,305793
5-Apr-13,49.67,50.06,49.16,50.04,358437
4-Apr-13,49.96,50.34,49.69,50.24,298058
3-Apr-13,50.86,50.93,49.72,50.11,425612
2-Apr-13,50.48,50.77,50.39,50.73,281667
1-Apr-13,51.06,51.14,50.24,50.37,397001
28-Mar-13,50.66,51.14,50.22,51.06,254547
27-Mar-13,50.50,50.73,49.97,50.72,323974
26-Mar-13,49.75,50.90,49.58,50.59,398926
25-Mar-13,49.30,49.66,49.14,49.51,720823
22-Mar-13,48.72,49.22,48.27,49.01,331388
21-Mar-13,49.66,50.24,48.28,48.41,689345
20-Mar-13,49.12,50.04,49.12,49.56,381231
19-Mar-13,48.84,49.02,48.52,48.75,422142
18-Mar-13,48.89,49.03,48.62,48.84,300202
15-Mar-13,49.16,49.27,48.85,49.06,325543
14-Mar-13,48.23,49.19,48.18,49.07,390264
13-Mar-13,48.56,48.82,47.91,48.01,292764
12-Mar-13,48.92,49.05,48.64,48.95,356455
11-Mar-13,48.14,49.07,48.00,48.81,376942
8-Mar-13,48.00,48.34,47.68,48.06,304215
7-Mar-13,48.43,48.51,47.34,47.58,281586
6-Mar-13,48.47,48.57,47.84,48.09,336095
5-Mar-13,47.99,48.50,47.97,48.13,297870
4-Mar-13,47.85,48.05,47.48,47.93,189688
1-Mar-13,47.64,47.93,47.20,47.75,273564
28-Feb-13,47.11,47.71,46.58,47.49,452987
27-Feb-13,46.84,47.84,46.70,47.53,413292
26-Feb-13,46.99,47.06,46.62,46.85,497594
25-Feb-13,47.91,48.38,47.02,47.06,308168
22-Feb-13,47.11,47.90,46.86,47.87,310645
21-Feb-13,47.33,47.60,46.94,47.30,288261
20-Feb-13,47.81,47.86,46.88,47.33,358089
19-Feb-13,46.87,48.28,46.77,47.92,524780
15-Feb-13,45.50,47.49,45.49,47.02,898325
14-Feb-13,45.71,45.72,45.09,45.51,547984
13-Feb-13,46.19,46.20,45.57,45.64,199930
12-Feb-13,46.03,46.25,46.01,46.04,227704
11-Feb-13,45.83,45.99,45.70,45.95,163209
8-Feb-13,46.11,46.31,45.63,45.96,340048
7-Feb-13,46.76,46.84,46.15,46.34,285181
6-Feb-13,46.75,47.09,46.75,46.83,196674
5-Feb-13,46.70,47.07,46.55,46.81,189877
4-Feb-13,46.41,46.72,46.19,46.64,228707
1-Feb-13,46.64,46.94,46.19,46.47,235122
