Date, Open, High, Low, Close, Volume
17-May-13,38.05,38.19,37.79,37.93,123006
16-May-13,38.43,38.74,38.41,38.54,167426
15-May-13,38.10,38.62,38.05,38.28,322997
14-May-13,37.40,37.94,37.10,37.81,372873
13-May-13,38.32,38.70,38.16,38.46,245520
10-May-13,36.90,38.71,36.90,38.51,451455
9-May-13,36.50,36.82,36.44,36.62,207584
8-May-13,36.83,37.11,36.77,36.91,238762
7-May-13,37.00,37.00,36.76,36.82,177368
6-May-13,37.00,37.09,36.65,36.94,117371
3-May-13,37.27,37.65,37.25,37.38,173710
2-May-13,37.30,37.38,37.13,37.23,243893
1-May-13,37.72,37.76,37.41,37.43,96739
30-Apr-13,37.45,37.97,37.32,37.88,251190
29-Apr-13,36.61,36.84,36.57,36.74,110862
26-Apr-13,36.43,36.71,36.26,36.29,123238
25-Apr-13,36.63,36.86,36.32,36.43,235146
24-Apr-13,35.39,35.42,35.18,35.30,96696
23-Apr-13,35.24,35.39,35.04,35.35,123920
22-Apr-13,34.97,35.12,34.68,35.06,188777
19-Apr-13,35.07,35.33,35.05,35.33,180478
18-Apr-13,35.29,35.37,34.86,35.04,307765
17-Apr-13,35.01,35.27,34.80,35.21,359331
16-Apr-13,35.22,35.33,34.52,34.96,339733
15-Apr-13,33.85,34.04,33.63,33.65,139655
12-Apr-13,34.69,35.04,34.45,34.50,481790
11-Apr-13,34.99,35.10,34.50,34.56,427945
10-Apr-13,34.89,35.51,34.86,35.42,500563
9-Apr-13,35.05,35.28,34.95,35.05,307097
8-Apr-13,34.44,35.02,34.39,35.00,554308
5-Apr-13,34.25,34.40,34.00,34.38,463336
4-Apr-13,34.34,34.44,33.88,34.12,375165
3-Apr-13,33.75,33.94,33.20,33.38,275287
2-Apr-13,33.61,33.89,33.60,33.83,286284
1-Apr-13,33.50,33.76,32.78,32.98,394051
28-Mar-13,32.32,32.45,32.21,32.35,116090
27-Mar-13,32.32,32.32,32.05,32.22,189790
26-Mar-13,32.39,32.54,32.32,32.44,166536
25-Mar-13,32.18,32.44,32.12,32.28,163151
22-Mar-13,32.40,32.45,32.01,32.13,243171
21-Mar-13,32.60,32.69,32.36,32.52,255166
20-Mar-13,33.05,33.19,32.94,33.06,224766
19-Mar-13,33.00,33.04,32.57,32.72,280469
18-Mar-13,33.08,33.17,32.83,33.07,255880
15-Mar-13,33.55,33.70,33.24,33.35,324285
14-Mar-13,33.64,33.64,33.30,33.48,89842
13-Mar-13,33.63,33.64,33.35,33.51,136486
12-Mar-13,33.61,33.76,33.53,33.72,144433
11-Mar-13,33.25,33.65,33.21,33.60,216917
8-Mar-13,33.41,33.46,33.20,33.38,166919
7-Mar-13,33.12,33.36,33.09,33.29,124593
6-Mar-13,33.15,33.25,32.94,33.03,216573
5-Mar-13,32.92,33.01,32.86,32.97,272616
4-Mar-13,32.19,32.46,32.17,32.46,218850
1-Mar-13,31.97,32.17,31.89,32.03,453086
28-Feb-13,32.61,32.77,32.43,32.60,168625
27-Feb-13,32.59,32.96,32.58,32.91,189577
26-Feb-13,32.97,32.97,32.57,32.65,230133
25-Feb-13,33.37,33.59,33.09,33.11,263290
22-Feb-13,33.38,33.41,33.02,33.16,141295
21-Feb-13,33.47,33.54,33.02,33.08,235810
20-Feb-13,33.81,33.93,33.59,33.62,160322
19-Feb-13,33.93,34.02,33.80,33.86,298979
15-Feb-13,33.79,34.06,33.66,33.88,569240
14-Feb-13,35.03,35.10,34.70,34.82,356184
13-Feb-13,35.84,35.84,35.65,35.76,314786
12-Feb-13,35.95,36.05,35.84,35.93,255046
11-Feb-13,35.49,36.04,35.45,35.98,336053
8-Feb-13,34.80,35.30,34.70,35.25,375453
7-Feb-13,35.56,35.63,35.39,35.53,102294
6-Feb-13,35.76,35.89,35.67,35.88,103694
5-Feb-13,35.98,36.14,35.88,36.00,235333
4-Feb-13,35.88,36.27,35.78,35.84,322528
1-Feb-13,36.53,36.73,36.50,36.57,192670
31-Jan-13,36.01,36.19,35.89,35.94,234773
30-Jan-13,36.07,36.49,36.07,36.45,226617
29-Jan-13,35.90,36.20,35.88,36.20,292019
28-Jan-13,36.00,36.00,35.67,35.70,141540
25-Jan-13,36.00,36.02,35.86,36.02,144997
24-Jan-13,35.85,36.00,35.79,35.92,259078
23-Jan-13,35.95,35.95,35.44,35.63,212646
22-Jan-13,35.71,35.96,35.51,35.79,164334
18-Jan-13,35.15,35.75,35.15,35.75,246464
17-Jan-13,35.59,35.62,35.34,35.42,190300
16-Jan-13,35.00,35.28,34.92,35.28,174669
15-Jan-13,34.74,34.99,34.69,34.99,176630
14-Jan-13,34.91,34.99,34.67,34.99,177791
11-Jan-13,34.64,34.83,34.51,34.82,107025
10-Jan-13,34.96,34.96,34.57,34.70,233265
9-Jan-13,34.65,34.85,34.60,34.63,151639
8-Jan-13,34.46,34.67,34.44,34.46,137966
7-Jan-13,34.02,34.24,34.00,34.09,145925
4-Jan-13,34.41,34.48,34.16,34.18,170551
3-Jan-13,34.55,34.67,34.28,34.41,161693
2-Jan-13,33.81,34.26,33.81,34.19,138254
31-Dec-12,33.39,33.43,33.13,33.29,128782
28-Dec-12,33.20,33.32,33.05,33.08,64892
27-Dec-12,33.45,33.52,33.13,33.30,93597
26-Dec-12,33.36,33.54,33.29,33.52,210534
24-Dec-12,33.35,33.37,33.17,33.18,49216
21-Dec-12,33.29,33.64,33.26,33.49,165779
20-Dec-12,33.67,34.04,33.55,34.04,205491
19-Dec-12,33.93,33.96,33.64,33.68,371870
18-Dec-12,33.60,33.65,33.50,33.57,161942
17-Dec-12,33.81,33.81,33.53,33.71,160916
14-Dec-12,33.72,33.74,33.47,33.60,134345
13-Dec-12,34.49,34.59,33.84,33.84,255333
12-Dec-12,34.52,34.55,34.14,34.25,172409
11-Dec-12,34.87,34.87,34.24,34.40,187046
10-Dec-12,34.45,34.74,34.45,34.74,204814
7-Dec-12,33.86,33.86,33.69,33.83,119939
6-Dec-12,34.00,34.09,33.55,33.73,158104
5-Dec-12,33.79,33.80,33.51,33.59,140368
4-Dec-12,33.33,33.57,33.27,33.57,181037
3-Dec-12,33.44,33.59,33.03,33.09,176372
30-Nov-12,33.48,33.68,33.26,33.54,334028
29-Nov-12,32.97,33.13,32.72,32.85,169266
28-Nov-12,32.50,32.67,32.35,32.51,106632
27-Nov-12,32.44,32.82,32.19,32.69,231118
26-Nov-12,31.85,32.24,31.76,32.00,103806
23-Nov-12,31.57,31.90,31.39,31.86,79752
21-Nov-12,31.65,31.73,31.41,31.64,168735
20-Nov-12,31.80,31.95,31.69,31.76,154312
19-Nov-12,31.67,32.09,31.56,32.05,115328
16-Nov-12,31.76,31.94,31.41,31.69,224367
