Date, Open, High, Low, Close, Volume
17-May-13,25.72,25.98,25.55,25.86,297419
16-May-13,26.04,26.50,25.69,25.71,394309
15-May-13,26.01,26.23,25.95,26.16,667210
14-May-13,26.49,26.66,26.33,26.49,462084
13-May-13,26.63,26.64,26.33,26.49,345666
10-May-13,26.38,26.70,26.33,26.63,388015
9-May-13,25.95,26.58,25.75,26.48,569486
8-May-13,25.65,26.24,25.52,26.24,559139
7-May-13,25.75,25.96,25.10,25.62,641781
6-May-13,25.57,26.17,25.45,25.69,514354
3-May-13,25.16,25.56,24.98,25.54,555711
2-May-13,25.07,25.49,24.88,25.03,508545
1-May-13,26.03,26.13,25.42,25.55,690240
30-Apr-13,25.91,26.10,25.81,26.10,487054
29-Apr-13,25.67,25.95,25.30,25.91,615099
26-Apr-13,26.51,26.80,25.52,25.80,781723
25-Apr-13,26.69,26.88,26.38,26.51,438177
24-Apr-13,26.26,26.56,26.10,26.50,450788
23-Apr-13,26.07,26.32,26.05,26.18,395129
22-Apr-13,26.09,26.30,25.89,26.11,565978
19-Apr-13,25.87,26.40,25.79,26.07,596156
18-Apr-13,26.03,26.03,25.64,25.81,387290
17-Apr-13,26.03,26.19,25.03,25.91,438158
16-Apr-13,25.81,26.25,25.71,26.17,474727
15-Apr-13,25.89,26.13,25.51,25.72,606282
12-Apr-13,26.14,26.43,25.95,26.07,599251
11-Apr-13,26.39,26.44,26.03,26.30,449633
10-Apr-13,26.32,26.64,26.17,26.35,416290
9-Apr-13,26.00,26.62,25.82,26.36,819355
8-Apr-13,25.77,26.25,25.68,26.01,520585
5-Apr-13,25.00,25.89,24.85,25.77,598294
4-Apr-13,25.15,25.43,25.08,25.24,253591
3-Apr-13,25.37,25.45,24.93,25.16,504434
2-Apr-13,25.30,25.83,25.30,25.40,508155
1-Apr-13,25.06,25.41,24.86,25.33,451191
28-Mar-13,25.45,25.56,25.02,25.08,933056
27-Mar-13,25.37,25.50,25.27,25.39,307246
26-Mar-13,25.09,25.66,25.02,25.56,432921
25-Mar-13,24.81,25.28,24.81,25.07,470038
22-Mar-13,24.61,25.16,24.61,24.94,722061
21-Mar-13,24.33,24.85,24.30,24.61,682513
