Date, Open, High, Low, Close, Volume
17-May-13,52.31,54.42,52.00,54.15,520350
16-May-13,52.85,53.64,50.17,52.00,377785
15-May-13,52.09,53.93,51.78,53.05,4085929
14-May-13,51.39,52.67,50.50,52.45,507446
13-May-13,47.00,51.81,47.00,51.13,443117
10-May-13,40.35,52.48,40.35,47.87,940459
9-May-13,39.51,40.28,39.51,40.25,44694
8-May-13,39.64,40.31,39.45,39.62,81812
7-May-13,39.76,39.82,39.41,39.55,33882
6-May-13,38.65,39.61,38.65,39.60,31117
3-May-13,38.99,39.19,38.34,38.79,60000
2-May-13,38.73,39.20,38.73,39.00,48581
1-May-13,38.89,39.20,38.19,38.73,136921
30-Apr-13,38.12,39.08,38.12,38.95,133830
29-Apr-13,37.79,38.49,36.85,38.32,123299
26-Apr-13,38.23,38.57,38.20,38.25,42468
25-Apr-13,38.37,38.88,38.11,38.33,59291
24-Apr-13,38.74,38.74,38.07,38.28,36915
23-Apr-13,38.93,38.93,38.10,38.77,69743
22-Apr-13,37.60,38.96,37.13,38.77,156416
19-Apr-13,35.43,41.31,35.43,38.00,1439772
18-Apr-13,34.31,35.01,32.02,32.75,292515
17-Apr-13,34.76,34.76,33.48,34.35,53080
16-Apr-13,34.92,35.49,34.39,34.73,115792
15-Apr-13,35.62,35.62,34.44,34.69,147796
12-Apr-13,34.38,35.09,33.95,34.94,118454
11-Apr-13,35.00,35.23,34.07,34.17,117914
10-Apr-13,34.43,35.75,34.10,34.93,152839
9-Apr-13,34.23,34.40,33.86,34.15,116047
8-Apr-13,33.83,34.47,33.02,34.10,186942
5-Apr-13,34.10,34.67,33.31,33.78,66531
4-Apr-13,34.56,34.94,33.55,34.45,82883
3-Apr-13,35.86,36.18,33.87,34.45,127699
2-Apr-13,35.03,36.49,35.03,36.07,94480
1-Apr-13,35.19,36.27,34.91,35.03,110409
28-Mar-13,35.13,35.63,33.76,35.00,175423
27-Mar-13,35.31,35.45,34.78,34.95,43081
26-Mar-13,35.19,35.88,34.60,35.53,94165
25-Mar-13,34.91,36.26,34.48,35.10,106676
22-Mar-13,34.76,35.17,34.40,34.96,68364
21-Mar-13,34.59,35.15,34.38,34.92,52233
20-Mar-13,35.79,36.23,34.44,34.75,165084
19-Mar-13,37.21,37.37,35.68,35.79,65111
18-Mar-13,36.95,36.95,36.20,36.66,54891
15-Mar-13,39.55,39.55,36.63,37.00,135818
14-Mar-13,37.99,38.48,37.79,38.30,60079
13-Mar-13,38.30,38.47,36.86,37.85,156786
12-Mar-13,38.94,38.94,38.24,38.31,65601
11-Mar-13,38.58,39.18,37.99,38.75,90838
8-Mar-13,40.00,40.45,38.15,38.57,204859
7-Mar-13,39.50,39.73,39.28,39.55,30614
6-Mar-13,39.49,39.92,38.54,39.58,32976
5-Mar-13,39.44,39.88,38.54,39.55,152255
4-Mar-13,37.40,39.48,37.30,39.44,75278
1-Mar-13,38.28,38.28,36.70,37.56,95064
28-Feb-13,36.41,38.68,36.25,38.61,89788
27-Feb-13,36.16,36.52,35.90,36.45,38568
26-Feb-13,35.71,36.95,35.60,36.21,157177
25-Feb-13,36.93,36.93,35.23,35.65,113766
22-Feb-13,36.87,37.17,36.34,37.01,64841
21-Feb-13,38.12,38.17,36.33,36.78,211406
20-Feb-13,39.07,39.23,38.01,38.06,66709
19-Feb-13,38.48,39.33,38.32,38.83,39300
15-Feb-13,39.15,39.15,38.09,38.34,68615
14-Feb-13,39.28,39.42,38.56,38.84,105523
13-Feb-13,39.72,39.96,39.38,39.44,80703
12-Feb-13,39.35,39.77,39.26,39.53,140420
11-Feb-13,39.22,39.99,38.57,39.17,63946
8-Feb-13,39.04,39.25,38.84,39.08,69522
7-Feb-13,39.00,39.17,38.56,38.95,66719
6-Feb-13,37.43,39.39,37.43,38.92,76962
5-Feb-13,36.58,39.46,36.43,37.51,157719
4-Feb-13,36.11,36.88,35.88,36.39,46010
1-Feb-13,36.25,36.31,35.33,36.23,77435
31-Jan-13,36.45,36.69,35.34,36.00,69881
30-Jan-13,36.30,36.30,35.75,36.13,25009
29-Jan-13,35.87,36.75,35.76,36.09,76461
28-Jan-13,36.00,36.33,35.75,35.84,45177
25-Jan-13,36.40,36.70,35.77,36.08,57933
24-Jan-13,35.88,36.24,35.53,36.23,28068
23-Jan-13,35.86,36.05,35.20,35.70,56550
22-Jan-13,35.00,36.22,35.00,35.73,50397
18-Jan-13,33.79,35.55,33.59,35.16,204223
17-Jan-13,32.59,34.00,32.36,33.98,142598
16-Jan-13,32.59,32.59,31.60,32.30,81657
15-Jan-13,32.56,33.21,32.24,32.55,82425
14-Jan-13,33.05,33.05,32.25,32.80,67690
11-Jan-13,32.95,33.18,32.45,32.82,79533
10-Jan-13,33.40,33.92,32.51,32.78,106824
9-Jan-13,32.07,33.50,31.93,33.05,85808
8-Jan-13,32.85,33.55,31.94,32.19,169918
7-Jan-13,34.23,35.44,32.92,32.97,172216
4-Jan-13,34.36,34.88,33.68,34.29,231355
3-Jan-13,33.41,34.49,33.23,34.39,155373
2-Jan-13,33.80,34.20,33.14,33.23,207864
31-Dec-12,33.89,34.26,33.50,33.73,102324
28-Dec-12,32.70,34.50,32.60,33.89,229088
27-Dec-12,32.29,32.88,32.19,32.76,107520
26-Dec-12,32.43,32.64,32.10,32.37,149415
24-Dec-12,31.59,32.88,31.36,32.35,112248
21-Dec-12,31.15,31.74,30.92,31.49,816703
20-Dec-12,32.86,32.95,31.68,32.00,300594
19-Dec-12,31.56,33.24,31.56,32.97,270719
18-Dec-12,33.86,33.95,31.72,32.70,647028
17-Dec-12,33.61,34.92,33.61,33.72,170892
14-Dec-12,34.50,35.74,34.45,34.51,176742
13-Dec-12,33.50,36.32,33.20,34.90,1878847
12-Dec-12,36.44,37.02,35.72,36.69,314140
11-Dec-12,36.70,36.92,35.82,36.06,158376
10-Dec-12,37.16,37.47,36.32,36.50,327329
7-Dec-12,37.20,37.32,36.65,36.74,201694
6-Dec-12,36.25,37.00,35.49,36.72,223745
5-Dec-12,36.30,37.20,35.77,36.00,111679
4-Dec-12,36.36,36.70,35.86,36.70,179029
3-Dec-12,37.40,37.40,36.53,36.74,117317
30-Nov-12,37.00,37.81,36.69,36.90,87938
29-Nov-12,37.00,37.14,36.50,37.00,71593
28-Nov-12,35.75,36.93,35.61,36.90,156381
