Date, Open, High, Low, Close, Volume
17-May-13,42.86,42.99,42.21,42.49,789402
16-May-13,43.41,43.55,42.73,42.76,638213
15-May-13,42.89,43.58,42.88,43.42,1028438
14-May-13,42.99,43.03,42.56,42.81,1155082
13-May-13,43.52,43.63,42.87,42.88,567572
10-May-13,43.61,43.83,43.40,43.58,369466
9-May-13,44.48,44.61,43.19,43.65,614924
8-May-13,45.09,45.52,44.23,44.40,864094
7-May-13,44.30,45.73,42.27,45.34,1510901
6-May-13,43.93,44.47,43.90,44.30,704441
3-May-13,43.75,44.29,43.65,43.81,799146
2-May-13,43.39,43.73,43.21,43.42,789950
1-May-13,44.19,44.34,42.70,43.25,901775
30-Apr-13,44.00,44.91,43.96,44.46,562478
29-Apr-13,44.69,44.93,43.95,44.09,324488
26-Apr-13,44.43,44.78,44.13,44.49,557838
25-Apr-13,44.16,44.92,44.04,44.42,759255
24-Apr-13,43.56,44.23,43.38,43.92,448858
23-Apr-13,43.38,43.88,43.31,43.48,679182
22-Apr-13,42.70,43.21,42.55,43.06,531530
19-Apr-13,42.30,43.02,42.25,42.58,586388
18-Apr-13,42.55,42.63,41.80,42.27,593439
17-Apr-13,44.01,44.01,42.37,42.50,783041
16-Apr-13,43.50,44.33,43.36,44.19,644962
15-Apr-13,44.90,44.97,43.23,43.23,584237
12-Apr-13,44.52,45.18,44.43,44.95,636030
11-Apr-13,45.10,45.33,44.08,44.64,798552
10-Apr-13,45.06,45.72,45.03,45.10,426579
9-Apr-13,44.92,45.33,44.89,44.99,222732
8-Apr-13,44.14,44.97,44.08,44.86,415322
5-Apr-13,43.50,44.37,43.08,44.12,581068
4-Apr-13,44.18,44.24,43.64,43.97,480541
3-Apr-13,45.25,45.25,43.71,43.92,551647
2-Apr-13,46.11,46.29,44.90,45.17,550079
1-Apr-13,45.53,46.38,45.34,45.99,464460
28-Mar-13,46.28,48.35,45.33,45.75,658821
27-Mar-13,45.05,45.58,44.87,45.39,540378
26-Mar-13,44.84,45.59,44.76,45.18,477890
25-Mar-13,45.96,46.44,45.18,45.32,481852
22-Mar-13,45.67,46.02,45.27,45.94,968330
21-Mar-13,46.06,46.19,45.50,45.52,571055
20-Mar-13,46.06,46.39,45.59,46.12,360507
19-Mar-13,46.36,46.59,45.36,45.97,534627
18-Mar-13,46.05,46.90,45.76,46.24,886363
15-Mar-13,45.80,46.43,45.57,46.35,1076478
14-Mar-13,45.40,46.13,45.40,45.80,957348
13-Mar-13,44.57,45.47,44.48,45.21,529028
12-Mar-13,44.77,44.80,44.26,44.40,414807
11-Mar-13,44.68,45.84,44.68,44.82,648884
8-Mar-13,44.93,45.15,44.48,44.97,1219305
7-Mar-13,44.49,44.67,44.39,44.49,923046
6-Mar-13,45.04,45.14,44.27,44.37,686799
5-Mar-13,44.34,45.27,44.34,44.94,804742
4-Mar-13,44.00,44.67,43.93,44.20,800454
1-Mar-13,44.69,44.70,43.88,44.00,1186091
28-Feb-13,44.50,45.22,44.50,44.75,6622021
27-Feb-13,43.84,44.70,43.74,44.60,1637684
26-Feb-13,43.18,43.91,43.18,43.75,1275556
25-Feb-13,43.94,43.99,43.15,43.15,1058503
22-Feb-13,43.12,43.81,43.00,43.81,843350
21-Feb-13,42.94,43.72,42.51,42.88,1048390
20-Feb-13,43.60,43.92,42.76,42.97,1324214
19-Feb-13,44.25,44.47,43.45,43.90,1527005
15-Feb-13,43.78,44.96,43.75,44.13,2316741
14-Feb-13,44.54,44.63,43.27,43.44,2903010
13-Feb-13,43.92,44.43,43.75,44.39,1762650
12-Feb-13,41.19,43.91,40.91,43.86,3071201
11-Feb-13,42.40,43.17,41.93,43.14,1574956
8-Feb-13,42.69,42.97,42.17,42.39,932698
7-Feb-13,41.77,42.65,41.49,42.60,2173865
6-Feb-13,41.64,42.10,41.55,41.75,949276
5-Feb-13,41.21,41.85,41.15,41.81,1169968
4-Feb-13,41.25,41.50,40.90,41.16,756852
1-Feb-13,40.09,41.93,40.02,41.47,2013905
31-Jan-13,39.88,40.21,39.59,39.97,1339872
30-Jan-13,40.71,40.72,40.05,40.16,1053113
29-Jan-13,41.19,41.22,40.68,40.78,890974
28-Jan-13,40.90,42.06,40.59,41.11,1638892
25-Jan-13,40.31,40.56,40.15,40.33,768280
24-Jan-13,40.29,40.75,40.06,40.24,590153
23-Jan-13,40.88,40.89,40.17,40.20,709257
22-Jan-13,40.78,41.43,40.75,40.87,714566
18-Jan-13,40.40,40.95,40.30,40.78,1180476
17-Jan-13,40.43,40.69,40.36,40.42,915295
16-Jan-13,40.49,40.57,40.25,40.48,696282
15-Jan-13,40.36,40.53,40.20,40.47,1407816
14-Jan-13,40.58,40.65,40.15,40.43,566189
11-Jan-13,40.65,40.70,40.36,40.58,978780
10-Jan-13,40.10,40.75,40.07,40.70,921712
9-Jan-13,39.95,40.38,39.91,40.11,918399
8-Jan-13,39.80,39.94,39.62,39.79,952856
7-Jan-13,39.76,40.05,39.38,39.81,550862
4-Jan-13,39.79,39.86,39.40,39.76,634750
3-Jan-13,39.05,39.48,38.90,39.38,783632
2-Jan-13,38.76,39.63,38.75,39.16,1125286
31-Dec-12,37.40,38.46,37.35,38.46,934212
28-Dec-12,37.63,37.94,37.28,37.34,474537
27-Dec-12,37.85,38.05,37.10,37.68,874197
26-Dec-12,38.25,38.33,37.58,37.84,527580
24-Dec-12,38.00,38.30,37.10,38.18,448325
21-Dec-12,37.76,38.29,37.65,38.26,1248989
20-Dec-12,37.92,38.20,37.66,38.00,2230990
19-Dec-12,37.79,38.07,37.10,37.68,804736
18-Dec-12,38.08,38.36,37.36,37.82,1768142
17-Dec-12,36.29,37.93,36.29,37.78,1025964
14-Dec-12,36.72,37.11,36.42,36.93,618440
13-Dec-12,37.02,37.09,36.33,36.77,1315433
12-Dec-12,37.05,37.25,36.49,37.03,817319
11-Dec-12,36.99,37.30,36.50,36.98,1271629
10-Dec-12,36.24,37.12,35.94,37.01,1583084
7-Dec-12,35.22,36.35,35.22,36.31,1500457
6-Dec-12,33.54,35.86,33.54,35.77,2029979
5-Dec-12,34.15,35.54,34.00,34.83,1841105
4-Dec-12,33.40,34.25,33.06,34.16,875417
3-Dec-12,33.32,34.12,33.04,34.03,1543136
30-Nov-12,33.60,33.94,32.56,33.22,584387
29-Nov-12,32.39,32.95,32.20,32.94,748896
28-Nov-12,31.65,32.22,31.26,32.09,1261262
27-Nov-12,31.91,32.27,31.23,31.84,651415
26-Nov-12,32.36,32.72,31.56,31.99,199945
23-Nov-12,31.53,32.40,31.40,32.30,209454
21-Nov-12,31.78,32.08,31.18,31.37,515718
20-Nov-12,32.06,32.60,31.65,31.80,316803
19-Nov-12,31.75,32.75,31.37,32.26,507982
16-Nov-12,31.37,31.74,30.85,31.51,867251
15-Nov-12,32.00,32.10,31.30,31.53,568544
14-Nov-12,32.55,32.85,31.91,32.06,566719
13-Nov-12,32.43,32.94,32.03,32.51,458829
12-Nov-12,32.94,33.88,32.25,32.52,2024380
9-Nov-12,31.06,31.73,31.00,31.61,1379803
8-Nov-12,31.00,31.93,30.97,31.32,1434854
7-Nov-12,35.36,38.61,36.96,37.81,2351492
6-Nov-12,38.64,38.92,37.47,38.07,1937346
5-Nov-12,38.82,39.25,37.32,38.72,1886024
2-Nov-12,38.65,38.80,37.82,37.86,549992
1-Nov-12,39.16,39.16,38.15,38.40,866371
31-Oct-12,39.54,39.66,38.32,39.01,728310
26-Oct-12,38.94,40.00,38.94,39.47,474575
25-Oct-12,39.34,39.63,38.55,39.04,338558
24-Oct-12,39.29,39.47,38.84,39.02,552910
23-Oct-12,39.04,39.50,38.69,39.07,300386
22-Oct-12,39.11,39.47,38.67,39.29,377353
19-Oct-12,39.40,39.60,38.81,39.11,542015
18-Oct-12,40.05,40.20,39.50,39.55,405645
17-Oct-12,40.41,40.87,39.70,40.23,639122
16-Oct-12,40.39,40.59,40.27,40.47,314448
15-Oct-12,40.25,40.57,40.08,40.41,227799
12-Oct-12,40.12,40.53,40.07,40.36,368726
11-Oct-12,40.38,40.68,39.93,40.10,645621
10-Oct-12,40.04,40.48,39.95,39.99,261882
9-Oct-12,40.18,40.39,40.01,40.10,381462
8-Oct-12,40.62,40.83,40.06,40.40,383678
5-Oct-12,40.64,40.87,39.98,40.87,1069835
4-Oct-12,40.51,40.91,40.04,40.56,330265
3-Oct-12,40.00,40.66,39.70,40.36,506133
2-Oct-12,40.15,40.55,39.27,39.87,710079
1-Oct-12,39.68,40.78,39.25,40.13,430981
