Date, Open, High, Low, Close, Volume
17-May-13,4.01,4.40,4.01,4.31,1000
16-May-13,4.29,4.29,4.11,4.11,200
15-May-13,4.40,4.40,4.20,4.31,2813
14-May-13,4.35,4.45,4.14,4.30,2785
13-May-13,4.38,4.38,4.38,4.38,202
10-May-13,4.39,4.55,4.39,4.40,305
9-May-13,4.60,4.70,4.35,4.54,3017
8-May-13,4.50,4.64,4.35,4.50,2924
7-May-13,4.60,4.68,4.35,4.68,1000
6-May-13,4.70,4.80,4.49,4.70,22236
3-May-13,4.88,4.88,4.60,4.74,5836
2-May-13,4.64,4.86,4.63,4.75,5126
1-May-13,4.70,4.70,4.37,4.64,4668
30-Apr-13,4.60,4.70,4.48,4.65,12022
29-Apr-13,4.55,4.65,4.07,4.64,5168
26-Apr-13,4.65,4.65,4.20,4.41,11558
25-Apr-13,4.44,4.60,4.32,4.40,21741
24-Apr-13,4.45,4.46,4.15,4.37,1250
23-Apr-13,4.50,4.50,4.40,4.50,11560
22-Apr-13,4.34,4.49,4.28,4.49,8600
19-Apr-13,4.30,4.35,4.22,4.29,4564
18-Apr-13,4.39,4.39,4.02,4.24,3200
17-Apr-13,4.13,4.25,4.06,4.20,6353
16-Apr-13,3.87,4.11,3.87,4.09,7059
15-Apr-13,3.81,3.89,3.81,3.89,494
12-Apr-13,3.96,3.96,3.76,3.76,200
10-Apr-13,3.69,4.00,3.67,3.98,6374
9-Apr-13,4.00,4.00,3.84,3.97,3960
8-Apr-13,4.00,4.00,3.93,3.99,2586
5-Apr-13,3.98,3.98,3.89,3.89,2035
4-Apr-13,3.90,4.00,3.81,3.90,2446
3-Apr-13,3.73,3.84,3.58,3.84,5408
2-Apr-13,3.85,3.85,3.83,3.83,1262
1-Apr-13,3.71,3.71,3.71,3.71,100
28-Mar-13,4.00,4.00,3.76,3.89,6282
27-Mar-13,3.66,4.00,3.62,3.93,18820
26-Mar-13,3.66,3.76,3.66,3.72,2292
25-Mar-13,3.71,3.84,3.56,3.65,5685
22-Mar-13,3.83,3.84,3.65,3.67,2283
21-Mar-13,3.85,3.85,3.65,3.65,1120
20-Mar-13,3.40,3.85,3.40,3.78,16700
19-Mar-13,3.66,3.68,3.44,3.64,12750
18-Mar-13,3.50,3.70,3.40,3.68,39523
15-Mar-13,3.88,4.14,3.67,3.68,55384
14-Mar-13,3.50,4.74,3.48,3.80,320407
12-Mar-13,3.26,3.59,3.26,3.50,2659
11-Mar-13,3.30,3.34,3.26,3.26,2652
8-Mar-13,3.45,3.45,3.30,3.36,4090
7-Mar-13,3.45,3.49,3.45,3.49,2000
6-Mar-13,3.45,3.50,3.45,3.50,1344
5-Mar-13,3.55,3.56,3.50,3.56,3200
4-Mar-13,3.65,3.65,3.55,3.58,1622
1-Mar-13,3.55,3.67,3.55,3.60,1990
28-Feb-13,3.79,3.80,3.60,3.60,6398
27-Feb-13,3.70,3.78,3.65,3.65,2440
26-Feb-13,3.90,3.90,3.60,3.60,3500
25-Feb-13,3.68,3.71,3.61,3.65,2790
22-Feb-13,3.51,3.80,3.51,3.80,1125
21-Feb-13,3.75,4.05,3.64,3.71,36614
20-Feb-13,3.67,3.67,3.51,3.64,1941
15-Feb-13,3.86,3.88,3.61,3.79,1938
14-Feb-13,3.60,3.60,3.59,3.59,200
13-Feb-13,3.52,3.52,3.51,3.51,850
12-Feb-13,3.62,3.62,3.54,3.56,1850
11-Feb-13,3.52,3.52,3.52,3.52,100
8-Feb-13,3.98,4.02,3.56,3.77,3842
7-Feb-13,4.11,4.11,3.50,3.56,10104
6-Feb-13,4.20,4.20,3.99,3.99,552
5-Feb-13,4.04,4.20,3.63,3.81,10917
4-Feb-13,3.50,4.00,3.44,3.93,10642
1-Feb-13,3.40,3.40,3.40,3.40,504
31-Jan-13,3.40,3.53,3.30,3.35,2374
29-Jan-13,3.11,3.54,3.11,3.46,1000
28-Jan-13,3.40,3.54,3.30,3.41,2945
25-Jan-13,3.35,3.35,3.23,3.30,6500
24-Jan-13,3.42,3.42,3.42,3.42,100
23-Jan-13,3.41,3.41,3.41,3.41,100
22-Jan-13,3.40,3.55,3.40,3.55,1572
18-Jan-13,3.22,3.48,3.16,3.48,1375
17-Jan-13,3.40,3.40,3.00,3.22,10764
16-Jan-13,3.44,3.44,3.43,3.43,325
15-Jan-13,3.46,3.50,3.39,3.50,4780
14-Jan-13,3.56,3.56,3.45,3.56,3666
11-Jan-13,3.55,3.56,3.55,3.56,1000
10-Jan-13,3.63,3.66,3.30,3.66,10525
9-Jan-13,3.83,3.83,3.72,3.72,1194
7-Jan-13,3.70,3.89,3.70,3.82,7866
4-Jan-13,3.88,3.95,3.65,3.70,8535
3-Jan-13,3.92,3.93,3.92,3.93,1100
2-Jan-13,3.90,4.00,3.77,3.77,2900
31-Dec-12,3.91,3.91,3.60,3.75,21762
28-Dec-12,4.10,4.10,3.87,3.87,11397
27-Dec-12,4.15,4.25,4.03,4.19,2468
26-Dec-12,4.00,4.20,4.00,4.20,250
24-Dec-12,4.25,4.25,4.20,4.20,200
21-Dec-12,4.20,4.21,4.01,4.05,4551
20-Dec-12,4.17,4.17,4.17,4.17,400
19-Dec-12,4.26,4.30,4.16,4.16,7789
18-Dec-12,3.95,4.71,3.95,4.10,45105
17-Dec-12,4.00,4.00,4.00,4.00,100
14-Dec-12,3.90,4.25,3.90,4.05,8792
13-Dec-12,4.00,4.20,3.91,3.91,16275
12-Dec-12,4.06,4.07,3.91,3.91,8906
10-Dec-12,3.95,4.20,3.95,4.05,788
7-Dec-12,4.02,4.03,3.95,3.95,2500
6-Dec-12,4.20,4.20,4.00,4.01,8089
5-Dec-12,4.34,4.34,4.09,4.15,3410
4-Dec-12,4.06,4.45,4.06,4.13,6420
3-Dec-12,4.30,4.50,4.05,4.05,6474
30-Nov-12,4.05,4.30,4.05,4.30,1450
