Date, Open, High, Low, Close, Volume
17-May-13,13.00,13.22,13.00,13.21,10057
16-May-13,12.97,13.00,12.76,13.00,10986
15-May-13,13.00,13.00,12.81,12.90,4670
14-May-13,12.85,13.00,12.76,12.93,10102
13-May-13,12.63,12.93,12.56,12.89,6689
10-May-13,12.59,12.69,12.50,12.61,6476
9-May-13,12.75,12.75,12.55,12.67,4640
8-May-13,12.41,12.75,12.35,12.75,20797
7-May-13,12.17,12.41,12.13,12.41,12582
6-May-13,12.20,12.28,12.11,12.14,11002
3-May-13,12.24,12.24,12.08,12.24,8585
2-May-13,12.20,12.24,12.17,12.21,5337
1-May-13,12.23,12.27,12.17,12.20,12474
30-Apr-13,12.16,12.27,12.16,12.22,6926
29-Apr-13,12.27,12.28,12.12,12.19,21736
26-Apr-13,12.37,12.37,12.18,12.18,702
25-Apr-13,12.28,12.28,12.06,12.18,8271
24-Apr-13,12.30,12.40,12.29,12.38,14726
23-Apr-13,12.30,12.39,12.23,12.38,51659
22-Apr-13,12.09,12.34,12.05,12.34,5775
19-Apr-13,12.05,12.18,12.05,12.07,2884
18-Apr-13,12.22,12.24,12.05,12.05,8240
17-Apr-13,12.15,12.35,12.15,12.35,3456
16-Apr-13,12.30,12.35,12.15,12.34,5845
15-Apr-13,12.30,12.35,12.16,12.30,6046
12-Apr-13,12.25,12.35,12.25,12.35,2966
11-Apr-13,12.17,12.34,12.16,12.27,3445
10-Apr-13,12.25,12.35,12.21,12.29,8100
9-Apr-13,12.21,12.35,12.11,12.26,6795
8-Apr-13,12.19,12.29,12.15,12.17,6015
5-Apr-13,12.18,12.30,12.18,12.27,950
4-Apr-13,12.34,12.35,12.20,12.20,10003
3-Apr-13,12.27,12.35,12.24,12.34,11399
2-Apr-13,12.35,12.35,12.13,12.32,13107
1-Apr-13,12.25,12.35,12.24,12.35,10968
28-Mar-13,12.27,12.35,12.21,12.30,9177
27-Mar-13,12.27,12.35,12.23,12.35,11584
26-Mar-13,12.27,12.36,12.25,12.35,5953
