Date, Open, High, Low, Close, Volume
17-May-13,17.30,17.36,17.19,17.28,18503
16-May-13,17.25,17.30,17.06,17.27,12723
15-May-13,17.22,17.42,17.15,17.27,15111
14-May-13,17.09,17.20,17.05,17.20,20978
13-May-13,16.96,17.05,16.81,17.00,16431
10-May-13,17.00,17.00,16.81,16.87,5589
9-May-13,16.96,17.05,16.94,16.94,5206
8-May-13,17.10,17.20,17.04,17.12,75998
7-May-13,17.01,17.15,16.97,17.09,54508
6-May-13,17.01,17.10,16.97,17.03,27053
3-May-13,16.80,17.10,16.80,16.99,16169
2-May-13,16.69,16.86,16.54,16.80,9607
1-May-13,16.95,16.95,16.51,16.54,32895
30-Apr-13,16.63,17.05,16.54,17.02,34101
29-Apr-13,16.66,16.67,16.56,16.56,8521
26-Apr-13,16.82,16.82,16.55,16.55,8136
25-Apr-13,16.78,16.95,16.68,16.84,5583
24-Apr-13,16.62,16.82,16.62,16.77,11131
23-Apr-13,16.40,16.75,16.38,16.74,14282
22-Apr-13,16.47,16.48,16.19,16.47,13269
19-Apr-13,16.17,16.56,16.17,16.56,14084
18-Apr-13,16.17,16.26,16.14,16.20,90489
17-Apr-13,16.37,16.46,16.12,16.16,26654
16-Apr-13,16.43,16.57,16.24,16.54,11992
15-Apr-13,16.33,16.49,16.14,16.20,35637
12-Apr-13,16.53,16.53,16.42,16.47,7481
11-Apr-13,16.44,16.55,16.42,16.55,5856
10-Apr-13,16.12,16.46,16.11,16.46,19208
9-Apr-13,16.06,16.16,16.02,16.02,24016
8-Apr-13,15.93,16.08,15.93,16.08,20375
5-Apr-13,15.62,16.04,15.62,15.93,20420
4-Apr-13,15.72,15.94,15.69,15.94,4602
3-Apr-13,15.78,15.82,15.72,15.72,9724
2-Apr-13,16.11,16.15,15.82,15.88,9530
1-Apr-13,16.04,16.09,15.90,15.97,8003
28-Mar-13,16.11,16.17,16.01,16.06,20007
27-Mar-13,15.83,16.09,15.83,16.07,11221
26-Mar-13,16.00,16.02,15.96,16.01,4476
25-Mar-13,15.83,16.02,15.72,16.00,13152
