Date, Open, High, Low, Close, Volume
17-May-13,3.10,3.13,2.91,2.91,1300067
16-May-13,3.28,3.29,3.11,3.12,1128868
15-May-13,3.46,3.52,3.36,3.36,241662
14-May-13,3.55,3.61,3.51,3.53,271699
13-May-13,3.65,3.70,3.57,3.57,515153
10-May-13,3.74,3.76,3.64,3.67,323631
9-May-13,3.87,4.10,3.80,3.83,958608
8-May-13,3.75,3.95,3.67,3.95,662646
7-May-13,3.53,3.62,3.50,3.55,390621
6-May-13,3.60,3.62,3.56,3.58,180810
3-May-13,3.52,3.59,3.50,3.55,446101
2-May-13,3.76,3.80,3.62,3.71,429046
1-May-13,3.80,3.81,3.71,3.78,439709
30-Apr-13,3.89,3.94,3.78,3.85,469600
29-Apr-13,4.05,4.11,3.99,4.04,253943
26-Apr-13,4.12,4.16,4.05,4.05,108161
25-Apr-13,4.23,4.23,4.06,4.13,361604
24-Apr-13,4.04,4.23,4.02,4.22,372772
23-Apr-13,3.95,4.01,3.88,3.92,243095
22-Apr-13,3.95,4.01,3.87,3.87,290650
19-Apr-13,3.97,4.02,3.85,3.88,330145
18-Apr-13,4.01,4.04,3.94,4.03,227180
17-Apr-13,4.31,4.39,3.98,4.00,611033
16-Apr-13,4.70,4.78,4.47,4.47,426770
15-Apr-13,4.78,4.83,4.61,4.64,551561
12-Apr-13,5.48,5.53,5.22,5.22,496622
11-Apr-13,5.69,5.74,5.54,5.54,237445
10-Apr-13,5.81,5.81,5.71,5.75,361343
9-Apr-13,5.75,5.84,5.75,5.84,151473
8-Apr-13,5.65,5.69,5.63,5.65,220610
5-Apr-13,5.50,5.62,5.50,5.57,372440
4-Apr-13,5.39,5.55,5.26,5.53,480563
3-Apr-13,5.57,5.62,5.31,5.34,736054
2-Apr-13,5.65,5.71,5.53,5.55,700259
1-Apr-13,5.67,5.67,5.59,5.62,505413
28-Mar-13,5.72,5.80,5.62,5.65,581330
27-Mar-13,5.61,5.73,5.59,5.71,536019
26-Mar-13,5.47,5.55,5.47,5.53,1407620
25-Mar-13,5.34,5.35,5.27,5.27,439024
22-Mar-13,5.46,5.46,5.32,5.34,802227
21-Mar-13,5.59,5.63,5.46,5.49,1406423
20-Mar-13,5.78,5.80,5.46,5.48,1210897
19-Mar-13,5.85,5.92,5.78,5.84,704235
18-Mar-13,5.95,5.98,5.85,5.88,1402039
15-Mar-13,6.13,6.20,5.87,5.96,26016951
14-Mar-13,6.16,6.25,6.08,6.14,3185757
13-Mar-13,6.22,6.25,6.05,6.06,2363644
12-Mar-13,6.06,6.20,6.01,6.10,1808798
11-Mar-13,6.20,6.25,5.81,5.89,3151009
8-Mar-13,6.18,6.33,6.13,6.32,1862613
7-Mar-13,6.36,6.36,6.13,6.15,761311
6-Mar-13,5.86,6.34,5.74,6.22,1759112
5-Mar-13,5.88,5.89,5.76,5.77,636685
4-Mar-13,5.71,5.79,5.58,5.63,1015873
1-Mar-13,6.06,6.15,5.79,5.86,5832680
28-Feb-13,5.85,5.85,5.64,5.66,587558
27-Feb-13,5.99,6.04,5.82,5.89,1545134
26-Feb-13,6.08,6.23,5.96,6.13,544128
25-Feb-13,6.01,6.13,5.98,6.06,1621407
22-Feb-13,6.07,6.07,5.70,5.86,881834
21-Feb-13,5.66,6.36,5.66,5.94,1587644
20-Feb-13,5.94,6.12,5.74,5.74,218716
19-Feb-13,7.08,7.08,6.06,6.15,227727
15-Feb-13,7.43,7.43,7.16,7.30,17824
14-Feb-13,7.25,8.31,7.25,7.47,40699
13-Feb-13,6.65,6.82,6.65,6.77,73700
12-Feb-13,6.45,6.64,6.45,6.64,16901
11-Feb-13,6.19,6.28,6.08,6.25,90125
