Date, Open, High, Low, Close, Volume
17-May-13,37.61,39.03,37.41,38.88,1053289
16-May-13,37.40,37.50,37.32,37.35,206476
15-May-13,36.90,37.58,36.90,37.35,506166
14-May-13,36.96,37.06,36.36,36.92,170922
13-May-13,35.19,37.00,35.11,36.86,593742
10-May-13,34.49,35.19,34.49,35.16,220863
9-May-13,33.75,34.82,33.60,34.35,296463
8-May-13,33.27,35.94,33.26,34.02,824526
7-May-13,32.89,33.84,32.79,33.72,711375
6-May-13,33.00,33.12,32.63,33.00,366660
3-May-13,34.00,34.00,32.85,33.13,212875
2-May-13,33.12,33.78,33.12,33.69,215608
1-May-13,33.20,33.51,32.63,33.05,151316
30-Apr-13,32.95,33.85,32.94,33.60,345244
29-Apr-13,32.04,33.24,32.04,33.16,368010
26-Apr-13,32.93,33.19,32.01,32.32,893429
25-Apr-13,32.48,34.12,32.03,33.20,719601
24-Apr-13,32.64,33.20,31.76,32.47,702875
23-Apr-13,32.92,33.46,32.55,32.85,821855
22-Apr-13,33.68,33.93,32.75,32.92,1611625
19-Apr-13,30.56,34.67,30.26,33.52,21676769
