Date, Open, High, Low, Close, Volume
17-May-13,1.01,1.07,1.01,1.03,18600
16-May-13,1.01,1.06,1.00,1.02,22514
15-May-13,1.01,1.05,0.99,1.04,13000
14-May-13,1.02,1.05,1.01,1.01,39637
13-May-13,1.09,1.13,1.03,1.04,20140
10-May-13,1.03,1.13,1.02,1.07,69469
9-May-13,1.03,1.05,1.01,1.04,9094
8-May-13,1.06,1.06,1.01,1.05,18205
7-May-13,1.03,1.05,1.01,1.04,32021
6-May-13,1.03,1.04,1.02,1.03,6300
3-May-13,1.04,1.07,1.01,1.01,9658
2-May-13,1.01,1.05,1.01,1.03,27918
1-May-13,1.09,1.09,1.02,1.03,16340
30-Apr-13,1.15,1.16,1.09,1.10,18348
29-Apr-13,1.15,1.15,1.08,1.13,50733
26-Apr-13,1.13,1.15,1.09,1.13,26136
25-Apr-13,1.09,1.15,1.07,1.12,50050
24-Apr-13,1.15,1.29,1.06,1.13,111205
23-Apr-13,1.15,1.16,1.05,1.13,83495
22-Apr-13,1.21,1.24,1.04,1.11,179220
19-Apr-13,1.63,1.82,1.16,1.27,1157104
18-Apr-13,1.22,1.25,1.17,1.24,36967
17-Apr-13,1.17,1.23,1.14,1.18,40046
16-Apr-13,1.06,1.21,1.02,1.12,68422
15-Apr-13,1.04,1.14,1.00,1.03,28675
12-Apr-13,1.08,1.13,1.04,1.05,18998
11-Apr-13,1.22,1.22,1.07,1.09,26712
10-Apr-13,1.06,1.24,1.06,1.13,72132
9-Apr-13,1.05,1.11,1.00,1.04,23057
8-Apr-13,1.03,1.13,1.01,1.05,11313
5-Apr-13,0.87,1.00,0.87,1.00,8484
4-Apr-13,0.90,0.98,0.87,0.98,17542
3-Apr-13,0.99,0.99,0.88,0.96,6450
2-Apr-13,1.01,1.02,0.70,1.00,27400
1-Apr-13,1.06,1.11,1.00,1.04,1390
28-Mar-13,1.04,1.08,1.00,1.08,39799
27-Mar-13,1.04,1.12,1.04,1.06,12725
26-Mar-13,1.15,1.15,1.04,1.04,9500
25-Mar-13,1.14,1.14,1.08,1.11,5522
22-Mar-13,1.10,1.20,1.06,1.20,13550
20-Mar-13,1.13,1.20,1.03,1.12,14616
19-Mar-13,1.22,1.22,1.22,1.22,100
15-Mar-13,1.23,1.24,1.23,1.24,2100
13-Mar-13,1.24,1.24,1.15,1.15,8700
12-Mar-13,1.30,1.30,1.23,1.23,9840
11-Mar-13,1.21,1.46,1.21,1.35,79684
7-Mar-13,1.17,1.22,1.14,1.22,1600
6-Mar-13,1.15,1.23,1.15,1.23,4867
5-Mar-13,1.17,1.17,1.12,1.14,9318
4-Mar-13,1.18,1.18,1.13,1.14,9247
1-Mar-13,1.19,1.25,1.10,1.25,8271
28-Feb-13,1.23,1.23,1.16,1.20,6776
27-Feb-13,1.13,1.23,1.13,1.23,2670
26-Feb-13,1.23,1.24,1.14,1.23,40370
25-Feb-13,1.23,1.23,1.23,1.23,7170
22-Feb-13,1.27,1.28,1.27,1.28,3439
21-Feb-13,1.23,1.28,1.23,1.28,39925
20-Feb-13,1.22,1.30,1.22,1.26,13226
19-Feb-13,1.22,1.27,1.22,1.27,7601
15-Feb-13,1.22,1.30,1.22,1.23,33886
14-Feb-13,1.22,1.30,1.22,1.30,8250
13-Feb-13,1.20,1.38,1.20,1.30,26279
12-Feb-13,1.21,1.30,1.20,1.30,20063
11-Feb-13,1.21,1.35,1.21,1.26,11950
8-Feb-13,1.35,1.35,1.22,1.26,8100
7-Feb-13,1.24,1.27,1.22,1.27,1200
6-Feb-13,1.24,1.28,1.24,1.28,3889
5-Feb-13,1.29,1.31,1.24,1.26,34100
4-Feb-13,1.19,1.29,1.19,1.29,11774
1-Feb-13,1.23,1.31,1.23,1.31,4682
31-Jan-13,1.25,1.25,1.19,1.23,5965
30-Jan-13,1.24,1.29,1.22,1.27,16950
29-Jan-13,1.25,1.30,1.25,1.30,25380
28-Jan-13,1.28,1.30,1.25,1.30,18528
25-Jan-13,1.35,1.41,1.25,1.30,4260
24-Jan-13,1.32,1.32,1.22,1.30,8970
23-Jan-13,1.27,1.32,1.23,1.32,26532
22-Jan-13,1.39,1.46,1.31,1.31,72061
18-Jan-13,1.29,1.44,1.25,1.40,155789
17-Jan-13,1.16,1.41,1.16,1.29,192247
16-Jan-13,1.20,1.20,1.15,1.16,3184
15-Jan-13,1.15,1.15,1.12,1.15,13205
14-Jan-13,1.15,1.22,1.14,1.15,9190
11-Jan-13,1.15,1.20,1.14,1.15,11101
10-Jan-13,1.19,1.22,1.15,1.22,17398
9-Jan-13,1.22,1.27,1.13,1.19,38700
8-Jan-13,1.20,1.20,1.13,1.19,19774
7-Jan-13,1.19,1.27,1.12,1.24,66648
4-Jan-13,1.15,1.20,1.12,1.17,27887
3-Jan-13,1.15,1.20,1.12,1.13,40982
2-Jan-13,1.18,1.24,1.12,1.12,72400
31-Dec-12,1.27,1.27,1.12,1.14,70745
28-Dec-12,1.39,1.55,1.18,1.24,137986
27-Dec-12,1.70,2.06,1.30,1.35,1114845
26-Dec-12,1.02,1.86,1.02,1.58,976974
24-Dec-12,1.00,1.01,1.00,1.01,4000
21-Dec-12,1.00,1.00,1.00,1.00,126
20-Dec-12,0.98,1.02,0.98,1.01,4260
19-Dec-12,0.96,1.08,0.96,0.98,9201
18-Dec-12,1.00,1.10,0.91,0.94,15755
17-Dec-12,1.00,1.00,1.00,1.00,9585
14-Dec-12,1.01,1.03,1.00,1.00,18815
13-Dec-12,1.00,1.08,1.00,1.03,6000
12-Dec-12,1.00,1.12,1.00,1.03,9254
11-Dec-12,1.09,1.22,1.00,1.08,3805
10-Dec-12,1.12,1.23,1.05,1.08,7257
7-Dec-12,1.08,1.08,1.00,1.04,16193
6-Dec-12,1.10,1.11,1.07,1.07,10550
5-Dec-12,1.20,1.20,1.07,1.10,4544
4-Dec-12,1.12,1.26,1.10,1.19,8550
3-Dec-12,1.14,1.28,1.14,1.17,57818
30-Nov-12,1.10,1.10,1.07,1.07,13556
29-Nov-12,1.10,1.15,1.10,1.10,6005
28-Nov-12,1.07,1.12,1.07,1.11,19956
27-Nov-12,1.07,1.13,1.07,1.08,17445
26-Nov-12,1.18,1.18,1.06,1.07,15416
23-Nov-12,1.32,1.32,1.08,1.18,84532
21-Nov-12,1.38,1.54,1.25,1.28,185713
20-Nov-12,1.33,1.44,1.16,1.40,160371
19-Nov-12,1.45,1.45,1.12,1.20,189024
16-Nov-12,2.00,2.30,1.40,1.46,528139
15-Nov-12,1.02,2.08,1.00,1.85,956340
14-Nov-12,0.89,1.15,0.89,1.03,28967
13-Nov-12,1.05,1.05,0.90,1.00,5738
12-Nov-12,0.90,0.90,0.90,0.90,700
9-Nov-12,0.95,1.03,0.90,1.01,5270
8-Nov-12,0.99,1.00,0.95,1.00,3880
7-Nov-12,0.89,0.89,0.79,0.88,14783
6-Nov-12,0.95,1.00,0.88,0.88,10269
5-Nov-12,0.89,0.96,0.86,0.90,7496
2-Nov-12,1.15,1.35,0.91,0.92,51935
1-Nov-12,0.85,1.20,0.85,1.10,22404
31-Oct-12,-,-,-,1.01,0
26-Oct-12,0.85,0.85,0.85,0.85,270
25-Oct-12,0.95,0.95,0.88,0.89,9940
24-Oct-12,0.90,0.90,0.90,0.90,2766
23-Oct-12,1.01,1.07,0.88,0.95,2800
22-Oct-12,1.07,1.07,1.01,1.01,2428
19-Oct-12,1.13,1.15,0.93,0.93,11575
18-Oct-12,1.10,1.15,1.05,1.05,37849
17-Oct-12,0.81,1.12,0.75,1.01,33137
16-Oct-12,0.86,0.89,0.86,0.87,7132
15-Oct-12,0.97,0.97,0.82,0.96,4540
12-Oct-12,0.90,1.12,0.78,0.99,39050
11-Oct-12,0.75,0.82,0.75,0.82,3160
10-Oct-12,0.81,0.85,0.75,0.84,25807
9-Oct-12,-,-,-,0.81,0
8-Oct-12,0.87,0.87,0.81,0.81,36100
5-Oct-12,0.87,0.87,0.87,0.87,2245
4-Oct-12,0.86,0.94,0.86,0.87,14827
3-Oct-12,0.85,0.86,0.85,0.86,4600
2-Oct-12,0.97,1.02,0.85,0.93,20812
1-Oct-12,0.78,0.84,0.78,0.79,32946
28-Sep-12,1.00,1.04,0.86,0.86,18506
27-Sep-12,1.05,1.05,0.91,0.91,16194
26-Sep-12,1.05,1.05,0.93,0.98,15848
25-Sep-12,1.05,1.08,1.00,1.00,8830
24-Sep-12,1.05,1.05,1.00,1.00,10453
21-Sep-12,1.06,1.06,1.00,1.00,17877
20-Sep-12,1.06,1.12,1.05,1.11,11040
19-Sep-12,1.10,1.17,1.05,1.14,18751
18-Sep-12,1.11,1.20,1.08,1.12,36362
17-Sep-12,1.20,1.35,1.10,1.13,31063
14-Sep-12,1.19,1.50,1.15,1.18,70259
13-Sep-12,1.50,1.50,1.01,1.23,108112
12-Sep-12,1.95,2.00,1.36,1.45,100926
11-Sep-12,0.93,2.38,0.93,1.65,446127
16-May-12,1.83,1.84,1.51,1.52,112363
15-May-12,2.06,2.14,1.80,1.87,66080
14-May-12,2.21,2.25,2.00,2.06,58115
11-May-12,2.17,2.20,2.00,2.18,71794
10-May-12,2.11,2.29,1.97,2.12,101590
9-May-12,2.10,2.24,1.98,2.09,84515
8-May-12,2.30,2.34,2.10,2.20,165135
7-May-12,2.10,2.75,2.10,2.40,276553
4-May-12,2.15,2.27,2.08,2.08,76470
3-May-12,2.69,2.69,2.05,2.08,177238
2-May-12,2.94,2.94,2.41,2.56,405174
1-May-12,2.99,3.29,2.95,2.95,291367
30-Apr-12,2.99,3.29,2.95,3.17,209296
27-Apr-12,3.11,3.44,2.88,2.95,286920
26-Apr-12,3.15,3.78,2.77,3.09,1172313
25-Apr-12,2.80,3.21,2.76,2.85,367964
24-Apr-12,2.96,3.38,2.66,2.80,1051316
23-Apr-12,2.09,3.68,2.09,2.93,2783788
20-Apr-12,1.46,2.74,1.46,2.37,2237060
19-Apr-12,1.40,1.58,1.20,1.28,162698
18-Apr-12,1.56,1.56,1.28,1.40,137366
17-Apr-12,1.32,1.66,1.31,1.60,162093
16-Apr-12,1.61,1.64,1.22,1.32,121640
13-Apr-12,2.25,2.42,1.49,1.49,780000
12-Apr-12,0.73,2.83,0.73,2.55,2270381
11-Apr-12,0.65,0.73,0.65,0.73,13736
10-Apr-12,0.70,0.70,0.62,0.65,14076
9-Apr-12,0.72,0.72,0.72,0.72,1425
5-Apr-12,0.70,0.80,0.68,0.68,5971
4-Apr-12,0.70,0.70,0.61,0.66,19794
3-Apr-12,0.68,0.75,0.66,0.66,14450
2-Apr-12,0.76,0.76,0.68,0.68,5026
30-Mar-12,0.75,0.75,0.75,0.75,674
29-Mar-12,0.75,0.80,0.65,0.76,12226
28-Mar-12,0.77,0.77,0.75,0.75,848
27-Mar-12,0.76,0.76,0.75,0.75,12200
26-Mar-12,0.82,0.84,0.75,0.76,9375
23-Mar-12,-,-,-,0.79,0
22-Mar-12,0.87,0.87,0.79,0.81,12462
21-Mar-12,0.88,0.88,0.88,0.88,3380
20-Mar-12,0.98,0.98,0.98,0.98,1320
19-Mar-12,0.98,0.98,0.95,0.95,2080
16-Mar-12,0.97,0.97,0.97,0.97,100
15-Mar-12,-,-,-,0.95,0
14-Mar-12,-,-,-,0.95,0
13-Mar-12,0.98,0.98,0.98,0.98,400
12-Mar-12,0.92,0.95,0.88,0.95,2431
9-Mar-12,0.90,0.95,0.90,0.95,1923
8-Mar-12,0.82,0.98,0.75,0.95,8955
7-Mar-12,0.84,0.90,0.75,0.82,6618
6-Mar-12,0.90,0.90,0.82,0.82,3984
5-Mar-12,0.93,0.93,0.88,0.91,1031
2-Mar-12,0.90,1.00,0.87,0.99,5176
1-Mar-12,-,-,-,1.00,0
29-Feb-12,1.02,1.02,1.02,1.02,400
28-Feb-12,1.00,1.00,0.93,0.93,11900
27-Feb-12,1.00,1.05,1.00,1.00,16000
24-Feb-12,0.99,1.00,0.97,1.00,3700
23-Feb-12,1.00,1.00,0.86,0.95,29797
22-Feb-12,1.00,1.00,0.90,0.90,20400
21-Feb-12,0.98,0.98,0.90,0.90,17500
17-Feb-12,0.82,0.86,0.80,0.86,4350
16-Feb-12,0.86,0.86,0.86,0.86,6128
