Date, Open, High, Low, Close, Volume
17-May-13,16.63,16.82,16.50,16.81,286120
16-May-13,16.61,16.87,16.50,16.51,309914
15-May-13,16.36,16.80,16.36,16.65,421319
14-May-13,16.18,16.42,16.16,16.40,255657
13-May-13,16.26,16.45,15.95,16.20,134484
10-May-13,15.69,16.40,15.59,16.34,225555
9-May-13,15.65,15.72,15.49,15.66,215409
8-May-13,15.75,15.80,15.52,15.61,172305
7-May-13,15.84,15.92,15.75,15.83,153501
6-May-13,15.80,15.80,15.63,15.77,126327
3-May-13,15.74,16.01,15.71,15.80,224615
2-May-13,15.38,15.67,15.35,15.51,155500
1-May-13,15.69,15.81,15.19,15.24,440794
30-Apr-13,15.47,15.81,15.30,15.80,222897
29-Apr-13,15.49,15.63,15.36,15.54,162010
26-Apr-13,15.88,15.88,15.46,15.47,221208
25-Apr-13,15.66,16.04,15.66,15.90,421734
24-Apr-13,15.35,15.64,15.35,15.57,312143
23-Apr-13,15.08,15.47,15.00,15.34,722892
22-Apr-13,14.76,15.02,14.60,14.99,259907
19-Apr-13,14.61,15.00,14.60,14.77,171307
18-Apr-13,14.92,15.02,14.61,14.61,358352
17-Apr-13,15.09,15.22,14.54,14.91,229204
16-Apr-13,15.18,15.27,15.04,15.27,372684
15-Apr-13,15.51,15.58,14.88,15.08,407957
12-Apr-13,15.32,15.63,15.18,15.59,218519
11-Apr-13,15.59,15.68,15.31,15.45,245543
10-Apr-13,14.96,15.69,14.85,15.57,327771
9-Apr-13,15.14,15.14,14.86,14.92,141639
8-Apr-13,15.08,15.19,14.94,15.15,144859
5-Apr-13,15.09,15.20,14.76,15.07,293734
4-Apr-13,15.13,15.37,15.07,15.33,159816
3-Apr-13,15.77,15.80,15.05,15.13,241998
2-Apr-13,16.05,16.26,15.74,15.76,329433
1-Apr-13,16.52,16.53,15.80,15.92,454835
28-Mar-13,16.45,16.67,16.32,16.57,428776
27-Mar-13,16.41,16.58,16.30,16.51,338492
26-Mar-13,16.50,16.59,16.39,16.55,232672
25-Mar-13,16.59,16.74,16.35,16.44,184044
22-Mar-13,16.70,16.70,16.48,16.54,143638
21-Mar-13,16.76,16.77,16.47,16.63,318894
20-Mar-13,16.99,17.05,16.59,16.90,284697
19-Mar-13,17.02,17.07,16.77,16.93,267735
18-Mar-13,16.87,17.11,16.77,17.01,344968
15-Mar-13,16.98,17.14,16.91,17.05,481994
14-Mar-13,16.37,17.22,16.36,16.98,803364
13-Mar-13,15.73,16.35,15.56,16.30,378556
12-Mar-13,15.65,15.84,15.51,15.67,246015
11-Mar-13,15.80,15.89,15.60,15.64,180046
8-Mar-13,15.62,15.91,15.39,15.85,294773
7-Mar-13,15.50,15.57,15.16,15.50,368654
6-Mar-13,15.17,15.59,14.96,15.58,461595
5-Mar-13,16.04,16.04,14.78,15.08,1203002
4-Mar-13,15.75,16.00,15.52,15.99,656069
1-Mar-13,15.66,15.90,15.36,15.84,413845
28-Feb-13,15.75,15.94,15.66,15.86,437369
27-Feb-13,15.78,15.92,15.65,15.82,281450
26-Feb-13,15.82,15.88,15.65,15.75,177322
25-Feb-13,16.11,16.17,15.67,15.69,225368
22-Feb-13,16.09,16.14,15.84,16.05,171107
21-Feb-13,16.07,16.24,15.82,15.98,258809
20-Feb-13,16.24,16.34,16.09,16.09,290449
19-Feb-13,16.14,16.38,15.95,16.28,286048
15-Feb-13,16.24,16.24,15.88,16.08,260306
14-Feb-13,16.00,16.32,15.86,16.14,246256
13-Feb-13,16.23,16.32,15.82,16.03,305411
12-Feb-13,16.03,16.45,16.00,16.20,324241
11-Feb-13,16.23,16.32,15.88,16.02,263139
8-Feb-13,16.05,16.50,16.05,16.20,631627
7-Feb-13,16.19,16.30,15.78,16.01,505896
6-Feb-13,15.38,16.20,15.32,16.01,388725
5-Feb-13,15.70,15.70,15.37,15.44,210258
4-Feb-13,15.89,15.89,15.47,15.58,475309
1-Feb-13,14.92,16.19,14.82,15.98,999594
31-Jan-13,14.50,14.85,14.23,14.80,473396
30-Jan-13,14.40,14.40,13.88,14.14,396521
29-Jan-13,14.59,14.66,14.29,14.44,238365
28-Jan-13,14.84,14.84,14.56,14.61,235718
25-Jan-13,15.00,15.00,14.77,14.85,285761
24-Jan-13,14.13,15.00,14.11,14.99,369053
23-Jan-13,14.41,14.41,14.03,14.15,191851
22-Jan-13,14.26,14.50,14.21,14.39,147141
18-Jan-13,14.38,14.47,14.20,14.26,191499
17-Jan-13,14.30,14.51,14.15,14.41,149086
16-Jan-13,14.43,14.43,14.19,14.25,203133
15-Jan-13,14.36,14.61,14.27,14.51,137475
14-Jan-13,14.27,14.44,14.03,14.44,209007
11-Jan-13,14.43,14.51,14.36,14.40,199247
10-Jan-13,14.60,14.67,14.25,14.40,200539
9-Jan-13,14.70,14.71,14.53,14.55,158456
8-Jan-13,14.66,14.80,14.51,14.65,171801
7-Jan-13,14.52,14.88,14.52,14.71,340316
4-Jan-13,14.44,14.72,14.31,14.63,354600
3-Jan-13,14.65,14.72,14.32,14.40,318771
2-Jan-13,14.77,14.99,14.59,14.67,471090
31-Dec-12,13.92,14.55,13.92,14.50,330161
28-Dec-12,14.09,14.35,13.98,13.98,273376
27-Dec-12,14.01,14.33,13.65,14.29,348418
26-Dec-12,14.01,14.16,13.94,14.00,390738
24-Dec-12,14.11,14.15,13.64,14.01,103385
21-Dec-12,13.91,14.14,13.37,14.09,950595
20-Dec-12,14.22,14.29,13.76,14.01,516069
19-Dec-12,14.16,14.35,13.94,14.27,542618
18-Dec-12,13.30,14.43,13.02,14.10,1119600
17-Dec-12,13.13,13.36,13.04,13.29,469611
14-Dec-12,13.12,13.22,12.98,13.07,303574
13-Dec-12,13.22,13.25,13.08,13.14,432808
12-Dec-12,13.32,13.50,13.21,13.24,189406
11-Dec-12,13.26,13.38,13.23,13.30,257989
10-Dec-12,13.30,13.35,13.10,13.20,473461
7-Dec-12,13.87,13.89,13.25,13.29,358091
6-Dec-12,13.74,13.93,13.73,13.75,156912
5-Dec-12,13.87,14.00,13.71,13.76,166506
4-Dec-12,13.64,13.86,13.55,13.84,180831
3-Dec-12,13.84,13.95,13.51,13.65,275435
30-Nov-12,13.83,13.89,13.66,13.76,294471
29-Nov-12,13.74,13.94,13.66,13.81,458160
28-Nov-12,13.63,13.79,13.49,13.65,328623
27-Nov-12,13.95,13.99,13.70,13.71,266716
26-Nov-12,14.26,14.37,13.91,13.99,207710
23-Nov-12,14.34,14.42,14.13,14.30,68040
21-Nov-12,14.16,14.54,14.14,14.26,142989
20-Nov-12,13.70,14.37,13.43,14.14,285084
19-Nov-12,13.03,13.73,13.03,13.70,358579
16-Nov-12,12.65,12.99,12.60,12.93,264576
15-Nov-12,12.70,12.75,12.35,12.66,374134
14-Nov-12,12.98,13.00,12.70,12.70,183560
13-Nov-12,13.24,13.45,12.95,12.95,158030
12-Nov-12,13.42,13.45,13.29,13.29,109540
9-Nov-12,13.30,13.55,13.19,13.43,234466
8-Nov-12,13.51,13.60,13.23,13.23,143051
7-Nov-12,13.57,13.75,13.21,13.51,205990
6-Nov-12,13.77,14.05,13.67,13.68,164524
5-Nov-12,13.67,13.87,13.66,13.76,313986
2-Nov-12,14.47,14.63,13.70,13.71,212413
1-Nov-12,14.18,14.45,14.15,14.42,200891
31-Oct-12,14.05,14.22,13.87,14.13,166032
26-Oct-12,13.77,14.09,13.77,14.04,361837
25-Oct-12,14.28,14.28,13.54,13.81,629392
24-Oct-12,14.45,14.66,14.06,14.12,153497
23-Oct-12,14.50,14.52,14.08,14.38,262708
22-Oct-12,14.76,14.77,14.49,14.67,121716
19-Oct-12,15.22,15.22,14.63,14.75,296720
18-Oct-12,15.36,15.41,15.15,15.18,132617
17-Oct-12,15.21,15.47,15.06,15.38,148081
16-Oct-12,15.20,15.21,15.01,15.15,195261
15-Oct-12,15.19,15.31,14.96,15.09,229602
12-Oct-12,15.11,15.35,15.09,15.17,476602
11-Oct-12,15.14,15.20,14.93,15.11,195595
10-Oct-12,15.30,15.30,14.92,15.03,245326
9-Oct-12,15.40,15.43,15.03,15.31,250360
8-Oct-12,15.52,15.66,15.35,15.43,203368
5-Oct-12,15.70,15.85,15.53,15.58,317166
4-Oct-12,15.76,15.76,15.39,15.67,240513
3-Oct-12,15.88,16.06,15.66,15.69,244930
2-Oct-12,16.08,16.09,15.71,15.88,234076
1-Oct-12,15.90,16.23,15.79,15.95,409219
28-Sep-12,15.76,15.93,15.53,15.81,230029
27-Sep-12,15.62,15.91,15.45,15.85,346147
26-Sep-12,15.46,15.65,15.38,15.60,350260
25-Sep-12,15.52,15.80,15.45,15.50,531325
24-Sep-12,15.57,15.79,15.11,15.45,300327
21-Sep-12,15.59,16.04,15.56,15.70,733817
20-Sep-12,15.15,15.46,15.03,15.40,313840
19-Sep-12,14.84,15.30,14.84,15.20,297948
18-Sep-12,14.85,15.04,14.62,14.94,799313
17-Sep-12,14.89,15.10,14.75,14.94,562992
14-Sep-12,14.81,15.02,14.59,14.94,461351
13-Sep-12,14.56,14.87,14.50,14.74,373882
12-Sep-12,14.74,14.84,14.49,14.60,727969
11-Sep-12,14.25,15.75,14.18,14.71,1965561
10-Sep-12,15.26,15.69,15.20,15.43,1396885
7-Sep-12,15.48,15.48,15.05,15.23,451603
6-Sep-12,14.63,15.47,14.58,15.28,365867
5-Sep-12,14.86,14.97,14.56,14.58,556108
4-Sep-12,15.12,15.12,14.50,14.92,274130
31-Aug-12,15.35,15.35,14.86,15.17,234730
30-Aug-12,15.36,15.37,15.14,15.21,130403
29-Aug-12,14.82,15.66,14.82,15.39,384232
28-Aug-12,14.47,14.79,14.30,14.77,364220
27-Aug-12,14.52,14.60,14.24,14.28,240450
24-Aug-12,14.40,14.62,14.23,14.44,135558
23-Aug-12,14.58,14.69,14.35,14.43,213875
22-Aug-12,14.70,14.79,14.47,14.61,207092
21-Aug-12,14.83,15.13,14.67,14.74,212950
20-Aug-12,14.81,15.00,14.60,14.76,291285
17-Aug-12,14.57,14.97,14.35,14.88,359778
16-Aug-12,14.35,14.57,14.25,14.52,338519
15-Aug-12,13.72,14.40,13.72,14.38,416326
14-Aug-12,13.61,13.86,13.61,13.76,382019
13-Aug-12,13.60,13.60,13.14,13.57,352661
10-Aug-12,13.42,13.73,13.31,13.58,450747
9-Aug-12,14.18,14.29,13.44,13.48,861416
8-Aug-12,14.43,14.51,14.14,14.24,240884
7-Aug-12,14.12,14.68,13.92,14.45,393170
6-Aug-12,14.08,14.59,13.99,14.18,321271
3-Aug-12,14.30,14.60,14.06,14.18,525901
2-Aug-12,14.21,14.25,13.86,14.01,365747
1-Aug-12,14.74,14.80,14.28,14.32,351803
31-Jul-12,14.74,14.97,14.59,14.61,396382
30-Jul-12,15.14,15.33,14.70,14.80,352390
27-Jul-12,15.00,15.18,14.84,15.09,550525
26-Jul-12,15.42,15.44,14.83,14.96,356279
25-Jul-12,15.32,15.32,14.98,15.14,591027
24-Jul-12,15.35,15.38,15.02,15.27,910644
23-Jul-12,15.24,15.35,15.02,15.25,354349
20-Jul-12,15.50,15.56,15.46,15.50,341987
19-Jul-12,15.64,15.84,15.54,15.64,290301
18-Jul-12,15.60,15.66,15.41,15.51,346464
17-Jul-12,15.27,15.58,15.13,15.54,439765
16-Jul-12,15.29,15.38,15.14,15.24,326182
13-Jul-12,15.06,15.39,14.97,15.26,664060
12-Jul-12,14.95,15.14,14.78,15.03,684817
11-Jul-12,14.82,15.06,14.72,15.02,569749
10-Jul-12,14.79,14.98,14.70,14.83,660357
9-Jul-12,14.41,14.79,14.38,14.76,635017
6-Jul-12,14.28,14.52,14.08,14.49,446145
5-Jul-12,14.12,14.49,14.06,14.47,499323
3-Jul-12,13.86,14.17,13.63,14.17,287549
2-Jul-12,13.80,13.93,13.58,13.84,561371
29-Jun-12,13.87,14.01,13.66,13.80,810338
28-Jun-12,13.11,13.96,13.08,13.52,612308
27-Jun-12,13.30,13.50,12.45,13.18,1926413
26-Jun-12,13.15,13.38,13.15,13.34,454713
25-Jun-12,13.35,13.48,13.07,13.18,463243
