Date, Open, High, Low, Close, Volume
17-May-13,47.97,48.56,47.43,48.52,484967
16-May-13,48.73,49.05,47.36,47.62,335553
15-May-13,49.27,49.76,48.89,48.98,335567
14-May-13,48.19,49.29,47.93,49.26,418531
13-May-13,48.89,49.02,48.16,48.27,297695
10-May-13,48.02,49.13,47.96,49.06,432261
9-May-13,48.77,49.22,47.90,48.07,425635
8-May-13,49.41,49.45,48.60,48.81,467177
7-May-13,48.01,49.20,47.20,49.03,816879
6-May-13,47.42,47.93,46.74,47.56,584459
3-May-13,47.59,47.88,47.18,47.28,509571
2-May-13,46.94,47.25,46.56,47.03,408624
1-May-13,48.40,48.55,46.96,46.98,412163
30-Apr-13,47.87,48.84,47.67,48.63,293282
29-Apr-13,47.01,48.04,47.01,47.78,294134
26-Apr-13,47.23,47.57,46.50,46.98,417144
25-Apr-13,46.47,47.92,45.86,47.27,563495
24-Apr-13,46.11,46.50,45.61,46.48,370601
23-Apr-13,45.77,46.44,43.25,46.01,419214
22-Apr-13,45.38,45.58,44.59,45.41,232669
19-Apr-13,44.50,45.40,44.20,45.33,285206
18-Apr-13,45.15,45.26,44.12,44.48,173481
17-Apr-13,44.95,45.25,43.97,45.07,368900
16-Apr-13,45.62,46.24,45.05,45.42,830346
15-Apr-13,46.44,46.64,44.98,45.13,348672
12-Apr-13,46.98,47.04,46.33,46.57,297311
11-Apr-13,47.35,47.98,47.20,47.27,488624
10-Apr-13,46.66,47.75,46.39,47.56,423260
9-Apr-13,46.50,46.64,45.93,46.45,381054
8-Apr-13,45.00,46.22,44.84,46.22,594493
5-Apr-13,43.96,45.02,43.81,45.00,521684
4-Apr-13,42.94,44.69,42.86,44.66,462153
3-Apr-13,42.69,42.96,41.93,42.76,1029539
2-Apr-13,42.96,43.26,42.39,42.52,614788
1-Apr-13,43.20,43.48,42.65,43.02,618930
28-Mar-13,43.38,43.43,42.93,43.23,330358
27-Mar-13,42.93,43.22,42.80,43.20,372802
26-Mar-13,44.07,44.09,42.70,43.28,508797
25-Mar-13,43.93,44.63,43.23,43.71,478742
22-Mar-13,43.91,44.26,43.45,43.73,434113
21-Mar-13,43.77,44.42,43.55,43.57,323636
20-Mar-13,43.20,44.20,43.14,44.01,287480
19-Mar-13,44.41,44.42,42.60,42.94,995515
18-Mar-13,44.60,45.16,44.29,44.63,275398
15-Mar-13,45.41,45.59,44.55,44.99,517916
14-Mar-13,45.13,45.41,44.92,45.28,208111
13-Mar-13,44.69,45.36,44.69,45.00,313904
12-Mar-13,44.91,44.91,44.36,44.66,295512
11-Mar-13,45.19,45.29,44.68,44.87,234027
8-Mar-13,45.23,45.42,44.27,45.18,287287
7-Mar-13,45.03,45.42,44.78,44.86,252478
6-Mar-13,44.63,45.07,44.52,44.89,309089
5-Mar-13,44.05,45.15,44.04,44.60,402984
4-Mar-13,43.60,43.97,43.30,43.78,516493
1-Mar-13,43.95,44.28,43.18,43.59,494988
28-Feb-13,44.16,44.99,44.00,44.09,506358
27-Feb-13,44.84,45.22,44.15,44.25,550238
26-Feb-13,41.84,45.00,41.00,44.57,1202063
25-Feb-13,45.21,46.00,44.79,44.90,661533
22-Feb-13,44.76,45.37,44.60,45.12,329359
21-Feb-13,45.41,45.70,44.38,44.49,342635
20-Feb-13,45.90,46.37,44.89,44.91,388381
19-Feb-13,46.12,46.44,45.43,46.01,339916
15-Feb-13,46.43,46.48,46.01,46.27,202194
14-Feb-13,45.88,46.43,45.60,46.17,238498
13-Feb-13,45.65,46.18,45.37,45.85,147330
12-Feb-13,46.44,46.67,45.33,45.56,294693
11-Feb-13,46.07,46.35,45.61,46.34,95741
8-Feb-13,46.33,46.88,45.84,46.23,206785
7-Feb-13,45.96,46.41,45.73,46.38,204482
