Date, Open, High, Low, Close, Volume
17-May-13,103.57,104.50,103.26,104.32,402102
16-May-13,103.86,104.62,103.75,103.91,420694
15-May-13,103.86,104.88,103.86,104.77,423179
14-May-13,105.22,105.75,105.22,105.65,277491
13-May-13,106.38,106.38,105.76,106.25,191471
10-May-13,106.15,106.71,105.66,106.71,214325
9-May-13,106.61,107.00,105.33,105.81,335918
8-May-13,106.31,106.81,106.19,106.79,178094
7-May-13,105.69,105.84,105.01,105.47,304521
6-May-13,104.76,105.12,104.20,105.05,369474
3-May-13,105.27,106.23,104.85,106.08,651192
2-May-13,104.10,104.72,103.85,104.20,560533
1-May-13,103.78,104.71,103.50,103.74,166145
30-Apr-13,104.17,104.54,103.97,104.51,309629
29-Apr-13,103.83,104.57,103.71,104.20,150945
26-Apr-13,102.40,103.15,102.08,102.87,161697
25-Apr-13,103.48,104.10,103.29,103.50,313384
24-Apr-13,102.66,103.42,102.42,103.08,288348
23-Apr-13,101.14,101.97,100.77,101.57,571922
22-Apr-13,99.61,100.64,98.69,100.26,439512
19-Apr-13,100.30,100.80,99.34,99.82,355887
18-Apr-13,101.77,101.82,100.32,100.56,647081
17-Apr-13,102.43,102.49,100.70,101.69,1030497
16-Apr-13,104.25,104.64,103.70,104.64,279314
15-Apr-13,104.02,104.12,102.63,102.65,427900
12-Apr-13,105.76,106.31,105.51,106.21,428970
11-Apr-13,106.96,108.38,106.66,107.90,710594
10-Apr-13,106.43,107.91,106.33,107.36,313631
9-Apr-13,105.81,106.54,104.80,106.15,408741
8-Apr-13,105.99,106.21,105.33,106.15,471145
5-Apr-13,105.68,106.65,105.20,106.53,690887
4-Apr-13,107.50,108.52,107.16,108.11,227535
3-Apr-13,108.56,108.91,107.52,107.85,420159
2-Apr-13,109.15,110.36,109.02,109.78,398248
1-Apr-13,108.11,108.21,107.33,107.70,266482
28-Mar-13,108.07,108.49,107.41,107.80,345841
27-Mar-13,107.80,108.25,107.24,108.06,401476
26-Mar-13,110.50,110.81,109.38,110.01,331438
25-Mar-13,112.84,113.16,110.39,111.31,419756
22-Mar-13,111.95,113.00,111.75,112.35,274848
21-Mar-13,111.98,112.51,111.66,112.19,364076
20-Mar-13,111.09,112.80,110.30,112.45,729260
19-Mar-13,109.91,110.00,108.48,109.47,444659
18-Mar-13,107.83,109.35,107.75,108.43,238252
