Date, Open, High, Low, Close, Volume
17-May-13,16.14,16.48,16.14,16.25,3376
16-May-13,16.60,16.60,16.03,16.10,30027
15-May-13,17.09,17.09,16.65,16.65,1677
14-May-13,16.85,17.28,16.70,17.28,4550
13-May-13,16.90,17.29,16.70,17.08,9864
10-May-13,16.78,17.17,16.65,16.86,3118
9-May-13,16.98,17.00,16.82,16.90,1866
8-May-13,17.30,17.30,16.79,16.80,1300
7-May-13,17.14,17.19,16.88,17.19,2828
6-May-13,16.68,17.16,16.66,17.16,1707
3-May-13,17.20,17.32,16.73,17.04,4748
2-May-13,17.09,17.09,16.61,17.02,3565
1-May-13,17.21,17.21,16.61,16.85,16489
30-Apr-13,16.83,17.40,16.83,17.08,1837
29-Apr-13,16.81,17.35,16.77,17.26,5751
26-Apr-13,16.91,17.45,16.89,17.33,3231
25-Apr-13,16.54,16.91,16.54,16.79,1768
24-Apr-13,17.27,17.27,16.70,16.96,1262
23-Apr-13,17.05,17.22,16.40,17.22,2379
22-Apr-13,16.59,17.28,16.59,16.91,1236
19-Apr-13,16.84,16.87,16.47,16.75,1923
18-Apr-13,16.80,16.96,16.46,16.46,2565
17-Apr-13,17.55,17.55,16.38,16.41,22464
16-Apr-13,17.52,17.77,17.50,17.50,8964
15-Apr-13,17.85,17.85,17.50,17.50,6504
12-Apr-13,18.01,18.01,18.01,18.01,558
11-Apr-13,17.71,17.97,17.69,17.97,659
10-Apr-13,18.25,18.40,17.90,18.00,14527
9-Apr-13,17.79,18.06,17.63,17.74,2021
8-Apr-13,17.54,18.62,17.53,17.85,5429
5-Apr-13,17.50,17.72,17.50,17.50,3686
4-Apr-13,17.56,17.65,17.53,17.55,1348
3-Apr-13,17.87,17.87,17.50,17.60,3242
2-Apr-13,18.61,18.61,17.62,18.25,1447
1-Apr-13,18.51,18.73,17.75,18.03,7299
28-Mar-13,18.50,18.95,16.84,18.41,8640
27-Mar-13,17.65,18.51,17.41,17.92,3103
26-Mar-13,18.25,18.92,18.25,18.55,905
25-Mar-13,18.28,18.45,18.28,18.45,1586
22-Mar-13,16.87,18.90,16.87,18.65,3293
21-Mar-13,17.11,17.90,17.11,17.90,920
20-Mar-13,18.04,18.16,17.62,18.16,1271
19-Mar-13,18.41,18.67,17.96,18.20,5821
18-Mar-13,18.70,19.15,18.40,18.47,1116
15-Mar-13,19.20,19.20,18.67,18.95,6548
14-Mar-13,19.08,19.24,18.67,19.14,2812
13-Mar-13,18.97,19.20,18.77,19.20,6077
12-Mar-13,18.86,18.95,18.07,18.68,1060
11-Mar-13,17.78,19.05,17.78,19.00,4158
8-Mar-13,17.43,18.23,17.43,18.07,5479
