Date, Open, High, Low, Close, Volume
17-May-13,21.06,21.29,20.95,21.26,886163
16-May-13,21.85,22.00,20.62,20.82,1705346
15-May-13,21.63,21.98,21.37,21.41,1246645
14-May-13,21.61,21.88,21.11,21.70,1102986
13-May-13,21.96,21.96,21.61,21.68,265972
10-May-13,21.46,22.00,21.25,21.93,523752
9-May-13,21.25,21.49,21.17,21.37,412983
8-May-13,21.54,21.59,21.02,21.25,618367
7-May-13,21.35,21.70,21.16,21.63,680431
6-May-13,21.25,21.42,21.11,21.38,434077
3-May-13,21.39,21.61,21.05,21.26,942603
2-May-13,21.05,21.45,20.81,21.32,564509
1-May-13,20.76,21.55,20.63,20.98,952705
30-Apr-13,20.76,20.99,20.62,20.78,568023
29-Apr-13,20.97,21.11,20.74,20.78,621389
26-Apr-13,21.53,21.95,20.86,20.87,736315
25-Apr-13,21.86,21.96,20.90,21.58,1475494
24-Apr-13,22.70,23.00,22.50,22.74,770357
23-Apr-13,22.69,22.92,22.42,22.71,893013
22-Apr-13,22.26,22.64,22.19,22.47,1040886
19-Apr-13,21.63,21.95,21.52,21.63,377261
18-Apr-13,21.60,21.84,21.04,21.60,505459
17-Apr-13,21.07,21.65,20.48,21.51,551650
16-Apr-13,21.25,21.50,21.04,21.30,443735
15-Apr-13,22.30,22.45,20.95,21.11,566430
12-Apr-13,22.17,22.92,22.15,22.36,543954
11-Apr-13,21.90,22.35,21.56,22.32,739189
10-Apr-13,22.11,22.41,21.75,21.95,731869
9-Apr-13,21.58,22.15,21.48,21.91,748586
8-Apr-13,21.00,21.75,20.75,21.51,619364
5-Apr-13,20.72,20.72,20.45,20.59,428865
4-Apr-13,20.86,21.36,20.76,21.08,434949
3-Apr-13,21.16,21.38,20.83,20.89,321090
2-Apr-13,21.01,21.40,20.86,21.15,470222
1-Apr-13,21.25,21.48,20.83,21.00,593551
28-Mar-13,21.47,21.57,21.07,21.15,478830
27-Mar-13,20.05,21.49,19.96,21.43,857452
26-Mar-13,20.72,20.75,20.14,20.20,450226
25-Mar-13,20.92,21.00,20.29,20.68,346692
22-Mar-13,20.80,20.99,20.64,20.87,305703
21-Mar-13,21.04,21.06,20.38,20.58,396850
20-Mar-13,21.27,21.35,20.94,21.19,285137
19-Mar-13,21.54,21.54,20.78,21.10,386227
18-Mar-13,21.46,21.68,21.35,21.49,406860
15-Mar-13,21.86,21.86,21.41,21.66,468770
14-Mar-13,21.51,21.90,21.06,21.84,649600
13-Mar-13,20.96,21.58,20.85,21.47,385548
12-Mar-13,21.21,21.33,20.88,20.96,413283
11-Mar-13,21.60,21.60,20.95,21.23,444891
8-Mar-13,22.00,22.16,21.53,21.73,372645
7-Mar-13,21.23,22.50,21.20,21.98,642139
6-Mar-13,21.40,21.65,21.04,21.28,577304
5-Mar-13,21.21,21.65,21.06,21.32,520682
4-Mar-13,20.54,21.16,20.44,21.03,560929
1-Mar-13,20.87,21.00,20.33,20.64,525326
28-Feb-13,20.67,21.00,20.66,20.90,493182
27-Feb-13,20.71,20.97,20.50,20.71,352143
26-Feb-13,20.59,20.99,20.40,20.77,433611
25-Feb-13,20.70,20.89,20.50,20.56,666766
22-Feb-13,20.84,21.07,20.31,20.52,548496
21-Feb-13,21.22,21.23,20.47,20.69,554306
20-Feb-13,21.97,21.97,21.26,21.27,434186
19-Feb-13,21.86,22.36,21.76,21.89,604185
15-Feb-13,22.11,22.14,21.33,21.76,945099
14-Feb-13,21.00,22.61,20.41,21.97,3831610
13-Feb-13,19.54,20.35,19.35,19.57,711518
12-Feb-13,19.39,19.74,19.16,19.43,537340
11-Feb-13,19.66,19.73,19.26,19.34,532140
8-Feb-13,19.86,19.90,19.41,19.72,384371
7-Feb-13,19.05,19.81,18.74,19.80,1050546
6-Feb-13,18.98,19.15,18.77,18.88,322727
5-Feb-13,18.70,19.30,18.52,19.10,516431
4-Feb-13,18.70,18.75,18.43,18.66,360320
1-Feb-13,19.06,19.24,18.79,18.84,367843
31-Jan-13,18.51,19.00,18.44,19.00,405711
30-Jan-13,18.90,18.91,18.42,18.56,352073
29-Jan-13,18.93,19.35,18.73,18.95,611408
28-Jan-13,18.20,18.99,18.15,18.92,621921
25-Jan-13,18.28,18.28,18.04,18.16,489914
