Date, Open, High, Low, Close, Volume
17-May-13,3.21,3.30,3.19,3.19,78743
16-May-13,3.26,3.27,3.16,3.21,74307
15-May-13,3.26,3.31,3.24,3.28,24620
14-May-13,3.20,3.29,3.17,3.28,42711
13-May-13,3.25,3.25,3.18,3.19,15540
10-May-13,3.24,3.26,3.20,3.25,14831
9-May-13,3.26,3.26,3.19,3.23,70155
8-May-13,3.26,3.28,3.17,3.27,51740
7-May-13,3.34,3.34,3.27,3.28,39824
6-May-13,3.18,3.33,3.18,3.32,48586
3-May-13,3.17,3.31,3.14,3.17,56252
2-May-13,3.09,3.21,3.09,3.11,70440
1-May-13,3.22,3.22,3.02,3.06,216172
30-Apr-13,3.23,3.25,3.20,3.22,32626
29-Apr-13,3.23,3.28,3.21,3.22,37211
26-Apr-13,3.31,3.33,3.22,3.23,144693
25-Apr-13,3.10,3.34,3.10,3.32,101503
24-Apr-13,3.06,3.08,2.97,3.08,41303
23-Apr-13,2.98,3.09,2.98,3.06,45315
22-Apr-13,3.05,3.05,2.95,2.97,34269
19-Apr-13,2.95,3.05,2.95,3.03,51895
18-Apr-13,2.99,3.03,2.90,2.96,53109
17-Apr-13,3.00,3.17,2.90,3.00,98524
16-Apr-13,3.02,3.06,3.00,3.01,89584
15-Apr-13,3.14,3.15,3.00,3.00,83035
12-Apr-13,3.21,3.22,3.11,3.18,66706
11-Apr-13,3.23,3.23,3.17,3.22,35902
10-Apr-13,3.15,3.21,3.15,3.21,48777
9-Apr-13,3.18,3.18,3.09,3.13,35992
8-Apr-13,3.11,3.18,3.04,3.18,44915
5-Apr-13,3.05,3.11,3.02,3.09,100963
4-Apr-13,3.07,3.11,3.05,3.06,52459
3-Apr-13,3.10,3.14,3.06,3.09,91979
2-Apr-13,3.25,3.32,3.08,3.10,152126
1-Apr-13,3.41,3.42,3.25,3.27,104105
28-Mar-13,3.48,3.49,3.40,3.41,244936
27-Mar-13,3.52,3.52,3.44,3.45,115727
26-Mar-13,3.75,3.75,3.61,3.70,44951
