Date, Open, High, Low, Close, Volume
17-May-13,58.85,59.13,58.80,58.94,26849
16-May-13,59.95,60.22,59.71,59.78,39200
15-May-13,59.03,59.54,59.03,59.54,35592
14-May-13,58.07,58.49,58.03,58.49,42526
13-May-13,59.37,59.43,58.64,58.83,81605
10-May-13,58.98,59.06,58.51,59.06,21633
9-May-13,59.10,59.43,58.98,59.11,27186
8-May-13,59.12,59.29,59.00,59.18,85431
7-May-13,58.44,58.65,58.15,58.34,20554
6-May-13,58.30,58.38,58.12,58.28,15893
3-May-13,58.52,58.68,58.15,58.38,58369
2-May-13,58.02,58.34,57.97,58.12,62633
1-May-13,57.25,57.40,56.92,57.09,63334
30-Apr-13,56.44,57.14,56.24,57.14,57731
29-Apr-13,58.04,58.25,57.81,58.18,55153
26-Apr-13,57.37,57.59,57.37,57.54,42491
25-Apr-13,57.29,57.46,57.13,57.23,38321
24-Apr-13,56.97,57.08,56.79,56.91,182520
23-Apr-13,55.91,56.36,55.90,56.13,201014
22-Apr-13,55.16,55.27,54.74,55.17,23947
19-Apr-13,55.08,55.18,54.73,55.01,32403
18-Apr-13,55.42,55.42,54.73,54.83,45351
17-Apr-13,55.42,55.55,55.17,55.52,48399
16-Apr-13,57.37,57.41,56.54,57.06,75570
15-Apr-13,58.11,58.47,57.87,57.99,118500
12-Apr-13,57.64,58.05,57.63,58.05,124997
11-Apr-13,57.82,58.15,57.73,58.04,44286
10-Apr-13,57.41,57.99,57.34,57.80,36277
9-Apr-13,56.80,56.95,56.51,56.84,55569
8-Apr-13,57.51,57.52,57.22,57.40,40756
5-Apr-13,57.15,57.58,56.92,57.55,63924
4-Apr-13,57.34,58.14,57.34,58.01,48660
3-Apr-13,57.91,57.91,57.25,57.52,49945
2-Apr-13,58.12,58.22,57.91,57.94,88028
1-Apr-13,57.57,57.92,57.52,57.60,35718
28-Mar-13,57.74,57.92,57.47,57.73,51164
27-Mar-13,56.66,57.60,56.50,57.54,42533
26-Mar-13,57.17,57.51,57.02,57.50,135278
25-Mar-13,57.10,57.12,56.62,56.93,62645
22-Mar-13,56.96,57.37,56.80,56.97,136403
21-Mar-13,55.89,56.18,55.83,55.95,35781
20-Mar-13,56.21,56.48,56.08,56.16,49047
19-Mar-13,56.30,56.30,55.60,55.76,57787
18-Mar-13,55.80,55.91,55.53,55.55,73381
15-Mar-13,56.20,56.48,55.84,55.88,217391
14-Mar-13,55.79,56.73,55.76,56.49,79851
13-Mar-13,54.96,55.44,54.68,55.32,38074
12-Mar-13,54.90,55.14,54.83,55.11,58912
11-Mar-13,54.27,54.51,54.07,54.51,66050
8-Mar-13,54.13,54.43,53.87,54.41,90160
7-Mar-13,53.98,54.57,53.88,54.28,66349
6-Mar-13,53.98,54.20,53.76,53.91,42597
5-Mar-13,54.83,55.00,54.06,54.48,480484
4-Mar-13,53.40,54.22,53.40,54.15,40407
1-Mar-13,53.16,53.49,53.00,53.40,60637
28-Feb-13,53.62,53.92,53.62,53.69,20550
27-Feb-13,53.04,53.57,53.02,53.55,65239
26-Feb-13,53.10,53.24,52.52,52.90,40421
25-Feb-13,53.63,53.75,53.00,53.00,40648
22-Feb-13,53.75,54.05,53.67,54.03,40882
21-Feb-13,53.50,53.63,53.19,53.33,101492
20-Feb-13,54.40,54.51,54.15,54.15,36473
19-Feb-13,54.11,54.44,54.07,54.28,196408
15-Feb-13,54.57,54.63,54.33,54.45,24568
14-Feb-13,54.57,54.71,54.44,54.59,40771
13-Feb-13,55.50,55.69,55.13,55.37,167295
12-Feb-13,55.19,55.56,55.08,55.39,35846
11-Feb-13,55.78,55.83,55.38,55.62,44034
8-Feb-13,55.84,56.30,55.84,56.25,32438
7-Feb-13,56.41,56.50,55.68,56.09,104696
6-Feb-13,55.41,56.19,55.21,56.19,177239
5-Feb-13,55.73,56.11,55.38,55.66,165991
4-Feb-13,57.16,57.31,56.73,57.06,51768
1-Feb-13,57.73,57.73,57.26,57.44,48304
31-Jan-13,57.30,57.81,57.30,57.65,37271
30-Jan-13,57.85,58.24,57.78,58.00,33045
29-Jan-13,57.28,57.59,57.28,57.58,21080
28-Jan-13,57.09,57.16,56.87,57.12,47177
25-Jan-13,57.13,57.58,57.12,57.57,49610
24-Jan-13,56.69,57.00,56.60,56.94,33214
23-Jan-13,57.36,57.50,56.96,57.12,31434
22-Jan-13,56.83,57.03,56.60,57.03,34668
18-Jan-13,55.53,55.67,55.32,55.67,35170
17-Jan-13,55.68,56.07,55.50,56.01,49241
16-Jan-13,55.68,55.96,55.57,55.79,47936
15-Jan-13,55.67,55.87,55.63,55.86,26923
14-Jan-13,55.52,55.66,55.44,55.61,21637
11-Jan-13,55.73,55.73,55.28,55.53,39330
10-Jan-13,55.53,55.88,55.40,55.81,70795
9-Jan-13,55.34,55.74,55.27,55.70,117800
8-Jan-13,55.93,56.12,55.43,55.84,197618
7-Jan-13,55.24,55.87,55.13,55.74,216700
4-Jan-13,54.86,55.59,54.86,55.57,70027
3-Jan-13,55.49,55.72,55.32,55.66,317711
2-Jan-13,55.70,55.74,55.33,55.73,42266
31-Dec-12,54.88,55.41,54.88,55.40,65219
28-Dec-12,55.17,55.34,54.72,54.78,42793
27-Dec-12,55.60,55.64,55.11,55.47,47940
26-Dec-12,55.38,55.50,54.96,55.03,16123
24-Dec-12,55.29,55.43,55.06,55.18,10694
21-Dec-12,55.23,55.42,54.96,55.29,40343
20-Dec-12,55.29,55.72,55.23,55.66,34015
19-Dec-12,55.57,55.76,55.39,55.49,133891
18-Dec-12,54.89,55.37,54.84,55.28,46457
17-Dec-12,54.11,54.38,54.10,54.33,21805
14-Dec-12,53.94,54.23,53.81,53.98,14376
13-Dec-12,53.86,54.19,53.78,53.94,33103
12-Dec-12,54.60,54.88,54.39,54.67,93476
11-Dec-12,54.74,54.80,54.54,54.59,60917
10-Dec-12,53.96,54.52,53.92,54.31,37419
7-Dec-12,53.24,53.45,53.12,53.45,27298
6-Dec-12,53.78,53.80,53.26,53.40,51196
5-Dec-12,53.50,53.80,53.49,53.58,29322
4-Dec-12,53.64,53.70,53.45,53.45,40491
3-Dec-12,53.37,53.43,53.18,53.26,61024
30-Nov-12,52.85,52.91,52.59,52.77,30271
29-Nov-12,52.79,53.04,52.62,52.71,24795
28-Nov-12,52.18,52.23,51.86,52.18,25203
27-Nov-12,52.90,52.94,52.45,52.47,44973
26-Nov-12,52.51,52.58,52.26,52.44,37838
23-Nov-12,52.12,52.72,52.12,52.72,26104
21-Nov-12,51.61,51.76,51.55,51.60,184029
20-Nov-12,51.12,51.48,51.06,51.48,38357
19-Nov-12,50.99,51.34,50.82,51.34,80544
16-Nov-12,51.11,51.30,50.74,51.28,36425
15-Nov-12,51.57,51.77,51.21,51.43,37404
14-Nov-12,52.08,52.14,51.48,51.54,33898
13-Nov-12,52.28,52.70,52.11,52.11,35040
12-Nov-12,52.40,52.45,52.13,52.18,38227
9-Nov-12,51.67,52.33,51.56,51.98,58281
8-Nov-12,51.43,51.68,51.30,51.42,75633
7-Nov-12,52.09,52.10,51.25,51.48,62565
6-Nov-12,51.49,51.80,51.48,51.76,23739
5-Nov-12,51.45,51.46,51.02,51.22,34176
2-Nov-12,51.41,51.42,50.92,51.03,45381
1-Nov-12,52.40,52.54,52.10,52.27,79585
31-Oct-12,52.61,53.22,52.28,52.97,59057
26-Oct-12,52.60,52.63,52.22,52.48,58470
25-Oct-12,52.18,52.54,52.15,52.39,35399
24-Oct-12,51.77,52.05,51.67,51.86,50636
23-Oct-12,51.40,51.42,51.16,51.29,31420
22-Oct-12,52.19,52.19,51.80,52.04,22822
19-Oct-12,52.35,52.35,51.68,51.77,31367
18-Oct-12,52.82,53.16,52.72,52.82,37277
17-Oct-12,53.68,53.86,53.61,53.62,26607
16-Oct-12,53.77,54.05,53.68,53.92,140880
15-Oct-12,52.87,52.98,52.66,52.82,35300
12-Oct-12,52.50,52.77,52.21,52.29,255478
11-Oct-12,52.51,52.59,52.14,52.34,169576
10-Oct-12,52.50,52.71,52.23,52.34,78985
9-Oct-12,53.37,53.81,53.37,53.62,39152
8-Oct-12,54.36,54.55,54.13,54.51,53363
5-Oct-12,55.26,55.38,54.71,54.86,64059
4-Oct-12,55.57,55.61,55.22,55.49,28215
3-Oct-12,55.21,55.35,55.05,55.28,99206
2-Oct-12,55.39,55.94,55.02,55.49,157842
1-Oct-12,55.75,55.93,55.59,55.73,318414
28-Sep-12,55.36,55.48,54.99,55.12,38896
27-Sep-12,55.66,55.95,55.40,55.91,28736
26-Sep-12,55.55,55.66,55.16,55.22,31418
25-Sep-12,56.24,56.32,55.71,55.75,38401
24-Sep-12,55.93,56.26,55.80,56.16,27732
21-Sep-12,55.77,55.82,55.57,55.70,48019
20-Sep-12,55.56,55.88,55.42,55.83,62086
19-Sep-12,55.52,55.98,55.51,55.67,43299
18-Sep-12,55.64,55.87,55.49,55.85,104248
17-Sep-12,55.69,55.85,55.54,55.74,38583
14-Sep-12,55.93,56.05,55.76,55.86,41864
13-Sep-12,55.63,56.20,55.29,55.92,97434
12-Sep-12,54.79,55.15,54.78,54.84,52279
11-Sep-12,54.39,54.76,54.35,54.48,50492
10-Sep-12,54.33,54.35,53.85,53.85,140613
7-Sep-12,54.29,54.49,54.24,54.40,55127
6-Sep-12,53.39,54.17,53.36,54.13,78843
5-Sep-12,53.49,53.61,53.22,53.22,94177
4-Sep-12,52.56,52.73,52.24,52.67,26363
31-Aug-12,52.97,53.30,52.66,52.82,30683
30-Aug-12,53.18,53.22,52.65,52.79,32992
29-Aug-12,52.88,53.03,52.73,52.92,19431
28-Aug-12,52.60,52.91,52.48,52.71,26108
27-Aug-12,52.99,52.99,52.64,52.68,18580
24-Aug-12,52.67,52.99,52.44,52.71,59211
23-Aug-12,51.99,52.35,51.88,52.07,58263
22-Aug-12,51.26,51.43,51.17,51.33,114093
21-Aug-12,52.34,52.54,52.22,52.24,48460
20-Aug-12,52.02,52.48,52.02,52.45,59278
17-Aug-12,51.97,52.08,51.81,52.06,56590
16-Aug-12,52.54,52.97,52.53,52.76,43355
15-Aug-12,52.68,52.89,52.47,52.80,46866
14-Aug-12,52.28,52.37,52.09,52.30,43796
13-Aug-12,52.22,52.51,52.01,52.03,167105
10-Aug-12,51.75,52.39,51.65,52.39,45144
9-Aug-12,52.23,52.38,51.97,52.14,104652
8-Aug-12,52.39,52.60,52.32,52.52,65491
7-Aug-12,52.65,53.03,52.59,52.83,41336
6-Aug-12,52.93,53.17,52.77,52.86,42363
3-Aug-12,52.80,53.50,52.37,52.73,104448
2-Aug-12,52.42,52.72,52.04,52.42,140064
1-Aug-12,51.46,51.71,51.21,51.43,70300
31-Jul-12,51.58,51.65,51.01,51.01,131240
30-Jul-12,51.77,52.18,51.67,51.96,50742
27-Jul-12,51.50,52.03,51.39,51.83,75208
26-Jul-12,51.61,51.74,51.38,51.64,61508
25-Jul-12,50.84,51.33,50.58,51.11,257945
24-Jul-12,50.87,50.90,50.14,50.74,155538
23-Jul-12,50.68,50.94,50.28,50.88,67197
20-Jul-12,51.70,51.88,51.49,51.50,82039
19-Jul-12,51.53,52.00,51.53,51.79,125995
18-Jul-12,51.14,51.66,51.04,51.52,114932
17-Jul-12,51.22,51.50,50.79,51.48,227609
16-Jul-12,51.09,51.27,50.89,51.16,71217
13-Jul-12,50.22,50.79,50.22,50.71,36406
12-Jul-12,49.68,49.72,49.27,49.64,34074
11-Jul-12,50.24,50.39,49.94,50.10,37183
10-Jul-12,50.31,50.42,49.89,49.98,28307
9-Jul-12,49.86,49.93,49.59,49.87,29008
6-Jul-12,49.59,49.81,49.41,49.70,40445
5-Jul-12,49.68,49.80,49.48,49.50,20644
3-Jul-12,49.78,50.00,49.63,49.99,17283
2-Jul-12,49.46,50.23,49.43,50.14,29726
