Date, Open, High, Low, Close, Volume
17-May-13,26.01,26.19,26.00,26.09,4075
16-May-13,25.80,25.80,25.80,25.80,900
14-May-13,25.80,25.90,25.80,25.80,1300
13-May-13,25.99,25.99,25.99,25.99,500
10-May-13,25.97,26.00,25.97,26.00,900
9-May-13,25.95,25.98,25.93,25.97,3614
8-May-13,25.90,25.90,25.90,25.90,400
7-May-13,26.19,26.19,25.87,25.92,3876
29-Apr-13,25.51,25.51,25.51,25.51,100
26-Apr-13,25.98,26.46,25.56,25.56,2700
25-Apr-13,25.54,25.55,25.54,25.55,300
23-Apr-13,25.53,25.53,25.53,25.53,500
19-Apr-13,25.68,25.75,25.67,25.67,4709
18-Apr-13,25.31,25.72,25.30,25.72,1677
17-Apr-13,25.31,25.31,25.31,25.31,100
16-Apr-13,25.75,25.75,25.75,25.75,100
15-Apr-13,25.53,25.53,25.31,25.50,1564
10-Apr-13,25.51,25.51,25.51,25.51,100
9-Apr-13,25.61,25.61,25.60,25.60,200
8-Apr-13,25.50,25.60,25.50,25.60,912
4-Apr-13,25.60,25.60,25.60,25.60,100
3-Apr-13,25.88,25.88,25.88,25.88,200
1-Apr-13,25.35,25.38,25.35,25.38,650
28-Mar-13,25.68,25.68,25.68,25.68,100
27-Mar-13,25.70,25.70,25.70,25.70,200
26-Mar-13,25.70,25.70,25.70,25.70,450
25-Mar-13,25.70,25.70,25.37,25.37,601
22-Mar-13,25.68,25.68,25.68,25.68,400
19-Mar-13,25.31,25.31,25.31,25.31,500
18-Mar-13,25.70,25.70,25.70,25.70,100
15-Mar-13,25.60,25.76,25.60,25.76,1600
13-Mar-13,25.68,25.68,25.60,25.60,1397
12-Mar-13,26.00,26.00,25.99,26.00,1020
11-Mar-13,26.08,26.10,26.00,26.00,930
8-Mar-13,25.54,25.54,25.54,25.54,100
6-Mar-13,26.00,26.00,26.00,26.00,200
5-Mar-13,25.94,25.94,25.80,25.93,865
4-Mar-13,25.55,26.10,25.55,25.95,865
1-Mar-13,25.85,25.85,25.85,25.85,750
28-Feb-13,25.96,25.99,25.84,25.85,1582
27-Feb-13,25.75,25.77,25.74,25.74,3682
26-Feb-13,25.70,25.70,25.70,25.70,200
25-Feb-13,25.50,25.50,25.50,25.50,200
22-Feb-13,25.50,25.50,25.50,25.50,200
20-Feb-13,25.56,25.56,25.55,25.55,600
15-Feb-13,25.85,25.85,25.85,25.85,500
14-Feb-13,25.85,25.85,25.85,25.85,200
13-Feb-13,25.85,25.85,25.80,25.80,600
12-Feb-13,25.77,25.85,25.77,25.85,200
11-Feb-13,25.84,25.84,25.80,25.80,1400
8-Feb-13,25.70,25.70,25.70,25.70,300
7-Feb-13,25.80,25.81,25.75,25.80,2359
6-Feb-13,25.84,25.85,25.80,25.85,1600
5-Feb-13,25.55,25.66,25.55,25.66,510
1-Feb-13,25.75,25.80,25.47,25.47,1500
31-Jan-13,25.45,25.75,25.45,25.75,500
30-Jan-13,25.60,25.60,25.40,25.40,660
29-Jan-13,25.50,25.50,25.50,25.50,200
28-Jan-13,25.50,25.50,25.50,25.50,1500
23-Jan-13,25.60,25.60,25.40,25.40,507
17-Jan-13,25.59,25.59,25.59,25.59,500
14-Jan-13,25.51,25.51,25.51,25.51,300
11-Jan-13,25.51,25.64,25.51,25.51,513
10-Jan-13,25.19,25.19,25.19,25.19,200
9-Jan-13,25.68,25.68,25.68,25.68,1100
8-Jan-13,25.83,25.83,25.68,25.68,650
7-Jan-13,25.40,25.50,25.19,25.19,3045
3-Jan-13,25.49,25.52,25.49,25.50,2465
28-Dec-12,25.50,25.50,25.50,25.50,200
27-Dec-12,25.15,25.15,25.15,25.15,200
26-Dec-12,25.40,25.40,25.40,25.40,200
24-Dec-12,25.12,25.12,25.12,25.12,200
21-Dec-12,25.63,25.63,25.60,25.60,300
20-Dec-12,25.50,25.50,25.48,25.48,200
18-Dec-12,25.40,25.40,25.29,25.29,400
17-Dec-12,25.11,25.21,25.11,25.20,1600
14-Dec-12,25.21,25.22,25.20,25.20,600
13-Dec-12,25.33,25.37,25.32,25.35,1854
12-Dec-12,25.48,25.70,25.21,25.30,2500
11-Dec-12,25.74,25.74,25.56,25.62,500
10-Dec-12,25.41,25.75,25.41,25.75,1550
7-Dec-12,25.69,25.69,25.69,25.69,200
6-Dec-12,25.68,25.75,25.67,25.75,1414
4-Dec-12,25.48,25.63,25.48,25.61,2075
30-Nov-12,25.47,25.49,25.47,25.49,510
27-Nov-12,25.49,25.49,25.32,25.32,1100
23-Nov-12,25.08,25.08,25.08,25.08,400
21-Nov-12,25.32,25.32,25.04,25.04,1551
20-Nov-12,25.39,25.45,25.35,25.36,1500
19-Nov-12,25.75,25.75,25.38,25.38,4864
16-Nov-12,25.70,25.70,25.70,25.70,294
15-Nov-12,-,-,-,25.40,0
14-Nov-12,25.30,25.40,25.30,25.38,786
13-Nov-12,25.30,25.30,25.30,25.30,100
12-Nov-12,-,-,-,25.50,0
9-Nov-12,-,-,-,25.50,0
8-Nov-12,25.50,25.50,25.50,25.50,500
7-Nov-12,-,-,-,25.50,0
6-Nov-12,-,-,-,25.50,0
5-Nov-12,-,-,-,25.50,0
2-Nov-12,25.74,25.74,25.50,25.50,1747
1-Nov-12,-,-,-,25.50,0
31-Oct-12,25.50,25.50,25.50,25.50,983
26-Oct-12,25.65,25.65,25.50,25.50,1000
25-Oct-12,25.60,25.60,25.50,25.53,1016
24-Oct-12,25.65,25.65,25.50,25.50,1400
23-Oct-12,-,-,-,25.40,0
22-Oct-12,25.40,25.40,25.40,25.40,125
19-Oct-12,25.40,25.40,25.40,25.40,500
18-Oct-12,25.31,25.40,25.31,25.40,1100
17-Oct-12,25.65,25.65,25.65,25.65,100
16-Oct-12,25.50,25.50,25.50,25.50,500
15-Oct-12,-,-,-,25.40,0
12-Oct-12,25.84,25.89,25.84,25.89,310
11-Oct-12,25.35,25.89,25.35,25.35,1299
10-Oct-12,-,-,-,25.47,0
9-Oct-12,-,-,-,25.47,0
8-Oct-12,25.47,25.47,25.47,25.47,1000
5-Oct-12,-,-,-,25.35,0
4-Oct-12,25.35,25.49,25.35,25.35,1457
3-Oct-12,25.31,25.31,25.31,25.31,100
2-Oct-12,25.31,25.31,25.30,25.30,1000
1-Oct-12,-,-,-,25.20,0
28-Sep-12,25.46,25.50,25.20,25.20,500
27-Sep-12,25.13,25.13,25.13,25.13,100
26-Sep-12,-,-,-,25.45,0
25-Sep-12,25.16,25.25,25.10,25.25,900
24-Sep-12,25.30,25.30,25.30,25.30,200
21-Sep-12,25.15,25.25,25.15,25.25,800
20-Sep-12,25.48,25.48,25.45,25.48,300
19-Sep-12,25.10,25.10,25.10,25.10,1012
18-Sep-12,25.25,25.25,25.10,25.10,1000
17-Sep-12,25.20,25.20,25.20,25.20,600
14-Sep-12,25.16,25.16,25.10,25.10,1000
13-Sep-12,25.10,25.11,25.10,25.10,2000
