Date, Open, High, Low, Close, Volume
17-May-13,70.60,71.37,70.60,71.30,116748
16-May-13,69.52,70.42,69.36,70.13,95295
15-May-13,69.06,69.71,68.63,69.70,229363
14-May-13,69.52,69.97,68.74,69.25,184575
13-May-13,69.30,69.80,68.89,69.65,104797
10-May-13,70.00,70.20,69.39,69.41,67742
9-May-13,70.30,70.51,69.56,69.89,94244
8-May-13,70.34,70.71,69.56,70.30,132479
7-May-13,69.80,70.50,69.61,70.48,62387
6-May-13,69.23,69.94,69.23,69.64,83732
3-May-13,69.37,69.89,68.97,69.17,104554
2-May-13,67.00,69.13,67.00,68.89,160423
1-May-13,68.63,68.79,67.51,67.97,297641
30-Apr-13,66.98,68.61,66.85,68.60,233791
29-Apr-13,66.61,67.17,66.47,67.04,136421
26-Apr-13,65.49,66.68,65.27,66.37,241535
25-Apr-13,65.43,65.68,65.05,65.46,308475
24-Apr-13,65.67,65.99,65.30,65.48,284215
23-Apr-13,64.91,65.55,64.72,65.50,131436
22-Apr-13,64.81,65.16,63.98,64.52,266085
19-Apr-13,63.45,64.76,63.30,64.70,222801
18-Apr-13,63.08,63.46,62.54,63.39,123694
17-Apr-13,63.91,63.91,62.69,62.90,139664
16-Apr-13,64.07,64.39,63.64,64.32,182499
15-Apr-13,65.13,65.39,63.69,63.87,376464
12-Apr-13,64.43,65.46,64.32,65.43,186841
11-Apr-13,64.54,65.32,64.49,64.69,199101
10-Apr-13,64.69,64.97,64.30,64.42,157972
9-Apr-13,65.60,65.62,64.88,64.91,147154
8-Apr-13,64.75,65.48,64.40,65.44,117536
5-Apr-13,63.70,64.86,63.70,64.70,212259
4-Apr-13,64.11,64.68,63.54,64.35,160561
3-Apr-13,64.91,65.18,63.89,63.90,250730
2-Apr-13,64.33,65.13,62.81,64.75,209593
1-Apr-13,64.37,64.66,63.53,64.49,156971
28-Mar-13,64.30,64.54,63.89,64.49,282027
27-Mar-13,63.90,64.28,63.68,64.12,212440
26-Mar-13,63.44,64.14,63.44,64.13,172024
25-Mar-13,63.25,63.46,62.86,63.32,243800
22-Mar-13,62.80,63.71,62.80,63.12,228055
21-Mar-13,63.15,63.74,62.60,62.62,122557
20-Mar-13,62.87,63.52,62.86,63.51,94555
19-Mar-13,62.31,62.70,62.09,62.54,367739
18-Mar-13,61.70,62.33,61.33,62.16,264672
15-Mar-13,61.49,62.39,61.33,62.18,650540
14-Mar-13,61.54,61.73,61.31,61.61,324021
13-Mar-13,61.72,61.72,61.09,61.49,197040
12-Mar-13,61.80,61.84,61.45,61.67,201531
11-Mar-13,62.21,62.21,61.39,61.73,391864
8-Mar-13,63.49,63.50,62.02,62.30,315556
7-Mar-13,63.52,63.54,62.91,63.10,615190
6-Mar-13,63.93,63.93,63.01,63.54,263748
5-Mar-13,62.28,63.73,62.12,63.73,245802
4-Mar-13,60.65,62.24,60.65,62.10,240252
1-Mar-13,60.55,60.87,60.29,60.67,424606
28-Feb-13,60.83,61.01,60.64,60.84,505222
27-Feb-13,60.60,61.04,60.56,60.82,270476
26-Feb-13,61.28,61.41,60.60,60.81,180411
25-Feb-13,62.63,62.69,60.94,61.02,265805
22-Feb-13,62.86,62.95,62.13,62.25,252055
21-Feb-13,63.00,63.35,62.31,62.51,187099
20-Feb-13,63.67,64.52,63.02,63.18,371577
19-Feb-13,64.16,64.36,63.67,63.72,341964
15-Feb-13,64.15,64.35,63.46,64.19,761932
14-Feb-13,66.30,66.42,64.27,64.95,765701
13-Feb-13,67.09,67.44,66.51,66.92,85217
12-Feb-13,66.76,67.29,66.74,67.03,103496
11-Feb-13,66.95,67.08,66.67,67.02,106372
8-Feb-13,65.88,67.08,65.77,67.00,108076
7-Feb-13,66.49,66.58,65.55,65.87,159092
6-Feb-13,65.97,66.52,65.72,66.49,169896
5-Feb-13,66.31,66.41,65.86,66.24,183562
4-Feb-13,66.26,66.47,65.57,65.96,162428
1-Feb-13,65.47,66.65,65.33,66.45,237203
31-Jan-13,64.86,65.34,64.54,65.24,227863
30-Jan-13,65.31,65.50,64.70,65.01,129614
29-Jan-13,64.90,65.48,64.80,65.45,90310
28-Jan-13,64.71,64.99,64.08,64.87,95247
25-Jan-13,64.68,64.80,64.08,64.49,114833
24-Jan-13,64.53,65.08,64.37,64.44,163420
23-Jan-13,64.52,64.69,64.08,64.41,66177
22-Jan-13,64.49,64.83,64.19,64.53,131414
18-Jan-13,64.15,64.49,64.04,64.48,92670
17-Jan-13,64.24,64.61,64.11,64.16,181069
16-Jan-13,63.73,64.08,63.59,63.87,271357
15-Jan-13,63.01,63.32,62.80,63.18,228245
14-Jan-13,63.18,63.24,62.73,63.00,187495
11-Jan-13,63.33,63.38,62.98,63.19,156080
10-Jan-13,64.17,64.23,63.06,63.17,174232
9-Jan-13,63.88,64.57,63.72,64.30,117652
8-Jan-13,63.50,63.76,63.46,63.73,88906
7-Jan-13,63.85,64.16,63.52,63.67,131285
4-Jan-13,64.00,64.21,63.28,64.15,173293
3-Jan-13,63.87,64.18,63.50,63.82,109597
2-Jan-13,62.98,63.69,62.70,63.68,177960
31-Dec-12,61.18,62.20,60.91,62.10,194184
28-Dec-12,61.45,61.99,61.24,61.30,121733
27-Dec-12,61.87,62.26,60.87,61.67,103203
26-Dec-12,62.43,62.65,61.59,61.83,108331
24-Dec-12,62.55,62.76,62.06,62.46,59423
21-Dec-12,62.54,63.32,62.27,62.72,431889
20-Dec-12,62.24,63.02,62.05,62.78,124925
19-Dec-12,62.09,62.68,61.81,62.14,155603
18-Dec-12,61.69,62.22,61.23,62.22,248454
17-Dec-12,60.82,61.76,60.72,61.70,336219
14-Dec-12,59.87,60.99,59.87,60.67,306146
13-Dec-12,59.88,60.24,59.76,60.09,140210
12-Dec-12,60.74,60.97,59.77,60.02,352688
11-Dec-12,61.33,61.80,60.60,60.82,178551
10-Dec-12,60.78,61.55,60.78,61.22,120173
7-Dec-12,60.99,61.15,60.47,60.77,191637
6-Dec-12,60.69,61.18,60.69,60.99,142452
5-Dec-12,61.47,61.67,60.78,60.82,152709
4-Dec-12,61.27,61.75,61.05,61.48,244569
3-Dec-12,62.10,62.68,61.96,62.30,256459
30-Nov-12,61.46,62.00,61.32,61.79,211006
29-Nov-12,61.86,62.26,60.74,61.41,179024
28-Nov-12,61.50,62.12,60.70,61.47,230331
27-Nov-12,61.92,62.15,61.00,61.58,137959
26-Nov-12,61.67,62.38,61.63,62.06,159909
23-Nov-12,61.61,62.11,61.46,62.09,55489
21-Nov-12,61.99,62.12,61.38,61.52,69359
20-Nov-12,60.91,62.07,60.70,62.07,197349
19-Nov-12,59.94,61.12,59.94,60.99,234228
16-Nov-12,60.03,60.19,59.09,59.54,498656
15-Nov-12,60.56,61.27,60.14,60.22,230868
14-Nov-12,61.63,61.63,60.73,60.91,521384
13-Nov-12,60.96,61.83,60.68,61.44,249828
12-Nov-12,61.42,61.42,60.88,61.07,120865
9-Nov-12,60.88,61.40,60.39,61.20,255034
8-Nov-12,60.87,61.13,60.36,60.47,252391
7-Nov-12,60.19,60.96,59.85,60.53,236246
6-Nov-12,60.20,60.96,60.20,60.60,186300
5-Nov-12,59.77,60.76,59.00,60.22,210487
2-Nov-12,59.00,60.05,58.92,59.74,247788
1-Nov-12,57.90,59.15,57.75,58.95,295584
31-Oct-12,56.28,57.97,56.16,57.80,218145
26-Oct-12,56.44,56.71,55.73,56.43,113699
25-Oct-12,56.71,56.90,55.94,56.32,296996
24-Oct-12,56.48,56.73,56.05,56.38,98558
23-Oct-12,56.59,56.70,55.66,56.27,163916
22-Oct-12,57.65,57.65,56.53,56.84,207727
19-Oct-12,57.06,57.66,56.93,57.66,217727
18-Oct-12,57.22,57.44,57.09,57.44,309302
17-Oct-12,57.25,57.45,56.99,57.30,192685
16-Oct-12,57.12,57.48,57.05,57.31,213841
15-Oct-12,56.71,56.99,56.16,56.99,452193
12-Oct-12,57.26,57.37,56.69,56.74,272418
11-Oct-12,57.69,57.69,57.29,57.42,184897
10-Oct-12,57.42,57.73,57.18,57.50,208747
9-Oct-12,57.54,58.15,57.41,57.45,157982
8-Oct-12,58.06,58.25,57.78,57.91,149195
5-Oct-12,58.33,58.96,58.06,58.37,99660
4-Oct-12,57.96,58.33,57.36,58.30,150003
3-Oct-12,57.60,58.40,57.60,57.82,110701
2-Oct-12,57.45,57.75,57.19,57.60,128638
1-Oct-12,57.96,58.13,56.43,57.32,222750
28-Sep-12,57.99,58.22,57.65,57.85,222342
27-Sep-12,58.91,58.99,58.16,58.32,241931
26-Sep-12,57.75,58.82,57.67,58.50,447880
25-Sep-12,57.69,58.50,57.60,57.65,443395
24-Sep-12,57.39,58.04,57.25,57.54,417661
21-Sep-12,57.34,57.65,56.94,57.63,1066796
20-Sep-12,57.35,57.52,56.75,56.81,361677
