Date, Open, High, Low, Close, Volume
17-May-13,9.11,9.30,9.09,9.28,724107
16-May-13,9.34,9.37,9.10,9.12,837155
15-May-13,9.25,9.47,9.21,9.31,1153516
14-May-13,9.11,9.25,9.10,9.25,884131
13-May-13,8.80,9.30,8.80,9.14,1357348
10-May-13,8.78,8.86,8.70,8.85,542152
9-May-13,8.84,8.94,8.56,8.72,1166985
8-May-13,8.75,8.89,8.61,8.82,2392097
7-May-13,8.81,8.88,8.69,8.78,318127
6-May-13,8.75,9.00,8.75,8.79,386552
3-May-13,8.70,8.94,8.65,8.77,619942
2-May-13,8.57,8.67,8.34,8.59,773626
1-May-13,8.60,8.66,8.50,8.53,982889
30-Apr-13,8.73,8.76,8.52,8.65,985420
29-Apr-13,8.30,8.71,7.96,8.68,1322314
26-Apr-13,8.27,8.40,8.17,8.23,964784
25-Apr-13,8.09,8.52,8.07,8.26,670072
24-Apr-13,7.88,8.06,7.85,8.02,433714
23-Apr-13,7.90,7.95,7.75,7.85,245374
22-Apr-13,7.82,7.88,7.65,7.84,523436
19-Apr-13,7.71,7.86,7.59,7.84,465191
18-Apr-13,7.73,7.80,7.55,7.73,751928
17-Apr-13,8.00,8.02,7.60,7.74,623973
16-Apr-13,8.00,8.08,7.94,8.06,438259
15-Apr-13,8.42,8.44,7.89,7.91,1046382
12-Apr-13,8.55,8.60,8.36,8.49,268832
11-Apr-13,8.59,8.61,8.44,8.60,342338
10-Apr-13,8.55,8.64,8.50,8.55,505450
9-Apr-13,8.56,8.58,8.42,8.52,552480
8-Apr-13,8.33,8.53,8.26,8.52,450508
5-Apr-13,8.08,8.40,7.96,8.33,781080
4-Apr-13,8.18,8.27,8.05,8.21,926634
3-Apr-13,8.45,8.55,8.17,8.25,978292
2-Apr-13,8.68,8.80,8.50,8.56,1003721
1-Apr-13,8.89,8.90,8.37,8.69,1346725
28-Mar-13,8.86,8.94,8.74,8.92,3122444
27-Mar-13,8.72,8.91,8.61,8.75,1189532
26-Mar-13,8.56,8.93,8.55,8.73,1625750
25-Mar-13,8.55,8.63,8.44,8.52,913697
22-Mar-13,8.42,8.56,8.41,8.47,607903
21-Mar-13,8.19,8.49,8.15,8.39,2196017
20-Mar-13,8.22,8.33,8.18,8.25,357401
19-Mar-13,8.37,8.47,8.20,8.21,883019
18-Mar-13,8.27,8.50,8.25,8.38,443940
15-Mar-13,8.44,8.46,8.36,8.40,347753
14-Mar-13,8.19,8.52,8.10,8.48,1089028
13-Mar-13,8.60,8.85,8.18,8.20,1737928
12-Mar-13,8.59,8.60,8.33,8.53,367239
11-Mar-13,8.52,8.79,8.39,8.64,495451
8-Mar-13,8.77,8.77,8.31,8.53,787137
7-Mar-13,8.63,8.78,8.51,8.65,965304
6-Mar-13,8.67,8.71,8.50,8.62,392074
5-Mar-13,8.50,8.66,8.45,8.62,934898
4-Mar-13,8.41,8.49,8.25,8.42,503563
1-Mar-13,8.46,8.57,8.25,8.39,770785
28-Feb-13,8.45,8.57,8.36,8.50,3616203
27-Feb-13,8.46,8.58,8.42,8.42,792148
26-Feb-13,8.47,8.81,8.42,8.49,817902
25-Feb-13,8.54,8.71,8.41,8.41,303093
22-Feb-13,8.36,8.51,8.25,8.50,258855
21-Feb-13,8.26,8.39,8.12,8.27,352039
20-Feb-13,8.63,8.67,8.25,8.26,529220
19-Feb-13,8.37,8.61,8.32,8.59,337465
15-Feb-13,8.14,8.45,8.11,8.32,294932
14-Feb-13,8.19,8.20,8.08,8.11,208308
13-Feb-13,8.22,8.23,8.13,8.19,269494
12-Feb-13,8.18,8.24,8.06,8.20,302309
11-Feb-13,8.18,8.33,8.01,8.12,252468
8-Feb-13,7.81,8.19,7.78,8.17,401284
7-Feb-13,7.80,7.83,7.75,7.79,322352
6-Feb-13,7.94,7.94,7.72,7.78,317108
5-Feb-13,8.03,8.17,7.94,8.00,244153
4-Feb-13,8.10,8.18,7.96,8.00,209706
1-Feb-13,8.51,8.51,8.10,8.14,630949
31-Jan-13,8.02,8.50,8.00,8.43,1236936
30-Jan-13,7.74,8.18,7.73,8.03,1018068
29-Jan-13,8.00,8.00,7.58,7.91,269381
28-Jan-13,7.94,8.03,7.80,7.97,165003
25-Jan-13,8.02,8.09,7.80,7.93,266950
24-Jan-13,8.14,8.20,7.85,7.95,152101
23-Jan-13,7.94,8.32,7.93,8.10,901401
22-Jan-13,7.62,8.04,7.58,7.91,454504
18-Jan-13,7.54,7.77,7.52,7.60,253073
17-Jan-13,7.47,7.61,7.44,7.54,149457
16-Jan-13,7.25,7.54,7.23,7.45,147865
15-Jan-13,7.24,7.34,7.24,7.30,55559
14-Jan-13,7.35,7.35,7.23,7.30,110601
11-Jan-13,7.44,7.51,7.27,7.39,106425
10-Jan-13,7.66,7.66,7.40,7.44,257438
9-Jan-13,7.41,7.73,7.37,7.65,700377
8-Jan-13,7.48,7.60,7.36,7.41,299907
7-Jan-13,7.17,7.55,7.14,7.44,401340
4-Jan-13,7.07,7.25,7.01,7.20,237393
3-Jan-13,7.22,7.22,7.00,7.05,308756
2-Jan-13,7.22,7.23,6.92,7.20,545518
31-Dec-12,6.90,7.14,6.83,7.11,143374
28-Dec-12,6.97,6.99,6.89,6.91,84149
27-Dec-12,6.99,7.00,6.87,6.96,142752
26-Dec-12,6.98,7.07,6.92,6.97,87222
24-Dec-12,7.01,7.03,6.79,6.98,127368
21-Dec-12,6.80,7.14,6.72,6.97,1766940
20-Dec-12,6.71,6.88,6.68,6.88,212518
19-Dec-12,6.53,6.70,6.53,6.68,156123
18-Dec-12,6.54,6.75,6.43,6.48,199900
17-Dec-12,6.59,6.60,6.50,6.54,252948
14-Dec-12,6.60,6.66,6.46,6.48,94606
13-Dec-12,6.64,6.70,6.52,6.56,183907
12-Dec-12,6.61,6.75,6.61,6.68,125357
11-Dec-12,6.52,6.67,6.49,6.60,210404
10-Dec-12,6.47,6.55,6.46,6.48,99510
7-Dec-12,6.46,6.59,6.36,6.45,73693
6-Dec-12,6.43,6.91,6.39,6.41,299611
5-Dec-12,6.11,6.51,6.11,6.41,82132
4-Dec-12,6.24,6.60,6.24,6.42,104589
3-Dec-12,6.35,6.50,6.21,6.23,98046
30-Nov-12,6.51,6.51,6.24,6.40,116550
29-Nov-12,6.35,6.63,6.35,6.48,129529
28-Nov-12,6.33,6.41,6.23,6.30,53138
27-Nov-12,6.27,6.49,6.27,6.32,96307
26-Nov-12,6.12,6.32,6.05,6.30,140566
23-Nov-12,6.12,6.20,6.07,6.16,123917
21-Nov-12,5.95,6.07,5.95,6.07,45880
20-Nov-12,5.76,6.08,5.72,5.92,122208
19-Nov-12,5.74,5.80,5.69,5.80,43721
16-Nov-12,5.58,5.70,5.48,5.68,341765
15-Nov-12,5.71,5.76,5.58,5.64,123983
14-Nov-12,5.80,5.87,5.59,5.65,116577
13-Nov-12,5.97,6.03,5.76,5.79,76717
12-Nov-12,6.01,6.04,5.98,5.98,29973
9-Nov-12,5.95,6.06,5.95,5.95,57213
8-Nov-12,6.04,6.10,5.95,5.95,51740
7-Nov-12,6.10,6.13,5.95,6.04,118855
6-Nov-12,6.10,6.25,6.00,6.15,418230
5-Nov-12,5.78,6.23,5.78,6.13,333180
2-Nov-12,5.48,5.90,5.48,5.78,579844
1-Nov-12,5.45,5.50,5.30,5.44,136208
31-Oct-12,5.38,5.57,5.38,5.45,127123
26-Oct-12,5.55,5.60,5.36,5.40,166695
25-Oct-12,5.48,5.60,5.39,5.52,78187
24-Oct-12,5.55,5.60,5.42,5.43,146862
23-Oct-12,5.47,5.58,5.37,5.53,152758
22-Oct-12,5.58,5.58,5.19,5.40,114656
19-Oct-12,5.62,5.74,5.52,5.57,148773
18-Oct-12,5.74,5.84,5.65,5.65,81290
17-Oct-12,5.73,5.79,5.68,5.75,31774
16-Oct-12,5.80,5.82,5.65,5.73,91362
15-Oct-12,5.78,5.82,5.75,5.77,56361
12-Oct-12,5.82,5.89,5.74,5.78,31550
11-Oct-12,5.96,5.96,5.77,5.82,37820
10-Oct-12,5.97,6.04,5.84,5.92,65740
9-Oct-12,5.97,6.07,5.94,5.94,63331
8-Oct-12,5.99,6.02,5.87,5.99,28478
5-Oct-12,6.01,6.07,5.99,6.00,59043
4-Oct-12,6.00,6.07,5.92,6.00,39194
3-Oct-12,6.02,6.07,5.96,5.99,82169
2-Oct-12,6.01,6.07,5.94,5.99,260912
1-Oct-12,6.05,6.07,5.90,5.99,105673
28-Sep-12,5.93,6.01,5.84,6.00,275486
27-Sep-12,5.92,6.01,5.72,5.99,225426
26-Sep-12,5.96,6.01,5.81,5.91,72281
25-Sep-12,6.01,6.09,5.86,5.97,188079
24-Sep-12,5.79,5.99,5.79,5.99,119324
21-Sep-12,5.95,6.11,5.90,6.02,144221
20-Sep-12,5.84,5.94,5.79,5.85,174320
19-Sep-12,6.02,6.02,5.88,5.91,65192
18-Sep-12,6.18,6.18,5.92,6.00,60630
17-Sep-12,6.01,6.21,5.94,6.19,123130
14-Sep-12,6.10,6.24,5.97,6.05,178039
13-Sep-12,6.05,6.09,5.95,6.08,199111
12-Sep-12,6.15,6.22,5.95,6.00,70074
11-Sep-12,6.02,6.20,6.02,6.09,32945
10-Sep-12,5.86,6.16,5.86,6.00,380348
7-Sep-12,5.95,5.95,5.76,5.88,76609
6-Sep-12,5.84,5.97,5.83,5.93,203102
5-Sep-12,5.43,5.85,5.43,5.79,104026
4-Sep-12,5.29,5.46,5.20,5.42,118163
31-Aug-12,5.49,5.49,5.25,5.32,111810
30-Aug-12,5.54,5.54,5.37,5.42,104974
29-Aug-12,5.55,5.63,5.44,5.59,117218
