Date, Open, High, Low, Close, Volume
17-May-13,26.98,26.98,26.41,26.61,112931
16-May-13,27.78,27.92,26.71,26.91,114383
15-May-13,27.70,28.00,27.40,27.67,95407
14-May-13,27.35,27.55,27.30,27.49,73469
13-May-13,27.40,27.50,26.65,27.30,78180
10-May-13,26.90,27.30,26.90,27.22,62139
9-May-13,26.98,27.15,26.75,26.88,45832
8-May-13,26.65,27.01,26.38,26.68,50966
7-May-13,25.22,26.99,25.22,26.75,83691
6-May-13,26.66,27.27,26.40,27.26,70830
3-May-13,26.40,26.88,26.30,26.51,129091
2-May-13,26.44,26.79,25.66,26.51,113888
1-May-13,27.55,27.66,26.43,26.54,154212
30-Apr-13,27.50,27.64,27.27,27.45,91016
29-Apr-13,27.09,27.50,26.86,27.50,87411
26-Apr-13,27.00,27.12,26.54,26.85,51461
25-Apr-13,26.80,27.05,26.66,26.80,103720
24-Apr-13,26.42,26.76,26.42,26.66,71187
23-Apr-13,26.58,26.60,26.31,26.51,68903
22-Apr-13,26.22,26.53,26.07,26.47,93159
19-Apr-13,26.54,26.69,25.65,26.20,71015
18-Apr-13,25.37,26.00,25.34,25.93,120126
17-Apr-13,25.00,25.50,24.92,25.36,92904
16-Apr-13,24.91,25.11,24.43,25.01,82672
15-Apr-13,24.99,25.26,24.73,24.74,88119
12-Apr-13,24.90,25.07,24.70,24.93,51681
11-Apr-13,24.75,24.99,24.69,24.83,59897
10-Apr-13,24.77,25.05,24.26,24.82,109101
9-Apr-13,25.47,25.47,24.90,24.91,81440
8-Apr-13,25.11,25.44,25.04,25.22,66707
5-Apr-13,24.00,25.44,24.00,25.37,74815
4-Apr-13,23.70,24.45,23.67,24.33,96198
3-Apr-13,24.50,24.64,23.63,23.86,248841
2-Apr-13,25.10,25.19,24.44,24.49,136454
1-Apr-13,25.20,25.32,24.64,24.72,129961
28-Mar-13,25.26,25.41,25.12,25.12,115966
27-Mar-13,25.44,25.68,25.20,25.25,99974
26-Mar-13,26.01,26.01,25.36,25.41,140293
25-Mar-13,26.57,26.57,25.94,25.96,130791
22-Mar-13,26.29,26.75,26.26,26.58,217849
21-Mar-13,25.44,26.30,25.34,26.29,512128
20-Mar-13,26.21,26.30,25.91,26.28,90711
19-Mar-13,26.45,26.45,25.90,25.91,73720
18-Mar-13,26.35,26.50,26.03,26.18,58478
15-Mar-13,26.00,26.69,26.00,26.35,86154
14-Mar-13,26.49,26.49,26.03,26.40,59370
13-Mar-13,25.88,26.50,25.88,26.49,99370
12-Mar-13,26.24,26.71,25.84,25.90,83678
11-Mar-13,26.11,26.24,25.72,26.18,64304
8-Mar-13,25.67,26.20,25.62,26.02,52167
7-Mar-13,26.26,26.44,25.50,25.60,92723
6-Mar-13,26.64,26.65,26.11,26.16,69276
5-Mar-13,26.50,26.75,26.31,26.60,129342
4-Mar-13,25.78,26.40,25.76,26.30,78743
1-Mar-13,25.60,25.83,25.20,25.75,44462
28-Feb-13,25.48,25.80,25.25,25.56,77667
27-Feb-13,25.18,25.66,25.06,25.23,126262
26-Feb-13,26.99,26.99,24.65,25.05,187643
25-Feb-13,26.40,26.85,26.11,26.80,92571
22-Feb-13,26.04,26.80,26.00,26.39,109966
21-Feb-13,25.90,26.10,25.51,25.97,128037
20-Feb-13,26.00,26.06,25.77,25.94,109309
19-Feb-13,25.95,25.95,25.51,25.78,104467
15-Feb-13,25.35,25.90,25.35,25.45,124501
14-Feb-13,25.91,25.98,25.25,25.34,81672
13-Feb-13,25.28,25.69,25.00,25.69,117019
12-Feb-13,25.08,25.25,25.06,25.24,72052
11-Feb-13,25.28,25.28,25.08,25.16,95931
8-Feb-13,25.00,25.10,24.86,25.08,65833
7-Feb-13,25.00,25.08,24.58,24.90,128678
6-Feb-13,25.00,25.23,24.92,25.00,215327
5-Feb-13,24.96,25.41,24.96,25.23,112434
4-Feb-13,24.93,25.10,24.59,24.95,121752
1-Feb-13,24.96,25.10,24.92,24.98,200080
31-Jan-13,25.00,25.41,24.90,25.32,227942
30-Jan-13,24.79,24.95,24.55,24.87,102251
29-Jan-13,24.97,25.28,24.64,24.64,140235
28-Jan-13,24.80,25.12,24.60,24.98,148676
25-Jan-13,24.77,24.92,24.49,24.55,103560
24-Jan-13,24.50,24.79,24.50,24.58,75335
23-Jan-13,24.55,24.75,24.41,24.52,97955
22-Jan-13,24.61,24.86,24.40,24.51,130069
18-Jan-13,24.42,24.80,24.42,24.46,112203
17-Jan-13,24.18,24.56,24.10,24.42,209426
16-Jan-13,23.90,24.00,23.81,24.00,64143
15-Jan-13,23.40,23.94,23.40,23.88,91927
14-Jan-13,23.49,23.64,23.26,23.49,68021
11-Jan-13,22.86,23.38,22.83,23.38,70350
10-Jan-13,23.02,23.24,22.83,22.89,74921
9-Jan-13,22.87,23.31,22.80,22.91,72792
8-Jan-13,23.39,23.45,22.85,22.88,90173
7-Jan-13,22.89,23.45,22.84,23.35,115954
4-Jan-13,22.78,24.85,22.32,22.75,88182
3-Jan-13,22.54,22.83,22.48,22.63,97519
2-Jan-13,21.65,22.56,21.51,22.56,166114
31-Dec-12,21.39,21.50,20.83,20.83,258661
28-Dec-12,21.25,21.51,21.05,21.33,146899
