Date, Open, High, Low, Close, Volume
17-May-13,132.05,133.77,132.05,133.01,14119
16-May-13,132.85,133.40,132.03,133.40,6014
15-May-13,132.22,133.07,132.22,132.52,3080
14-May-13,131.61,132.50,130.03,132.50,6473
13-May-13,131.73,132.50,129.45,131.98,6353
10-May-13,132.84,132.95,130.87,131.00,25768
9-May-13,129.75,138.48,128.01,131.19,69982
8-May-13,128.15,129.75,128.15,129.75,5094
7-May-13,125.81,128.25,125.80,128.25,20971
6-May-13,125.45,126.30,124.31,126.30,6212
3-May-13,125.00,125.39,124.30,125.26,2680
2-May-13,-,-,-,123.46,0
1-May-13,123.02,123.79,121.83,123.46,7456
30-Apr-13,122.56,124.09,121.00,123.90,22125
29-Apr-13,122.65,123.40,122.03,122.03,6447
26-Apr-13,123.59,123.74,122.20,122.98,24972
25-Apr-13,124.89,124.89,124.00,124.00,12700
24-Apr-13,-,-,-,123.61,0
23-Apr-13,123.61,123.61,123.61,123.61,1000
22-Apr-13,122.87,122.87,122.87,122.87,123
19-Apr-13,124.00,124.38,123.69,123.69,16144
18-Apr-13,-,-,-,122.88,0
17-Apr-13,122.86,122.88,122.86,122.88,200
16-Apr-13,123.65,123.65,123.65,123.65,100
15-Apr-13,124.60,124.60,124.60,124.60,5000
12-Apr-13,126.00,126.00,126.00,126.00,280
11-Apr-13,125.14,125.89,125.14,125.89,3125
10-Apr-13,125.50,125.62,125.17,125.17,2988
9-Apr-13,123.95,126.16,123.75,124.75,20740
8-Apr-13,123.71,124.00,123.43,123.69,2897
5-Apr-13,123.19,124.00,123.14,123.76,1000
4-Apr-13,125.36,125.76,125.25,125.76,800
3-Apr-13,125.20,125.24,125.20,125.20,300
2-Apr-13,128.35,129.74,126.00,126.35,6118
1-Apr-13,127.12,133.57,125.62,133.57,89703
28-Mar-13,126.59,126.59,126.59,126.59,720
27-Mar-13,126.81,126.81,125.66,126.42,4122
26-Mar-13,127.25,127.25,127.25,127.25,43174
25-Mar-13,127.53,127.89,126.50,127.25,65966
22-Mar-13,127.25,128.43,127.25,128.08,10797
21-Mar-13,127.00,127.51,127.00,127.51,16015
20-Mar-13,127.07,127.07,127.07,127.07,100
19-Mar-13,126.75,126.75,125.86,126.42,43115
18-Mar-13,126.53,126.54,126.00,126.00,50400
15-Mar-13,-,-,-,126.72,0
14-Mar-13,125.77,126.72,125.77,126.72,617
13-Mar-13,126.37,126.37,126.37,126.37,100
12-Mar-13,125.36,125.63,125.35,125.41,1444
11-Mar-13,125.00,125.75,124.98,125.49,64348
8-Mar-13,124.25,125.40,124.25,125.40,9600
7-Mar-13,124.39,124.39,124.12,124.12,568
6-Mar-13,-,-,-,123.72,0
5-Mar-13,122.48,123.72,122.48,123.72,260
4-Mar-13,122.39,123.06,122.37,122.76,3498
1-Mar-13,122.98,123.17,122.98,123.11,2139
28-Feb-13,124.02,124.28,123.91,124.26,10300
27-Feb-13,123.77,124.12,123.77,124.12,80510
26-Feb-13,122.00,122.14,121.50,122.12,3990
25-Feb-13,122.32,122.32,121.71,122.16,15860
22-Feb-13,123.23,123.25,123.12,123.25,7800
21-Feb-13,123.50,123.50,121.78,121.78,4586
20-Feb-13,124.30,124.30,123.59,123.93,1491
19-Feb-13,123.65,124.42,123.62,123.93,751
15-Feb-13,122.73,124.46,122.73,123.90,9668
14-Feb-13,124.37,124.37,122.98,123.68,425
13-Feb-13,122.91,123.20,122.91,123.20,382
12-Feb-13,122.17,123.75,122.17,123.75,2700
11-Feb-13,122.26,122.26,122.00,122.00,500
8-Feb-13,-,-,-,122.31,0
7-Feb-13,123.91,123.91,122.28,122.31,85561
6-Feb-13,123.99,123.99,123.99,123.99,13435
5-Feb-13,122.68,123.91,122.68,123.91,43266
4-Feb-13,123.39,123.39,122.35,122.35,310
1-Feb-13,123.39,123.53,123.39,123.53,210
31-Jan-13,122.50,123.57,122.50,123.45,4288
30-Jan-13,123.58,123.58,123.16,123.25,2545
29-Jan-13,123.05,124.49,123.05,124.42,3272
28-Jan-13,122.82,123.11,122.81,123.11,1451
25-Jan-13,123.33,123.70,122.73,123.56,11783
24-Jan-13,123.87,124.60,123.43,123.71,22305
23-Jan-13,-,-,-,124.69,0
22-Jan-13,124.26,124.69,124.26,124.69,37255
18-Jan-13,123.52,123.52,123.26,123.26,953
17-Jan-13,123.26,123.50,123.26,123.50,900
16-Jan-13,123.00,123.00,123.00,123.00,5700
15-Jan-13,122.56,123.00,122.56,123.00,2493
14-Jan-13,122.55,122.77,121.76,122.72,22750
11-Jan-13,122.51,122.68,122.09,122.14,21989
10-Jan-13,122.17,122.17,122.17,122.17,101
9-Jan-13,122.38,122.65,122.38,122.65,57865
8-Jan-13,122.50,122.50,122.50,122.50,135
7-Jan-13,121.91,122.19,121.56,122.19,2300
4-Jan-13,122.21,122.21,121.71,121.71,25652
3-Jan-13,122.75,122.82,122.02,122.02,400
2-Jan-13,123.40,123.40,121.90,123.13,6876
31-Dec-12,120.12,121.75,120.12,121.75,16340
28-Dec-12,121.20,121.58,119.94,121.58,516
27-Dec-12,120.52,122.22,120.28,122.03,38100
26-Dec-12,121.44,121.44,120.86,120.86,2920
