Date, Open, High, Low, Close, Volume
17-May-13,21.00,21.10,20.25,20.55,121000
16-May-13,21.43,21.59,20.72,20.97,103916
15-May-13,21.01,21.62,21.00,21.26,59910
14-May-13,21.01,21.64,20.92,21.13,55463
13-May-13,21.37,21.56,21.12,21.12,49985
10-May-13,21.16,21.40,21.16,21.18,73983
9-May-13,20.95,21.12,20.79,20.94,34384
8-May-13,21.20,21.55,20.74,20.85,173435
7-May-13,21.47,21.47,20.76,21.00,61758
6-May-13,21.60,21.75,21.39,21.47,71503
3-May-13,21.59,21.94,21.12,21.61,120658
2-May-13,21.98,21.98,21.54,21.56,110902
1-May-13,21.83,21.98,21.78,21.95,35175
30-Apr-13,21.20,21.72,21.15,21.63,483438
29-Apr-13,21.32,21.40,21.05,21.27,38993
25-Apr-13,21.26,21.43,21.09,21.13,15167
24-Apr-13,21.28,21.38,21.12,21.35,76382
23-Apr-13,20.87,21.13,20.76,21.13,20625
22-Apr-13,21.21,21.21,20.77,20.99,19934
19-Apr-13,20.50,20.93,20.33,20.86,38639
18-Apr-13,19.85,20.65,19.74,20.32,17490
17-Apr-13,20.00,20.10,19.69,20.01,44300
16-Apr-13,20.77,20.88,20.08,20.08,52130
15-Apr-13,20.43,20.66,20.20,20.66,26626
12-Apr-13,20.25,20.62,20.05,20.53,41040
11-Apr-13,20.38,20.84,20.38,20.63,74281
10-Apr-13,20.09,21.15,20.04,20.61,98787
9-Apr-13,18.81,20.01,18.81,19.98,80967
8-Apr-13,18.60,19.05,18.40,18.85,190220
5-Apr-13,18.61,19.00,18.48,18.73,435383
4-Apr-13,18.79,19.15,18.72,19.01,199622
3-Apr-13,19.03,19.25,18.34,18.90,344586
2-Apr-13,19.88,19.93,18.83,19.01,211897
1-Apr-13,20.51,20.51,19.67,19.83,349115
28-Mar-13,25.20,25.20,20.15,20.25,1236451
27-Mar-13,25.39,25.91,25.27,25.75,74915
26-Mar-13,25.69,25.69,25.21,25.56,3100
25-Mar-13,25.62,25.69,25.02,25.69,103015
22-Mar-13,25.19,25.79,25.11,25.46,23468
21-Mar-13,24.40,25.42,24.40,25.12,31851
20-Mar-13,25.45,25.45,25.15,25.23,11647
19-Mar-13,25.90,25.90,25.45,25.49,7343
18-Mar-13,26.02,26.08,25.65,25.75,22029
15-Mar-13,26.22,26.49,25.82,26.25,20118
14-Mar-13,25.50,26.09,25.45,26.06,168212
13-Mar-13,24.22,25.71,23.72,25.50,38623
12-Mar-13,24.14,24.31,24.00,24.10,21174
11-Mar-13,24.00,24.05,23.75,24.00,116430
8-Mar-13,23.36,24.00,23.13,23.78,318433
7-Mar-13,22.58,23.31,22.58,23.21,6950
6-Mar-13,22.57,22.82,22.55,22.69,24710
5-Mar-13,22.50,23.20,22.44,22.51,20285
4-Mar-13,22.52,22.56,22.27,22.43,27079
1-Mar-13,23.00,23.25,22.56,22.60,14771
28-Feb-13,23.51,23.57,22.80,22.91,19813
27-Feb-13,23.38,23.88,23.13,23.40,26850
26-Feb-13,22.94,23.58,22.94,23.31,7513
25-Feb-13,22.92,23.17,22.78,22.83,18310
22-Feb-13,22.92,23.18,22.76,22.81,25842
21-Feb-13,22.87,22.87,22.39,22.78,19151
20-Feb-13,22.40,22.98,22.02,22.72,255704
19-Feb-13,22.88,23.09,22.36,22.49,29739
15-Feb-13,23.14,23.14,22.80,22.89,36918
14-Feb-13,22.81,23.20,22.60,22.90,90336
13-Feb-13,22.62,23.25,22.62,22.97,37825
12-Feb-13,22.76,22.97,22.65,22.71,97961
11-Feb-13,23.06,23.06,22.61,22.79,127614
8-Feb-13,23.22,23.22,22.61,22.84,28656
7-Feb-13,23.09,23.22,23.01,23.11,88697
6-Feb-13,23.05,23.40,23.05,23.15,69500
