Date, Open, High, Low, Close, Volume
17-May-13,61.08,61.35,60.75,61.21,215334
16-May-13,63.29,63.40,60.97,60.99,254217
15-May-13,62.85,63.18,62.31,62.94,139435
14-May-13,62.90,63.23,62.50,62.69,162254
13-May-13,64.31,64.31,62.50,62.90,212134
10-May-13,62.65,63.47,61.71,63.41,370657
9-May-13,63.06,63.40,61.96,62.58,276519
8-May-13,61.96,63.00,61.42,63.00,404960
7-May-13,59.85,61.96,59.85,61.96,357027
6-May-13,60.50,60.78,59.90,60.09,603037
3-May-13,60.85,61.06,59.80,60.48,789041
2-May-13,61.15,61.47,60.29,60.39,160324
1-May-13,62.00,62.33,60.80,61.01,224994
30-Apr-13,61.08,62.11,61.08,62.11,240575
29-Apr-13,63.46,64.10,60.85,61.05,415790
26-Apr-13,64.22,64.31,62.84,63.35,199559
25-Apr-13,64.04,64.50,64.04,64.25,263509
24-Apr-13,63.75,63.95,63.32,63.88,167012
23-Apr-13,63.46,63.75,62.78,63.65,154532
22-Apr-13,63.64,64.00,63.19,63.36,86886
19-Apr-13,62.23,63.88,62.23,63.44,115033
18-Apr-13,62.56,62.97,62.01,62.13,82590
17-Apr-13,62.31,62.45,61.04,62.20,154391
16-Apr-13,60.56,62.84,60.56,62.74,194736
15-Apr-13,62.92,63.17,60.59,61.03,231749
12-Apr-13,64.04,64.04,62.81,63.52,120309
11-Apr-13,64.93,64.98,64.11,64.33,166747
10-Apr-13,64.95,65.36,64.79,64.96,195269
9-Apr-13,64.07,64.49,63.87,64.10,196272
8-Apr-13,61.92,63.70,61.64,63.70,458918
5-Apr-13,61.60,61.92,61.37,61.74,361015
4-Apr-13,62.61,63.58,62.36,62.52,127807
3-Apr-13,64.55,64.68,61.78,62.66,251608
2-Apr-13,65.12,65.34,64.60,64.66,143709
1-Apr-13,65.76,65.76,64.86,65.05,181788
28-Mar-13,65.00,65.84,64.85,65.40,197235
27-Mar-13,64.49,64.97,64.06,64.70,324430
26-Mar-13,64.60,64.94,64.04,64.75,185081
25-Mar-13,64.68,65.39,63.85,64.40,234281
22-Mar-13,63.70,65.07,63.52,64.24,344321
21-Mar-13,63.22,64.45,63.22,63.76,349720
20-Mar-13,62.51,63.65,62.51,63.30,194698
19-Mar-13,61.39,62.43,61.27,62.43,323965
18-Mar-13,61.64,62.22,61.08,61.57,358799
15-Mar-13,62.73,63.71,61.12,62.44,1008840
14-Mar-13,66.61,67.10,62.89,63.20,753980
13-Mar-13,67.40,68.07,66.47,66.61,254636
12-Mar-13,67.75,68.07,66.75,67.37,249018
11-Mar-13,67.73,68.18,66.95,67.75,309848
8-Mar-13,67.64,68.44,67.37,67.52,532892
7-Mar-13,65.66,67.08,65.12,67.08,222616
6-Mar-13,66.45,66.77,65.11,65.60,515906
5-Mar-13,65.31,66.53,65.04,66.14,238347
