Date, Open, High, Low, Close, Volume
17-May-13,13.61,13.73,13.57,13.61,453290
16-May-13,13.47,13.62,13.41,13.60,502962
15-May-13,13.50,13.52,13.37,13.45,553767
14-May-13,13.37,13.53,13.37,13.50,488867
13-May-13,13.48,13.55,13.43,13.47,261940
10-May-13,13.51,13.65,13.37,13.45,396700
9-May-13,13.81,13.89,13.45,13.50,400546
8-May-13,13.71,13.82,13.65,13.81,259517
7-May-13,13.58,13.74,13.46,13.73,326987
6-May-13,13.57,13.70,13.55,13.59,149344
3-May-13,13.46,13.70,13.45,13.59,268296
2-May-13,13.26,13.42,13.15,13.34,523948
1-May-13,13.57,13.67,13.20,13.23,454312
30-Apr-13,13.50,13.68,13.40,13.63,283100
29-Apr-13,13.02,13.49,13.02,13.44,283876
26-Apr-13,13.26,13.32,12.78,12.92,646380
25-Apr-13,13.44,13.55,13.24,13.27,412546
24-Apr-13,13.40,13.54,13.36,13.49,281655
23-Apr-13,13.10,13.46,13.10,13.40,304045
22-Apr-13,13.31,13.37,12.90,12.97,611557
19-Apr-13,13.08,13.34,13.08,13.33,234414
18-Apr-13,13.37,13.44,13.00,13.05,556368
17-Apr-13,13.60,13.66,13.33,13.39,453706
16-Apr-13,13.31,13.69,13.31,13.67,306232
15-Apr-13,13.40,13.55,13.24,13.24,413743
12-Apr-13,13.58,13.60,13.43,13.50,180640
11-Apr-13,13.58,13.64,13.52,13.60,148643
10-Apr-13,13.19,13.63,13.19,13.56,313027
9-Apr-13,13.30,13.30,13.12,13.15,232108
8-Apr-13,13.10,13.21,12.97,13.21,218672
5-Apr-13,13.04,13.09,12.93,13.05,260125
4-Apr-13,13.31,13.39,13.18,13.26,193371
3-Apr-13,13.46,13.52,13.28,13.30,342611
2-Apr-13,13.40,13.50,13.37,13.45,337891
1-Apr-13,13.42,13.46,13.14,13.34,325307
28-Mar-13,13.50,13.50,13.38,13.41,213125
27-Mar-13,13.32,13.49,13.24,13.45,337341
26-Mar-13,13.38,13.49,13.35,13.42,367942
25-Mar-13,13.51,13.59,13.22,13.27,417006
22-Mar-13,13.54,13.62,13.45,13.48,210888
21-Mar-13,13.70,13.75,13.48,13.53,316511
20-Mar-13,13.74,13.93,13.68,13.80,307458
19-Mar-13,13.80,13.86,13.45,13.62,533558
18-Mar-13,13.80,13.97,13.73,13.75,345667
15-Mar-13,13.86,14.00,13.76,13.97,542413
14-Mar-13,13.69,13.94,13.69,13.88,562213
13-Mar-13,13.77,13.83,13.59,13.78,332095
12-Mar-13,13.64,13.81,13.60,13.78,194093
11-Mar-13,13.61,13.80,13.60,13.69,218229
8-Mar-13,13.71,13.82,13.64,13.69,224369
7-Mar-13,13.51,13.63,13.51,13.61,185952
6-Mar-13,13.42,13.54,13.34,13.53,291058
5-Mar-13,13.26,13.51,13.22,13.45,250304
4-Mar-13,13.13,13.24,12.98,13.23,273379
1-Mar-13,13.03,13.26,12.84,13.19,383546
28-Feb-13,13.11,13.32,13.11,13.17,447593
27-Feb-13,12.65,13.22,12.63,13.17,493462
26-Feb-13,13.07,13.07,12.54,12.63,674233
25-Feb-13,13.19,13.20,13.00,13.05,657822
22-Feb-13,13.12,13.33,13.07,13.16,246063
21-Feb-13,13.18,13.22,13.00,13.03,413957
20-Feb-13,13.31,13.42,13.20,13.22,773494
19-Feb-13,13.28,13.36,13.25,13.34,711108
15-Feb-13,13.26,13.32,13.15,13.27,342104
14-Feb-13,13.13,13.20,13.07,13.18,384072
13-Feb-13,13.11,13.18,13.07,13.14,341621
12-Feb-13,13.08,13.11,13.03,13.08,309781
11-Feb-13,13.01,13.09,12.91,13.04,316480
8-Feb-13,13.11,13.15,13.05,13.07,239243
7-Feb-13,13.05,13.09,12.94,13.05,500145
6-Feb-13,12.58,13.05,12.57,13.03,845024
5-Feb-13,12.64,13.11,12.35,12.70,1081888
4-Feb-13,13.76,13.78,13.51,13.67,513616
1-Feb-13,14.00,14.00,13.81,13.83,413161
31-Jan-13,13.79,13.98,13.58,13.95,395521
30-Jan-13,13.72,13.85,13.59,13.78,372501
29-Jan-13,13.79,13.80,13.70,13.77,270116
28-Jan-13,13.68,13.85,13.62,13.78,286927
25-Jan-13,13.63,13.70,13.38,13.68,293385
24-Jan-13,13.38,13.58,13.38,13.51,253118
23-Jan-13,13.28,13.38,13.21,13.35,280192
22-Jan-13,13.27,13.28,13.14,13.25,410300
18-Jan-13,13.20,13.30,13.12,13.25,426882
17-Jan-13,12.86,13.24,12.86,13.21,228163
16-Jan-13,12.90,13.14,12.90,13.13,387798
15-Jan-13,12.94,13.15,12.67,12.94,478154
14-Jan-13,13.41,13.58,13.36,13.54,546895
11-Jan-13,13.48,13.61,13.38,13.45,353961
10-Jan-13,13.54,13.55,13.40,13.45,330525
9-Jan-13,13.43,13.58,13.37,13.45,359791
8-Jan-13,13.14,13.37,13.11,13.35,514219
7-Jan-13,13.20,13.28,13.07,13.14,320987
4-Jan-13,13.28,13.34,13.22,13.28,305681
3-Jan-13,13.25,13.34,13.16,13.20,432658
2-Jan-13,13.19,13.43,13.16,13.20,628134
31-Dec-12,12.67,13.00,12.62,12.98,275037
28-Dec-12,12.67,12.85,12.57,12.72,130214
27-Dec-12,12.79,12.84,12.58,12.78,112030
26-Dec-12,12.88,12.89,12.70,12.74,117208
24-Dec-12,12.93,13.01,12.84,12.89,74903
21-Dec-12,12.82,13.01,12.79,12.93,785323
20-Dec-12,12.97,13.07,12.94,13.02,422328
19-Dec-12,12.88,13.00,12.81,12.98,305319
18-Dec-12,12.87,13.02,12.77,13.00,219807
17-Dec-12,12.65,12.82,12.53,12.82,254631
14-Dec-12,12.59,12.65,12.49,12.60,185358
13-Dec-12,12.76,12.87,12.64,12.66,195272
12-Dec-12,12.88,12.90,12.69,12.73,265586
11-Dec-12,12.86,12.91,12.77,12.86,226619
10-Dec-12,12.53,12.73,12.44,12.73,192157
7-Dec-12,12.63,12.63,12.44,12.53,351345
6-Dec-12,12.44,12.53,12.38,12.53,149126
5-Dec-12,12.50,12.59,12.39,12.46,203320
4-Dec-12,12.40,12.50,12.34,12.42,293739
3-Dec-12,12.33,12.43,12.26,12.37,295403
30-Nov-12,12.30,12.38,12.08,12.23,593928
29-Nov-12,11.95,12.25,11.89,12.24,308588
28-Nov-12,11.63,11.99,11.56,11.81,383399
27-Nov-12,11.66,11.80,11.56,11.68,265572
26-Nov-12,11.50,11.68,11.39,11.65,245537
23-Nov-12,11.47,11.56,11.42,11.55,126786
21-Nov-12,11.44,11.52,11.29,11.40,323714
20-Nov-12,11.30,11.41,11.25,11.39,224792
19-Nov-12,11.25,11.40,11.21,11.36,349854
16-Nov-12,10.99,11.13,10.78,11.12,294391
15-Nov-12,10.89,11.19,10.87,11.03,218148
14-Nov-12,11.23,11.23,10.91,10.91,428198
13-Nov-12,11.13,11.31,11.13,11.18,168606
12-Nov-12,11.26,11.29,11.07,11.19,140489
9-Nov-12,11.13,11.37,11.12,11.23,149526
8-Nov-12,11.45,11.45,11.14,11.21,364643
7-Nov-12,11.93,12.04,11.44,11.44,303740
6-Nov-12,11.92,12.16,11.87,12.12,195321
5-Nov-12,11.88,11.98,11.81,11.90,324168
2-Nov-12,12.11,12.11,11.82,11.88,497582
1-Nov-12,12.00,12.08,11.89,12.03,414800
31-Oct-12,12.11,12.18,11.78,11.95,183947
26-Oct-12,12.08,12.13,11.88,12.07,202443
25-Oct-12,12.41,12.52,11.89,12.13,269194
24-Oct-12,12.21,12.38,12.14,12.26,165600
23-Oct-12,12.33,12.34,12.12,12.21,152450
22-Oct-12,12.51,12.51,12.36,12.42,192941
19-Oct-12,12.75,12.79,12.41,12.46,224639
18-Oct-12,12.96,13.05,12.83,12.83,106076
17-Oct-12,12.75,13.02,12.71,13.01,127815
16-Oct-12,12.56,12.75,12.52,12.75,139577
15-Oct-12,12.46,12.47,12.34,12.46,245699
12-Oct-12,12.48,12.56,12.40,12.42,141070
11-Oct-12,12.45,12.58,12.41,12.49,464350
10-Oct-12,12.37,12.43,12.30,12.37,272472
9-Oct-12,12.60,12.64,12.31,12.32,180125
