Date, Open, High, Low, Close, Volume
17-May-13,25.37,25.45,25.29,25.37,17972
16-May-13,25.18,25.39,25.12,25.30,21801
15-May-13,25.25,25.45,25.04,25.16,40968
14-May-13,25.09,25.40,25.08,25.15,28694
13-May-13,25.50,25.50,25.10,25.15,20759
10-May-13,25.02,25.40,24.95,25.40,39077
9-May-13,24.90,25.04,24.79,25.00,27173
8-May-13,24.80,25.13,24.80,25.04,53967
7-May-13,24.77,24.90,24.75,24.89,13921
6-May-13,24.67,24.81,24.67,24.80,17672
3-May-13,24.70,24.72,24.60,24.72,18983
2-May-13,24.60,24.70,24.36,24.39,18340
1-May-13,24.75,24.80,24.20,24.39,26113
30-Apr-13,24.80,24.91,24.50,24.61,35753
29-Apr-13,24.85,24.85,24.57,24.60,26967
26-Apr-13,24.70,24.92,24.42,24.63,78622
25-Apr-13,24.39,24.73,24.35,24.69,86359
24-Apr-13,24.25,24.56,24.08,24.46,30402
23-Apr-13,24.21,24.49,23.99,24.18,20911
22-Apr-13,23.89,24.18,23.86,24.11,18248
19-Apr-13,24.32,24.33,23.62,23.79,45209
18-Apr-13,24.17,24.27,24.00,24.20,22511
17-Apr-13,24.23,24.25,23.90,24.05,19210
16-Apr-13,24.44,24.53,24.02,24.24,28375
15-Apr-13,24.91,24.99,24.20,24.21,57620
12-Apr-13,24.93,24.94,24.73,24.91,24680
11-Apr-13,24.79,25.06,24.64,24.96,64839
10-Apr-13,24.30,24.67,24.30,24.67,61789
9-Apr-13,24.15,24.33,24.05,24.33,39533
8-Apr-13,24.00,24.14,23.95,24.09,54250
5-Apr-13,24.01,24.10,23.87,24.10,35944
4-Apr-13,24.25,24.41,24.17,24.26,30656
3-Apr-13,24.63,24.63,24.06,24.17,37165
2-Apr-13,24.48,24.53,24.37,24.48,24038
1-Apr-13,24.24,24.39,24.24,24.30,18120
28-Mar-13,24.52,24.55,24.19,24.29,125828
27-Mar-13,24.39,24.55,24.35,24.42,46285
26-Mar-13,24.70,24.84,24.41,24.58,102050
25-Mar-13,24.65,24.75,24.57,24.62,29172
22-Mar-13,24.46,24.70,24.46,24.57,17447
21-Mar-13,24.18,24.48,24.01,24.38,32057
20-Mar-13,24.41,24.45,24.07,24.35,32372
19-Mar-13,24.54,24.57,23.75,24.22,60161
18-Mar-13,24.28,24.59,24.23,24.55,22543
15-Mar-13,24.60,24.69,24.37,24.52,9399
14-Mar-13,24.67,24.75,24.50,24.51,14665
13-Mar-13,24.49,24.81,24.49,24.75,17897
12-Mar-13,24.71,24.76,24.48,24.61,35310
11-Mar-13,24.72,24.73,24.23,24.63,24659
8-Mar-13,24.41,24.64,24.41,24.64,14742
7-Mar-13,24.39,24.47,24.19,24.37,25705
6-Mar-13,24.61,24.66,24.25,24.30,32578
5-Mar-13,24.73,24.74,24.51,24.65,21787
4-Mar-13,24.44,24.65,24.36,24.65,17123
1-Mar-13,24.12,24.56,24.12,24.52,34342
28-Feb-13,24.38,24.58,23.87,24.05,54495
27-Feb-13,24.02,24.42,24.02,24.29,11844
26-Feb-13,24.18,24.24,24.02,24.13,16560
25-Feb-13,24.90,24.90,24.50,24.60,40132
22-Feb-13,24.69,24.80,24.61,24.79,26590
21-Feb-13,24.73,24.80,24.51,24.65,32023
20-Feb-13,25.04,25.04,24.66,24.88,32337
19-Feb-13,24.68,24.99,24.68,24.99,22293
15-Feb-13,24.90,24.90,24.66,24.75,48447
14-Feb-13,24.70,24.90,24.70,24.90,28086
13-Feb-13,24.80,24.88,24.72,24.82,35472
12-Feb-13,24.85,24.85,24.70,24.78,24740
11-Feb-13,24.75,24.89,24.56,24.89,10296
8-Feb-13,24.80,24.80,24.59,24.70,15565
7-Feb-13,24.73,24.81,24.51,24.72,16501
6-Feb-13,24.85,24.85,24.47,24.81,23790
5-Feb-13,24.90,24.91,24.58,24.91,21195
4-Feb-13,24.85,24.93,24.49,24.68,17680
1-Feb-13,24.65,24.99,24.65,24.93,35807
31-Jan-13,24.65,24.70,24.50,24.70,39482
30-Jan-13,24.59,24.68,24.46,24.60,41801
29-Jan-13,24.58,24.70,24.52,24.67,20635
28-Jan-13,24.41,24.52,24.30,24.51,29540
25-Jan-13,24.49,24.72,24.41,24.49,24730
24-Jan-13,24.49,24.49,24.38,24.39,26790
23-Jan-13,24.08,24.49,24.08,24.41,37639
22-Jan-13,24.07,24.32,24.03,24.27,33070
18-Jan-13,24.03,24.09,23.96,23.99,38716
17-Jan-13,23.80,24.00,23.75,23.98,111555
16-Jan-13,23.80,23.80,23.69,23.77,12185
15-Jan-13,23.70,23.80,23.50,23.78,19176
14-Jan-13,23.92,24.08,23.65,23.79,13855
11-Jan-13,24.07,24.07,23.74,23.84,14665
10-Jan-13,24.21,24.21,23.76,24.00,45939
9-Jan-13,23.80,24.13,23.74,24.02,15504
8-Jan-13,23.94,23.94,23.66,23.66,22072
7-Jan-13,23.39,23.94,23.39,23.94,12472
4-Jan-13,23.95,24.02,23.49,23.62,19988
3-Jan-13,23.46,23.82,23.30,23.71,8440
2-Jan-13,22.82,23.38,22.82,23.31,13721
31-Dec-12,22.39,22.86,22.25,22.69,34214
28-Dec-12,22.20,22.51,22.10,22.20,46035
27-Dec-12,22.50,22.50,22.32,22.35,23537
26-Dec-12,22.67,22.67,22.41,22.47,38228
24-Dec-12,22.80,22.93,22.46,22.55,25450
21-Dec-12,22.55,22.98,22.53,22.70,18300
20-Dec-12,22.35,22.63,22.34,22.57,31628
19-Dec-12,22.21,22.74,22.16,22.43,36625
18-Dec-12,22.09,22.30,22.02,22.24,60775
17-Dec-12,22.31,22.36,22.12,22.22,30933
14-Dec-12,22.30,22.49,22.24,22.40,8784
13-Dec-12,22.23,22.33,22.20,22.30,15153
