Date, Open, High, Low, Close, Volume
17-May-13,14.74,14.87,14.10,14.20,91172
16-May-13,14.66,15.50,14.66,14.97,55654
15-May-13,15.15,15.17,14.63,14.89,65104
14-May-13,15.66,15.83,15.19,15.38,98667
13-May-13,16.55,16.68,15.72,15.82,76178
10-May-13,16.04,16.71,15.35,16.62,112005
9-May-13,16.98,16.99,16.22,16.34,91146
8-May-13,16.15,17.04,16.15,16.98,81846
7-May-13,16.20,16.48,15.96,16.01,74120
6-May-13,16.85,16.90,16.33,16.39,122979
3-May-13,16.79,17.06,16.66,16.85,93893
2-May-13,17.02,17.03,16.12,16.59,177145
1-May-13,17.02,17.18,16.57,16.95,138364
30-Apr-13,17.00,17.40,16.70,17.36,140393
29-Apr-13,16.96,17.41,16.86,17.25,96466
26-Apr-13,17.85,17.85,16.57,16.74,195265
25-Apr-13,17.62,18.52,17.14,17.90,219001
24-Apr-13,15.97,17.53,15.95,17.43,158960
23-Apr-13,15.72,15.80,15.22,15.76,170443
22-Apr-13,15.46,15.92,15.32,15.85,203515
19-Apr-13,14.49,15.46,14.49,15.14,190493
18-Apr-13,13.96,14.96,13.76,14.37,165362
17-Apr-13,14.23,14.66,13.73,13.80,235062
16-Apr-13,15.12,15.31,14.26,14.34,178747
15-Apr-13,15.92,16.62,14.48,14.49,258495
12-Apr-13,17.58,17.85,16.81,17.04,196994
11-Apr-13,18.47,18.53,17.66,17.97,150682
10-Apr-13,18.84,19.04,18.12,18.44,70883
9-Apr-13,17.94,19.15,17.74,18.90,189210
8-Apr-13,18.21,18.74,17.78,18.01,85675
5-Apr-13,18.50,19.17,18.50,18.55,155888
4-Apr-13,17.28,19.28,16.98,18.55,298535
3-Apr-13,16.07,17.93,15.42,16.76,460458
2-Apr-13,17.05,17.12,15.97,16.19,102158
1-Apr-13,17.64,17.96,16.96,17.18,57918
28-Mar-13,16.92,17.62,16.90,17.59,81692
27-Mar-13,16.67,17.08,16.67,16.99,42721
26-Mar-13,17.01,17.01,16.33,16.64,41859
25-Mar-13,17.24,17.28,16.86,16.99,72596
22-Mar-13,17.28,17.44,17.01,17.16,64768
21-Mar-13,17.10,17.55,17.10,17.28,270174
20-Mar-13,16.96,17.22,16.88,17.07,56799
19-Mar-13,17.02,17.06,16.75,16.92,48745
18-Mar-13,16.80,17.06,16.60,17.02,51204
15-Mar-13,16.60,16.72,16.48,16.61,154539
