Date, Open, High, Low, Close, Volume
17-May-13,16.44,16.54,16.08,16.16,48071
16-May-13,16.43,16.61,16.23,16.38,56318
15-May-13,16.11,16.60,16.11,16.50,102124
14-May-13,15.72,16.20,15.72,16.19,58024
13-May-13,15.62,15.78,15.52,15.75,46781
10-May-13,15.35,15.80,15.34,15.68,46271
9-May-13,15.33,15.33,15.08,15.30,51529
8-May-13,14.95,15.39,14.82,15.39,100028
7-May-13,14.54,15.05,14.36,15.04,124554
6-May-13,14.58,14.68,14.44,14.50,52330
3-May-13,14.54,14.77,14.54,14.64,110605
2-May-13,14.28,14.47,14.14,14.46,136049
1-May-13,14.66,14.76,14.05,14.19,159432
30-Apr-13,14.86,14.98,14.54,14.65,2069714
29-Apr-13,14.74,14.81,14.48,14.69,393981
26-Apr-13,13.98,13.98,13.70,13.84,39506
25-Apr-13,14.04,14.07,13.73,14.00,100630
24-Apr-13,13.62,14.26,13.26,14.00,114023
23-Apr-13,13.71,13.85,13.33,13.67,98768
22-Apr-13,14.04,14.06,12.97,13.59,232533
19-Apr-13,14.89,15.10,13.92,13.94,129536
18-Apr-13,15.32,15.35,15.03,15.20,49186
17-Apr-13,15.44,15.53,14.94,15.26,59642
16-Apr-13,15.41,15.52,15.15,15.50,85783
15-Apr-13,15.32,15.49,15.00,15.35,90669
12-Apr-13,15.62,15.62,15.11,15.36,32339
11-Apr-13,15.48,15.70,15.41,15.70,61300
10-Apr-13,15.66,15.66,15.46,15.51,38248
9-Apr-13,15.69,15.77,15.37,15.58,34987
8-Apr-13,15.54,15.71,15.22,15.70,76441
5-Apr-13,15.14,15.52,15.07,15.47,56172
4-Apr-13,15.74,15.79,15.25,15.41,98257
3-Apr-13,16.00,16.04,15.64,15.68,75830
2-Apr-13,16.03,16.06,15.89,16.00,73184
1-Apr-13,16.00,16.00,15.32,15.95,88769
28-Mar-13,15.98,16.04,15.79,15.99,112007
27-Mar-13,15.80,15.89,15.50,15.89,44428
26-Mar-13,16.23,16.23,15.69,15.83,68185
25-Mar-13,16.00,16.15,15.93,16.15,60569
22-Mar-13,15.97,16.03,15.65,15.96,39926
21-Mar-13,15.98,16.17,15.76,15.88,39348
20-Mar-13,16.05,16.10,15.73,16.09,42402
19-Mar-13,16.05,16.11,15.80,15.94,57062
18-Mar-13,16.10,16.21,15.83,15.98,91479
15-Mar-13,16.31,16.31,15.93,16.17,192290
14-Mar-13,16.33,16.46,16.14,16.27,120866
13-Mar-13,16.23,16.44,16.20,16.30,79709
12-Mar-13,16.60,16.66,16.22,16.26,49137
11-Mar-13,17.01,17.13,16.58,16.61,153831
8-Mar-13,17.39,17.39,16.97,17.09,41626
7-Mar-13,17.19,17.29,16.77,17.25,29254
6-Mar-13,16.82,17.27,16.51,17.24,65533
5-Mar-13,16.91,16.98,16.76,16.83,35576
4-Mar-13,16.60,16.88,16.60,16.87,88026
1-Mar-13,16.38,16.67,16.28,16.66,99344
28-Feb-13,16.59,16.59,16.21,16.53,62902
27-Feb-13,16.52,16.74,16.52,16.57,45234
26-Feb-13,16.70,16.80,16.50,16.60,74848
25-Feb-13,17.19,17.25,16.66,16.66,72574
22-Feb-13,16.93,17.16,16.78,17.10,68940
21-Feb-13,17.31,17.36,16.70,16.82,54192
20-Feb-13,17.41,17.63,17.28,17.28,206924
19-Feb-13,17.16,17.51,16.99,17.35,150280
15-Feb-13,17.01,17.10,16.61,17.10,79294
14-Feb-13,16.88,16.99,16.66,16.92,49553
13-Feb-13,17.18,17.20,16.85,16.88,83472
12-Feb-13,17.28,17.60,17.09,17.11,32303
11-Feb-13,17.25,17.44,17.19,17.23,28791
