Date, Open, High, Low, Close, Volume
17-May-13,26.95,27.15,26.88,26.97,11166
16-May-13,26.99,27.38,26.95,26.99,9929
15-May-13,26.87,26.93,26.85,26.93,14702
14-May-13,26.89,26.89,26.60,26.88,10785
13-May-13,26.99,26.99,26.62,26.84,3071
10-May-13,26.85,27.00,26.69,26.92,7804
9-May-13,26.97,27.30,26.85,27.05,5935
8-May-13,27.00,27.00,26.64,27.00,8351
7-May-13,27.00,27.00,26.66,27.00,20344
6-May-13,26.86,26.97,26.81,26.97,5030
3-May-13,26.73,27.00,26.53,27.00,23341
2-May-13,26.63,26.95,26.55,26.55,11070
1-May-13,26.41,26.75,26.41,26.67,5835
30-Apr-13,26.32,26.48,26.32,26.44,25962
29-Apr-13,26.44,26.45,26.40,26.42,8031
26-Apr-13,26.01,26.45,26.00,26.39,36962
25-Apr-13,26.27,26.45,26.27,26.40,58753
24-Apr-13,26.32,26.34,26.27,26.34,31609
23-Apr-13,26.20,26.26,26.17,26.25,36818
22-Apr-13,26.25,26.28,26.04,26.21,34100
19-Apr-13,26.00,26.20,26.00,26.20,18125
18-Apr-13,26.10,26.20,26.01,26.01,13161
17-Apr-13,26.19,26.32,26.06,26.11,9409
16-Apr-13,26.33,26.37,25.63,26.23,62418
15-Apr-13,26.28,26.28,26.16,26.16,16900
12-Apr-13,26.40,26.40,26.30,26.33,12368
11-Apr-13,26.34,26.35,26.22,26.35,9151
10-Apr-13,26.33,26.37,26.31,26.31,7383
9-Apr-13,26.20,26.35,26.20,26.35,15257
8-Apr-13,26.07,26.28,26.07,26.24,12197
5-Apr-13,26.09,26.10,26.00,26.08,9495
4-Apr-13,26.10,26.12,26.00,26.11,5000
3-Apr-13,26.09,26.17,26.05,26.09,16317
2-Apr-13,26.14,26.14,26.04,26.04,7650
1-Apr-13,26.15,26.15,25.99,26.08,11570
28-Mar-13,26.05,26.10,26.00,26.09,17360
27-Mar-13,25.95,26.10,25.95,26.00,32049
26-Mar-13,26.17,26.17,25.90,26.02,7788
25-Mar-13,25.98,26.43,25.90,26.09,28621
22-Mar-13,25.69,25.95,25.69,25.90,15539
21-Mar-13,25.64,25.74,25.58,25.59,66206
20-Mar-13,25.67,25.67,25.60,25.62,23426
19-Mar-13,25.51,25.60,25.51,25.60,12776
18-Mar-13,25.60,25.60,25.59,25.60,12436
15-Mar-13,25.70,25.70,25.55,25.60,14200
14-Mar-13,25.55,25.59,25.55,25.55,13803
13-Mar-13,25.79,25.79,25.52,25.55,10154
12-Mar-13,25.65,25.65,25.54,25.55,62137
11-Mar-13,25.58,25.60,25.53,25.55,20250
8-Mar-13,25.65,25.65,25.55,25.55,21206
7-Mar-13,25.54,25.55,25.49,25.55,14820
6-Mar-13,25.54,25.55,25.48,25.53,28224
5-Mar-13,25.65,25.65,25.47,25.50,33814
4-Mar-13,25.65,25.65,25.52,25.55,12120
1-Mar-13,25.65,25.65,25.51,25.55,17132
28-Feb-13,25.54,25.55,25.48,25.54,36987
27-Feb-13,25.55,25.55,25.53,25.55,9100
26-Feb-13,25.55,25.55,25.51,25.55,47505
25-Feb-13,25.65,25.65,25.47,25.54,35315
