Date, Open, High, Low, Close, Volume
17-May-13,29.20,29.31,28.90,29.09,153925
16-May-13,29.02,29.20,28.75,28.88,161236
15-May-13,29.99,29.99,29.01,29.16,181834
14-May-13,28.56,29.15,28.55,29.13,257084
13-May-13,28.37,28.55,28.21,28.52,158868
10-May-13,28.28,28.54,28.06,28.48,307562
9-May-13,29.55,29.70,28.11,28.21,764518
8-May-13,29.75,29.92,29.40,29.71,340720
7-May-13,29.36,29.87,29.18,29.66,461061
6-May-13,27.93,29.39,27.85,29.06,886264
3-May-13,27.96,28.31,27.66,27.83,194227
2-May-13,27.08,27.74,27.00,27.49,130053
1-May-13,27.92,27.92,26.97,26.98,269145
30-Apr-13,27.64,28.06,27.61,27.97,162696
29-Apr-13,27.16,27.78,27.16,27.65,140176
26-Apr-13,27.18,27.35,27.05,27.16,143324
25-Apr-13,27.38,27.39,27.14,27.21,152975
24-Apr-13,27.29,27.50,26.98,27.22,165890
23-Apr-13,27.20,27.31,26.93,27.27,201004
22-Apr-13,26.49,26.93,26.20,26.84,239396
19-Apr-13,26.13,26.57,26.08,26.49,149003
18-Apr-13,26.32,26.55,25.86,26.06,232279
17-Apr-13,26.78,26.85,26.02,26.25,220871
16-Apr-13,26.82,27.04,26.51,26.87,212720
15-Apr-13,27.26,27.26,26.00,26.29,497660
12-Apr-13,27.28,27.38,27.03,27.19,183178
11-Apr-13,27.94,27.95,27.25,27.35,322280
10-Apr-13,27.64,28.07,27.58,27.94,313951
9-Apr-13,28.04,28.04,27.49,27.51,139034
8-Apr-13,27.53,27.83,27.37,27.80,150852
5-Apr-13,27.41,27.69,27.12,27.60,187419
4-Apr-13,27.43,27.96,27.43,27.87,281576
3-Apr-13,27.57,27.69,26.91,26.94,303494
2-Apr-13,27.51,27.82,27.35,27.57,214734
1-Apr-13,27.95,28.11,27.00,27.38,373150
28-Mar-13,28.01,28.20,27.86,27.99,224615
27-Mar-13,27.78,27.99,27.70,27.89,153204
26-Mar-13,27.75,27.94,27.54,27.94,198734
25-Mar-13,28.21,28.48,27.52,27.72,240580
22-Mar-13,27.99,28.27,27.85,28.19,189933
21-Mar-13,28.12,28.36,27.85,27.96,153662
20-Mar-13,28.03,28.45,28.00,28.09,186441
19-Mar-13,28.45,28.76,27.67,27.89,440009
18-Mar-13,28.46,28.89,28.23,28.48,256746
15-Mar-13,29.33,29.33,28.61,28.71,292592
14-Mar-13,29.14,29.49,29.08,29.30,126408
13-Mar-13,28.67,29.08,28.64,29.00,158727
12-Mar-13,29.19,29.19,28.59,28.70,351541
11-Mar-13,29.65,29.65,29.00,29.29,308219
8-Mar-13,30.10,30.10,29.70,29.96,325728
7-Mar-13,30.43,30.43,29.70,29.84,321921
6-Mar-13,30.50,30.70,29.95,30.13,216349
5-Mar-13,30.18,30.67,29.90,30.25,298914
4-Mar-13,29.68,30.09,29.68,29.80,445008
1-Mar-13,29.86,29.86,28.81,29.71,448186
28-Feb-13,30.02,30.70,29.91,30.20,256538
27-Feb-13,29.35,30.14,29.27,29.85,216655
26-Feb-13,29.26,29.64,29.25,29.42,165749
25-Feb-13,29.82,30.00,29.12,29.15,217219
22-Feb-13,28.88,29.70,28.75,29.53,212252
21-Feb-13,29.13,29.13,28.06,28.63,452073
20-Feb-13,29.50,29.55,29.17,29.17,269673
19-Feb-13,29.26,29.69,29.19,29.39,347052
15-Feb-13,28.92,29.09,28.63,29.07,168982
14-Feb-13,28.48,29.00,28.34,28.74,188982
13-Feb-13,28.78,28.84,28.43,28.66,206639
12-Feb-13,28.60,28.90,28.33,28.77,166118
11-Feb-13,28.64,28.82,28.26,28.61,177958
8-Feb-13,28.45,28.90,28.38,28.70,208455
7-Feb-13,28.55,28.63,28.05,28.31,292848
6-Feb-13,28.97,29.36,28.41,28.47,329541
5-Feb-13,28.06,28.99,27.88,28.85,586302
4-Feb-13,28.12,28.16,27.67,27.82,724465
1-Feb-13,27.40,27.77,27.20,27.56,221501
31-Jan-13,27.14,27.35,26.93,27.24,292979
30-Jan-13,26.21,27.03,26.20,27.03,331280
29-Jan-13,26.10,26.29,26.10,26.16,154939
28-Jan-13,26.10,26.20,25.89,26.09,202424
25-Jan-13,26.35,26.35,25.98,26.15,199234
24-Jan-13,26.46,26.66,26.16,26.21,130107
23-Jan-13,26.62,26.65,26.37,26.42,139779
22-Jan-13,26.53,26.61,26.45,26.60,211174
18-Jan-13,26.36,26.49,26.28,26.49,121367
17-Jan-13,26.26,26.40,26.19,26.36,183347
16-Jan-13,26.14,26.33,26.08,26.09,147935
15-Jan-13,26.06,26.17,25.89,26.13,170955
14-Jan-13,26.34,26.53,26.10,26.12,184149
11-Jan-13,26.54,26.54,26.22,26.43,120163
10-Jan-13,26.59,26.64,26.28,26.52,130431
9-Jan-13,26.10,26.46,25.99,26.43,130965
8-Jan-13,26.12,26.28,26.00,26.10,193707
7-Jan-13,26.54,26.59,26.05,26.29,194108
4-Jan-13,26.22,26.70,26.20,26.56,216157
3-Jan-13,26.37,26.45,26.01,26.15,260818
2-Jan-13,25.88,26.84,25.86,26.58,483412
31-Dec-12,24.46,25.50,24.46,25.49,263399
28-Dec-12,24.33,24.81,24.26,24.52,137063
27-Dec-12,24.60,24.88,24.20,24.50,215448
26-Dec-12,24.78,24.97,24.54,24.60,118523
24-Dec-12,24.54,24.66,24.37,24.62,104790
21-Dec-12,24.59,24.99,24.53,24.54,349281
20-Dec-12,25.22,25.60,24.91,25.06,387425
19-Dec-12,25.50,25.54,25.00,25.06,170066
18-Dec-12,24.84,25.54,24.68,25.50,209239
17-Dec-12,24.26,24.86,24.18,24.86,166966
14-Dec-12,24.23,24.43,24.00,24.25,202094
