Date, Open, High, Low, Close, Volume
17-May-13,6.39,6.59,6.24,6.59,16320
16-May-13,7.26,7.26,6.15,6.44,26469
15-May-13,7.62,7.89,7.31,7.31,17632
14-May-13,8.79,10.21,7.41,7.58,82789
13-May-13,7.85,8.94,7.85,8.94,24386
10-May-13,6.77,7.76,6.77,7.60,13581
9-May-13,6.86,6.92,6.80,6.80,345
8-May-13,6.90,6.90,6.85,6.85,1682
7-May-13,6.95,7.00,6.90,6.91,2177
6-May-13,6.69,6.93,6.69,6.93,2685
3-May-13,6.65,6.65,6.65,6.65,400
2-May-13,6.49,6.55,6.40,6.42,4848
1-May-13,6.57,6.65,6.55,6.55,1322
30-Apr-13,6.47,6.70,6.45,6.70,6160
29-Apr-13,6.08,6.57,6.00,6.45,10045
26-Apr-13,5.97,6.18,5.97,6.16,2325
25-Apr-13,5.69,5.93,5.69,5.89,3700
24-Apr-13,5.70,5.70,5.65,5.65,434
23-Apr-13,5.58,5.65,5.58,5.65,1350
22-Apr-13,5.59,5.62,5.51,5.62,1650
19-Apr-13,5.52,5.52,5.51,5.51,3974
18-Apr-13,-,-,-,5.60,0
17-Apr-13,5.70,5.72,5.36,5.60,3239
16-Apr-13,5.80,5.80,5.75,5.75,700
15-Apr-13,5.60,5.65,5.55,5.65,2735
12-Apr-13,5.65,5.65,5.60,5.60,600
11-Apr-13,5.38,5.63,5.38,5.60,4835
10-Apr-13,5.25,5.43,5.25,5.40,5857
9-Apr-13,5.43,5.43,5.36,5.36,1721
8-Apr-13,-,-,-,5.44,0
5-Apr-13,5.40,5.44,5.40,5.44,200
4-Apr-13,-,-,-,5.35,0
3-Apr-13,5.35,5.35,5.25,5.35,4775
2-Apr-13,5.56,5.56,5.56,5.56,300
1-Apr-13,5.41,5.55,5.41,5.52,1247
28-Mar-13,5.44,5.45,5.27,5.37,5024
27-Mar-13,5.65,5.65,5.47,5.53,2890
26-Mar-13,-,-,-,5.58,0
25-Mar-13,5.57,5.58,5.57,5.58,200
22-Mar-13,5.67,5.67,5.48,5.48,4001
21-Mar-13,5.71,5.71,5.71,5.71,100
20-Mar-13,5.75,5.75,5.75,5.75,100
19-Mar-13,-,-,-,5.78,0
18-Mar-13,5.61,5.78,5.55,5.78,2643
15-Mar-13,-,-,-,5.69,0
14-Mar-13,5.69,5.69,5.69,5.69,400
13-Mar-13,5.60,5.60,5.60,5.60,120
12-Mar-13,5.57,5.57,5.57,5.57,823
11-Mar-13,5.58,5.61,5.58,5.61,400
8-Mar-13,5.33,5.52,5.33,5.52,1100
7-Mar-13,5.41,5.41,5.40,5.40,600
6-Mar-13,5.35,5.41,5.35,5.41,700
5-Mar-13,5.31,5.31,5.31,5.31,100
4-Mar-13,5.21,5.34,5.21,5.34,1751
1-Mar-13,5.15,5.21,5.15,5.21,568
28-Feb-13,5.00,5.16,5.00,5.00,600
