Date, Open, High, Low, Close, Volume
17-May-13,8.16,8.20,8.01,8.05,30647
16-May-13,8.36,8.36,8.21,8.27,32045
15-May-13,8.56,8.60,8.49,8.57,141003
14-May-13,8.55,8.58,8.45,8.50,69823
13-May-13,8.65,8.65,8.37,8.47,18547
10-May-13,8.60,8.75,8.49,8.70,63184
9-May-13,8.44,8.44,8.03,8.27,87598
8-May-13,8.12,8.48,8.12,8.45,76368
7-May-13,8.34,8.43,8.34,8.37,30375
6-May-13,8.38,8.43,8.31,8.37,19885
3-May-13,8.42,8.50,8.36,8.43,30003
2-May-13,8.45,8.45,8.27,8.38,8983
1-May-13,8.31,8.37,8.28,8.36,24041
30-Apr-13,8.34,8.44,8.28,8.44,47312
29-Apr-13,8.32,8.37,8.24,8.31,28513
26-Apr-13,8.23,8.31,8.18,8.18,4800
25-Apr-13,8.24,8.34,8.24,8.25,10201
24-Apr-13,8.21,8.25,8.19,8.24,12286
23-Apr-13,8.19,8.25,8.16,8.22,14331
22-Apr-13,8.30,8.35,8.01,8.27,142724
19-Apr-13,8.28,8.30,8.22,8.25,13100
18-Apr-13,8.27,8.30,8.19,8.25,8814
17-Apr-13,8.30,8.36,8.17,8.31,13650
16-Apr-13,8.20,8.28,8.18,8.26,32208
15-Apr-13,8.15,8.15,7.97,7.97,9975
12-Apr-13,8.32,8.32,8.14,8.26,8200
11-Apr-13,8.30,8.38,8.26,8.30,9010
10-Apr-13,8.17,8.30,8.17,8.27,16075
9-Apr-13,8.12,8.18,8.03,8.11,37882
8-Apr-13,8.13,8.19,8.11,8.16,19752
5-Apr-13,8.15,8.17,8.01,8.16,12732
4-Apr-13,8.18,8.23,8.06,8.16,15502
3-Apr-13,8.27,8.27,8.18,8.21,22551
2-Apr-13,8.27,8.33,8.27,8.31,43992
1-Apr-13,8.24,8.24,8.01,8.07,25903
28-Mar-13,8.44,8.44,8.22,8.22,30661
27-Mar-13,7.74,7.83,7.72,7.81,13852
26-Mar-13,7.81,7.87,7.75,7.81,36235
25-Mar-13,7.80,7.80,7.68,7.68,22353
22-Mar-13,7.85,7.89,7.75,7.88,20719
21-Mar-13,7.95,7.95,7.83,7.83,12475
20-Mar-13,8.04,8.06,7.98,8.05,13567
19-Mar-13,8.22,8.27,8.00,8.01,36875
18-Mar-13,8.25,8.37,8.25,8.27,34153
15-Mar-13,8.42,8.44,8.25,8.25,36572
14-Mar-13,8.55,8.61,8.52,8.59,34169
13-Mar-13,8.56,8.62,8.54,8.62,41948
12-Mar-13,8.54,8.56,8.43,8.47,5100
11-Mar-13,8.50,8.54,8.42,8.54,40806
8-Mar-13,8.44,8.50,8.43,8.50,49751
7-Mar-13,8.46,8.52,8.41,8.46,22272
6-Mar-13,8.42,8.49,8.33,8.49,94437
5-Mar-13,8.19,8.30,8.19,8.21,11722
4-Mar-13,8.12,8.17,8.05,8.16,42668
1-Mar-13,8.11,8.14,8.01,8.09,69126
28-Feb-13,8.01,8.19,8.01,8.16,114051
27-Feb-13,8.18,8.23,8.08,8.17,49596
26-Feb-13,8.06,8.12,8.01,8.03,25539
25-Feb-13,8.21,8.21,8.05,8.05,23754
22-Feb-13,8.28,8.28,8.19,8.26,48635
21-Feb-13,8.21,8.21,8.08,8.14,25227
20-Feb-13,8.52,8.52,8.29,8.30,46051
19-Feb-13,8.37,8.47,8.37,8.47,76710
15-Feb-13,8.22,8.22,8.10,8.11,38491
14-Feb-13,8.20,8.24,8.20,8.21,23073
13-Feb-13,8.36,8.36,8.21,8.23,7319
12-Feb-13,8.40,8.43,8.32,8.40,39932
11-Feb-13,8.27,8.35,8.26,8.26,40521
8-Feb-13,8.42,8.42,8.29,8.32,15786
7-Feb-13,8.38,8.43,8.25,8.43,51785
6-Feb-13,8.53,8.53,8.42,8.48,29143
5-Feb-13,8.54,8.55,8.44,8.51,38888
4-Feb-13,8.54,8.58,8.41,8.43,35220
1-Feb-13,8.60,8.67,8.57,8.60,38531
31-Jan-13,8.70,8.73,8.64,8.68,9089
30-Jan-13,8.51,8.69,8.50,8.69,43807
29-Jan-13,8.48,8.49,8.40,8.48,24718
28-Jan-13,8.70,8.70,8.51,8.51,13056
25-Jan-13,8.82,8.83,8.62,8.71,18482
24-Jan-13,8.67,9.01,8.67,8.82,42382
23-Jan-13,8.95,9.02,8.91,9.01,30693
22-Jan-13,8.92,8.98,8.91,8.94,14961
18-Jan-13,8.85,8.87,8.77,8.82,29899
17-Jan-13,8.90,8.98,8.88,8.96,28325
16-Jan-13,8.76,8.78,8.70,8.71,15737
15-Jan-13,8.94,8.96,8.80,8.91,74991
14-Jan-13,8.87,8.90,8.74,8.90,17417
