Date, Open, High, Low, Close, Volume
17-May-13,79.83,80.68,79.50,80.48,1196161
16-May-13,80.74,81.64,80.59,80.85,485186
15-May-13,81.16,81.35,80.14,80.81,923743
14-May-13,81.40,81.83,81.09,81.26,615797
13-May-13,82.55,82.62,81.57,82.06,405221
10-May-13,81.98,82.49,81.84,82.37,447905
9-May-13,83.20,83.31,82.07,82.26,460950
8-May-13,82.76,83.53,82.59,83.16,337954
7-May-13,82.48,82.98,82.41,82.66,303967
6-May-13,82.25,82.77,82.04,82.29,334618
3-May-13,82.42,82.71,82.08,82.12,313846
2-May-13,81.42,82.33,81.22,82.20,814031
1-May-13,81.91,82.12,80.98,81.45,567343
30-Apr-13,81.05,82.15,80.36,81.90,836211
29-Apr-13,80.14,81.28,79.95,81.08,453682
26-Apr-13,79.53,79.99,79.28,79.78,272714
25-Apr-13,79.88,80.00,79.24,79.72,340709
24-Apr-13,78.85,79.50,78.40,79.45,402583
23-Apr-13,78.83,79.21,78.41,78.78,492988
22-Apr-13,78.58,79.02,78.10,78.49,443498
19-Apr-13,78.03,78.49,77.81,78.46,435677
18-Apr-13,79.06,79.06,77.51,78.02,568822
17-Apr-13,78.93,79.15,77.83,78.70,689218
16-Apr-13,78.83,79.68,78.43,79.61,639746
15-Apr-13,79.87,79.87,78.10,78.13,749120
12-Apr-13,80.77,80.79,80.01,80.36,464041
11-Apr-13,81.19,81.44,80.79,81.03,457776
10-Apr-13,80.23,81.15,80.09,80.88,498611
9-Apr-13,79.77,80.68,79.28,79.83,520683
8-Apr-13,79.55,79.75,78.65,79.40,627767
5-Apr-13,79.64,79.85,78.28,79.59,876419
4-Apr-13,82.09,82.41,80.69,81.00,1089172
3-Apr-13,83.24,83.29,81.82,82.24,792320
2-Apr-13,82.84,83.20,82.66,83.20,399341
1-Apr-13,82.41,82.71,82.21,82.47,465503
28-Mar-13,82.64,83.46,82.21,83.27,632301
27-Mar-13,82.91,82.99,82.30,82.59,348507
26-Mar-13,83.00,83.10,82.47,83.06,457271
25-Mar-13,82.79,82.94,82.07,82.54,598640
22-Mar-13,81.71,82.46,81.42,82.09,466003
21-Mar-13,82.24,82.26,81.20,81.70,485115
20-Mar-13,82.34,82.58,81.75,82.11,338760
19-Mar-13,82.48,82.82,81.97,82.25,359716
18-Mar-13,82.70,83.21,82.43,82.56,419154
15-Mar-13,82.97,83.44,82.60,83.41,429638
14-Mar-13,82.34,83.03,81.69,82.87,542995
13-Mar-13,82.74,82.89,81.71,82.04,384790
12-Mar-13,83.10,83.22,82.45,82.74,349754
11-Mar-13,82.63,83.21,82.63,83.13,288100
8-Mar-13,83.66,83.72,82.40,82.81,398745
7-Mar-13,82.99,83.16,82.79,83.00,775689
6-Mar-13,83.50,83.71,82.48,82.66,673053
5-Mar-13,83.26,83.49,83.00,83.12,523901
4-Mar-13,82.51,83.18,82.43,82.76,404276
1-Mar-13,82.36,83.21,81.93,82.78,404790
28-Feb-13,82.05,82.74,81.45,82.29,751899
27-Feb-13,81.88,82.38,81.45,82.34,488747
26-Feb-13,82.06,82.34,81.71,81.99,508012
25-Feb-13,82.62,84.05,81.81,81.86,722179
22-Feb-13,82.26,82.76,82.05,82.64,328320
21-Feb-13,82.50,82.95,81.99,82.54,452757
20-Feb-13,82.65,83.14,82.47,82.71,474842
19-Feb-13,81.98,82.89,81.91,82.89,522398
15-Feb-13,82.66,82.86,82.08,82.32,701374
14-Feb-13,83.22,83.31,82.78,83.10,315131
13-Feb-13,83.18,83.24,82.86,83.20,309059
12-Feb-13,82.81,83.43,82.62,82.99,419748
11-Feb-13,82.94,83.23,82.71,82.87,335083
8-Feb-13,82.84,83.41,82.75,83.18,311888
7-Feb-13,83.26,83.52,82.75,83.05,278748
6-Feb-13,82.97,83.49,82.77,83.37,380479
5-Feb-13,83.05,83.38,82.79,83.19,467340
4-Feb-13,83.42,83.49,82.75,83.08,419652
1-Feb-13,83.66,83.80,83.32,83.79,445141
31-Jan-13,83.17,83.82,82.88,83.54,444143
30-Jan-13,83.32,83.37,82.87,83.23,336666
29-Jan-13,83.27,83.68,83.12,83.41,270227
28-Jan-13,83.22,83.67,82.87,83.23,449292
25-Jan-13,83.29,83.35,82.61,83.04,450670
24-Jan-13,83.12,83.53,82.97,83.42,351527
23-Jan-13,84.02,84.22,82.95,83.26,426093
22-Jan-13,84.03,84.11,83.60,84.11,282815
18-Jan-13,83.71,83.87,83.43,83.73,343690
17-Jan-13,83.27,84.24,83.22,83.87,371815
16-Jan-13,82.94,83.20,82.76,83.05,275303
15-Jan-13,82.82,83.38,82.72,83.35,449394
14-Jan-13,83.13,83.24,82.60,83.22,327680
11-Jan-13,83.69,83.70,82.73,83.11,373554
10-Jan-13,83.76,83.83,83.26,83.34,466559
9-Jan-13,83.62,84.02,83.12,83.37,464657
8-Jan-13,83.67,83.87,82.92,83.76,1139972
7-Jan-13,83.85,83.88,83.12,83.74,505052
4-Jan-13,83.67,84.07,83.59,83.91,478511
3-Jan-13,84.46,84.50,83.25,83.46,711716
2-Jan-13,85.42,85.49,83.85,84.40,749738
31-Dec-12,83.40,84.48,83.37,84.33,702242
28-Dec-12,83.50,83.75,83.35,83.50,389642
27-Dec-12,84.07,84.44,83.10,83.76,534748
26-Dec-12,84.57,84.67,83.78,84.04,259938
24-Dec-12,84.39,84.94,84.16,84.51,314919
21-Dec-12,83.86,84.39,83.19,84.30,740902
20-Dec-12,84.08,84.35,83.63,84.21,562606
19-Dec-12,83.46,84.32,83.27,84.02,582565
18-Dec-12,82.64,83.45,82.46,83.37,932175
17-Dec-12,82.23,82.68,82.10,82.51,715243
14-Dec-12,82.27,82.45,81.98,82.08,434366
13-Dec-12,82.50,82.54,81.98,82.29,335137
12-Dec-12,81.66,82.78,81.66,82.30,839620
11-Dec-12,81.52,81.91,81.32,81.66,637821
10-Dec-12,81.56,81.60,80.91,81.30,574951
7-Dec-12,82.04,82.17,80.61,81.10,642121
6-Dec-12,83.00,83.01,81.38,81.87,780229
5-Dec-12,83.41,83.81,83.12,83.22,429110
4-Dec-12,83.37,83.64,82.92,83.17,390892
3-Dec-12,83.53,83.59,83.09,83.33,320639
30-Nov-12,83.18,83.52,82.88,83.08,850251
