Date, Open, High, Low, Close, Volume
17-May-13,0.83,0.84,0.75,0.78,237489
16-May-13,0.83,0.88,0.83,0.84,151784
15-May-13,0.90,0.91,0.83,0.84,242460
14-May-13,0.94,0.95,0.90,0.92,75490
13-May-13,0.93,1.00,0.91,0.95,162983
10-May-13,0.90,0.95,0.87,0.93,149300
9-May-13,0.90,0.95,0.90,0.93,116497
8-May-13,0.95,1.00,0.92,0.92,170528
7-May-13,0.95,0.97,0.90,0.92,130610
6-May-13,0.98,1.01,0.95,0.96,125136
3-May-13,0.96,1.01,0.96,0.97,122859
2-May-13,1.00,1.02,0.96,0.96,100005
1-May-13,0.98,1.01,0.97,1.01,98151
30-Apr-13,1.02,1.04,0.98,0.99,258480
29-Apr-13,1.07,1.08,0.99,0.99,126653
26-Apr-13,1.04,1.05,1.00,1.05,151424
25-Apr-13,0.99,1.06,0.97,1.04,400176
24-Apr-13,0.97,0.98,0.88,0.97,380585
23-Apr-13,0.97,1.00,0.95,0.97,196409
22-Apr-13,0.99,1.07,0.96,0.97,119464
19-Apr-13,1.00,1.00,0.94,0.96,251499
18-Apr-13,0.99,1.01,0.91,1.01,203105
17-Apr-13,1.04,1.07,0.93,0.98,390463
16-Apr-13,1.09,1.10,1.00,1.05,286786
15-Apr-13,1.05,1.09,0.99,1.05,508833
12-Apr-13,1.26,1.31,1.18,1.22,339027
11-Apr-13,1.34,1.36,1.29,1.31,150922
10-Apr-13,1.39,1.41,1.32,1.32,140529
9-Apr-13,1.40,1.43,1.36,1.38,129405
8-Apr-13,1.41,1.42,1.36,1.36,80742
5-Apr-13,1.35,1.44,1.35,1.38,141193
4-Apr-13,1.29,1.38,1.22,1.31,296042
3-Apr-13,1.42,1.43,1.28,1.30,302137
2-Apr-13,1.46,1.46,1.41,1.42,228384
1-Apr-13,1.50,1.55,1.46,1.46,127735
28-Mar-13,1.51,1.59,1.46,1.52,335614
27-Mar-13,1.54,1.64,1.51,1.51,245209
26-Mar-13,1.53,1.58,1.52,1.55,109948
25-Mar-13,1.59,1.63,1.54,1.54,171201
22-Mar-13,1.53,1.67,1.53,1.62,441005
21-Mar-13,1.50,1.57,1.43,1.54,420891
20-Mar-13,1.47,1.58,1.47,1.50,354739
19-Mar-13,1.43,1.49,1.42,1.47,229648
18-Mar-13,1.44,1.50,1.43,1.45,306009
15-Mar-13,1.40,1.48,1.40,1.46,1410518
14-Mar-13,1.42,1.45,1.39,1.41,288415
13-Mar-13,1.40,1.50,1.38,1.41,307839
12-Mar-13,1.41,1.49,1.38,1.40,307565
11-Mar-13,1.40,1.46,1.39,1.42,400310
8-Mar-13,1.39,1.45,1.37,1.39,204734
7-Mar-13,1.41,1.45,1.31,1.42,230210
6-Mar-13,1.40,1.44,1.31,1.41,712611
5-Mar-13,1.53,1.55,1.42,1.43,286039
4-Mar-13,1.59,1.60,1.50,1.50,219670
1-Mar-13,1.63,1.64,1.53,1.59,153406
28-Feb-13,1.69,1.71,1.62,1.63,192745
27-Feb-13,1.70,1.71,1.61,1.69,242116
26-Feb-13,1.69,1.74,1.69,1.71,173867
25-Feb-13,1.69,1.72,1.67,1.67,489403
22-Feb-13,1.64,1.69,1.63,1.67,174942
21-Feb-13,1.70,1.73,1.66,1.67,210343
20-Feb-13,1.78,1.78,1.67,1.70,210778
19-Feb-13,1.87,1.89,1.78,1.82,226030
15-Feb-13,1.98,2.02,1.86,1.89,344116
14-Feb-13,2.00,2.10,1.98,2.01,138751
13-Feb-13,2.10,2.14,2.01,2.01,127284
12-Feb-13,2.10,2.16,2.10,2.10,66514
