Date, Open, High, Low, Close, Volume
17-May-13,19.27,19.49,19.08,19.40,199218
16-May-13,19.37,19.57,19.16,19.23,159453
15-May-13,19.48,19.60,19.20,19.49,318108
14-May-13,19.05,19.63,19.05,19.48,374775
13-May-13,19.31,19.40,18.79,19.02,191075
10-May-13,18.98,19.46,18.90,19.40,183961
9-May-13,19.07,19.19,18.93,18.95,232219
8-May-13,19.08,19.18,18.73,19.05,410473
7-May-13,19.34,19.50,19.00,19.14,147597
6-May-13,19.00,19.35,18.96,19.28,223104
3-May-13,19.18,19.38,18.98,19.05,252220
2-May-13,18.91,19.19,18.87,18.97,309455
1-May-13,19.48,19.50,18.82,18.89,207516
30-Apr-13,19.58,19.86,19.52,19.60,217487
29-Apr-13,19.70,19.89,19.45,19.65,342507
26-Apr-13,19.93,20.07,19.63,19.69,141598
25-Apr-13,19.95,20.04,19.75,19.95,156438
24-Apr-13,19.26,19.95,19.26,19.94,198246
23-Apr-13,18.59,19.27,18.52,19.26,333680
22-Apr-13,18.83,19.47,17.99,18.43,498527
19-Apr-13,18.75,18.92,18.45,18.58,151070
18-Apr-13,19.35,19.41,18.43,18.75,505955
17-Apr-13,19.82,20.00,19.30,19.50,433794
16-Apr-13,20.14,20.58,19.94,20.01,251741
15-Apr-13,20.70,20.72,19.70,20.11,202698
12-Apr-13,20.88,20.95,20.71,20.78,123922
11-Apr-13,20.97,21.05,20.85,21.00,184869
10-Apr-13,21.13,21.16,20.85,20.93,226872
9-Apr-13,21.40,21.46,21.12,21.12,89840
8-Apr-13,21.52,21.52,20.60,21.33,333012
5-Apr-13,21.19,21.53,21.08,21.50,185244
4-Apr-13,21.36,21.55,20.99,21.52,96006
3-Apr-13,21.52,21.52,21.22,21.29,120605
2-Apr-13,22.15,22.15,21.40,21.48,203230
1-Apr-13,22.24,22.25,21.76,22.02,167811
28-Mar-13,22.04,22.39,21.80,22.21,126086
27-Mar-13,22.39,22.39,21.78,22.01,84537
26-Mar-13,21.95,22.66,21.92,22.41,138352
25-Mar-13,21.54,21.83,21.33,21.78,69883
22-Mar-13,22.03,22.03,21.29,21.42,212713
21-Mar-13,21.75,22.12,21.64,21.89,90716
20-Mar-13,22.17,22.23,21.71,21.87,126593
19-Mar-13,22.42,22.42,21.78,22.06,45311
18-Mar-13,22.20,22.53,22.20,22.31,191810
15-Mar-13,22.72,22.72,22.38,22.51,193265
14-Mar-13,22.07,22.78,21.91,22.69,213853
13-Mar-13,21.69,22.06,21.69,21.96,137786
