Date, Open, High, Low, Close, Volume
17-May-13,66.66,66.70,64.94,65.85,147655
16-May-13,66.04,67.18,65.88,66.26,97500
15-May-13,65.12,66.35,64.96,66.16,127841
14-May-13,64.28,65.34,64.11,65.29,118339
13-May-13,63.86,64.38,63.42,64.29,95675
10-May-13,63.94,64.53,63.30,63.92,201603
9-May-13,65.00,67.41,63.21,63.79,270763
8-May-13,63.72,64.00,62.74,63.94,269282
7-May-13,63.61,63.98,63.30,63.69,116910
6-May-13,64.29,64.40,63.52,63.61,113674
3-May-13,64.35,65.09,64.01,64.27,144194
2-May-13,63.31,64.20,63.25,63.70,168283
1-May-13,63.64,64.01,63.08,63.11,210884
30-Apr-13,63.92,64.01,63.13,63.71,201556
29-Apr-13,64.11,64.27,63.58,64.12,241671
26-Apr-13,64.34,64.70,63.88,64.00,109110
25-Apr-13,64.36,64.89,63.97,64.41,99758
24-Apr-13,66.03,66.42,64.27,64.41,120755
23-Apr-13,64.73,66.06,64.49,66.03,172818
22-Apr-13,63.60,64.88,62.53,64.41,182435
19-Apr-13,64.16,64.33,62.85,63.67,196488
18-Apr-13,63.86,64.80,63.50,64.18,221876
17-Apr-13,64.18,64.79,63.46,63.91,248989
16-Apr-13,62.54,64.74,62.07,64.44,330925
15-Apr-13,61.62,62.92,61.49,62.11,287512
12-Apr-13,61.54,62.02,61.52,61.75,128378
11-Apr-13,61.70,62.29,61.49,61.73,130090
10-Apr-13,61.16,61.85,60.90,61.72,203593
9-Apr-13,61.55,61.90,60.74,61.16,115323
8-Apr-13,61.67,61.88,61.24,61.51,68395
5-Apr-13,61.91,62.31,61.56,61.64,74932
4-Apr-13,62.49,62.90,62.10,62.52,73547
3-Apr-13,63.10,63.60,61.64,62.29,197251
2-Apr-13,63.30,64.12,62.91,63.12,168815
1-Apr-13,64.95,65.19,62.71,63.07,178760
28-Mar-13,64.50,65.39,64.16,65.15,157900
27-Mar-13,64.06,64.49,63.84,64.42,98315
26-Mar-13,64.02,64.36,63.80,64.30,145976
25-Mar-13,64.12,64.30,63.56,63.75,150928
22-Mar-13,63.18,64.24,63.00,64.20,226282
21-Mar-13,62.50,63.20,62.36,63.10,174880
20-Mar-13,62.46,62.94,61.97,62.79,190320
19-Mar-13,61.56,62.58,61.19,62.31,182661
18-Mar-13,60.82,61.64,60.81,61.52,150233
15-Mar-13,61.33,61.68,60.76,61.53,362062
14-Mar-13,58.59,61.18,58.45,61.15,332990
13-Mar-13,58.16,58.60,57.93,58.54,203205
12-Mar-13,58.04,58.34,57.73,58.15,97548
11-Mar-13,57.93,58.39,57.50,57.97,123978
8-Mar-13,58.35,58.54,57.63,58.22,147331
7-Mar-13,57.96,58.37,57.60,58.00,91343
6-Mar-13,58.31,58.66,57.88,57.98,100375
5-Mar-13,58.57,58.94,58.07,58.26,173987
4-Mar-13,58.79,59.00,58.07,58.51,88524
1-Mar-13,58.00,59.21,57.52,58.97,217990
28-Feb-13,58.76,58.76,57.62,58.39,152120
27-Feb-13,58.24,59.58,58.22,58.73,160900
26-Feb-13,57.79,58.56,57.79,58.20,213793
25-Feb-13,58.41,58.85,57.68,57.76,204612
22-Feb-13,58.63,58.95,58.38,58.70,311851
21-Feb-13,52.98,59.23,52.98,58.23,716855
20-Feb-13,53.31,53.85,52.88,52.88,240056
19-Feb-13,53.03,53.48,52.91,53.30,419656
15-Feb-13,53.16,53.20,52.86,52.90,208563
14-Feb-13,53.07,53.09,52.80,52.88,262385
13-Feb-13,53.40,53.56,52.84,53.01,190124
12-Feb-13,53.75,54.21,53.25,53.30,137658
11-Feb-13,54.14,54.18,53.33,53.84,133917
8-Feb-13,54.03,54.57,53.95,54.01,120348
7-Feb-13,53.97,54.40,53.76,53.96,103743
6-Feb-13,54.07,54.64,53.94,54.14,114108
5-Feb-13,53.61,54.41,53.60,54.22,156739
4-Feb-13,52.03,53.61,51.63,53.58,198971
1-Feb-13,53.09,53.09,52.18,52.23,353378
31-Jan-13,53.00,53.34,52.88,52.93,165237
30-Jan-13,52.91,53.59,52.71,52.83,296906
29-Jan-13,54.01,54.10,52.84,53.13,565645
28-Jan-13,53.45,54.47,52.60,53.91,251427
25-Jan-13,53.20,53.64,52.37,53.56,318508
24-Jan-13,52.47,53.28,52.38,53.01,342957
23-Jan-13,53.22,53.22,52.47,52.65,196357
22-Jan-13,52.92,53.15,52.68,53.11,227945
18-Jan-13,52.47,53.00,52.32,52.97,367790
17-Jan-13,52.67,53.07,52.38,52.44,241402
16-Jan-13,52.24,52.55,52.08,52.48,148541
15-Jan-13,52.43,52.67,52.28,52.38,95799
14-Jan-13,52.47,52.83,52.26,52.67,277740
11-Jan-13,53.20,53.20,52.38,52.61,334126
10-Jan-13,53.32,53.48,52.58,53.07,161293
9-Jan-13,53.92,53.94,53.00,53.30,71890
8-Jan-13,52.92,53.74,52.92,53.72,95437
7-Jan-13,53.92,53.96,53.02,53.09,74836
4-Jan-13,54.58,54.88,54.01,54.16,83573
3-Jan-13,53.93,54.57,53.60,54.35,120037
2-Jan-13,53.00,53.86,52.76,53.83,191431
31-Dec-12,50.65,52.33,50.06,52.13,180578
28-Dec-12,50.90,51.06,50.61,50.70,110004
27-Dec-12,51.59,52.04,50.86,51.07,91890
26-Dec-12,52.36,52.42,51.68,51.71,135673
24-Dec-12,52.42,52.47,51.37,52.44,94936
