Date, Open, High, Low, Close, Volume
17-May-13,41.54,41.74,41.42,41.74,40095
16-May-13,41.98,41.98,41.29,41.50,14211
15-May-13,41.69,41.69,41.46,41.65,22308
14-May-13,41.15,41.68,41.15,41.68,22356
13-May-13,41.44,41.44,41.03,41.31,5807
10-May-13,41.33,41.45,41.06,41.38,20818
9-May-13,41.33,41.57,41.22,41.40,11990
8-May-13,41.27,41.49,40.73,41.29,19044
7-May-13,40.66,41.69,40.66,41.53,23145
6-May-13,40.75,40.75,40.39,40.73,33673
3-May-13,40.76,40.90,40.44,40.60,33311
2-May-13,40.25,40.73,40.11,40.35,35128
1-May-13,41.41,41.41,40.03,40.51,51658
30-Apr-13,41.20,41.97,41.10,41.80,24827
29-Apr-13,40.86,41.44,40.83,41.07,11856
26-Apr-13,42.16,42.42,40.73,40.73,27436
25-Apr-13,41.50,42.50,41.50,42.11,8343
24-Apr-13,42.00,42.46,41.15,42.46,12415
23-Apr-13,41.36,42.00,41.36,42.00,14363
22-Apr-13,41.30,41.30,40.46,41.19,11309
19-Apr-13,40.79,41.30,40.45,41.28,14830
18-Apr-13,40.70,41.07,40.25,40.95,13210
17-Apr-13,40.73,40.99,39.52,40.66,32629
16-Apr-13,40.84,41.07,40.33,41.02,18813
15-Apr-13,41.18,41.18,39.78,39.86,24890
12-Apr-13,41.18,41.33,40.76,41.28,7148
11-Apr-13,41.69,41.78,41.27,41.44,4717
10-Apr-13,41.41,41.85,40.97,41.78,16514
9-Apr-13,41.41,41.80,41.05,41.22,10407
8-Apr-13,41.74,41.74,41.28,41.57,6554
5-Apr-13,40.90,41.92,40.90,41.74,18314
4-Apr-13,40.93,41.54,40.93,41.53,8077
3-Apr-13,41.30,41.30,40.95,41.03,31666
2-Apr-13,41.75,41.86,41.02,41.32,19947
1-Apr-13,42.28,42.28,41.25,41.38,15403
28-Mar-13,42.50,42.50,41.81,42.28,13003
27-Mar-13,42.22,42.49,42.09,42.37,5490
26-Mar-13,42.47,42.47,42.24,42.41,7218
25-Mar-13,42.49,42.49,42.20,42.45,7524
22-Mar-13,42.34,42.48,41.33,42.44,16414
21-Mar-13,42.21,42.39,41.62,42.20,14809
20-Mar-13,41.74,42.35,41.32,42.35,16552
19-Mar-13,41.09,41.81,41.01,41.64,10070
18-Mar-13,40.75,41.41,40.60,41.08,14192
15-Mar-13,42.00,42.00,40.85,41.01,42674
14-Mar-13,41.10,41.27,40.64,41.16,16970
13-Mar-13,40.80,41.45,40.80,40.88,7297
12-Mar-13,41.04,41.29,40.65,40.88,8271
11-Mar-13,41.35,41.72,40.85,41.00,16471
8-Mar-13,41.94,41.94,41.00,41.34,14957
7-Mar-13,40.89,41.50,40.50,41.50,8641
6-Mar-13,40.97,41.34,40.87,41.00,8673
5-Mar-13,41.01,41.39,40.77,40.98,15356
4-Mar-13,40.91,41.77,40.68,40.94,16312
1-Mar-13,41.12,41.91,40.75,41.12,23841
28-Feb-13,41.52,41.80,40.82,41.43,25221
27-Feb-13,41.25,41.72,41.25,41.45,12064
26-Feb-13,41.45,41.75,40.50,41.05,25649
25-Feb-13,41.29,41.47,40.28,40.28,24514
22-Feb-13,41.26,41.59,40.99,41.00,26649
21-Feb-13,40.75,41.41,40.75,40.97,24258
20-Feb-13,40.95,41.31,40.54,40.54,38018
19-Feb-13,41.63,41.63,40.97,41.00,27975
15-Feb-13,41.19,41.25,40.94,41.16,38066
14-Feb-13,41.33,41.70,41.07,41.19,8131
13-Feb-13,41.10,41.43,40.95,41.37,13631
12-Feb-13,40.92,41.42,40.92,41.10,34376
11-Feb-13,41.10,41.40,40.99,41.00,15047
8-Feb-13,41.21,41.37,40.25,41.10,14906
7-Feb-13,41.34,41.49,41.20,41.39,3725
6-Feb-13,41.37,42.00,41.20,41.69,10176
5-Feb-13,41.02,42.00,41.02,41.61,22190
4-Feb-13,41.09,41.09,40.62,40.94,22688
1-Feb-13,40.88,41.42,40.62,41.38,36424
