Date, Open, High, Low, Close, Volume
17-May-13,19.93,20.07,19.43,19.96,78195
16-May-13,20.03,20.25,19.50,19.91,55057
15-May-13,20.09,20.24,19.81,20.05,68101
14-May-13,19.99,20.28,19.70,19.87,105813
13-May-13,21.25,21.25,19.10,19.69,113571
10-May-13,20.10,20.20,19.44,20.00,119452
9-May-13,19.64,20.00,19.06,19.72,82652
8-May-13,19.01,19.28,18.66,19.16,55542
7-May-13,18.02,19.15,17.00,19.00,159736
6-May-13,20.20,20.58,17.55,17.80,304348
3-May-13,19.18,20.92,19.18,20.06,220433
2-May-13,16.34,18.99,16.21,18.84,258648
1-May-13,16.10,16.25,15.90,16.02,56069
30-Apr-13,16.14,16.19,15.99,16.09,15166
29-Apr-13,16.12,16.20,15.90,16.18,18588
26-Apr-13,16.13,16.20,15.00,15.99,41367
25-Apr-13,16.00,16.13,15.67,16.01,30384
24-Apr-13,14.91,16.01,14.74,15.99,46946
23-Apr-13,14.54,14.99,14.44,14.90,23752
22-Apr-13,14.31,14.63,14.03,14.47,156089
19-Apr-13,13.49,14.19,13.05,14.07,32171
18-Apr-13,12.97,13.86,12.82,13.40,41750
17-Apr-13,13.13,13.33,12.73,12.82,14769
16-Apr-13,13.04,13.41,12.67,13.21,16443
15-Apr-13,13.90,13.92,12.57,12.97,14469
12-Apr-13,14.32,14.33,13.76,13.96,10310
11-Apr-13,14.39,14.45,14.22,14.36,15498
10-Apr-13,14.23,14.45,14.23,14.45,8582
9-Apr-13,14.33,14.43,14.09,14.24,20241
8-Apr-13,13.91,14.45,13.87,14.25,18715
5-Apr-13,13.55,13.74,13.40,13.65,24968
4-Apr-13,13.98,14.00,13.53,13.85,24430
3-Apr-13,13.87,14.14,13.78,13.85,26208
2-Apr-13,14.11,14.20,13.95,14.03,10883
1-Apr-13,13.87,14.25,13.61,13.90,12270
28-Mar-13,14.25,14.28,13.99,14.00,11023
27-Mar-13,14.06,14.37,13.86,14.32,16398
26-Mar-13,14.17,14.30,13.86,14.27,17570
25-Mar-13,14.14,14.23,13.90,14.15,9281
22-Mar-13,14.20,14.25,13.91,14.05,15716
21-Mar-13,13.98,14.49,13.52,14.29,43322
20-Mar-13,13.56,14.15,13.56,14.13,23165
19-Mar-13,13.56,13.87,13.39,13.42,15637
18-Mar-13,13.68,13.68,13.09,13.53,11027
15-Mar-13,13.64,13.75,13.39,13.68,88766
14-Mar-13,13.50,13.65,13.37,13.63,21208
13-Mar-13,14.04,14.04,12.83,13.49,26126
12-Mar-13,13.33,13.35,12.87,13.09,11471
11-Mar-13,13.45,13.50,12.88,13.41,24717
8-Mar-13,13.23,13.50,12.99,13.49,50836
7-Mar-13,12.61,13.09,12.53,13.08,30679
6-Mar-13,12.76,12.76,12.39,12.60,30959
5-Mar-13,13.01,13.21,12.69,12.76,26523
4-Mar-13,12.10,12.98,12.10,12.98,56978
1-Mar-13,12.00,12.27,12.00,12.21,7279
