Date, Open, High, Low, Close, Volume
17-May-13,5.45,5.50,5.26,5.33,426132
16-May-13,5.45,5.50,5.34,5.42,203674
15-May-13,5.63,5.66,5.40,5.43,395108
14-May-13,5.46,5.70,5.44,5.68,276960
13-May-13,5.65,5.68,5.39,5.48,389505
10-May-13,5.75,5.75,5.53,5.67,244205
9-May-13,5.92,5.92,5.64,5.69,334890
8-May-13,5.88,5.96,5.80,5.90,313809
7-May-13,5.86,6.00,5.65,5.88,610007
6-May-13,5.65,5.88,5.65,5.83,376162
3-May-13,5.37,5.70,5.37,5.65,569708
2-May-13,5.34,5.46,5.10,5.35,427098
1-May-13,5.45,5.45,5.11,5.30,856051
30-Apr-13,5.56,5.59,5.40,5.49,255498
29-Apr-13,5.45,5.63,5.40,5.53,557410
26-Apr-13,5.28,5.41,5.26,5.36,383181
25-Apr-13,5.45,5.50,5.29,5.30,398113
24-Apr-13,5.21,5.41,5.15,5.37,450372
23-Apr-13,5.40,5.40,5.11,5.18,311188
22-Apr-13,5.14,5.21,5.00,5.16,308628
19-Apr-13,5.18,5.19,5.06,5.14,368516
18-Apr-13,5.16,5.26,4.85,5.16,727781
17-Apr-13,5.57,5.59,5.06,5.12,1194504
16-Apr-13,5.45,5.77,5.32,5.61,656625
15-Apr-13,5.84,5.84,5.18,5.23,1229361
12-Apr-13,6.09,6.13,5.81,5.88,1000696
11-Apr-13,6.13,6.23,6.11,6.15,322467
10-Apr-13,6.28,6.30,6.14,6.16,557149
9-Apr-13,6.28,6.34,6.23,6.23,452574
8-Apr-13,6.30,6.40,6.22,6.27,247128
5-Apr-13,6.16,6.26,6.00,6.21,268479
4-Apr-13,6.05,6.23,6.00,6.20,432476
3-Apr-13,6.42,6.42,6.02,6.02,581834
2-Apr-13,6.44,6.53,6.37,6.38,476624
1-Apr-13,6.62,6.67,6.41,6.48,309917
28-Mar-13,6.86,6.86,6.60,6.60,299743
27-Mar-13,6.86,6.92,6.62,6.77,327954
26-Mar-13,6.77,6.83,6.60,6.80,367316
25-Mar-13,6.52,6.78,6.52,6.67,845175
22-Mar-13,6.67,6.73,6.40,6.47,497186
21-Mar-13,6.85,6.91,6.61,6.66,420632
20-Mar-13,6.84,6.96,6.75,6.84,201189
19-Mar-13,7.03,7.13,6.62,6.77,391591
18-Mar-13,6.89,7.05,6.80,7.00,261814
15-Mar-13,7.15,7.18,6.95,7.00,552390
14-Mar-13,6.99,7.16,6.92,7.13,354554
13-Mar-13,6.95,7.07,6.86,7.01,424569
12-Mar-13,7.04,7.20,6.91,6.98,588446
11-Mar-13,6.91,7.05,6.86,6.99,437729
8-Mar-13,6.83,6.92,6.80,6.89,466065
7-Mar-13,6.52,6.80,6.48,6.78,523300
6-Mar-13,6.50,6.50,6.35,6.47,351638
5-Mar-13,6.46,6.54,6.38,6.44,307590
4-Mar-13,6.45,6.62,6.26,6.40,601755
1-Mar-13,6.20,6.41,6.00,6.41,478485
28-Feb-13,6.50,6.53,6.20,6.27,427383
27-Feb-13,6.38,6.56,6.35,6.48,219722
26-Feb-13,6.35,6.48,6.20,6.43,340391
25-Feb-13,6.76,7.04,6.30,6.33,570701
22-Feb-13,6.59,6.67,6.50,6.64,304082
21-Feb-13,6.71,6.71,6.26,6.46,932355
